metric,value
classification.0.75.n,7654
classification.0.75.sources,30
classification.0.75.prevalence,0.0032733140733111933
classification.0.75.log_loss,0.009165851660921747
classification.0.75.brier,0.002592657210254915
classification.0.75.average_precision,0.44119268627341224
classification.0.75.threshold,0.0076766042038798376
classification.0.75.recall,0.935548358816174
classification.0.75.false_positive_rate,0.031526359343308816
classification.0.75.precision,0.08880088625633609
classification.0.75.auroc,0.9946134938563143
classification.0.75.f1,0.16220546614969428
classification.0.75.balanced_accuracy,0.9520109997364326
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0020240523627045744
classification.3.0.n,7654
classification.3.0.sources,30
classification.3.0.prevalence,0.008337284960097939
classification.3.0.log_loss,0.02376862746186867
classification.3.0.brier,0.006181094023458694
classification.3.0.average_precision,0.39253078700244803
classification.3.0.threshold,0.0376182310283184
classification.3.0.recall,0.7830591061198889
classification.3.0.false_positive_rate,0.03073628199399342
classification.3.0.precision,0.17640723598421895
classification.3.0.auroc,0.9816408788870535
classification.3.0.f1,0.28794609349182165
classification.3.0.balanced_accuracy,0.8761614120629477
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0018044249661067807
classification.9.0.n,7654
classification.9.0.sources,30
classification.9.0.prevalence,0.030881559809039054
classification.9.0.log_loss,0.062324897261997664
classification.9.0.brier,0.0179104580487754
classification.9.0.average_precision,0.6262043935313447
classification.9.0.threshold,0.10020945966243745
classification.9.0.recall,0.7213526932282356
classification.9.0.false_positive_rate,0.030665694592708754
classification.9.0.precision,0.42843381974580597
classification.9.0.auroc,0.977344873401321
classification.9.0.f1,0.5375813444607258
classification.9.0.balanced_accuracy,0.8453434993177633
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0059804698645938405
classification.24.0.n,7654
classification.24.0.sources,30
classification.24.0.prevalence,0.09157684598841144
classification.24.0.log_loss,0.1694523717335483
classification.24.0.brier,0.04767037935195155
classification.24.0.average_precision,0.6903125478536883
classification.24.0.threshold,0.26432582736015325
classification.24.0.recall,0.6438175346866499
classification.24.0.false_positive_rate,0.0316879284610947
classification.24.0.precision,0.67193453042748
classification.24.0.auroc,0.9370026256703905
classification.24.0.f1,0.6575756091450672
classification.24.0.balanced_accuracy,0.8060648031127777
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.025826309737684475
classification.48.0.n,7654
classification.48.0.sources,30
classification.48.0.prevalence,0.18734792593553434
classification.48.0.log_loss,0.3713044972512527
classification.48.0.brier,0.10387439619161455
classification.48.0.average_precision,0.6516344267141767
classification.48.0.threshold,0.49881252646446234
classification.48.0.recall,0.487900765550978
classification.48.0.false_positive_rate,0.03821073702956459
classification.48.0.precision,0.7464296125524059
classification.48.0.auroc,0.8325183452039799
classification.48.0.f1,0.5900909284171174
classification.48.0.balanced_accuracy,0.7248450142607067
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.05658285773881046
classification.96.0.n,7654
classification.96.0.sources,30
classification.96.0.prevalence,0.3730829459729325
classification.96.0.log_loss,0.7493546913057296
classification.96.0.brier,0.24227725690029336
classification.96.0.average_precision,0.6344774269421097
classification.96.0.threshold,0.9131805300712585
classification.96.0.recall,0.29069274938995243
classification.96.0.false_positive_rate,0.05131795321267586
classification.96.0.precision,0.7712199831148071
classification.96.0.auroc,0.7058732810196822
classification.96.0.f1,0.4222344273946467
classification.96.0.balanced_accuracy,0.6196873980886382
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.18515145471111127
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,11
timing.0.75.missed_windows,1
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9090909090909091
timing.0.75.alarm_episodes,153
timing.0.75.false_alarm_episodes,143
timing.0.75.observable_event_centers,11
timing.0.75.detected_event_centers,10
