metric,value
classification.0.75.n,7654
classification.0.75.sources,30
classification.0.75.prevalence,0.0032733140733111933
classification.0.75.log_loss,0.009503108558902743
classification.0.75.brier,0.00267701733590761
classification.0.75.average_precision,0.39258893144203055
classification.0.75.threshold,0.00988294836133719
classification.0.75.recall,1.0
classification.0.75.false_positive_rate,0.036516654265635606
classification.0.75.precision,0.08251267820161398
classification.0.75.auroc,0.9956236056232216
classification.0.75.f1,0.15244658074341055
classification.0.75.balanced_accuracy,0.9817416728671822
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.002539779667265472
classification.3.0.n,7654
classification.3.0.sources,30
classification.3.0.prevalence,0.008337284960097939
classification.3.0.log_loss,0.024401380787399177
classification.3.0.brier,0.006352992374611726
classification.3.0.average_precision,0.35528037481049957
classification.3.0.threshold,0.04170535877346994
classification.3.0.recall,0.8540740731371252
classification.3.0.false_positive_rate,0.03603206880929911
classification.3.0.precision,0.1661674149508482
classification.3.0.auroc,0.981205552638883
classification.3.0.f1,0.278207233418252
classification.3.0.balanced_accuracy,0.9090210021639131
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0034387656932959054
classification.9.0.n,7654
classification.9.0.sources,30
classification.9.0.prevalence,0.030881559809039054
classification.9.0.log_loss,0.06488861200884039
classification.9.0.brier,0.018438560895327468
classification.9.0.average_precision,0.6156678370879669
classification.9.0.threshold,0.1376163214445114
classification.9.0.recall,0.7298627603458216
classification.9.0.false_positive_rate,0.03089894276606916
classification.9.0.precision,0.42945059738834224
classification.9.0.auroc,0.9745159968019165
classification.9.0.f1,0.5407338686317299
classification.9.0.balanced_accuracy,0.8494819087898762
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0072035298530257925
classification.24.0.n,7654
classification.24.0.sources,30
classification.24.0.prevalence,0.09157684598841144
classification.24.0.log_loss,0.18078826690816147
classification.24.0.brier,0.05056643619500976
classification.24.0.average_precision,0.6664618381460524
classification.24.0.threshold,0.35602295398712164
classification.24.0.recall,0.586707366884905
classification.24.0.false_positive_rate,0.0313031454448631
classification.24.0.precision,0.6539111052836386
classification.24.0.auroc,0.9320570752887074
classification.24.0.f1,0.6184890381120174
classification.24.0.balanced_accuracy,0.777702110720021
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.027719748485229925
classification.48.0.n,7654
classification.48.0.sources,30
classification.48.0.prevalence,0.18734792593553434
classification.48.0.log_loss,0.40289521976416653
classification.48.0.brier,0.11112963382677862
classification.48.0.average_precision,0.6179987555387446
classification.48.0.threshold,0.6714247465133667
classification.48.0.recall,0.4070309069391329
classification.48.0.false_positive_rate,0.032841309856474404
classification.48.0.precision,0.740749232171856
classification.48.0.auroc,0.8181897562701655
classification.48.0.f1,0.5253755863364376
classification.48.0.balanced_accuracy,0.6870947985413292
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06812452261855924
classification.96.0.n,7654
classification.96.0.sources,30
classification.96.0.prevalence,0.3730829459729325
classification.96.0.log_loss,0.7546362552708165
classification.96.0.brier,0.24352250306202955
classification.96.0.average_precision,0.6262554946662635
classification.96.0.threshold,0.9129053950309753
classification.96.0.recall,0.27350802299958066
classification.96.0.false_positive_rate,0.048476430562520864
classification.96.0.precision,0.7705182389871317
classification.96.0.auroc,0.7043344970608714
classification.96.0.f1,0.40371191396940337
classification.96.0.balanced_accuracy,0.6125157962185298
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1852723824439871
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,11
timing.0.75.missed_windows,0
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,1.0
timing.0.75.alarm_episodes,177
timing.0.75.false_alarm_episodes,167
timing.0.75.observable_event_centers,11
timing.0.75.detected_event_centers,10
timing.0.75.missed_event_centers,1
