metric,value
classification.0.75.n,7654
classification.0.75.sources,30
classification.0.75.prevalence,0.0032733140733111933
classification.0.75.log_loss,0.009654295816135975
classification.0.75.brier,0.0027297204870630008
classification.0.75.average_precision,0.4189406307747859
classification.0.75.threshold,0.009076588787138464
classification.0.75.recall,0.935548358816174
classification.0.75.false_positive_rate,0.033379901676838686
classification.0.75.precision,0.08428550061767369
classification.0.75.auroc,0.9957058815366095
classification.0.75.f1,0.15463923078341194
classification.0.75.balanced_accuracy,0.9510842285696677
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0021240692665850493
classification.3.0.n,7654
classification.3.0.sources,30
classification.3.0.prevalence,0.008337284960097939
classification.3.0.log_loss,0.023851831303056615
classification.3.0.brier,0.006189452424034071
classification.3.0.average_precision,0.38443545050575706
classification.3.0.threshold,0.043111797422170646
classification.3.0.recall,0.816196962233347
classification.3.0.false_positive_rate,0.03137191784212771
classification.3.0.precision,0.17947582114121435
classification.3.0.auroc,0.9787229960213824
classification.3.0.f1,0.2942485170947725
classification.3.0.balanced_accuracy,0.8924125221956096
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0033117895929485426
classification.9.0.n,7654
classification.9.0.sources,30
classification.9.0.prevalence,0.030881559809039054
classification.9.0.log_loss,0.06277941951692037
classification.9.0.brier,0.017995990561403795
classification.9.0.average_precision,0.6047010727405531
classification.9.0.threshold,0.12210409343242645
classification.9.0.recall,0.7443261656168136
classification.9.0.false_positive_rate,0.030413334868665307
classification.9.0.precision,0.4381608733503829
classification.9.0.auroc,0.9759519479292595
classification.9.0.f1,0.5516079111853203
classification.9.0.balanced_accuracy,0.8569564153740741
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.005203906235070972
classification.24.0.n,7654
classification.24.0.sources,30
classification.24.0.prevalence,0.09157684598841144
classification.24.0.log_loss,0.16015567608343106
classification.24.0.brier,0.0463352597406255
classification.24.0.average_precision,0.6855740294181472
classification.24.0.threshold,0.3397719860076905
classification.24.0.recall,0.6257041723214195
classification.24.0.false_positive_rate,0.030135157090390094
classification.24.0.precision,0.6767013128572682
classification.24.0.auroc,0.9396799672749299
classification.24.0.f1,0.6502043176086336
classification.24.0.balanced_accuracy,0.7977845076155148
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.01912483595213816
classification.48.0.n,7654
classification.48.0.sources,30
classification.48.0.prevalence,0.18734792593553434
classification.48.0.log_loss,0.3402310645306976
classification.48.0.brier,0.09846595704529174
classification.48.0.average_precision,0.6565103521879432
classification.48.0.threshold,0.43570467829704285
classification.48.0.recall,0.5147206336921702
classification.48.0.false_positive_rate,0.03622998138668984
classification.48.0.precision,0.7660968923549573
classification.48.0.auroc,0.8416861495321519
classification.48.0.f1,0.615740915287939
classification.48.0.balanced_accuracy,0.7392453261527403
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.03471545678233209
classification.96.0.n,7654
classification.96.0.sources,30
classification.96.0.prevalence,0.3730829459729325
classification.96.0.log_loss,0.6107732190285272
classification.96.0.brier,0.20726714944012498
classification.96.0.average_precision,0.651975177875276
classification.96.0.threshold,0.7335345149040222
classification.96.0.recall,0.3447235083226199
classification.96.0.false_positive_rate,0.05546418465569244
classification.96.0.precision,0.7871769019410165
classification.96.0.auroc,0.7198360737093984
classification.96.0.f1,0.47947395521207503
classification.96.0.balanced_accuracy,0.6446296618334636
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.10437090264719996
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,11
timing.0.75.missed_windows,1
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9090909090909091
timing.0.75.alarm_episodes,157
timing.0.75.false_alarm_episodes,147
timing.0.75.observable_event_centers,11
timing.0.75.detected_event_centers,10
