metric,value
experiments.cold-control.average_precision12,0.6456719756775131
experiments.cold-control.integrated_brier12,0.012570506991457772
experiments.cold-control.restricted_time_mae12,0.22993281486139663
experiments.cold-control.recall12,0.7203471474638896
experiments.cold-control.realized_fpr12,0.026601429813071967
experiments.cold-control.timing12.event_windows,226
experiments.cold-control.timing12.missed_windows,75
experiments.cold-control.timing12.detected_timing_mae_ps,2.4131038112370975
experiments.cold-control.timing12.timed_within_3ps_recall,0.4247787610619469
experiments.cold-control.brier96,0.10232905638052085
experiments.cold-control.short_event_nll,0.14057185384217666
experiments.original-control.average_precision12,0.5737632424774466
experiments.original-control.integrated_brier12,0.014491519956436386
experiments.original-control.restricted_time_mae12,0.26133600524432443
experiments.original-control.recall12,0.6610123487700748
experiments.original-control.realized_fpr12,0.031741315527752334
experiments.original-control.timing12.event_windows,226
experiments.original-control.timing12.missed_windows,92
experiments.original-control.timing12.detected_timing_mae_ps,2.343831397786593
experiments.original-control.timing12.timed_within_3ps_recall,0.4026548672566372
experiments.original-control.brier96,0.1041560980609392
experiments.original-control.short_event_nll,0.1505142424308997
experiments.cold-rates.average_precision12,0.6392949837446653
experiments.cold-rates.integrated_brier12,0.012489723534497588
experiments.cold-rates.restricted_time_mae12,0.23406236374012365
experiments.cold-rates.recall12,0.7298157864194672
experiments.cold-rates.realized_fpr12,0.028968890910203177
experiments.cold-rates.timing12.event_windows,226
experiments.cold-rates.timing12.missed_windows,73
experiments.cold-rates.timing12.detected_timing_mae_ps,2.4076080934077977
experiments.cold-rates.timing12.timed_within_3ps_recall,0.43805309734513276
experiments.cold-rates.brier96,0.101620579678367
experiments.cold-rates.short_event_nll,0.13909769283779477
experiments.cold-dense-repeat.average_precision12,0.6659094071035321
experiments.cold-dense-repeat.integrated_brier12,0.01244506129171702
experiments.cold-dense-repeat.restricted_time_mae12,0.22270137798805767
experiments.cold-dense-repeat.recall12,0.733798686083205
experiments.cold-dense-repeat.realized_fpr12,0.02994839306062913
experiments.cold-dense-repeat.timing12.event_windows,226
experiments.cold-dense-repeat.timing12.missed_windows,73
experiments.cold-dense-repeat.timing12.detected_timing_mae_ps,2.355739089371367
experiments.cold-dense-repeat.timing12.timed_within_3ps_recall,0.4469026548672566
experiments.cold-dense-repeat.brier96,0.1117929785936184
experiments.cold-dense-repeat.short_event_nll,0.1386529526652586
experiments.cold-dense-real.average_precision12,0.6226547641096275
experiments.cold-dense-real.integrated_brier12,0.01313297071170257
experiments.cold-dense-real.restricted_time_mae12,0.25678230615661635
experiments.cold-dense-real.recall12,0.6802969632674037
experiments.cold-dense-real.realized_fpr12,0.029254055354202824
experiments.cold-dense-real.timing12.event_windows,226
experiments.cold-dense-real.timing12.missed_windows,82
experiments.cold-dense-real.timing12.detected_timing_mae_ps,2.383832207727911
experiments.cold-dense-real.timing12.timed_within_3ps_recall,0.415929203539823
experiments.cold-dense-real.brier96,0.100877721650131
experiments.cold-dense-real.short_event_nll,0.14161926387154108
experiments.cold-dual-repeat.average_precision12,0.6565011256413216
experiments.cold-dual-repeat.integrated_brier12,0.012660702321479212
experiments.cold-dual-repeat.restricted_time_mae12,0.2418474513468626
experiments.cold-dual-repeat.recall12,0.7198458649257686
experiments.cold-dual-repeat.realized_fpr12,0.03119876646874961
experiments.cold-dual-repeat.timing12.event_windows,226
experiments.cold-dual-repeat.timing12.missed_windows,72
experiments.cold-dual-repeat.timing12.detected_timing_mae_ps,2.5270668452181617
experiments.cold-dual-repeat.timing12.timed_within_3ps_recall,0.4026548672566372
experiments.cold-dual-repeat.brier96,0.11661681742349518
experiments.cold-dual-repeat.short_event_nll,0.1424640318817246
experiments.cold-dual-original.average_precision12,0.626957038125689
experiments.cold-dual-original.integrated_brier12,0.013193798263853638
experiments.cold-dual-original.restricted_time_mae12,0.24797957855784303
experiments.cold-dual-original.recall12,0.7136498002194512
experiments.cold-dual-original.realized_fpr12,0.027784905436174633
experiments.cold-dual-original.timing12.event_windows,226
experiments.cold-dual-original.timing12.missed_windows,74
experiments.cold-dual-original.timing12.detected_timing_mae_ps,2.5195532167139674
experiments.cold-dual-original.timing12.timed_within_3ps_recall,0.42035398230088494
experiments.cold-dual-original.brier96,0.10242750521807208
experiments.cold-dual-original.short_event_nll,0.14164782814742036
experiments.cold-quench-difference.average_precision12,0.6646959344968507
experiments.cold-quench-difference.integrated_brier12,0.012421261977045468
experiments.cold-quench-difference.restricted_time_mae12,0.2230338384964569
experiments.cold-quench-difference.recall12,0.7368991392988674
experiments.cold-quench-difference.realized_fpr12,0.027419103601404416
experiments.cold-quench-difference.timing12.event_windows,226
experiments.cold-quench-difference.timing12.missed_windows,71
experiments.cold-quench-difference.timing12.detected_timing_mae_ps,2.4191406538509197
experiments.cold-quench-difference.timing12.timed_within_3ps_recall,0.415929203539823
experiments.cold-quench-difference.brier96,0.11017012751563728
experiments.cold-quench-difference.short_event_nll,0.13998498128003506
experiments.cold-dense-rates.average_precision12,0.6117608919206216
experiments.cold-dense-rates.integrated_brier12,0.013273674621809234
experiments.cold-dense-rates.restricted_time_mae12,0.26127148265804373
experiments.cold-dense-rates.recall12,0.6983065646289227
experiments.cold-dense-rates.realized_fpr12,0.02961729468373143
experiments.cold-dense-rates.timing12.event_windows,226
experiments.cold-dense-rates.timing12.missed_windows,79
experiments.cold-dense-rates.timing12.detected_timing_mae_ps,2.4305904119088613
experiments.cold-dense-rates.timing12.timed_within_3ps_recall,0.40707964601769914
experiments.cold-dense-rates.brier96,0.10061190338238059
experiments.cold-dense-rates.short_event_nll,0.1424391634393362
experiments.dual-dense-rates.average_precision12,0.6176455117275169
experiments.dual-dense-rates.integrated_brier12,0.013232289245062156
experiments.dual-dense-rates.restricted_time_mae12,0.25462472684151666
experiments.dual-dense-rates.recall12,0.7265492343878354
experiments.dual-dense-rates.realized_fpr12,0.027754765743070408
experiments.dual-dense-rates.timing12.event_windows,226
experiments.dual-dense-rates.timing12.missed_windows,69
experiments.dual-dense-rates.timing12.detected_timing_mae_ps,2.4858518967639243
experiments.dual-dense-rates.timing12.timed_within_3ps_recall,0.4247787610619469
experiments.dual-dense-rates.brier96,0.10293472151410828
experiments.dual-dense-rates.short_event_nll,0.14082205334810968
experiments.dual-dense-rates-short.average_precision12,0.6112520683950683
experiments.dual-dense-rates-short.integrated_brier12,0.013125806415529486
experiments.dual-dense-rates-short.restricted_time_mae12,0.27362603636278715
experiments.dual-dense-rates-short.recall12,0.7204704409770879
experiments.dual-dense-rates-short.realized_fpr12,0.032714427158539235
experiments.dual-dense-rates-short.timing12.event_windows,226
experiments.dual-dense-rates-short.timing12.missed_windows,70
experiments.dual-dense-rates-short.timing12.detected_timing_mae_ps,2.299324066764607
experiments.dual-dense-rates-short.timing12.timed_within_3ps_recall,0.4690265486725664
experiments.dual-dense-rates-short.brier96,0.09864952078983022
experiments.dual-dense-rates-short.short_event_nll,0.1395104602903398
experiments.dual-dense-rates-no-clock.average_precision12,0.616878462490349
experiments.dual-dense-rates-no-clock.integrated_brier12,0.013222603159613282
experiments.dual-dense-rates-no-clock.restricted_time_mae12,0.2549588935822244
experiments.dual-dense-rates-no-clock.recall12,0.7216311949174036
experiments.dual-dense-rates-no-clock.realized_fpr12,0.02827071476688775
experiments.dual-dense-rates-no-clock.timing12.event_windows,226
experiments.dual-dense-rates-no-clock.timing12.missed_windows,70
experiments.dual-dense-rates-no-clock.timing12.detected_timing_mae_ps,2.483040241204497
experiments.dual-dense-rates-no-clock.timing12.timed_within_3ps_recall,0.4247787610619469
experiments.dual-dense-rates-no-clock.brier96,0.10300267759777805
experiments.dual-dense-rates-no-clock.short_event_nll,0.14081885259823115
paired_brier12.cold-control_vs_original-control.gain,0.0019210129649786147
