metric,value
classification.0.75.n,7654
classification.0.75.sources,30
classification.0.75.prevalence,0.0032733140733111933
classification.0.75.log_loss,0.01064524424783023
classification.0.75.brier,0.002831785643099382
classification.0.75.average_precision,0.3494199736662139
classification.0.75.threshold,0.014671661891043195
classification.0.75.recall,0.935548358816174
classification.0.75.false_positive_rate,0.03130503429428593
classification.0.75.precision,0.08937259443055172
classification.0.75.auroc,0.994288567965057
classification.0.75.f1,0.16315869780548523
classification.0.75.balanced_accuracy,0.9521216622609441
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0009446595454312592
classification.3.0.n,7654
classification.3.0.sources,30
classification.3.0.prevalence,0.008337284960097939
classification.3.0.log_loss,0.025426403275167465
classification.3.0.brier,0.006548335005167897
classification.3.0.average_precision,0.30589511488673743
classification.3.0.threshold,0.06030968949198724
classification.3.0.recall,0.7908925057892263
classification.3.0.false_positive_rate,0.031048801925538026
classification.3.0.precision,0.17638361931811364
classification.3.0.auroc,0.9793138032078225
classification.3.0.f1,0.28843983437965104
classification.3.0.balanced_accuracy,0.8799218519318441
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.004019932160489285
classification.9.0.n,7654
classification.9.0.sources,30
classification.9.0.prevalence,0.030881559809039054
classification.9.0.log_loss,0.060967977615537045
classification.9.0.brier,0.01750348332305129
classification.9.0.average_precision,0.6285089208595722
classification.9.0.threshold,0.17767119407653809
classification.9.0.recall,0.7001611799916961
classification.9.0.false_positive_rate,0.02730835109169921
classification.9.0.precision,0.4496438996720709
classification.9.0.auroc,0.9784493220184954
classification.9.0.f1,0.5476114324743243
classification.9.0.balanced_accuracy,0.8364264144499984
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.01099238983421176
classification.24.0.n,7654
classification.24.0.sources,30
classification.24.0.prevalence,0.09157684598841144
classification.24.0.log_loss,0.15703274917576204
classification.24.0.brier,0.04477206650699869
classification.24.0.average_precision,0.6974472763784297
classification.24.0.threshold,0.4045104682445526
classification.24.0.recall,0.6295420734619925
classification.24.0.false_positive_rate,0.029826287426528895
classification.24.0.precision,0.6802825789065885
classification.24.0.auroc,0.9414374660080537
classification.24.0.f1,0.6539295232999055
classification.24.0.balanced_accuracy,0.7998578930177319
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.012688512525088855
classification.48.0.n,7654
classification.48.0.sources,30
classification.48.0.prevalence,0.18734792593553434
classification.48.0.log_loss,0.36679752335979826
classification.48.0.brier,0.1053512739421226
classification.48.0.average_precision,0.6442545855115245
classification.48.0.threshold,0.6676198840141297
classification.48.0.recall,0.4684077544453219
classification.48.0.false_positive_rate,0.03207175607049431
classification.48.0.precision,0.7710108470753297
classification.48.0.auroc,0.8308368921264386
classification.48.0.f1,0.5827691452886801
classification.48.0.balanced_accuracy,0.7181679991874137
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.05532269871305559
classification.96.0.n,7654
classification.96.0.sources,30
classification.96.0.prevalence,0.3730829459729325
classification.96.0.log_loss,0.8240556246712802
classification.96.0.brier,0.2648765041518418
classification.96.0.average_precision,0.612945781054573
classification.96.0.threshold,0.9498287439346313
classification.96.0.recall,0.24572079780337572
classification.96.0.false_positive_rate,0.051824009080918255
classification.96.0.precision,0.738334289517049
classification.96.0.auroc,0.6934058034618491
classification.96.0.f1,0.36872750926929176
classification.96.0.balanced_accuracy,0.5969483943612287
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.21674470710675534
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,11
timing.0.75.missed_windows,1
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9090909090909091
timing.0.75.alarm_episodes,154
timing.0.75.false_alarm_episodes,144
timing.0.75.observable_event_centers,11
timing.0.75.detected_event_centers,10
