metric,value
classification.0.75.n,7654
classification.0.75.sources,30
classification.0.75.prevalence,0.0032733140733111933
classification.0.75.log_loss,0.009090587676650249
classification.0.75.brier,0.0026191236250474132
classification.0.75.average_precision,0.39019908240663664
classification.0.75.threshold,0.0056432867422699946
classification.0.75.recall,0.935548358816174
classification.0.75.false_positive_rate,0.038595539148348935
classification.0.75.precision,0.07373536018349743
classification.0.75.auroc,0.9951058520080736
classification.0.75.f1,0.13669693448490658
classification.0.75.balanced_accuracy,0.9484764098339125
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0033155135673203742
classification.3.0.n,7654
classification.3.0.sources,30
classification.3.0.prevalence,0.008337284960097939
classification.3.0.log_loss,0.023815361941664503
classification.3.0.brier,0.006268121068806819
classification.3.0.average_precision,0.3620937527701194
classification.3.0.threshold,0.0375080667436123
classification.3.0.recall,0.8287696166930045
classification.3.0.false_positive_rate,0.03254979002777435
classification.3.0.precision,0.17632108155628093
classification.3.0.auroc,0.9808510297755937
classification.3.0.f1,0.29077884300557216
classification.3.0.balanced_accuracy,0.8981099133326151
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0029269098266688385
classification.9.0.n,7654
classification.9.0.sources,30
classification.9.0.prevalence,0.030881559809039054
classification.9.0.log_loss,0.06155632056880409
classification.9.0.brier,0.017825757817673236
classification.9.0.average_precision,0.6275422866984239
classification.9.0.threshold,0.13514935970306394
classification.9.0.recall,0.7347543870734421
classification.9.0.false_positive_rate,0.029465813752646522
classification.9.0.precision,0.4427713757242237
classification.9.0.auroc,0.9768755813495134
classification.9.0.f1,0.552562366042802
classification.9.0.balanced_accuracy,0.8526442866603977
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.006817393024104243
classification.24.0.n,7654
classification.24.0.sources,30
classification.24.0.prevalence,0.09157684598841144
classification.24.0.log_loss,0.16510487615465552
classification.24.0.brier,0.04699550058296426
classification.24.0.average_precision,0.6883089399923148
classification.24.0.threshold,0.3980258703231811
classification.24.0.recall,0.6185969045915667
classification.24.0.false_positive_rate,0.030136928274205207
classification.24.0.precision,0.6741841066971007
classification.24.0.auroc,0.9403085487315198
classification.24.0.f1,0.645195431996539
classification.24.0.balanced_accuracy,0.7942299881586807
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.023269548585772626
classification.48.0.n,7654
classification.48.0.sources,30
classification.48.0.prevalence,0.18734792593553434
classification.48.0.log_loss,0.37190496931263634
classification.48.0.brier,0.10349280995024532
classification.48.0.average_precision,0.6507327105040066
classification.48.0.threshold,0.6375652551651001
classification.48.0.recall,0.4917881766399784
classification.48.0.false_positive_rate,0.034553731581426245
classification.48.0.precision,0.7664184312844614
classification.48.0.auroc,0.8385390818104939
classification.48.0.f1,0.5991313676001503
classification.48.0.balanced_accuracy,0.7286172225292761
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.05634611936262138
classification.96.0.n,7654
classification.96.0.sources,30
classification.96.0.prevalence,0.3730829459729325
classification.96.0.log_loss,0.750912513046105
classification.96.0.brier,0.2421331308118604
classification.96.0.average_precision,0.6404969732113219
classification.96.0.threshold,0.9196128845214844
classification.96.0.recall,0.3122057720104706
classification.96.0.false_positive_rate,0.053858866671374704
classification.96.0.precision,0.7752648263793288
classification.96.0.auroc,0.7127722502961064
classification.96.0.f1,0.44514703016469553
classification.96.0.balanced_accuracy,0.6291734526695478
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.18221848061935247
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,11
timing.0.75.missed_windows,1
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9090909090909091
timing.0.75.alarm_episodes,177
timing.0.75.false_alarm_episodes,168
timing.0.75.observable_event_centers,11
timing.0.75.detected_event_centers,9
