metric,value
classification.0.75.n,7654
classification.0.75.sources,30
classification.0.75.prevalence,0.0032733140733111933
classification.0.75.log_loss,0.00949250126559256
classification.0.75.brier,0.0027117815047437302
classification.0.75.average_precision,0.3835109510943884
classification.0.75.threshold,0.006608859170228245
classification.0.75.recall,1.0
classification.0.75.false_positive_rate,0.03737113396925981
classification.0.75.precision,0.08077844955179089
classification.0.75.auroc,0.9957486212615263
classification.0.75.f1,0.14948197678310568
classification.0.75.balanced_accuracy,0.98131443301537
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0025276119950527797
classification.3.0.n,7654
classification.3.0.sources,30
classification.3.0.prevalence,0.008337284960097939
classification.3.0.log_loss,0.023731767359932418
classification.3.0.brier,0.0062221286117534165
classification.3.0.average_precision,0.37250348450199794
classification.3.0.threshold,0.03805423527956009
classification.3.0.recall,0.8398446973527581
classification.3.0.false_positive_rate,0.03390098518049027
classification.3.0.precision,0.17237718373363617
classification.3.0.auroc,0.979582857042157
classification.3.0.f1,0.28604413006349577
classification.3.0.balanced_accuracy,0.902971856086134
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0037920782439469563
classification.9.0.n,7654
classification.9.0.sources,30
classification.9.0.prevalence,0.030881559809039054
classification.9.0.log_loss,0.06192961690271068
classification.9.0.brier,0.017694130907351394
classification.9.0.average_precision,0.6110968265300862
classification.9.0.threshold,0.11215030401945116
classification.9.0.recall,0.7550723140264246
classification.9.0.false_positive_rate,0.03240145344117104
classification.9.0.precision,0.4261400438242739
classification.9.0.auroc,0.9763449607181733
classification.9.0.f1,0.5448072852458029
classification.9.0.balanced_accuracy,0.8613354302926268
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.007711531608885506
classification.24.0.n,7654
classification.24.0.sources,30
classification.24.0.prevalence,0.09157684598841144
classification.24.0.log_loss,0.16058342835333764
classification.24.0.brier,0.0464773500621311
classification.24.0.average_precision,0.6837940276050163
classification.24.0.threshold,0.3351947665214539
classification.24.0.recall,0.606197268333486
classification.24.0.false_positive_rate,0.029958200867326923
classification.24.0.precision,0.6710351294148353
classification.24.0.auroc,0.9407238417302102
classification.24.0.f1,0.6369704732266531
classification.24.0.balanced_accuracy,0.7881195337330795
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.020731899083232364
classification.48.0.n,7654
classification.48.0.sources,30
classification.48.0.prevalence,0.18734792593553434
classification.48.0.log_loss,0.34423861407634676
classification.48.0.brier,0.09895808263440084
classification.48.0.average_precision,0.6595771525161934
classification.48.0.threshold,0.41016334295272827
classification.48.0.recall,0.5143038749435052
classification.48.0.false_positive_rate,0.03605034702356966
classification.48.0.precision,0.7668415958789782
classification.48.0.auroc,0.8439906459232132
classification.48.0.f1,0.6156827826510997
classification.48.0.balanced_accuracy,0.7391267639599677
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.044776708153931505
classification.96.0.n,7654
classification.96.0.sources,30
classification.96.0.prevalence,0.3730829459729325
classification.96.0.log_loss,0.5983665225119562
classification.96.0.brier,0.1997112716203952
classification.96.0.average_precision,0.6599132951652757
classification.96.0.threshold,0.6606432199478149
classification.96.0.recall,0.34132316656145273
classification.96.0.false_positive_rate,0.047300837320832685
classification.96.0.precision,0.8111175710867258
classification.96.0.auroc,0.7237133761493977
classification.96.0.f1,0.4804641293433245
classification.96.0.balanced_accuracy,0.6470111646203099
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.09393057740691481
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,11
timing.0.75.missed_windows,0
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,1.0
timing.0.75.alarm_episodes,169
timing.0.75.false_alarm_episodes,160
timing.0.75.observable_event_centers,11
timing.0.75.detected_event_centers,9
