metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009295686705816118
classification.0.75.brier,0.00210980155902326
classification.0.75.average_precision,0.27392987635258015
classification.0.75.threshold,0.00792593415826559
classification.0.75.recall,0.8597894527488765
classification.0.75.false_positive_rate,0.043402478799686305
classification.0.75.precision,0.04659703792162367
classification.0.75.auroc,0.9782699428629467
classification.0.75.f1,0.08840299838254284
classification.0.75.balanced_accuracy,0.9081934869745951
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0004081982946998729
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02627933674500131
classification.3.0.brier,0.0067544856915196195
classification.3.0.average_precision,0.3771684578152906
classification.3.0.threshold,0.0451788492500782
classification.3.0.recall,0.8303054895495181
classification.3.0.false_positive_rate,0.04027822577554296
classification.3.0.precision,0.15537822328133633
classification.3.0.auroc,0.9699222941460135
classification.3.0.f1,0.2617703631856255
classification.3.0.balanced_accuracy,0.8950136318869877
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0016346033315834214
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07179805353497586
classification.9.0.brier,0.020205449487315025
classification.9.0.average_precision,0.5253769095111346
classification.9.0.threshold,0.20769564807415009
classification.9.0.recall,0.7184974472294822
classification.9.0.false_positive_rate,0.03728947217792935
classification.9.0.precision,0.38325229217356815
classification.9.0.auroc,0.9541713549720544
classification.9.0.f1,0.49986994999564044
classification.9.0.balanced_accuracy,0.8406039875257763
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0060865295472390035
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.1855688230156756
classification.24.0.brier,0.05134331740250889
classification.24.0.average_precision,0.6099637426655016
classification.24.0.threshold,0.41119423508644104
classification.24.0.recall,0.6265198223629268
classification.24.0.false_positive_rate,0.04131802327764705
classification.24.0.precision,0.6033776330739554
classification.24.0.auroc,0.8878825648004702
classification.24.0.f1,0.6147310018736077
classification.24.0.balanced_accuracy,0.7926008995426399
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.013717578180203024
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3723518147066311
classification.48.0.brier,0.1119612468046344
classification.48.0.average_precision,0.5862534382713871
classification.48.0.threshold,0.46873801946640015
classification.48.0.recall,0.4714333660890795
classification.48.0.false_positive_rate,0.05150171236148333
classification.48.0.precision,0.6799893618076622
classification.48.0.auroc,0.7814075268610385
classification.48.0.f1,0.5568235991438574
classification.48.0.balanced_accuracy,0.7099658268637979
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.038016856334436785
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5909872112282549
classification.96.0.brier,0.20617131679699616
classification.96.0.average_precision,0.6310435086755402
classification.96.0.threshold,0.6697114706039429
classification.96.0.recall,0.31450790516654853
classification.96.0.false_positive_rate,0.05449743251466403
classification.96.0.precision,0.7702999095391072
classification.96.0.auroc,0.7077497397910452
classification.96.0.f1,0.4466513010230507
classification.96.0.balanced_accuracy,0.6300052363259426
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.10799255467262846
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,8
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8823529411764706
timing.0.75.alarm_episodes,623
timing.0.75.false_alarm_episodes,607
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,16
timing.0.75.missed_event_centers,52
timing.0.75.event_recall,0.23529411764705882
timing.0.75.false_alarms_per_sampled_center_ns,4.558597123652886
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,49
timing.3.0.detected_window_timing_mae_ps,0.7221228240038688
timing.3.0.detected_window_timing_bias_ps,-0.3518903327827104
timing.3.0.timed_within_3ps_recall,0.8211678832116789
timing.3.0.alarm_episodes,650
timing.3.0.false_alarm_episodes,584
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,66
timing.3.0.missed_event_centers,208
timing.3.0.event_recall,0.24087591240875914
timing.3.0.false_alarms_per_sampled_center_ns,4.38586609590327
timing.3.0.mean_detected_lead_ps,1.9431818181818181
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,290
timing.9.0.detected_window_timing_mae_ps,1.8922404325558104
timing.9.0.detected_window_timing_bias_ps,-0.3376337361242981
timing.9.0.timed_within_3ps_recall,0.5616016427104723
timing.9.0.alarm_episodes,673
timing.9.0.false_alarm_episodes,508
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,165
timing.9.0.missed_event_centers,213
timing.9.0.event_recall,0.4365079365079365
timing.9.0.false_alarms_per_sampled_center_ns,3.815102699861064
timing.9.0.mean_detected_lead_ps,5.4
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1090
timing.24.0.detected_window_timing_mae_ps,4.475369653838833
timing.24.0.detected_window_timing_bias_ps,-0.4075875609882046
timing.24.0.timed_within_3ps_recall,0.23864030523759971
timing.24.0.alarm_episodes,834
timing.24.0.false_alarm_episodes,475
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,297
timing.24.0.missed_event_centers,100
timing.24.0.event_recall,0.7481108312342569
timing.24.0.false_alarms_per_sampled_center_ns,3.56727122526379
timing.24.0.mean_detected_lead_ps,15.477272727272727
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3133
timing.48.0.detected_window_timing_mae_ps,8.349401762128108
timing.48.0.detected_window_timing_bias_ps,-0.2733059724535226
timing.48.0.timed_within_3ps_recall,0.10109743930828068
timing.48.0.alarm_episodes,1080
timing.48.0.false_alarm_episodes,483
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,374
timing.48.0.missed_event_centers,28
timing.48.0.event_recall,0.9303482587064676
timing.48.0.false_alarms_per_sampled_center_ns,3.6273515827419174
timing.48.0.mean_detected_lead_ps,26.356283422459892
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8347
timing.96.0.detected_window_timing_mae_ps,15.538776270271342
timing.96.0.detected_window_timing_bias_ps,-1.0701132814657874
timing.96.0.timed_within_3ps_recall,0.03941617877463511
timing.96.0.alarm_episodes,1527
timing.96.0.false_alarm_episodes,629
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,396
timing.96.0.missed_event_centers,13
timing.96.0.event_recall,0.9682151589242054
timing.96.0.false_alarms_per_sampled_center_ns,4.723818106717735
timing.96.0.mean_detected_lead_ps,44.43560606060606
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005339576462573959
spatial.0.75.sampled_center_jaccard,0.03543402777777778
spatial.0.75.nearby_pair_difference_rmse,0.03810823187880745
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.016911191135728296
spatial.3.0.sampled_center_jaccard,0.12187958883994125
spatial.3.0.nearby_pair_difference_rmse,0.07712943306512293
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.043383390260939216
spatial.9.0.sampled_center_jaccard,0.2738232074438971
spatial.9.0.nearby_pair_difference_rmse,0.13557812202880987
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09229814433236322
spatial.24.0.sampled_center_jaccard,0.3346000120779856
spatial.24.0.nearby_pair_difference_rmse,0.23379193917341917
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.16861915217244028
spatial.48.0.sampled_center_jaccard,0.2867660202349928
spatial.48.0.nearby_pair_difference_rmse,0.32051128995955014
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2722918957842468
spatial.96.0.sampled_center_jaccard,0.2430059769324301
spatial.96.0.nearby_pair_difference_rmse,0.3818192606550337
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9675441604649213
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,7168
training.head_warmup_updates,1717
