metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.00948474065485035
classification.0.75.brier,0.0021182907236832155
classification.0.75.average_precision,0.2679903927191171
classification.0.75.threshold,0.008969930931925774
classification.0.75.recall,0.8662646720903079
classification.0.75.false_positive_rate,0.04187288512533146
classification.0.75.precision,0.04856262555959824
classification.0.75.auroc,0.970703562389815
classification.0.75.f1,0.09196946137112046
classification.0.75.balanced_accuracy,0.9121958934824883
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00045490344324287046
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.026668249051620806
classification.3.0.brier,0.006796283345999276
classification.3.0.average_precision,0.3690270932818893
classification.3.0.threshold,0.04733562842011452
classification.3.0.recall,0.8339419387183362
classification.3.0.false_positive_rate,0.04012092036556477
classification.3.0.precision,0.15646838237985683
classification.3.0.auroc,0.9667605006260744
classification.3.0.f1,0.26349795306109886
classification.3.0.balanced_accuracy,0.8969105091763858
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0013972865361658632
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07212921125274722
classification.9.0.brier,0.020357096409023653
classification.9.0.average_precision,0.5143409158533565
classification.9.0.threshold,0.21009230613708496
classification.9.0.recall,0.7149993795852922
classification.9.0.false_positive_rate,0.03654261432039472
classification.9.0.precision,0.3868873615107247
classification.9.0.auroc,0.9529360230937035
classification.9.0.f1,0.5020919358271035
classification.9.0.balanced_accuracy,0.8392283826324487
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.00457020591783858
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.1848603353403985
classification.24.0.brier,0.05119689712121874
classification.24.0.average_precision,0.6057037311057291
classification.24.0.threshold,0.4059302806854248
classification.24.0.recall,0.6229136735676144
classification.24.0.false_positive_rate,0.04167727893264487
classification.24.0.precision,0.5999193000598891
classification.24.0.auroc,0.88706034807599
classification.24.0.f1,0.6112002916242141
classification.24.0.balanced_accuracy,0.7906181973174848
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.010779974505943212
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.36909778951058775
classification.48.0.brier,0.11080270278921958
classification.48.0.average_precision,0.5862779243744157
classification.48.0.threshold,0.4463881850242615
classification.48.0.recall,0.4804827561613132
classification.48.0.false_positive_rate,0.051449895456692464
classification.48.0.precision,0.684330047292252
classification.48.0.auroc,0.7818862293972381
classification.48.0.f1,0.5645693218208016
classification.48.0.balanced_accuracy,0.7145164303523102
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.030651888647371835
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5821451511727667
classification.96.0.brier,0.20221918381697468
classification.96.0.average_precision,0.6340399254431772
classification.96.0.threshold,0.6371029615402222
classification.96.0.recall,0.3212918471685849
classification.96.0.false_positive_rate,0.053722145973304866
classification.96.0.precision,0.7765501776957406
classification.96.0.auroc,0.7103889057589386
classification.96.0.f1,0.45452667207158814
classification.96.0.balanced_accuracy,0.6337848505976404
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.09804540407552308
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,9
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8676470588235294
timing.0.75.alarm_episodes,598
timing.0.75.false_alarm_episodes,579
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,19
timing.0.75.missed_event_centers,49
timing.0.75.event_recall,0.27941176470588236
timing.0.75.false_alarms_per_sampled_center_ns,4.348315872479441
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,48
timing.3.0.detected_window_timing_mae_ps,0.729915044307728
timing.3.0.detected_window_timing_bias_ps,-0.36386155998695435
timing.3.0.timed_within_3ps_recall,0.8248175182481752
timing.3.0.alarm_episodes,638
timing.3.0.false_alarm_episodes,573
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,65
timing.3.0.missed_event_centers,209
timing.3.0.event_recall,0.23722627737226276
timing.3.0.false_alarms_per_sampled_center_ns,4.303255604370846
timing.3.0.mean_detected_lead_ps,1.9384615384615385
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,291
timing.9.0.detected_window_timing_mae_ps,1.8860005429140607
timing.9.0.detected_window_timing_bias_ps,-0.34130419532710715
timing.9.0.timed_within_3ps_recall,0.5574948665297741
timing.9.0.alarm_episodes,655
timing.9.0.false_alarm_episodes,491
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,164
timing.9.0.missed_event_centers,214
timing.9.0.event_recall,0.43386243386243384
timing.9.0.false_alarms_per_sampled_center_ns,3.687431940220044
timing.9.0.mean_detected_lead_ps,5.442073170731708
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1094
timing.24.0.detected_window_timing_mae_ps,4.559725122612453
timing.24.0.detected_window_timing_bias_ps,-0.39850489980112125
timing.24.0.timed_within_3ps_recall,0.22962192160943462
timing.24.0.alarm_episodes,819
timing.24.0.false_alarm_episodes,458
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,295
timing.24.0.missed_event_centers,102
timing.24.0.event_recall,0.743073047858942
timing.24.0.false_alarms_per_sampled_center_ns,3.4396004656227706
timing.24.0.mean_detected_lead_ps,15.330508474576272
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3063
timing.48.0.detected_window_timing_mae_ps,8.518954943854606
timing.48.0.detected_window_timing_bias_ps,-0.14523007491445356
timing.48.0.timed_within_3ps_recall,0.10076488194213502
timing.48.0.alarm_episodes,1018
timing.48.0.false_alarm_episodes,437
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,372
timing.48.0.missed_event_centers,30
timing.48.0.event_recall,0.9253731343283582
timing.48.0.false_alarms_per_sampled_center_ns,3.281889527242687
timing.48.0.mean_detected_lead_ps,26.294354838709676
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8235
timing.96.0.detected_window_timing_mae_ps,15.937191399861284
timing.96.0.detected_window_timing_bias_ps,-0.72259196563905
timing.96.0.timed_within_3ps_recall,0.036612517522882825
timing.96.0.alarm_episodes,1435
timing.96.0.false_alarm_episodes,546
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,394
timing.96.0.missed_event_centers,15
timing.96.0.event_recall,0.9633251833740831
timing.96.0.false_alarms_per_sampled_center_ns,4.100484397882167
timing.96.0.mean_detected_lead_ps,43.90355329949239
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005363230071167803
spatial.0.75.sampled_center_jaccard,0.03306906272022551
spatial.0.75.nearby_pair_difference_rmse,0.03794692112441701
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.016768115839153674
spatial.3.0.sampled_center_jaccard,0.12728958101594365
spatial.3.0.nearby_pair_difference_rmse,0.07787453247752162
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.042910781331369496
spatial.9.0.sampled_center_jaccard,0.2829373096039763
spatial.9.0.nearby_pair_difference_rmse,0.13729904728984493
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.0907383755719547
spatial.24.0.sampled_center_jaccard,0.3361553631553632
spatial.24.0.nearby_pair_difference_rmse,0.23256923582534966
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.16630944145959756
spatial.48.0.sampled_center_jaccard,0.3050152609474643
spatial.48.0.nearby_pair_difference_rmse,0.31725451714340575
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.26911571055814054
spatial.96.0.sampled_center_jaccard,0.26613043158901145
spatial.96.0.nearby_pair_difference_rmse,0.37928729610354345
spatial.96.0.nearby_pairs,16736
test_event_nll,0.95970367746277
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,7168
training.head_warmup_updates,1717
