metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.010127853331345776
classification.0.75.brier,0.002226272653344308
classification.0.75.average_precision,0.16059846806415548
classification.0.75.threshold,0.013218075037002563
classification.0.75.recall,0.8944987152705588
classification.0.75.false_positive_rate,0.04179965143586834
classification.0.75.precision,0.05014949375674996
classification.0.75.auroc,0.9635099963167396
classification.0.75.f1,0.09497431384128087
classification.0.75.balanced_accuracy,0.9263495319173454
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0004432338915833599
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.029100295597409873
classification.3.0.brier,0.007386876138230533
classification.3.0.average_precision,0.2629941484194757
classification.3.0.threshold,0.06259455531835556
classification.3.0.recall,0.7764813092389908
classification.3.0.false_positive_rate,0.03830472585400256
classification.3.0.precision,0.15318835980063739
classification.3.0.auroc,0.9611806027757867
classification.3.0.f1,0.2558928233101304
classification.3.0.balanced_accuracy,0.8690882916924942
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.002178304424887351
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07928430607627965
classification.9.0.brier,0.02160721455031194
classification.9.0.average_precision,0.45439381120124467
classification.9.0.threshold,0.21332412958145142
classification.9.0.recall,0.6672031873108357
classification.9.0.false_positive_rate,0.03682165955943392
classification.9.0.precision,0.36883701517003675
classification.9.0.auroc,0.9380772618393103
classification.9.0.f1,0.4750573028544361
classification.9.0.balanced_accuracy,0.8151907638757008
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.006572247641467416
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.20683224931152397
classification.24.0.brier,0.0565412843572587
classification.24.0.average_precision,0.5411644472277736
classification.24.0.threshold,0.3544195592403412
classification.24.0.recall,0.5590752108091106
classification.24.0.false_positive_rate,0.04344329460158912
classification.24.0.precision,0.5635308865677993
classification.24.0.auroc,0.8514601947571215
classification.24.0.f1,0.5612942062964026
classification.24.0.balanced_accuracy,0.7578159581037607
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.01161884423561109
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3949036264335898
classification.48.0.brier,0.12011286371314255
classification.48.0.average_precision,0.5313244907072081
classification.48.0.threshold,0.42479950189590454
classification.48.0.recall,0.40922392756208664
classification.48.0.false_positive_rate,0.049352560789897595
classification.48.0.precision,0.6580987522861592
classification.48.0.auroc,0.746513910688962
classification.48.0.f1,0.5046454295762586
classification.48.0.balanced_accuracy,0.6799356833860944
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.030096224611506107
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6066154244186303
classification.96.0.brier,0.21305512204907853
classification.96.0.average_precision,0.5966124990953205
classification.96.0.threshold,0.6350966691970825
classification.96.0.recall,0.27940306014354777
classification.96.0.false_positive_rate,0.06516497981866824
classification.96.0.precision,0.7135897516069168
classification.96.0.auroc,0.6838934663075684
classification.96.0.f1,0.40157221266199894
classification.96.0.balanced_accuracy,0.6071190401624401
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11022459309723288
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,6
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9117647058823529
timing.0.75.alarm_episodes,611
timing.0.75.false_alarm_episodes,591
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,20
timing.0.75.missed_event_centers,48
timing.0.75.event_recall,0.29411764705882354
timing.0.75.false_alarms_per_sampled_center_ns,4.4384364086966315
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,64
timing.3.0.detected_window_timing_mae_ps,0.7487919996058588
timing.3.0.detected_window_timing_bias_ps,-0.3643888154195128
timing.3.0.timed_within_3ps_recall,0.7664233576642335
timing.3.0.alarm_episodes,691
timing.3.0.false_alarm_episodes,614
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,77
timing.3.0.missed_event_centers,197
timing.3.0.event_recall,0.28102189781021897
timing.3.0.false_alarms_per_sampled_center_ns,4.611167436446247
timing.3.0.mean_detected_lead_ps,2.0259740259740258
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,348
timing.9.0.detected_window_timing_mae_ps,1.9255706466238915
timing.9.0.detected_window_timing_bias_ps,-0.4599976805969094
timing.9.0.timed_within_3ps_recall,0.5174537987679672
timing.9.0.alarm_episodes,779
timing.9.0.false_alarm_episodes,595
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,184
timing.9.0.missed_event_centers,194
timing.9.0.event_recall,0.48677248677248675
timing.9.0.false_alarms_per_sampled_center_ns,4.4684765874356955
timing.9.0.mean_detected_lead_ps,5.233695652173913
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1291
timing.24.0.detected_window_timing_mae_ps,4.632997236091214
timing.24.0.detected_window_timing_bias_ps,-0.5602003748331313
timing.24.0.timed_within_3ps_recall,0.20187304890738814
timing.24.0.alarm_episodes,1117
timing.24.0.false_alarm_episodes,657
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,341
timing.24.0.missed_event_centers,56
timing.24.0.event_recall,0.8589420654911839
timing.24.0.false_alarms_per_sampled_center_ns,4.93409935789118
timing.24.0.mean_detected_lead_ps,15.32991202346041
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3492
timing.48.0.detected_window_timing_mae_ps,8.817775167028218
timing.48.0.detected_window_timing_bias_ps,-0.4662109901325356
timing.48.0.timed_within_3ps_recall,0.08430329231792484
timing.48.0.alarm_episodes,1320
timing.48.0.false_alarm_episodes,582
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,386
timing.48.0.missed_event_centers,16
timing.48.0.event_recall,0.9601990049751243
timing.48.0.false_alarms_per_sampled_center_ns,4.370846006533739
timing.48.0.mean_detected_lead_ps,26.84261658031088
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8693
timing.96.0.detected_window_timing_mae_ps,16.76927564261702
timing.96.0.detected_window_timing_bias_ps,-0.85188740031796
timing.96.0.timed_within_3ps_recall,0.030263049393914405
timing.96.0.alarm_episodes,2225
timing.96.0.false_alarm_episodes,1037
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,400
timing.96.0.missed_event_centers,9
timing.96.0.event_recall,0.9779951100244498
timing.96.0.false_alarms_per_sampled_center_ns,7.787916338102212
timing.96.0.mean_detected_lead_ps,50.26875
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.006801814882527439
spatial.0.75.sampled_center_jaccard,0.03758069996602106
spatial.0.75.nearby_pair_difference_rmse,0.03890124229755198
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.021941628118330194
spatial.3.0.sampled_center_jaccard,0.12411535739561216
spatial.3.0.nearby_pair_difference_rmse,0.08130208021854057
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.05058108723783358
spatial.9.0.sampled_center_jaccard,0.25295209481642117
spatial.9.0.nearby_pair_difference_rmse,0.1428637770036108
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.1054170972092612
spatial.24.0.sampled_center_jaccard,0.28776392516132593
spatial.24.0.nearby_pair_difference_rmse,0.23938486540869144
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.18615765612406782
spatial.48.0.sampled_center_jaccard,0.2748516511041814
spatial.48.0.nearby_pair_difference_rmse,0.3172688444995419
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2898110496662722
spatial.96.0.sampled_center_jaccard,0.22605899885819333
spatial.96.0.nearby_pair_difference_rmse,0.3742394774261637
spatial.96.0.nearby_pairs,16736
test_event_nll,1.0007209358389142
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,7168
training.head_warmup_updates,1717
