metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009699415384988124
classification.0.75.brier,0.0021463657141965547
classification.0.75.average_precision,0.2480207665533614
classification.0.75.threshold,0.010454247705638409
classification.0.75.recall,0.7996202646414007
classification.0.75.false_positive_rate,0.041683189911116
classification.0.75.precision,0.045190168519925335
classification.0.75.auroc,0.972519009229227
classification.0.75.f1,0.08554575817884535
classification.0.75.balanced_accuracy,0.8789685373651425
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0005370728814245923
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.027230400505988333
classification.3.0.brier,0.006954061888963177
classification.3.0.average_precision,0.36058261644470324
classification.3.0.threshold,0.05298146605491638
classification.3.0.recall,0.7959729929064743
classification.3.0.false_positive_rate,0.04095888805606311
classification.3.0.precision,0.14779349478588144
classification.3.0.auroc,0.9667228548405727
classification.3.0.f1,0.24929817261147136
classification.3.0.balanced_accuracy,0.8775070524252055
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0025996894503624874
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07164441885592028
classification.9.0.brier,0.0202102206788101
classification.9.0.average_precision,0.5245812796844515
classification.9.0.threshold,0.20199887454509735
classification.9.0.recall,0.7513854812347983
classification.9.0.false_positive_rate,0.03890674867785688
classification.9.0.precision,0.3837960827900669
classification.9.0.auroc,0.9542796607123616
classification.9.0.f1,0.5080752075302877
classification.9.0.balanced_accuracy,0.8562393662784706
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.006348633473243064
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18492269532485636
classification.24.0.brier,0.05103932279536498
classification.24.0.average_precision,0.6081294059200884
classification.24.0.threshold,0.3954259753227234
classification.24.0.recall,0.6233903471321685
classification.24.0.false_positive_rate,0.040530003850713724
classification.24.0.precision,0.6067824691619405
classification.24.0.auroc,0.8862543151659799
classification.24.0.f1,0.6149743012922205
classification.24.0.balanced_accuracy,0.7914301716407274
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.010621028424357904
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3694639462514899
classification.48.0.brier,0.11089473238388851
classification.48.0.average_precision,0.5847256004163859
classification.48.0.threshold,0.4312932789325714
classification.48.0.recall,0.47495067373373495
classification.48.0.false_positive_rate,0.05152578293636373
classification.48.0.precision,0.6815032684215652
classification.48.0.auroc,0.782627973862963
classification.48.0.f1,0.5597809384182075
classification.48.0.balanced_accuracy,0.7117124453986854
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.03456978008252511
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5835352369129875
classification.96.0.brier,0.20294232416346872
classification.96.0.average_precision,0.6331405576694358
classification.96.0.threshold,0.6400834918022156
classification.96.0.recall,0.31540435135804773
classification.96.0.false_positive_rate,0.05448909100992475
classification.96.0.precision,0.7708301751604645
classification.96.0.auroc,0.7107553137780152
classification.96.0.f1,0.4476440132738749
classification.96.0.balanced_accuracy,0.630457630174062
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.10139454417738143
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,14
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.7941176470588235
timing.0.75.alarm_episodes,627
timing.0.75.false_alarm_episodes,614
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,13
timing.0.75.missed_event_centers,55
timing.0.75.event_recall,0.19117647058823528
timing.0.75.false_alarms_per_sampled_center_ns,4.611167436446247
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,56
timing.3.0.detected_window_timing_mae_ps,0.7474508387599763
timing.3.0.detected_window_timing_bias_ps,-0.3984138260317293
timing.3.0.timed_within_3ps_recall,0.7956204379562044
timing.3.0.alarm_episodes,646
timing.3.0.false_alarm_episodes,582
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,64
timing.3.0.missed_event_centers,210
timing.3.0.event_recall,0.23357664233576642
timing.3.0.false_alarms_per_sampled_center_ns,4.370846006533739
timing.3.0.mean_detected_lead_ps,2.0390625
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,267
timing.9.0.detected_window_timing_mae_ps,1.9126541088783608
timing.9.0.detected_window_timing_bias_ps,-0.46574206119259964
timing.9.0.timed_within_3ps_recall,0.5790554414784395
timing.9.0.alarm_episodes,656
timing.9.0.false_alarm_episodes,508
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,148
timing.9.0.missed_event_centers,230
timing.9.0.event_recall,0.3915343915343915
timing.9.0.false_alarms_per_sampled_center_ns,3.815102699861064
timing.9.0.mean_detected_lead_ps,5.503378378378378
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1094
timing.24.0.detected_window_timing_mae_ps,4.409011235932387
timing.24.0.detected_window_timing_bias_ps,-0.6539062491059288
timing.24.0.timed_within_3ps_recall,0.24314949705168226
timing.24.0.alarm_episodes,819
timing.24.0.false_alarm_episodes,457
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,300
timing.24.0.missed_event_centers,97
timing.24.0.event_recall,0.7556675062972292
timing.24.0.false_alarms_per_sampled_center_ns,3.4320904209380045
timing.24.0.mean_detected_lead_ps,15.52
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3102
timing.48.0.detected_window_timing_mae_ps,8.270936859227392
timing.48.0.detected_window_timing_bias_ps,-0.5113158357165989
timing.48.0.timed_within_3ps_recall,0.10824742268041238
timing.48.0.alarm_episodes,1074
timing.48.0.false_alarm_episodes,470
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,374
timing.48.0.missed_event_centers,28
timing.48.0.event_recall,0.9303482587064676
timing.48.0.false_alarms_per_sampled_center_ns,3.529721001839961
timing.48.0.mean_detected_lead_ps,26.43850267379679
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8283
timing.96.0.detected_window_timing_mae_ps,15.566191626043363
timing.96.0.detected_window_timing_bias_ps,-0.6646874213763312
timing.96.0.timed_within_3ps_recall,0.040570627525356645
timing.96.0.alarm_episodes,1460
timing.96.0.false_alarm_episodes,579
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,395
timing.96.0.missed_event_centers,14
timing.96.0.event_recall,0.9657701711491442
timing.96.0.false_alarms_per_sampled_center_ns,4.348315872479441
timing.96.0.mean_detected_lead_ps,42.573417721518986
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005686841203198284
spatial.0.75.sampled_center_jaccard,0.029456521739130433
spatial.0.75.nearby_pair_difference_rmse,0.038042903693647025
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.017784474601408938
spatial.3.0.sampled_center_jaccard,0.12103475880590847
spatial.3.0.nearby_pair_difference_rmse,0.07691631619457953
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04331914861906371
spatial.9.0.sampled_center_jaccard,0.27401327838827844
spatial.9.0.nearby_pair_difference_rmse,0.13572522393097694
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09172176176397205
spatial.24.0.sampled_center_jaccard,0.3380255787271377
spatial.24.0.nearby_pair_difference_rmse,0.2331070826714094
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.16677401850437193
spatial.48.0.sampled_center_jaccard,0.29914392512857985
spatial.48.0.nearby_pair_difference_rmse,0.3193284208826699
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.27007869648677596
spatial.96.0.sampled_center_jaccard,0.2568167241255477
spatial.96.0.nearby_pair_difference_rmse,0.38124860230884866
spatial.96.0.nearby_pairs,16736
test_event_nll,0.960266360929392
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,7168
training.head_warmup_updates,1717
