metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.00921474527946024
classification.0.75.brier,0.0020993001534772263
classification.0.75.average_precision,0.2898909722991986
classification.0.75.threshold,0.006672902498394251
classification.0.75.recall,0.8854419745945198
classification.0.75.false_positive_rate,0.04344656923447805
classification.0.75.precision,0.04787437376464518
classification.0.75.auroc,0.9742027470706999
classification.0.75.f1,0.09083732458596282
classification.0.75.balanced_accuracy,0.9209977026800209
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00029006531898859
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.0260580638043431
classification.3.0.brier,0.006700557610017829
classification.3.0.average_precision,0.38234317439514554
classification.3.0.threshold,0.04502743110060692
classification.3.0.recall,0.8353271912749962
classification.3.0.false_positive_rate,0.03823654113809556
classification.3.0.precision,0.16314964189791303
classification.3.0.auroc,0.9681293671588518
classification.3.0.f1,0.2729824620788263
classification.3.0.balanced_accuracy,0.8985453250684503
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0014606102099402175
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07089222713777804
classification.9.0.brier,0.020050770075546263
classification.9.0.average_precision,0.521555489983315
classification.9.0.threshold,0.20009733736515045
classification.9.0.recall,0.7305268804290616
classification.9.0.false_positive_rate,0.03662632850277943
classification.9.0.precision,0.39145055259524986
classification.9.0.auroc,0.9553604779522401
classification.9.0.f1,0.5097520549211326
classification.9.0.balanced_accuracy,0.8469502759631409
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.004231164686533607
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18344595509711042
classification.24.0.brier,0.05071260971939503
classification.24.0.average_precision,0.6116271937434358
classification.24.0.threshold,0.3786298930644989
classification.24.0.recall,0.6278527866557844
classification.24.0.false_positive_rate,0.041503265150467386
classification.24.0.precision,0.6028155923290301
classification.24.0.auroc,0.887478306558785
classification.24.0.f1,0.6150795063013623
classification.24.0.balanced_accuracy,0.7931747607526585
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.007073397264988458
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.36899160620429733
classification.48.0.brier,0.1106152029630788
classification.48.0.average_precision,0.5859905355913527
classification.48.0.threshold,0.4118153750896454
classification.48.0.recall,0.48132090577316283
classification.48.0.false_positive_rate,0.05179419331353763
classification.48.0.precision,0.6832647949174018
classification.48.0.auroc,0.778735629267149
classification.48.0.f1,0.5647839051733989
classification.48.0.balanced_accuracy,0.7147633562298125
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.02861425568301584
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.585352988742287
classification.96.0.brier,0.20390319905385965
classification.96.0.average_precision,0.6319408581626222
classification.96.0.threshold,0.6264346241950989
classification.96.0.recall,0.32281048790571804
classification.96.0.false_positive_rate,0.06026839802251782
classification.96.0.precision,0.7568354247625897
classification.96.0.auroc,0.7077357666074146
classification.96.0.f1,0.45258248072857277
classification.96.0.balanced_accuracy,0.6312710449416006
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.10170045014674102
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,7
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8970588235294118
timing.0.75.alarm_episodes,610
timing.0.75.false_alarm_episodes,596
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,14
timing.0.75.missed_event_centers,54
timing.0.75.event_recall,0.20588235294117646
timing.0.75.false_alarms_per_sampled_center_ns,4.475986632120461
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,48
timing.3.0.detected_window_timing_mae_ps,0.7219001668180671
timing.3.0.detected_window_timing_bias_ps,-0.3652237380663916
timing.3.0.timed_within_3ps_recall,0.8248175182481752
timing.3.0.alarm_episodes,600
timing.3.0.false_alarm_episodes,540
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,60
timing.3.0.missed_event_centers,214
timing.3.0.event_recall,0.21897810218978103
timing.3.0.false_alarms_per_sampled_center_ns,4.055424129773572
timing.3.0.mean_detected_lead_ps,2.025
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,282
timing.9.0.detected_window_timing_mae_ps,1.876053432129565
timing.9.0.detected_window_timing_bias_ps,-0.38627116180215637
timing.9.0.timed_within_3ps_recall,0.5770020533880903
timing.9.0.alarm_episodes,637
timing.9.0.false_alarm_episodes,482
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,155
timing.9.0.missed_event_centers,223
timing.9.0.event_recall,0.41005291005291006
timing.9.0.false_alarms_per_sampled_center_ns,3.6198415380571514
timing.9.0.mean_detected_lead_ps,5.5209677419354835
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1080
timing.24.0.detected_window_timing_mae_ps,4.4805431989806905
timing.24.0.detected_window_timing_bias_ps,-0.3891069856483619
timing.24.0.timed_within_3ps_recall,0.2351716961498439
timing.24.0.alarm_episodes,800
timing.24.0.false_alarm_episodes,447
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,298
timing.24.0.missed_event_centers,99
timing.24.0.event_recall,0.7506297229219143
timing.24.0.false_alarms_per_sampled_center_ns,3.3569899740903457
timing.24.0.mean_detected_lead_ps,15.208892617449665
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3060
timing.48.0.detected_window_timing_mae_ps,8.486738825122622
timing.48.0.detected_window_timing_bias_ps,-0.0728826719805002
timing.48.0.timed_within_3ps_recall,0.09810442301296973
timing.48.0.alarm_episodes,991
timing.48.0.false_alarm_episodes,403
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,371
timing.48.0.missed_event_centers,31
timing.48.0.event_recall,0.9228855721393034
timing.48.0.false_alarms_per_sampled_center_ns,3.0265480079606473
timing.48.0.mean_detected_lead_ps,26.16711590296496
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8181
timing.96.0.detected_window_timing_mae_ps,15.878449164054855
timing.96.0.detected_window_timing_bias_ps,-0.041801642562098194
timing.96.0.timed_within_3ps_recall,0.038426651274016656
timing.96.0.alarm_episodes,1642
timing.96.0.false_alarm_episodes,733
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,397
timing.96.0.missed_event_centers,12
timing.96.0.event_recall,0.9706601466992665
timing.96.0.false_alarms_per_sampled_center_ns,5.504862753933386
timing.96.0.mean_detected_lead_ps,44.214105793450884
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005089350362848314
spatial.0.75.sampled_center_jaccard,0.03362755278643129
spatial.0.75.nearby_pair_difference_rmse,0.03788735188535773
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.015954126262352212
spatial.3.0.sampled_center_jaccard,0.13493800746104892
spatial.3.0.nearby_pair_difference_rmse,0.07674023386008885
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04114631711130537
spatial.9.0.sampled_center_jaccard,0.2827716605494383
spatial.9.0.nearby_pair_difference_rmse,0.13537974990794271
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.08876869737514273
spatial.24.0.sampled_center_jaccard,0.33928111701724895
spatial.24.0.nearby_pair_difference_rmse,0.23109908802230897
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.1648077330976778
spatial.48.0.sampled_center_jaccard,0.31492800181367175
spatial.48.0.nearby_pair_difference_rmse,0.31607341061386934
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.26991018603368644
spatial.96.0.sampled_center_jaccard,0.26220997859333145
spatial.96.0.nearby_pair_difference_rmse,0.3791119188195158
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9615460286682459
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,7168
training.head_warmup_updates,1717
