metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009464688365135898
classification.0.75.brier,0.002114013710501859
classification.0.75.average_precision,0.26842658679356424
classification.0.75.threshold,0.003695722436532378
classification.0.75.recall,0.8934941914765481
classification.0.75.false_positive_rate,0.04512934716139015
classification.0.75.precision,0.04657199279845658
classification.0.75.auroc,0.9794052314557853
classification.0.75.f1,0.08852952216976154
classification.0.75.balanced_accuracy,0.9241824221575792
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0009200933312850536
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02610258897330197
classification.3.0.brier,0.006672982516184794
classification.3.0.average_precision,0.40643494610654296
classification.3.0.threshold,0.022459909319877625
classification.3.0.recall,0.8448890564698676
classification.3.0.false_positive_rate,0.042674352401578984
classification.3.0.precision,0.15015293443427735
classification.3.0.auroc,0.9693383727918032
classification.3.0.f1,0.25498938187540166
classification.3.0.balanced_accuracy,0.9011073520341444
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0023407951287623286
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07013168302768945
classification.9.0.brier,0.019855560194406402
classification.9.0.average_precision,0.534324983013303
classification.9.0.threshold,0.15290239453315735
classification.9.0.recall,0.7419788419419315
classification.9.0.false_positive_rate,0.03856290516096715
classification.9.0.precision,0.38291642051683994
classification.9.0.auroc,0.9563708845642491
classification.9.0.f1,0.5051419305200384
classification.9.0.balanced_accuracy,0.8517079683904821
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0028388065655256057
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18465242273827026
classification.24.0.brier,0.05091331285996259
classification.24.0.average_precision,0.60996280838317
classification.24.0.threshold,0.3572278320789337
classification.24.0.recall,0.6325793603771928
classification.24.0.false_positive_rate,0.042493081224361476
classification.24.0.precision,0.5989618754197394
classification.24.0.auroc,0.8888313634099965
classification.24.0.f1,0.6153117882377064
classification.24.0.balanced_accuracy,0.7950431395764157
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.009387131534558685
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3716887527877762
classification.48.0.brier,0.1121577985290224
classification.48.0.average_precision,0.587121465048208
classification.48.0.threshold,0.42900750041007996
classification.48.0.recall,0.47994986769914183
classification.48.0.false_positive_rate,0.053780488585797814
classification.48.0.precision,0.6744389421242101
classification.48.0.auroc,0.7850899265870983
classification.48.0.f1,0.5608108434335859
classification.48.0.balanced_accuracy,0.7130846895566718
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.038744707925497376
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.589478482586599
classification.96.0.brier,0.20682068437238504
classification.96.0.average_precision,0.6294537109191798
classification.96.0.threshold,0.6667289137840271
classification.96.0.recall,0.3144118461747214
classification.96.0.false_positive_rate,0.05828053475828888
classification.96.0.precision,0.7581540032882788
classification.96.0.auroc,0.7059692592242142
classification.96.0.f1,0.44449037786905027
classification.96.0.balanced_accuracy,0.6280656557082167
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11000222484514952
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,7
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8970588235294118
timing.0.75.alarm_episodes,594
timing.0.75.false_alarm_episodes,569
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,25
timing.0.75.missed_event_centers,43
timing.0.75.event_recall,0.36764705882352944
timing.0.75.false_alarms_per_sampled_center_ns,4.273215425631783
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,43
timing.3.0.detected_window_timing_mae_ps,0.7279476038061902
timing.3.0.detected_window_timing_bias_ps,-0.3381847886659573
timing.3.0.timed_within_3ps_recall,0.843065693430657
timing.3.0.alarm_episodes,654
timing.3.0.false_alarm_episodes,576
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,78
timing.3.0.missed_event_centers,196
timing.3.0.event_recall,0.2846715328467153
timing.3.0.false_alarms_per_sampled_center_ns,4.325785738425144
timing.3.0.mean_detected_lead_ps,1.9423076923076923
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,268
timing.9.0.detected_window_timing_mae_ps,1.9185461032622861
timing.9.0.detected_window_timing_bias_ps,0.08219006870388633
timing.9.0.timed_within_3ps_recall,0.5718685831622177
timing.9.0.alarm_episodes,670
timing.9.0.false_alarm_episodes,505
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,165
timing.9.0.missed_event_centers,213
timing.9.0.event_recall,0.4365079365079365
timing.9.0.false_alarms_per_sampled_center_ns,3.7925725658067666
timing.9.0.mean_detected_lead_ps,5.540909090909091
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1061
timing.24.0.detected_window_timing_mae_ps,4.630059860620201
timing.24.0.detected_window_timing_bias_ps,0.7393409170497447
timing.24.0.timed_within_3ps_recall,0.21921609434616718
timing.24.0.alarm_episodes,848
timing.24.0.false_alarm_episodes,484
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,302
timing.24.0.missed_event_centers,95
timing.24.0.event_recall,0.760705289672544
timing.24.0.false_alarms_per_sampled_center_ns,3.634861627426683
timing.24.0.mean_detected_lead_ps,15.253311258278146
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3074
timing.48.0.detected_window_timing_mae_ps,8.771314979261454
timing.48.0.detected_window_timing_bias_ps,1.1969369944515946
timing.48.0.timed_within_3ps_recall,0.08895909544396409
timing.48.0.alarm_episodes,1071
timing.48.0.false_alarm_episodes,478
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,373
timing.48.0.missed_event_centers,29
timing.48.0.event_recall,0.927860696517413
timing.48.0.false_alarms_per_sampled_center_ns,3.5898013593180877
timing.48.0.mean_detected_lead_ps,26.217828418230564
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8356
timing.96.0.detected_window_timing_mae_ps,15.812503844234394
timing.96.0.detected_window_timing_bias_ps,0.15734119609498767
timing.96.0.timed_within_3ps_recall,0.03397377752123361
timing.96.0.alarm_episodes,1685
timing.96.0.false_alarm_episodes,763
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,394
timing.96.0.missed_event_centers,15
timing.96.0.event_recall,0.9633251833740831
timing.96.0.false_alarms_per_sampled_center_ns,5.730164094476362
timing.96.0.mean_detected_lead_ps,46.370558375634516
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.00431984459300417
spatial.0.75.sampled_center_jaccard,0.0354310062274664
spatial.0.75.nearby_pair_difference_rmse,0.03839179230209294
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.013895110033008692
spatial.3.0.sampled_center_jaccard,0.1244856563314981
spatial.3.0.nearby_pair_difference_rmse,0.07815848858654234
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.040165125292782274
spatial.9.0.sampled_center_jaccard,0.2841430716430717
spatial.9.0.nearby_pair_difference_rmse,0.13504410980142906
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.0913558139890173
spatial.24.0.sampled_center_jaccard,0.3403513033728861
spatial.24.0.nearby_pair_difference_rmse,0.22908895987290662
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.170039098298713
spatial.48.0.sampled_center_jaccard,0.2955242403355611
spatial.48.0.nearby_pair_difference_rmse,0.3146603401349934
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.27194120261492977
spatial.96.0.sampled_center_jaccard,0.234873591699939
spatial.96.0.nearby_pair_difference_rmse,0.37780156775476204
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9649334412074707
training.sources,90
training.eligible_windows,109838
training.updates,20604
training.samples,1318056
training.complete_epochs,12
training.partial_epoch_updates,0
training.selected_step,12032
training.head_warmup_updates,1717
