metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009203691589086871
classification.0.75.brier,0.002101897216770943
classification.0.75.average_precision,0.28316486553637565
classification.0.75.threshold,0.007444989401847124
classification.0.75.recall,0.8969303031172325
classification.0.75.false_positive_rate,0.04252064995180247
classification.0.75.precision,0.04946858754123136
classification.0.75.auroc,0.9719962175045685
classification.0.75.f1,0.09376569574646763
classification.0.75.balanced_accuracy,0.9272048265827151
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00035401485372969
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02611367437429771
classification.3.0.brier,0.0067189919104383615
classification.3.0.average_precision,0.3853921465356538
classification.3.0.threshold,0.045779358595609665
classification.3.0.recall,0.8311819395202786
classification.3.0.false_positive_rate,0.03897877330101654
classification.3.0.precision,0.1598723961996004
classification.3.0.auroc,0.967901970493969
classification.3.0.f1,0.2681650108566754
classification.3.0.balanced_accuracy,0.8961015831096311
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0016094008344031904
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.0714231809515302
classification.9.0.brier,0.020074945833489333
classification.9.0.average_precision,0.526032672177798
classification.9.0.threshold,0.20108115673065186
classification.9.0.recall,0.7257482596660648
classification.9.0.false_positive_rate,0.036864044725407476
classification.9.0.precision,0.3883504992845393
classification.9.0.auroc,0.9532036669565004
classification.9.0.f1,0.5059599909467234
classification.9.0.balanced_accuracy,0.8444421074703286
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.005113734503649634
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18393345633094058
classification.24.0.brier,0.05092634582703424
classification.24.0.average_precision,0.6130159298594168
classification.24.0.threshold,0.3893066644668579
classification.24.0.recall,0.6223577380874254
classification.24.0.false_positive_rate,0.04123322138802887
classification.24.0.precision,0.6022736801459457
classification.24.0.auroc,0.8885788821968017
classification.24.0.f1,0.6121510189995651
classification.24.0.balanced_accuracy,0.7905622583496983
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.00902479085649606
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3700632623186469
classification.48.0.brier,0.1110621369976805
classification.48.0.average_precision,0.5878931846187104
classification.48.0.threshold,0.4405120313167572
classification.48.0.recall,0.4783663946003674
classification.48.0.false_positive_rate,0.05246221977686764
classification.48.0.precision,0.6791446781894007
classification.48.0.auroc,0.781830905503561
classification.48.0.f1,0.5613423469625786
classification.48.0.balanced_accuracy,0.7129520874117496
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.03425946892218505
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5882959649452467
classification.96.0.brier,0.20487133413736386
classification.96.0.average_precision,0.6329611996501763
classification.96.0.threshold,0.6523849368095398
classification.96.0.recall,0.31898397593502253
classification.96.0.false_positive_rate,0.055465553258247424
classification.96.0.precision,0.769684132767987
classification.96.0.auroc,0.7086119754178892
classification.96.0.f1,0.4510408689695715
classification.96.0.balanced_accuracy,0.631759211338388
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.10566783244422805
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,6
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9117647058823529
timing.0.75.alarm_episodes,611
timing.0.75.false_alarm_episodes,593
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,18
timing.0.75.missed_event_centers,50
timing.0.75.event_recall,0.2647058823529412
timing.0.75.false_alarms_per_sampled_center_ns,4.4534564980661635
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,50
timing.3.0.detected_window_timing_mae_ps,0.7281097119075811
timing.3.0.detected_window_timing_bias_ps,-0.36168981278637774
timing.3.0.timed_within_3ps_recall,0.8175182481751825
timing.3.0.alarm_episodes,635
timing.3.0.false_alarm_episodes,569
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,66
timing.3.0.missed_event_centers,208
timing.3.0.event_recall,0.24087591240875914
timing.3.0.false_alarms_per_sampled_center_ns,4.273215425631783
timing.3.0.mean_detected_lead_ps,1.9886363636363635
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,285
timing.9.0.detected_window_timing_mae_ps,1.8923379094871453
timing.9.0.detected_window_timing_bias_ps,-0.3713278169522358
timing.9.0.timed_within_3ps_recall,0.5616016427104723
timing.9.0.alarm_episodes,667
timing.9.0.false_alarm_episodes,502
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,165
timing.9.0.missed_event_centers,213
timing.9.0.event_recall,0.4365079365079365
timing.9.0.false_alarms_per_sampled_center_ns,3.770042431752469
timing.9.0.mean_detected_lead_ps,5.4
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1095
timing.24.0.detected_window_timing_mae_ps,4.4430638167203425
timing.24.0.detected_window_timing_bias_ps,-0.3344375330997794
timing.24.0.timed_within_3ps_recall,0.23829344432882413
timing.24.0.alarm_episodes,834
timing.24.0.false_alarm_episodes,474
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,299
timing.24.0.missed_event_centers,98
timing.24.0.event_recall,0.7531486146095718
timing.24.0.false_alarms_per_sampled_center_ns,3.5597611805790246
timing.24.0.mean_detected_lead_ps,15.228260869565217
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3085
timing.48.0.detected_window_timing_mae_ps,8.44139368612082
timing.48.0.detected_window_timing_bias_ps,0.0011449670910952143
timing.48.0.timed_within_3ps_recall,0.10076488194213502
timing.48.0.alarm_episodes,1050
timing.48.0.false_alarm_episodes,449
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,376
timing.48.0.missed_event_centers,26
timing.48.0.event_recall,0.9353233830845771
timing.48.0.false_alarms_per_sampled_center_ns,3.3720100634598777
timing.48.0.mean_detected_lead_ps,26.064494680851062
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8265
timing.96.0.detected_window_timing_mae_ps,15.819563056387969
timing.96.0.detected_window_timing_bias_ps,-0.38173802676665336
timing.96.0.timed_within_3ps_recall,0.03949863939968665
timing.96.0.alarm_episodes,1515
timing.96.0.false_alarm_episodes,622
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,398
timing.96.0.missed_event_centers,11
timing.96.0.event_recall,0.9731051344743277
timing.96.0.false_alarms_per_sampled_center_ns,4.6712477939243735
timing.96.0.mean_detected_lead_ps,44.67022613065327
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005226442328610778
spatial.0.75.sampled_center_jaccard,0.03703900709219858
spatial.0.75.nearby_pair_difference_rmse,0.038099608311339246
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.01653906260646806
spatial.3.0.sampled_center_jaccard,0.12793164885001618
spatial.3.0.nearby_pair_difference_rmse,0.07683769142938086
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.042258234433844945
spatial.9.0.sampled_center_jaccard,0.2799581457790413
spatial.9.0.nearby_pair_difference_rmse,0.13591994167462285
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09090635487963084
spatial.24.0.sampled_center_jaccard,0.33150895965003235
spatial.24.0.nearby_pair_difference_rmse,0.23270778657324723
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.1667668280021642
spatial.48.0.sampled_center_jaccard,0.29928270685884895
spatial.48.0.nearby_pair_difference_rmse,0.3183813968644538
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2716625685660657
spatial.96.0.sampled_center_jaccard,0.256621113736724
spatial.96.0.nearby_pair_difference_rmse,0.37999436632845957
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9641835194084338
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,7168
training.head_warmup_updates,1717
