metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009606668324607976
classification.0.75.brier,0.002133217330009424
classification.0.75.average_precision,0.2524468553903946
classification.0.75.threshold,0.005583005491644144
classification.0.75.recall,0.8681084238048328
classification.0.75.false_positive_rate,0.04236080711127706
classification.0.75.precision,0.04812744256224471
classification.0.75.auroc,0.9794954446795977
classification.0.75.f1,0.0911988710289788
classification.0.75.balanced_accuracy,0.912873808346778
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00020475665620127545
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.026955738995322494
classification.3.0.brier,0.006925347471108396
classification.3.0.average_precision,0.3619913122289044
classification.3.0.threshold,0.03495735302567482
classification.3.0.recall,0.8155774249054464
classification.3.0.false_positive_rate,0.038997158063014264
classification.3.0.precision,0.15728071324343904
classification.3.0.auroc,0.9702728982760224
classification.3.0.f1,0.26370668870273645
classification.3.0.balanced_accuracy,0.8882901334212161
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0018021227697135993
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07335204011354601
classification.9.0.brier,0.02049277912887548
classification.9.0.average_precision,0.5117012599131758
classification.9.0.threshold,0.13770481944084167
classification.9.0.recall,0.6890361758124941
classification.9.0.false_positive_rate,0.037433365805739464
classification.9.0.precision,0.37250474823727125
classification.9.0.auroc,0.950155436709764
classification.9.0.f1,0.4835786193116612
classification.9.0.balanced_accuracy,0.8258014050033773
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.004379068234215344
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.1905108177114271
classification.24.0.brier,0.05255126748073011
classification.24.0.average_precision,0.5902777704633678
classification.24.0.threshold,0.29192906618118286
classification.24.0.recall,0.628173959232638
classification.24.0.false_positive_rate,0.04651811564945101
classification.24.0.precision,0.5753351203065178
classification.24.0.auroc,0.8794276073620388
classification.24.0.f1,0.600594622097777
classification.24.0.balanced_accuracy,0.7908279217915934
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.00946653324662515
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.38231318432866074
classification.48.0.brier,0.11535881318221716
classification.48.0.average_precision,0.5672322980267624
classification.48.0.threshold,0.37515318393707275
classification.48.0.recall,0.467647812850818
classification.48.0.false_positive_rate,0.05710197739506512
classification.48.0.precision,0.6553041243830021
classification.48.0.auroc,0.7696444863847967
classification.48.0.f1,0.5457963611064542
classification.48.0.balanced_accuracy,0.7052729177278763
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.03632984090373627
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5999449223668493
classification.96.0.brier,0.20980386710793603
classification.96.0.average_precision,0.6247047129255755
classification.96.0.threshold,0.663859486579895
classification.96.0.recall,0.3133746945510696
classification.96.0.false_positive_rate,0.06655924791175936
classification.96.0.precision,0.7323261851511015
classification.96.0.auroc,0.704886947708772
classification.96.0.f1,0.4389256986162989
classification.96.0.balanced_accuracy,0.6234077233196555
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11204328044674614
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,8
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8823529411764706
timing.0.75.alarm_episodes,626
timing.0.75.false_alarm_episodes,606
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,20
timing.0.75.missed_event_centers,48
timing.0.75.event_recall,0.29411764705882354
timing.0.75.false_alarms_per_sampled_center_ns,4.55108707896812
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,53
timing.3.0.detected_window_timing_mae_ps,0.7592582360644395
timing.3.0.detected_window_timing_bias_ps,-0.3773472099546336
timing.3.0.timed_within_3ps_recall,0.8065693430656934
timing.3.0.alarm_episodes,638
timing.3.0.false_alarm_episodes,566
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,72
timing.3.0.missed_event_centers,202
timing.3.0.event_recall,0.26277372262773724
timing.3.0.false_alarms_per_sampled_center_ns,4.250685291577485
timing.3.0.mean_detected_lead_ps,1.9895833333333333
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,326
timing.9.0.detected_window_timing_mae_ps,1.9476816552647747
timing.9.0.detected_window_timing_bias_ps,-0.41503215816994854
timing.9.0.timed_within_3ps_recall,0.5205338809034907
timing.9.0.alarm_episodes,677
timing.9.0.false_alarm_episodes,503
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,174
timing.9.0.missed_event_centers,204
timing.9.0.event_recall,0.4603174603174603
timing.9.0.false_alarms_per_sampled_center_ns,3.7775524764372346
timing.9.0.mean_detected_lead_ps,5.155172413793103
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1087
timing.24.0.detected_window_timing_mae_ps,4.645788946551176
timing.24.0.detected_window_timing_bias_ps,0.520776845932862
timing.24.0.timed_within_3ps_recall,0.22892819979188345
timing.24.0.alarm_episodes,889
timing.24.0.false_alarm_episodes,511
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,316
timing.24.0.missed_event_centers,81
timing.24.0.event_recall,0.7959697732997482
timing.24.0.false_alarms_per_sampled_center_ns,3.837632833915362
timing.24.0.mean_detected_lead_ps,14.871835443037975
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3161
timing.48.0.detected_window_timing_mae_ps,8.953720348080244
timing.48.0.detected_window_timing_bias_ps,1.7809460822741463
timing.48.0.timed_within_3ps_recall,0.08995676754240106
timing.48.0.alarm_episodes,1164
timing.48.0.false_alarm_episodes,578
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,373
timing.48.0.missed_event_centers,29
timing.48.0.event_recall,0.927860696517413
timing.48.0.false_alarms_per_sampled_center_ns,4.340805827794675
timing.48.0.mean_detected_lead_ps,25.70308310991957
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8417
timing.96.0.detected_window_timing_mae_ps,16.56103435295517
timing.96.0.detected_window_timing_bias_ps,2.2417287073078827
timing.96.0.timed_within_3ps_recall,0.028448915642780574
timing.96.0.alarm_episodes,1985
timing.96.0.false_alarm_episodes,953
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,396
timing.96.0.missed_event_centers,13
timing.96.0.event_recall,0.9682151589242054
timing.96.0.false_alarms_per_sampled_center_ns,7.157072584581878
timing.96.0.mean_detected_lead_ps,49.0
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.004932815256265225
spatial.0.75.sampled_center_jaccard,0.034898030942334735
spatial.0.75.nearby_pair_difference_rmse,0.03783537926482409
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.01530640397974347
spatial.3.0.sampled_center_jaccard,0.13055555555555556
spatial.3.0.nearby_pair_difference_rmse,0.0773695761753343
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.03905920849373269
spatial.9.0.sampled_center_jaccard,0.26486604275621617
spatial.9.0.nearby_pair_difference_rmse,0.1356399033873353
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09020556519557371
spatial.24.0.sampled_center_jaccard,0.3232919372912519
spatial.24.0.nearby_pair_difference_rmse,0.2298261653839026
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.17349931170790586
spatial.48.0.sampled_center_jaccard,0.27788363290530915
spatial.48.0.nearby_pair_difference_rmse,0.3136773016543662
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.27292885426171515
spatial.96.0.sampled_center_jaccard,0.22845233966952344
spatial.96.0.nearby_pair_difference_rmse,0.3804426729364978
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9831775350162271
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,6144
training.head_warmup_updates,1717
