metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009481220381078232
classification.0.75.brier,0.002111073777040758
classification.0.75.average_precision,0.2514205308151737
classification.0.75.threshold,0.009300394915044308
classification.0.75.recall,0.8480743703263633
classification.0.75.false_positive_rate,0.04251847799473281
classification.0.75.precision,0.04690268535362227
classification.0.75.auroc,0.9703779372343924
classification.0.75.f1,0.08888935218046905
classification.0.75.balanced_accuracy,0.9027779461658153
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.000397376162575435
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.027036838569226496
classification.3.0.brier,0.006862822194869822
classification.3.0.average_precision,0.3537765867076864
classification.3.0.threshold,0.047104448080062866
classification.3.0.recall,0.8077929327824679
classification.3.0.false_positive_rate,0.03938421482978243
classification.3.0.precision,0.1547176792757846
classification.3.0.auroc,0.9667805364187416
classification.3.0.f1,0.2596955219604775
classification.3.0.balanced_accuracy,0.8842043589763426
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.001481152294045213
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07302231907389092
classification.9.0.brier,0.020430779166506097
classification.9.0.average_precision,0.5126400169316773
classification.9.0.threshold,0.20441418886184692
classification.9.0.recall,0.7090226816741095
classification.9.0.false_positive_rate,0.036873904267305684
classification.9.0.precision,0.38276366920438365
classification.9.0.auroc,0.9519937740609719
classification.9.0.f1,0.4971451107963469
classification.9.0.balanced_accuracy,0.8360743887034019
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.004950472713809098
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18749765775254934
classification.24.0.brier,0.051649237438130394
classification.24.0.average_precision,0.5985324464417937
classification.24.0.threshold,0.3866457939147949
classification.24.0.recall,0.6178353460220759
classification.24.0.false_positive_rate,0.04068878550198958
classification.24.0.precision,0.6037097202361321
classification.24.0.auroc,0.8828202805239735
classification.24.0.f1,0.6106908606188726
classification.24.0.balanced_accuracy,0.7885732802600431
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.009082554575040671
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3764991734112018
classification.48.0.brier,0.11268760795465267
classification.48.0.average_precision,0.5740277626384278
classification.48.0.threshold,0.4579642713069916
classification.48.0.recall,0.47332686726859163
classification.48.0.false_positive_rate,0.05301050919192284
classification.48.0.precision,0.6745542283537456
classification.48.0.auroc,0.7676434751351693
classification.48.0.f1,0.556302636095521
classification.48.0.balanced_accuracy,0.7101581790383342
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.03471803125518057
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.591427200299404
classification.96.0.brier,0.20543749157052038
classification.96.0.average_precision,0.6267118972255604
classification.96.0.threshold,0.6404471397399902
classification.96.0.recall,0.3150147913997732
classification.96.0.false_positive_rate,0.05486877037874517
classification.96.0.precision,0.7693820227007234
classification.96.0.auroc,0.7010093197685809
classification.96.0.f1,0.44700743166392776
classification.96.0.balanced_accuracy,0.6300730105105145
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1025313345738681
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,9
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8676470588235294
timing.0.75.alarm_episodes,581
timing.0.75.false_alarm_episodes,560
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,21
timing.0.75.missed_event_centers,47
timing.0.75.event_recall,0.3088235294117647
timing.0.75.false_alarms_per_sampled_center_ns,4.2056250234688894
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,55
timing.3.0.detected_window_timing_mae_ps,0.7360343457210298
timing.3.0.detected_window_timing_bias_ps,-0.39048629009405533
timing.3.0.timed_within_3ps_recall,0.7992700729927007
timing.3.0.alarm_episodes,638
timing.3.0.false_alarm_episodes,563
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,75
timing.3.0.missed_event_centers,199
timing.3.0.event_recall,0.2737226277372263
timing.3.0.false_alarms_per_sampled_center_ns,4.2281551575231875
timing.3.0.mean_detected_lead_ps,1.97
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,299
timing.9.0.detected_window_timing_mae_ps,1.9142354188614363
timing.9.0.detected_window_timing_bias_ps,-0.28083180565289795
timing.9.0.timed_within_3ps_recall,0.5513347022587269
timing.9.0.alarm_episodes,655
timing.9.0.false_alarm_episodes,494
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,161
timing.9.0.missed_event_centers,217
timing.9.0.event_recall,0.42592592592592593
timing.9.0.false_alarms_per_sampled_center_ns,3.7099620742743418
timing.9.0.mean_detected_lead_ps,5.5062111801242235
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1120
timing.24.0.detected_window_timing_mae_ps,4.559293045365669
timing.24.0.detected_window_timing_bias_ps,-0.20196382405914437
timing.24.0.timed_within_3ps_recall,0.2247658688865765
timing.24.0.alarm_episodes,815
timing.24.0.false_alarm_episodes,457
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,299
timing.24.0.missed_event_centers,98
timing.24.0.event_recall,0.7531486146095718
timing.24.0.false_alarms_per_sampled_center_ns,3.4320904209380045
timing.24.0.mean_detected_lead_ps,14.909698996655518
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3127
timing.48.0.detected_window_timing_mae_ps,8.57522511086868
timing.48.0.detected_window_timing_bias_ps,0.25862495466255053
timing.48.0.timed_within_3ps_recall,0.0934486198869305
timing.48.0.alarm_episodes,1007
timing.48.0.false_alarm_episodes,418
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,375
timing.48.0.missed_event_centers,27
timing.48.0.event_recall,0.9328358208955224
timing.48.0.false_alarms_per_sampled_center_ns,3.1391986782321353
timing.48.0.mean_detected_lead_ps,25.516
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8309
timing.96.0.detected_window_timing_mae_ps,16.188606123608643
timing.96.0.detected_window_timing_bias_ps,-0.1398719236554188
timing.96.0.timed_within_3ps_recall,0.03628267502267667
timing.96.0.alarm_episodes,1392
timing.96.0.false_alarm_episodes,526
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,397
timing.96.0.missed_event_centers,12
timing.96.0.event_recall,0.9706601466992665
timing.96.0.false_alarms_per_sampled_center_ns,3.95028350418685
timing.96.0.mean_detected_lead_ps,42.708438287153655
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005657992287876407
spatial.0.75.sampled_center_jaccard,0.03412371134020618
spatial.0.75.nearby_pair_difference_rmse,0.03777813331214607
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.018156609560632538
spatial.3.0.sampled_center_jaccard,0.12444200512257592
spatial.3.0.nearby_pair_difference_rmse,0.07706132959238765
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04797228252795682
spatial.9.0.sampled_center_jaccard,0.2773650475554283
spatial.9.0.nearby_pair_difference_rmse,0.1369999033962784
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09833467372168334
spatial.24.0.sampled_center_jaccard,0.3241782033266749
spatial.24.0.nearby_pair_difference_rmse,0.23281496210265848
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.17628514607192358
spatial.48.0.sampled_center_jaccard,0.29754224410222396
spatial.48.0.nearby_pair_difference_rmse,0.3185310178996554
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2797934927094905
spatial.96.0.sampled_center_jaccard,0.2796276646793619
spatial.96.0.nearby_pair_difference_rmse,0.38050112404358705
spatial.96.0.nearby_pairs,16736
test_event_nll,0.970838570703369
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,7168
training.head_warmup_updates,1717
