metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009192597280474802
classification.0.75.brier,0.0021052662655074196
classification.0.75.average_precision,0.28213767351751123
classification.0.75.threshold,0.007143539842218161
classification.0.75.recall,0.9060254539992048
classification.0.75.false_positive_rate,0.0429769283638587
classification.0.75.precision,0.04944111819761482
classification.0.75.auroc,0.9772879266326057
classification.0.75.f1,0.09376552328404195
classification.0.75.balanced_accuracy,0.9315242628176732
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0003081509845660065
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.026216079504291237
classification.3.0.brier,0.006751423302560872
classification.3.0.average_precision,0.3795304252969806
classification.3.0.threshold,0.045544061809778214
classification.3.0.recall,0.8389856023911088
classification.3.0.false_positive_rate,0.0400473458039145
classification.3.0.precision,0.1575092949643841
classification.3.0.auroc,0.969007222254454
classification.3.0.f1,0.2652257047549129
classification.3.0.balanced_accuracy,0.8994691282935972
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0017639103209384623
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07126781682118329
classification.9.0.brier,0.020037300770791012
classification.9.0.average_precision,0.5310323038575585
classification.9.0.threshold,0.20174938440322876
classification.9.0.recall,0.7258752015211045
classification.9.0.false_positive_rate,0.03702976027546985
classification.9.0.precision,0.3873271378635668
classification.9.0.auroc,0.9525620914425383
classification.9.0.f1,0.5051214039070687
classification.9.0.balanced_accuracy,0.8444227206228172
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.005583953036390602
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.1835772436093435
classification.24.0.brier,0.050790365283323397
classification.24.0.average_precision,0.6141332144635102
classification.24.0.threshold,0.38040557503700256
classification.24.0.recall,0.6304361952625017
classification.24.0.false_positive_rate,0.04230113014787267
classification.24.0.precision,0.5992341752587131
classification.24.0.auroc,0.8891552957206266
classification.24.0.f1,0.614439320614416
classification.24.0.balanced_accuracy,0.7940675325573145
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.009009396228001397
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3699719951073634
classification.48.0.brier,0.11094504842625492
classification.48.0.average_precision,0.5875838328555181
classification.48.0.threshold,0.43569931387901306
classification.48.0.recall,0.4835232627534356
classification.48.0.false_positive_rate,0.05218328113173584
classification.48.0.precision,0.6826327667510622
classification.48.0.auroc,0.7810026447571974
classification.48.0.f1,0.5660800343880662
classification.48.0.balanced_accuracy,0.7156699908108497
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.03437216770113475
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5876732421242841
classification.96.0.brier,0.20470107905163462
classification.96.0.average_precision,0.6327397893821964
classification.96.0.threshold,0.6485877633094788
classification.96.0.recall,0.32205502072716374
classification.96.0.false_positive_rate,0.057723291880022135
classification.96.0.precision,0.7642659280900539
classification.96.0.auroc,0.7081107811537087
classification.96.0.f1,0.45315462171672094
classification.96.0.balanced_accuracy,0.6321658644235714
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.10667303729217552
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,6
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9117647058823529
timing.0.75.alarm_episodes,626
timing.0.75.false_alarm_episodes,610
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,16
timing.0.75.missed_event_centers,52
timing.0.75.event_recall,0.23529411764705882
timing.0.75.false_alarms_per_sampled_center_ns,4.581127257707183
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,48
timing.3.0.detected_window_timing_mae_ps,0.7304964993574345
timing.3.0.detected_window_timing_bias_ps,-0.35712318530241444
timing.3.0.timed_within_3ps_recall,0.8248175182481752
timing.3.0.alarm_episodes,637
timing.3.0.false_alarm_episodes,574
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,63
timing.3.0.missed_event_centers,211
timing.3.0.event_recall,0.22992700729927007
timing.3.0.false_alarms_per_sampled_center_ns,4.310765649055612
timing.3.0.mean_detected_lead_ps,2.0595238095238093
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,283
timing.9.0.detected_window_timing_mae_ps,1.912653389313648
timing.9.0.detected_window_timing_bias_ps,-0.3898771290251944
timing.9.0.timed_within_3ps_recall,0.5605749486652978
timing.9.0.alarm_episodes,658
timing.9.0.false_alarm_episodes,500
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,158
timing.9.0.missed_event_centers,220
timing.9.0.event_recall,0.41798941798941797
timing.9.0.false_alarms_per_sampled_center_ns,3.755022342382937
timing.9.0.mean_detected_lead_ps,5.511075949367089
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1075
timing.24.0.detected_window_timing_mae_ps,4.436387513254619
timing.24.0.detected_window_timing_bias_ps,-0.41914252349183234
timing.24.0.timed_within_3ps_recall,0.24661810613943808
timing.24.0.alarm_episodes,826
timing.24.0.false_alarm_episodes,471
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,294
timing.24.0.missed_event_centers,103
timing.24.0.event_recall,0.7405541561712846
timing.24.0.false_alarms_per_sampled_center_ns,3.537231046524727
timing.24.0.mean_detected_lead_ps,15.46938775510204
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3059
timing.48.0.detected_window_timing_mae_ps,8.440772099349191
timing.48.0.detected_window_timing_bias_ps,-0.09302606489876639
timing.48.0.timed_within_3ps_recall,0.09993348852677086
timing.48.0.alarm_episodes,1037
timing.48.0.false_alarm_episodes,445
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,373
timing.48.0.missed_event_centers,29
timing.48.0.event_recall,0.927860696517413
timing.48.0.false_alarms_per_sampled_center_ns,3.341969884720814
timing.48.0.mean_detected_lead_ps,26.384718498659517
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8231
timing.96.0.detected_window_timing_mae_ps,15.836070920802099
timing.96.0.detected_window_timing_bias_ps,-0.4601425918187121
timing.96.0.timed_within_3ps_recall,0.04032324565020203
timing.96.0.alarm_episodes,1577
timing.96.0.false_alarm_episodes,657
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,397
timing.96.0.missed_event_centers,12
timing.96.0.event_recall,0.9706601466992665
timing.96.0.false_alarms_per_sampled_center_ns,4.93409935789118
timing.96.0.mean_detected_lead_ps,44.90931989924433
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.00518239323793171
spatial.0.75.sampled_center_jaccard,0.034630213810024534
spatial.0.75.nearby_pair_difference_rmse,0.03815017875533422
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.016592898679456076
spatial.3.0.sampled_center_jaccard,0.12605105105105105
spatial.3.0.nearby_pair_difference_rmse,0.07706042522116112
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04237240279362339
spatial.9.0.sampled_center_jaccard,0.28551408551408547
spatial.9.0.nearby_pair_difference_rmse,0.13571446277268293
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09077582539728564
spatial.24.0.sampled_center_jaccard,0.3349255869182068
spatial.24.0.nearby_pair_difference_rmse,0.23191708074991615
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.16740413108957616
spatial.48.0.sampled_center_jaccard,0.3102333697966997
spatial.48.0.nearby_pair_difference_rmse,0.3178886814176041
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2727849877540613
spatial.96.0.sampled_center_jaccard,0.26302479071799917
spatial.96.0.nearby_pair_difference_rmse,0.3797572628695177
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9636785044146886
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,7168
training.head_warmup_updates,0
