metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009527170003296058
classification.0.75.brier,0.002162443692482695
classification.0.75.average_precision,0.20097193250256754
classification.0.75.threshold,0.006386819761246443
classification.0.75.recall,0.8648584951898347
classification.0.75.false_positive_rate,0.04167545725947312
classification.0.75.precision,0.048706129001300384
classification.0.75.auroc,0.9811202039458339
classification.0.75.f1,0.09221878413228377
classification.0.75.balanced_accuracy,0.9115915189651809
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00025031028464461263
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02620996621821446
classification.3.0.brier,0.006775731807979303
classification.3.0.average_precision,0.3661457287153587
classification.3.0.threshold,0.0358637310564518
classification.3.0.recall,0.8060474804695563
classification.3.0.false_positive_rate,0.03888361389666811
classification.3.0.precision,0.15611285714023954
classification.3.0.auroc,0.9717391213684525
classification.3.0.f1,0.2615663320302567
classification.3.0.balanced_accuracy,0.8835819332864442
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.001360068901280112
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07208811091867036
classification.9.0.brier,0.020304788305416804
classification.9.0.average_precision,0.5154421371748745
classification.9.0.threshold,0.1298632174730301
classification.9.0.recall,0.7262796809699471
classification.9.0.false_positive_rate,0.037189009336811935
classification.9.0.precision,0.38644135040397487
classification.9.0.auroc,0.9557834834145005
classification.9.0.f1,0.5044651674075873
classification.9.0.balanced_accuracy,0.8445453358165675
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.004430432325699056
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18844266309055258
classification.24.0.brier,0.05213008989420628
classification.24.0.average_precision,0.5961568030542259
classification.24.0.threshold,0.28505295515060425
classification.24.0.recall,0.6283155569459395
classification.24.0.false_positive_rate,0.04467691125815216
classification.24.0.precision,0.5852256142678965
classification.24.0.auroc,0.8806520409505731
classification.24.0.f1,0.6060055752372493
classification.24.0.balanced_accuracy,0.7918193228438937
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.008937138185685452
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3786462675963715
classification.48.0.brier,0.11381461168667019
classification.48.0.average_precision,0.5747395441938403
classification.48.0.threshold,0.34702202677726746
classification.48.0.recall,0.47721412376063915
classification.48.0.false_positive_rate,0.05552419423859341
classification.48.0.precision,0.6661241019007715
classification.48.0.auroc,0.773375722664934
classification.48.0.f1,0.5560626286600825
classification.48.0.balanced_accuracy,0.7108449647610227
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.034839610344628506
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5966719175366614
classification.96.0.brier,0.20868536200599483
classification.96.0.average_precision,0.628266740272289
classification.96.0.threshold,0.6341778635978699
classification.96.0.recall,0.3260411153459672
classification.96.0.false_positive_rate,0.06884809130178957
classification.96.0.precision,0.7334643131462931
classification.96.0.auroc,0.7053189154446763
classification.96.0.f1,0.4514172675169611
classification.96.0.balanced_accuracy,0.6285965120220893
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11376950268281055
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,8
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8823529411764706
timing.0.75.alarm_episodes,591
timing.0.75.false_alarm_episodes,574
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,17
timing.0.75.missed_event_centers,51
timing.0.75.event_recall,0.25
timing.0.75.false_alarms_per_sampled_center_ns,4.310765649055612
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,54
timing.3.0.detected_window_timing_mae_ps,0.7585216878500093
timing.3.0.detected_window_timing_bias_ps,-0.39571066679175365
timing.3.0.timed_within_3ps_recall,0.8029197080291971
timing.3.0.alarm_episodes,612
timing.3.0.false_alarm_episodes,538
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,74
timing.3.0.missed_event_centers,200
timing.3.0.event_recall,0.27007299270072993
timing.3.0.false_alarms_per_sampled_center_ns,4.040404040404041
timing.3.0.mean_detected_lead_ps,2.0878378378378377
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,282
timing.9.0.detected_window_timing_mae_ps,1.903318097658564
timing.9.0.detected_window_timing_bias_ps,-0.5266296117283813
timing.9.0.timed_within_3ps_recall,0.5605749486652978
timing.9.0.alarm_episodes,671
timing.9.0.false_alarm_episodes,511
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,160
timing.9.0.missed_event_centers,218
timing.9.0.event_recall,0.42328042328042326
timing.9.0.false_alarms_per_sampled_center_ns,3.837632833915362
timing.9.0.mean_detected_lead_ps,5.3578125
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1087
timing.24.0.detected_window_timing_mae_ps,4.559063412112282
timing.24.0.detected_window_timing_bias_ps,0.3229972264006974
timing.24.0.timed_within_3ps_recall,0.2428026361429067
timing.24.0.alarm_episodes,824
timing.24.0.false_alarm_episodes,459
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,302
timing.24.0.missed_event_centers,95
timing.24.0.event_recall,0.760705289672544
timing.24.0.false_alarms_per_sampled_center_ns,3.447110510307536
timing.24.0.mean_detected_lead_ps,15.121688741721854
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3083
timing.48.0.detected_window_timing_mae_ps,8.88959536489269
timing.48.0.detected_window_timing_bias_ps,1.6091702703320958
timing.48.0.timed_within_3ps_recall,0.08895909544396409
timing.48.0.alarm_episodes,1069
timing.48.0.false_alarm_episodes,471
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,372
timing.48.0.missed_event_centers,30
timing.48.0.event_recall,0.9253731343283582
timing.48.0.false_alarms_per_sampled_center_ns,3.537231046524727
timing.48.0.mean_detected_lead_ps,26.481854838709676
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8243
timing.96.0.detected_window_timing_mae_ps,16.860700341433272
timing.96.0.detected_window_timing_bias_ps,2.5330895994780804
timing.96.0.timed_within_3ps_recall,0.03281932877051208
timing.96.0.alarm_episodes,1927
timing.96.0.false_alarm_episodes,934
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,393
timing.96.0.missed_event_centers,16
timing.96.0.event_recall,0.960880195599022
timing.96.0.false_alarms_per_sampled_center_ns,7.014381735571327
timing.96.0.mean_detected_lead_ps,47.79007633587786
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.004913552558892545
spatial.0.75.sampled_center_jaccard,0.03572984749455337
spatial.0.75.nearby_pair_difference_rmse,0.03895245498238655
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.014840593525230941
spatial.3.0.sampled_center_jaccard,0.12848553175497934
spatial.3.0.nearby_pair_difference_rmse,0.07770677494589796
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.03770325630764353
spatial.9.0.sampled_center_jaccard,0.2794689911537737
spatial.9.0.nearby_pair_difference_rmse,0.1361350889478568
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.08601831526295764
spatial.24.0.sampled_center_jaccard,0.33392082628641767
spatial.24.0.nearby_pair_difference_rmse,0.2286850033667727
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.1689461237676463
spatial.48.0.sampled_center_jaccard,0.30202058704833684
spatial.48.0.nearby_pair_difference_rmse,0.31055540023619504
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2727371769205272
spatial.96.0.sampled_center_jaccard,0.23290394117134622
spatial.96.0.nearby_pair_difference_rmse,0.37594757199946316
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9770386353123144
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,6144
training.head_warmup_updates,0
