metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.00999733235616829
classification.0.75.brier,0.002156629641889371
classification.0.75.average_precision,0.24255508057273853
classification.0.75.threshold,0.01005092728883028
classification.0.75.recall,0.8523220266617682
classification.0.75.false_positive_rate,0.04155041558588395
classification.0.75.precision,0.04817161704213413
classification.0.75.auroc,0.972902947375668
classification.0.75.f1,0.09118938384961395
classification.0.75.balanced_accuracy,0.9053858055379422
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00026652504043228343
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02677293080142649
classification.3.0.brier,0.006750324344672047
classification.3.0.average_precision,0.38353853594459736
classification.3.0.threshold,0.05688849836587906
classification.3.0.recall,0.8010793121734917
classification.3.0.false_positive_rate,0.03778875980631392
classification.3.0.precision,0.15908378128858475
classification.3.0.auroc,0.9671612254515708
classification.3.0.f1,0.26545224860311945
classification.3.0.balanced_accuracy,0.8816452761835889
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.00181373548696226
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07317647185397053
classification.9.0.brier,0.020447348646739923
classification.9.0.average_precision,0.5073721157678
classification.9.0.threshold,0.20805491507053375
classification.9.0.recall,0.6981552769927838
classification.9.0.false_positive_rate,0.03612320503115675
classification.9.0.precision,0.383974651807823
classification.9.0.auroc,0.9503005158800895
classification.9.0.f1,0.4954560857368055
classification.9.0.balanced_accuracy,0.8310160359808134
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.003943091477836172
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18844442063096464
classification.24.0.brier,0.05202291804601794
classification.24.0.average_precision,0.5948602076165804
classification.24.0.threshold,0.36458820104599
classification.24.0.recall,0.6161675693097248
classification.24.0.false_positive_rate,0.04316371992454626
classification.24.0.precision,0.58884571343714
classification.24.0.auroc,0.8786390961633725
classification.24.0.f1,0.6021969004689087
classification.24.0.balanced_accuracy,0.7865019246925893
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.007706717798191654
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3735315555711464
classification.48.0.brier,0.11218965433116547
classification.48.0.average_precision,0.5749372731255612
classification.48.0.threshold,0.4005977213382721
classification.48.0.recall,0.4763009524679366
classification.48.0.false_positive_rate,0.05392842935513756
classification.48.0.precision,0.6721559456789342
classification.48.0.auroc,0.7727602085508496
classification.48.0.f1,0.5575281364941927
classification.48.0.balanced_accuracy,0.7111862615563994
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.025124124132240917
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5915841790956066
classification.96.0.brier,0.20631753580397796
classification.96.0.average_precision,0.6240687413224432
classification.96.0.threshold,0.6225130558013916
classification.96.0.recall,0.31830416635728964
classification.96.0.false_positive_rate,0.0597217442311404
classification.96.0.precision,0.7559239746081649
classification.96.0.auroc,0.7033127801004706
classification.96.0.f1,0.44797513934217265
classification.96.0.balanced_accuracy,0.6292912110630751
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1097810797655721
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,11
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8382352941176471
timing.0.75.alarm_episodes,572
timing.0.75.false_alarm_episodes,557
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,15
timing.0.75.missed_event_centers,53
timing.0.75.event_recall,0.22058823529411764
timing.0.75.false_alarms_per_sampled_center_ns,4.183094889414592
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,55
timing.3.0.detected_window_timing_mae_ps,0.760449694629466
timing.3.0.detected_window_timing_bias_ps,-0.4191265564610468
timing.3.0.timed_within_3ps_recall,0.7992700729927007
timing.3.0.alarm_episodes,586
timing.3.0.false_alarm_episodes,522
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,64
timing.3.0.missed_event_centers,210
timing.3.0.event_recall,0.23357664233576642
timing.3.0.false_alarms_per_sampled_center_ns,3.920243325447786
timing.3.0.mean_detected_lead_ps,2.0390625
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,308
timing.9.0.detected_window_timing_mae_ps,1.8967039441899325
timing.9.0.detected_window_timing_bias_ps,-0.41008164887328735
timing.9.0.timed_within_3ps_recall,0.5400410677618069
timing.9.0.alarm_episodes,646
timing.9.0.false_alarm_episodes,493
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,153
timing.9.0.missed_event_centers,225
timing.9.0.event_recall,0.40476190476190477
timing.9.0.false_alarms_per_sampled_center_ns,3.702452029589576
timing.9.0.mean_detected_lead_ps,5.235294117647059
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1102
timing.24.0.detected_window_timing_mae_ps,4.560768965190267
timing.24.0.detected_window_timing_bias_ps,-0.288662161214168
timing.24.0.timed_within_3ps_recall,0.23309053069719043
timing.24.0.alarm_episodes,809
timing.24.0.false_alarm_episodes,438
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,302
timing.24.0.missed_event_centers,95
timing.24.0.event_recall,0.760705289672544
timing.24.0.false_alarms_per_sampled_center_ns,3.289399571927453
timing.24.0.mean_detected_lead_ps,15.183774834437086
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3078
timing.48.0.detected_window_timing_mae_ps,8.59793381629632
timing.48.0.detected_window_timing_bias_ps,-0.03701850414616851
timing.48.0.timed_within_3ps_recall,0.09444629198536747
timing.48.0.alarm_episodes,980
timing.48.0.false_alarm_episodes,394
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,374
timing.48.0.missed_event_centers,28
timing.48.0.event_recall,0.9303482587064676
timing.48.0.false_alarms_per_sampled_center_ns,2.9589576057977545
timing.48.0.mean_detected_lead_ps,26.392379679144383
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8227
timing.96.0.detected_window_timing_mae_ps,16.223105604742674
timing.96.0.detected_window_timing_bias_ps,0.34285172828647126
timing.96.0.timed_within_3ps_recall,0.03603529314752206
timing.96.0.alarm_episodes,1601
timing.96.0.false_alarm_episodes,690
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,395
timing.96.0.missed_event_centers,14
timing.96.0.event_recall,0.9657701711491442
timing.96.0.false_alarms_per_sampled_center_ns,5.181930832488454
timing.96.0.mean_detected_lead_ps,45.61139240506329
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005366901117664564
spatial.0.75.sampled_center_jaccard,0.033665105386416865
spatial.0.75.nearby_pair_difference_rmse,0.03932409256341618
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.01696761547927087
spatial.3.0.sampled_center_jaccard,0.12825434573353717
spatial.3.0.nearby_pair_difference_rmse,0.07854376057384896
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04256484022224339
spatial.9.0.sampled_center_jaccard,0.2696512239433926
spatial.9.0.nearby_pair_difference_rmse,0.13818322885442766
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09176759673994428
spatial.24.0.sampled_center_jaccard,0.3372377251001786
spatial.24.0.nearby_pair_difference_rmse,0.23122874114176775
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.169802639699909
spatial.48.0.sampled_center_jaccard,0.3078043852406097
spatial.48.0.nearby_pair_difference_rmse,0.3146744441074933
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.27750463689187116
spatial.96.0.sampled_center_jaccard,0.25751213744025875
spatial.96.0.nearby_pair_difference_rmse,0.37644785117115304
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9716241313875399
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,7168
training.head_warmup_updates,0
