metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.00991635683758151
classification.0.75.brier,0.0021770963249134936
classification.0.75.average_precision,0.20343552792874964
classification.0.75.threshold,0.009974346496164799
classification.0.75.recall,0.7950880130454714
classification.0.75.false_positive_rate,0.04078394812292051
classification.0.75.precision,0.0458910650541165
classification.0.75.auroc,0.97349658254142
classification.0.75.f1,0.08677370622077986
classification.0.75.balanced_accuracy,0.8771520324612756
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.000649599403322678
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02756382938323752
classification.3.0.brier,0.006958004631106609
classification.3.0.average_precision,0.3340421241914105
classification.3.0.threshold,0.0428103543817997
classification.3.0.recall,0.7741285225769085
classification.3.0.false_positive_rate,0.03818550605384957
classification.3.0.precision,0.15319907459332444
classification.3.0.auroc,0.9677772721498705
classification.3.0.f1,0.25577966974557487
classification.3.0.balanced_accuracy,0.8679715082615294
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.001199666836031135
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07967206654074507
classification.9.0.brier,0.021172905620019163
classification.9.0.average_precision,0.4787810241514351
classification.9.0.threshold,0.13211539387702942
classification.9.0.recall,0.7013949087565806
classification.9.0.false_positive_rate,0.039997914399185465
classification.9.0.precision,0.3612428503074563
classification.9.0.auroc,0.9322179173306004
classification.9.0.f1,0.4768772686066326
classification.9.0.balanced_accuracy,0.8306984971786975
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.005787296130349107
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.22564348759776712
classification.24.0.brier,0.060615904652306304
classification.24.0.average_precision,0.49797887032065324
classification.24.0.threshold,0.2089608609676361
classification.24.0.recall,0.5452274901670948
classification.24.0.false_positive_rate,0.05361184961143102
classification.24.0.precision,0.5050273403247029
classification.24.0.auroc,0.8137068210985068
classification.24.0.f1,0.5243580533727457
classification.24.0.balanced_accuracy,0.745807820277832
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.020881636204073278
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4185149784549993
classification.48.0.brier,0.1294929245431885
classification.48.0.average_precision,0.48361121132806584
classification.48.0.threshold,0.329581081867218
classification.48.0.recall,0.4128673273792742
classification.48.0.false_positive_rate,0.10352895065219311
classification.48.0.precision,0.480718369645633
classification.48.0.auroc,0.7190230413928609
classification.48.0.f1,0.4442168426789006
classification.48.0.balanced_accuracy,0.6546691883635404
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.04119825607966769
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6213426158765974
classification.96.0.brier,0.22026356100383376
classification.96.0.average_precision,0.5711500481752179
classification.96.0.threshold,0.6342266798019409
classification.96.0.recall,0.27608773461642955
classification.96.0.false_positive_rate,0.09571111658098143
classification.96.0.precision,0.62633695465543
classification.96.0.auroc,0.6700736876884399
classification.96.0.f1,0.38324295195624264
classification.96.0.balanced_accuracy,0.5901883090177245
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.12227138993392454
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,13
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8088235294117647
timing.0.75.alarm_episodes,648
timing.0.75.false_alarm_episodes,629
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,19
timing.0.75.missed_event_centers,49
timing.0.75.event_recall,0.27941176470588236
timing.0.75.false_alarms_per_sampled_center_ns,4.723818106717735
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,64
timing.3.0.detected_window_timing_mae_ps,0.7773474727125458
timing.3.0.detected_window_timing_bias_ps,-0.4937266574669931
timing.3.0.timed_within_3ps_recall,0.7664233576642335
timing.3.0.alarm_episodes,638
timing.3.0.false_alarm_episodes,556
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,82
timing.3.0.missed_event_centers,192
timing.3.0.event_recall,0.29927007299270075
timing.3.0.false_alarms_per_sampled_center_ns,4.175584844729826
timing.3.0.mean_detected_lead_ps,1.9298780487804879
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,311
timing.9.0.detected_window_timing_mae_ps,1.944838916172097
timing.9.0.detected_window_timing_bias_ps,-0.4421559395968133
timing.9.0.timed_within_3ps_recall,0.5420944558521561
timing.9.0.alarm_episodes,689
timing.9.0.false_alarm_episodes,507
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,182
timing.9.0.missed_event_centers,196
timing.9.0.event_recall,0.48148148148148145
timing.9.0.false_alarms_per_sampled_center_ns,3.807592655176298
timing.9.0.mean_detected_lead_ps,5.225274725274725
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1279
timing.24.0.detected_window_timing_mae_ps,4.721084287696937
timing.24.0.detected_window_timing_bias_ps,0.16491462509060717
timing.24.0.timed_within_3ps_recall,0.19285466527922304
timing.24.0.alarm_episodes,1009
timing.24.0.false_alarm_episodes,632
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,324
timing.24.0.missed_event_centers,73
timing.24.0.event_recall,0.8161209068010076
timing.24.0.false_alarms_per_sampled_center_ns,4.746348240772033
timing.24.0.mean_detected_lead_ps,12.868055555555555
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3284
timing.48.0.detected_window_timing_mae_ps,9.399598995264377
timing.48.0.detected_window_timing_bias_ps,0.08467854803894785
timing.48.0.timed_within_3ps_recall,0.08180911207183239
timing.48.0.alarm_episodes,1987
timing.48.0.false_alarm_episodes,1416
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,360
timing.48.0.missed_event_centers,42
timing.48.0.event_recall,0.8955223880597015
timing.48.0.false_alarms_per_sampled_center_ns,10.634223273628479
timing.48.0.mean_detected_lead_ps,24.19375
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8721
timing.96.0.detected_window_timing_mae_ps,18.610524380436996
timing.96.0.detected_window_timing_bias_ps,-0.8447660695864223
timing.96.0.timed_within_3ps_recall,0.02308897501443061
timing.96.0.alarm_episodes,2297
timing.96.0.false_alarm_episodes,1334
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,377
timing.96.0.missed_event_centers,32
timing.96.0.event_recall,0.921760391198044
timing.96.0.false_alarms_per_sampled_center_ns,10.018399609477676
timing.96.0.mean_detected_lead_ps,46.66909814323608
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.006741989419756845
spatial.0.75.sampled_center_jaccard,0.03342013888888888
spatial.0.75.nearby_pair_difference_rmse,0.03993687350717258
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.019272580844010255
spatial.3.0.sampled_center_jaccard,0.12039957939011567
spatial.3.0.nearby_pair_difference_rmse,0.0809523834617257
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04805492291833593
spatial.9.0.sampled_center_jaccard,0.24741852414724758
spatial.9.0.nearby_pair_difference_rmse,0.13938633567583444
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.11638049338208163
spatial.24.0.sampled_center_jaccard,0.26883577818525306
spatial.24.0.nearby_pair_difference_rmse,0.2306306449205216
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.20476645416840597
spatial.48.0.sampled_center_jaccard,0.2383805539221294
spatial.48.0.nearby_pair_difference_rmse,0.3050939707852775
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3017494481930207
spatial.96.0.sampled_center_jaccard,0.19379807730217566
spatial.96.0.nearby_pair_difference_rmse,0.3668061259948692
spatial.96.0.nearby_pairs,16736
test_event_nll,1.0247883206468877
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,6912
training.head_warmup_updates,0
