metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.00983665044239542
classification.0.75.brier,0.002152717504628228
classification.0.75.average_precision,0.23834231521544172
classification.0.75.threshold,0.00832483172416687
classification.0.75.recall,0.8323190406244835
classification.0.75.false_positive_rate,0.04385770692198635
classification.0.75.precision,0.044727578114191154
classification.0.75.auroc,0.9717648387682991
classification.0.75.f1,0.08489312679638206
classification.0.75.balanced_accuracy,0.8942306668512487
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00045052952595146106
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02681526435206174
classification.3.0.brier,0.006760828475707078
classification.3.0.average_precision,0.38333202687029283
classification.3.0.threshold,0.050923656672239304
classification.3.0.recall,0.8078480384435762
classification.3.0.false_positive_rate,0.03725670860051201
classification.3.0.precision,0.16212960808178847
classification.3.0.auroc,0.9657216768272494
classification.3.0.f1,0.27006000876758063
classification.3.0.balanced_accuracy,0.8852956649215321
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.002095840270134004
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07307133334391543
classification.9.0.brier,0.020398622824049594
classification.9.0.average_precision,0.5104396698721454
classification.9.0.threshold,0.19860099256038666
classification.9.0.recall,0.7226474460015699
classification.9.0.false_positive_rate,0.03740967649091755
classification.9.0.precision,0.38385307742703983
classification.9.0.auroc,0.9507440373629938
classification.9.0.f1,0.501383307407699
classification.9.0.balanced_accuracy,0.8426188847553261
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.005339845018145984
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18956504610641844
classification.24.0.brier,0.05229313337890043
classification.24.0.average_precision,0.5961204456807294
classification.24.0.threshold,0.37454330921173096
classification.24.0.recall,0.620581922840369
classification.24.0.false_positive_rate,0.043617887052427855
classification.24.0.precision,0.5880396668050311
classification.24.0.auroc,0.8784380284776547
classification.24.0.f1,0.6038726930888975
classification.24.0.balanced_accuracy,0.7884820178939707
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.010978963641777651
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.37535807020612544
classification.48.0.brier,0.11272322352429247
classification.48.0.average_precision,0.5774674853584278
classification.48.0.threshold,0.4234325885772705
classification.48.0.recall,0.47093633838455734
classification.48.0.false_positive_rate,0.05269029990812679
classification.48.0.precision,0.6747727388899795
classification.48.0.auroc,0.7724238339515948
classification.48.0.f1,0.5547219782014872
classification.48.0.balanced_accuracy,0.7091230192382152
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.031028984824129198
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5931747418937288
classification.96.0.brier,0.20681003795804365
classification.96.0.average_precision,0.6277684896574063
classification.96.0.threshold,0.6333596110343933
classification.96.0.recall,0.3165644097761823
classification.96.0.false_positive_rate,0.059195861700849804
classification.96.0.precision,0.7565440797715587
classification.96.0.auroc,0.7046107240479529
classification.96.0.f1,0.4463573486097076
classification.96.0.balanced_accuracy,0.6286842740376666
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11256105018052712
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,12
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8235294117647058
timing.0.75.alarm_episodes,628
timing.0.75.false_alarm_episodes,614
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,14
timing.0.75.missed_event_centers,54
timing.0.75.event_recall,0.20588235294117646
timing.0.75.false_alarms_per_sampled_center_ns,4.611167436446247
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,58
timing.3.0.detected_window_timing_mae_ps,0.7566337998510996
timing.3.0.detected_window_timing_bias_ps,-0.40503132032272865
timing.3.0.timed_within_3ps_recall,0.7883211678832117
timing.3.0.alarm_episodes,606
timing.3.0.false_alarm_episodes,546
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,60
timing.3.0.missed_event_centers,214
timing.3.0.event_recall,0.21897810218978103
timing.3.0.false_alarms_per_sampled_center_ns,4.100484397882167
timing.3.0.mean_detected_lead_ps,2.05
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,294
timing.9.0.detected_window_timing_mae_ps,1.8964693749097181
timing.9.0.detected_window_timing_bias_ps,-0.4733003964861108
timing.9.0.timed_within_3ps_recall,0.555441478439425
timing.9.0.alarm_episodes,673
timing.9.0.false_alarm_episodes,517
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,156
timing.9.0.missed_event_centers,222
timing.9.0.event_recall,0.4126984126984127
timing.9.0.false_alarms_per_sampled_center_ns,3.882693102023957
timing.9.0.mean_detected_lead_ps,5.5673076923076925
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1104
timing.24.0.detected_window_timing_mae_ps,4.533419585329878
timing.24.0.detected_window_timing_bias_ps,-0.40981416142530996
timing.24.0.timed_within_3ps_recall,0.2278876170655567
timing.24.0.alarm_episodes,854
timing.24.0.false_alarm_episodes,491
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,296
timing.24.0.missed_event_centers,101
timing.24.0.event_recall,0.7455919395465995
timing.24.0.false_alarms_per_sampled_center_ns,3.687431940220044
timing.24.0.mean_detected_lead_ps,15.397804054054054
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3122
timing.48.0.detected_window_timing_mae_ps,8.507454736654656
timing.48.0.detected_window_timing_bias_ps,-0.3977032315845733
timing.48.0.timed_within_3ps_recall,0.0984369803791154
timing.48.0.alarm_episodes,1018
timing.48.0.false_alarm_episodes,420
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,374
timing.48.0.missed_event_centers,28
timing.48.0.event_recall,0.9303482587064676
timing.48.0.false_alarms_per_sampled_center_ns,3.1542187676016673
timing.48.0.mean_detected_lead_ps,26.274064171122994
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8275
timing.96.0.detected_window_timing_mae_ps,15.918308669954403
timing.96.0.detected_window_timing_bias_ps,-0.433351739249153
timing.96.0.timed_within_3ps_recall,0.036942360023088976
timing.96.0.alarm_episodes,1625
timing.96.0.false_alarm_episodes,710
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,397
timing.96.0.missed_event_centers,12
timing.96.0.event_recall,0.9706601466992665
timing.96.0.false_alarms_per_sampled_center_ns,5.33213172618377
timing.96.0.mean_detected_lead_ps,43.9382871536524
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005453042743473537
spatial.0.75.sampled_center_jaccard,0.029154466533107305
spatial.0.75.nearby_pair_difference_rmse,0.038917637122422945
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.016912228418636523
spatial.3.0.sampled_center_jaccard,0.12806781937216719
spatial.3.0.nearby_pair_difference_rmse,0.07792616009723405
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.042794737115518115
spatial.9.0.sampled_center_jaccard,0.26968183106575966
spatial.9.0.nearby_pair_difference_rmse,0.13763877346398307
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09310497106409331
spatial.24.0.sampled_center_jaccard,0.32690092547860605
spatial.24.0.nearby_pair_difference_rmse,0.2335106182488016
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.1728425294532271
spatial.48.0.sampled_center_jaccard,0.3032093184166917
spatial.48.0.nearby_pair_difference_rmse,0.3167164215908471
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2797152845530793
spatial.96.0.sampled_center_jaccard,0.26568404025656384
spatial.96.0.nearby_pair_difference_rmse,0.3778034472591321
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9733668372360454
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,7168
training.head_warmup_updates,0
