metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.01015173785267359
classification.0.75.brier,0.0021933214180709557
classification.0.75.average_precision,0.22391714135543783
classification.0.75.threshold,0.011276026256382465
classification.0.75.recall,0.813466470077622
classification.0.75.false_positive_rate,0.043672682997162086
classification.0.75.precision,0.04393604517835104
classification.0.75.auroc,0.9742231641229803
classification.0.75.f1,0.08336924360370929
classification.0.75.balanced_accuracy,0.8848968935402299
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00031135264863711785
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02846270940492966
classification.3.0.brier,0.006992893500374269
classification.3.0.average_precision,0.3323652486129102
classification.3.0.threshold,0.04052829369902611
classification.3.0.recall,0.7530136023756214
classification.3.0.false_positive_rate,0.042990277448355214
classification.3.0.precision,0.1351816568880344
classification.3.0.auroc,0.9594042441247184
classification.3.0.f1,0.22921452319561897
classification.3.0.balanced_accuracy,0.8550116624636332
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0006127476894757754
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.0860981666600521
classification.9.0.brier,0.022114845048648857
classification.9.0.average_precision,0.44468473429998473
classification.9.0.threshold,0.1253962218761444
classification.9.0.recall,0.6486833266348724
classification.9.0.false_positive_rate,0.04477595388730481
classification.9.0.precision,0.318441294896137
classification.9.0.auroc,0.9087418809707446
classification.9.0.f1,0.4271787811257151
classification.9.0.balanced_accuracy,0.8019536863737837
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0036301235859376216
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.23779757121953318
classification.24.0.brier,0.06448323130381121
classification.24.0.average_precision,0.4449999705375617
classification.24.0.threshold,0.21576346457004547
classification.24.0.recall,0.48852272559755605
classification.24.0.false_positive_rate,0.055407726785216
classification.24.0.precision,0.46937437889143646
classification.24.0.auroc,0.7874557628737944
classification.24.0.f1,0.4787571646832125
classification.24.0.balanced_accuracy,0.7165574994061701
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.01946339791954391
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4276620472226873
classification.48.0.brier,0.13353676371135942
classification.48.0.average_precision,0.45077477407410627
classification.48.0.threshold,0.3392944931983948
classification.48.0.recall,0.3665477582834396
classification.48.0.false_positive_rate,0.083696642514794
classification.48.0.precision,0.5041224467428017
classification.48.0.auroc,0.7051644676265053
classification.48.0.f1,0.4244660071912472
classification.48.0.balanced_accuracy,0.6414255578843227
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.056342064602974105
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6293508958877885
classification.96.0.brier,0.22372123227741844
classification.96.0.average_precision,0.5563478543615329
classification.96.0.threshold,0.6359201073646545
classification.96.0.recall,0.26524433900719385
classification.96.0.false_positive_rate,0.09796035626161148
classification.96.0.precision,0.6114089099264869
classification.96.0.auroc,0.6643569634986353
classification.96.0.f1,0.3699815231936215
classification.96.0.balanced_accuracy,0.5836419913727915
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1330323849265031
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,14
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.7941176470588235
timing.0.75.alarm_episodes,588
timing.0.75.false_alarm_episodes,565
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,23
timing.0.75.missed_event_centers,45
timing.0.75.event_recall,0.3382352941176471
timing.0.75.false_alarms_per_sampled_center_ns,4.243175246892719
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,72
timing.3.0.detected_window_timing_mae_ps,0.7700687088312557
timing.3.0.detected_window_timing_bias_ps,-0.4277871351110174
timing.3.0.timed_within_3ps_recall,0.7372262773722628
timing.3.0.alarm_episodes,657
timing.3.0.false_alarm_episodes,578
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,79
timing.3.0.missed_event_centers,195
timing.3.0.event_recall,0.28832116788321166
timing.3.0.false_alarms_per_sampled_center_ns,4.340805827794675
timing.3.0.mean_detected_lead_ps,1.9177215189873418
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,345
timing.9.0.detected_window_timing_mae_ps,1.92709096020856
timing.9.0.detected_window_timing_bias_ps,-0.35871829157889434
timing.9.0.timed_within_3ps_recall,0.5215605749486653
timing.9.0.alarm_episodes,751
timing.9.0.false_alarm_episodes,559
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,192
timing.9.0.missed_event_centers,186
timing.9.0.event_recall,0.5079365079365079
timing.9.0.false_alarms_per_sampled_center_ns,4.198114978784123
timing.9.0.mean_detected_lead_ps,4.98046875
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1412
timing.24.0.detected_window_timing_mae_ps,4.836694217661194
timing.24.0.detected_window_timing_bias_ps,0.3596638141443933
timing.24.0.timed_within_3ps_recall,0.17238987166146374
timing.24.0.alarm_episodes,844
timing.24.0.false_alarm_episodes,450
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,323
timing.24.0.missed_event_centers,74
timing.24.0.event_recall,0.8136020151133502
timing.24.0.false_alarms_per_sampled_center_ns,3.3795201081446433
timing.24.0.mean_detected_lead_ps,12.06733746130031
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3565
timing.48.0.detected_window_timing_mae_ps,9.68430212500354
timing.48.0.detected_window_timing_bias_ps,1.0647401788088384
timing.48.0.timed_within_3ps_recall,0.06268706351845693
timing.48.0.alarm_episodes,1655
timing.48.0.false_alarm_episodes,1060
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,356
timing.48.0.missed_event_centers,46
timing.48.0.event_recall,0.8855721393034826
timing.48.0.false_alarms_per_sampled_center_ns,7.960647365851827
timing.48.0.mean_detected_lead_ps,22.8813202247191
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8738
timing.96.0.detected_window_timing_mae_ps,19.160020843957827
timing.96.0.detected_window_timing_bias_ps,0.9949757872665558
timing.96.0.timed_within_3ps_recall,0.021357301888348314
timing.96.0.alarm_episodes,2320
timing.96.0.false_alarm_episodes,1288
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,373
timing.96.0.missed_event_centers,36
timing.96.0.event_recall,0.9119804400977995
timing.96.0.false_alarms_per_sampled_center_ns,9.672937553978446
timing.96.0.mean_detected_lead_ps,46.66487935656836
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.006451858646615793
spatial.0.75.sampled_center_jaccard,0.029592850049652432
spatial.0.75.nearby_pair_difference_rmse,0.038858703733454555
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.018814463565988992
spatial.3.0.sampled_center_jaccard,0.09974747474747474
spatial.3.0.nearby_pair_difference_rmse,0.07989771237602455
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04894137165896036
spatial.9.0.sampled_center_jaccard,0.2178123092185592
spatial.9.0.nearby_pair_difference_rmse,0.14045375823736928
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.11740018747073379
spatial.24.0.sampled_center_jaccard,0.25111969832201364
spatial.24.0.nearby_pair_difference_rmse,0.23458448573726942
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2042612095889316
spatial.48.0.sampled_center_jaccard,0.2382150018061035
spatial.48.0.nearby_pair_difference_rmse,0.30529559759249597
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.29651161433460566
spatial.96.0.sampled_center_jaccard,0.23864085258081508
spatial.96.0.nearby_pair_difference_rmse,0.36411912454471296
spatial.96.0.nearby_pairs,16736
test_event_nll,1.0422423356412678
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,6912
training.head_warmup_updates,0
