metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009943008106451804
classification.0.75.brier,0.002164619126936483
classification.0.75.average_precision,0.205547575413944
classification.0.75.threshold,0.008069265633821487
classification.0.75.recall,0.8852152206947193
classification.0.75.false_positive_rate,0.044739221609111125
classification.0.75.precision,0.046544167067082635
classification.0.75.auroc,0.9757894505115516
classification.0.75.f1,0.08843829354123417
classification.0.75.balanced_accuracy,0.9202379995428042
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0002963677830423321
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.026768457916274736
classification.3.0.brier,0.006764741678323986
classification.3.0.average_precision,0.37781522466747147
classification.3.0.threshold,0.04304826632142067
classification.3.0.recall,0.8132312583090561
classification.3.0.false_positive_rate,0.0428159501238267
classification.3.0.precision,0.1449334681744246
classification.3.0.auroc,0.9690615112406271
classification.3.0.f1,0.2460212183496924
classification.3.0.balanced_accuracy,0.8852076540926147
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0012575713693265815
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07227570217729459
classification.9.0.brier,0.02020812451359093
classification.9.0.average_precision,0.516283492918516
classification.9.0.threshold,0.15319998562335968
classification.9.0.recall,0.7348033436047223
classification.9.0.false_positive_rate,0.04053980976954002
classification.9.0.precision,0.36890920216042616
classification.9.0.auroc,0.9528008323729588
classification.9.0.f1,0.49120709241573124
classification.9.0.balanced_accuracy,0.8471317669175911
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0024582735785582672
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.19185107248567024
classification.24.0.brier,0.05248799414021001
classification.24.0.average_precision,0.59470934788461
classification.24.0.threshold,0.34439653158187866
classification.24.0.recall,0.6274108726370327
classification.24.0.false_positive_rate,0.04636127619959269
classification.24.0.precision,0.5758632068717724
classification.24.0.auroc,0.8798841963850806
classification.24.0.f1,0.6005329015156184
classification.24.0.balanced_accuracy,0.79052479821872
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.017165721314551567
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3775465312501928
classification.48.0.brier,0.11423710802170232
classification.48.0.average_precision,0.5748148489665412
classification.48.0.threshold,0.4337029755115509
classification.48.0.recall,0.47831802710091836
classification.48.0.false_positive_rate,0.05755589336492889
classification.48.0.precision,0.658604035576652
classification.48.0.auroc,0.7771838025221418
classification.48.0.f1,0.5541667160470384
classification.48.0.balanced_accuracy,0.7103810668679946
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.038892618883820736
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6004494272791306
classification.96.0.brier,0.21140142283095723
classification.96.0.average_precision,0.6237499199044547
classification.96.0.threshold,0.6560559868812561
classification.96.0.recall,0.3212343418492122
classification.96.0.false_positive_rate,0.06957874831409805
classification.96.0.precision,0.7284675684549756
classification.96.0.auroc,0.7050436901767365
classification.96.0.f1,0.44585762417697833
classification.96.0.balanced_accuracy,0.6258277967675576
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.12064381375735982
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,7
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8970588235294118
timing.0.75.alarm_episodes,579
timing.0.75.false_alarm_episodes,559
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,20
timing.0.75.missed_event_centers,48
timing.0.75.event_recall,0.29411764705882354
timing.0.75.false_alarms_per_sampled_center_ns,4.198114978784123
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,51
timing.3.0.detected_window_timing_mae_ps,0.7491449856879117
timing.3.0.detected_window_timing_bias_ps,-0.36591243114886013
timing.3.0.timed_within_3ps_recall,0.8138686131386861
timing.3.0.alarm_episodes,613
timing.3.0.false_alarm_episodes,540
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,73
timing.3.0.missed_event_centers,201
timing.3.0.event_recall,0.2664233576642336
timing.3.0.false_alarms_per_sampled_center_ns,4.055424129773572
timing.3.0.mean_detected_lead_ps,1.86986301369863
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,270
timing.9.0.detected_window_timing_mae_ps,1.90142279119331
timing.9.0.detected_window_timing_bias_ps,-0.38557988564749873
timing.9.0.timed_within_3ps_recall,0.5708418891170431
timing.9.0.alarm_episodes,672
timing.9.0.false_alarm_episodes,498
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,174
timing.9.0.missed_event_centers,204
timing.9.0.event_recall,0.4603174603174603
timing.9.0.false_alarms_per_sampled_center_ns,3.7400022530134054
timing.9.0.mean_detected_lead_ps,5.547413793103448
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1066
timing.24.0.detected_window_timing_mae_ps,4.647431212833724
timing.24.0.detected_window_timing_bias_ps,0.32314274765512174
timing.24.0.timed_within_3ps_recall,0.23170308706208811
timing.24.0.alarm_episodes,862
timing.24.0.false_alarm_episodes,478
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,316
timing.24.0.missed_event_centers,81
timing.24.0.event_recall,0.7959697732997482
timing.24.0.false_alarms_per_sampled_center_ns,3.5898013593180877
timing.24.0.mean_detected_lead_ps,14.886075949367088
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3073
timing.48.0.detected_window_timing_mae_ps,8.87468735454097
timing.48.0.detected_window_timing_bias_ps,0.9392597155018266
timing.48.0.timed_within_3ps_recall,0.09278350515463918
timing.48.0.alarm_episodes,1018
timing.48.0.false_alarm_episodes,431
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,368
timing.48.0.missed_event_centers,34
timing.48.0.event_recall,0.9154228855721394
timing.48.0.false_alarms_per_sampled_center_ns,3.2368292591340917
timing.48.0.mean_detected_lead_ps,25.885190217391305
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8201
timing.96.0.detected_window_timing_mae_ps,16.626311603256774
timing.96.0.detected_window_timing_bias_ps,1.2059703181265917
timing.96.0.timed_within_3ps_recall,0.03380885627113053
timing.96.0.alarm_episodes,1833
timing.96.0.false_alarm_episodes,892
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,393
timing.96.0.missed_event_centers,16
timing.96.0.event_recall,0.960880195599022
timing.96.0.false_alarms_per_sampled_center_ns,6.69895985881116
timing.96.0.mean_detected_lead_ps,45.25954198473283
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005521358022715373
spatial.0.75.sampled_center_jaccard,0.036067019400352736
spatial.0.75.nearby_pair_difference_rmse,0.03906068287172882
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.017789987908971943
spatial.3.0.sampled_center_jaccard,0.12093901420217211
spatial.3.0.nearby_pair_difference_rmse,0.07852005149008957
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04356207808689884
spatial.9.0.sampled_center_jaccard,0.2676435813307322
spatial.9.0.nearby_pair_difference_rmse,0.13741836853345377
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.10065922181515977
spatial.24.0.sampled_center_jaccard,0.32568382679186003
spatial.24.0.nearby_pair_difference_rmse,0.22965760127739504
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.178870513286927
spatial.48.0.sampled_center_jaccard,0.307895238593493
spatial.48.0.nearby_pair_difference_rmse,0.31313465702699156
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.28145129907235467
spatial.96.0.sampled_center_jaccard,0.2646099065344713
spatial.96.0.nearby_pair_difference_rmse,0.37842769284298294
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9801959156761305
training.sources,90
training.eligible_windows,109838
training.updates,20604
training.samples,1318056
training.complete_epochs,12
training.partial_epoch_updates,0
training.selected_step,11520
training.head_warmup_updates,0
