metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009890831056570031
classification.0.75.brier,0.0021703602684262
classification.0.75.average_precision,0.2301756786729711
classification.0.75.threshold,0.006390058435499668
classification.0.75.recall,0.8565270037692768
classification.0.75.false_positive_rate,0.04437422065625652
classification.0.75.precision,0.045457927330588885
classification.0.75.auroc,0.9731392078837839
classification.0.75.f1,0.08633390858659461
classification.0.75.balanced_accuracy,0.9060763915565103
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0006494484026635106
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.026591011654869906
classification.3.0.brier,0.006773520120965329
classification.3.0.average_precision,0.37164242002820536
classification.3.0.threshold,0.039999738335609436
classification.3.0.recall,0.8002898047577051
classification.3.0.false_positive_rate,0.038720019725734925
classification.3.0.precision,0.15572427451218357
classification.3.0.auroc,0.9667400780392396
classification.3.0.f1,0.2607169746716845
classification.3.0.balanced_accuracy,0.8807848925159851
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0010228870102682172
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.0716355114030708
classification.9.0.brier,0.020054458092687074
classification.9.0.average_precision,0.5198940280273593
classification.9.0.threshold,0.18121492862701416
classification.9.0.recall,0.7294351014873275
classification.9.0.false_positive_rate,0.03625402552746515
classification.9.0.precision,0.3935300674809912
classification.9.0.auroc,0.9537291017032199
classification.9.0.f1,0.5112440753171927
classification.9.0.balanced_accuracy,0.8465905379799311
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.003057238528051147
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.1886195935290948
classification.24.0.brier,0.05173178258295064
classification.24.0.average_precision,0.6041937202000468
classification.24.0.threshold,0.3629404306411743
classification.24.0.recall,0.622149510884028
classification.24.0.false_positive_rate,0.04291667566762962
classification.24.0.precision,0.5925693096289538
classification.24.0.auroc,0.8823121170466676
classification.24.0.f1,0.606999249414527
classification.24.0.balanced_accuracy,0.7896164176081992
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.013578739049616593
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.37745113843496414
classification.48.0.brier,0.11375531590440223
classification.48.0.average_precision,0.5827896950417385
classification.48.0.threshold,0.42903515696525574
classification.48.0.recall,0.4718818160817352
classification.48.0.false_positive_rate,0.05243106516645406
classification.48.0.precision,0.6762934106653016
classification.48.0.auroc,0.7783577026925682
classification.48.0.f1,0.555891740902651
classification.48.0.balanced_accuracy,0.7097253754576404
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.0429142796380587
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6021940993744156
classification.96.0.brier,0.21196535301135455
classification.96.0.average_precision,0.6292358518648826
classification.96.0.threshold,0.6629461050033569
classification.96.0.recall,0.3271260377845602
classification.96.0.false_positive_rate,0.06818314766390654
classification.96.0.precision,0.7360032823146851
classification.96.0.auroc,0.7060813996613109
classification.96.0.f1,0.4529380066717725
classification.96.0.balanced_accuracy,0.6294714450603274
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.13170417207263221
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,9
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8676470588235294
timing.0.75.alarm_episodes,628
timing.0.75.false_alarm_episodes,610
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,18
timing.0.75.missed_event_centers,50
timing.0.75.event_recall,0.2647058823529412
timing.0.75.false_alarms_per_sampled_center_ns,4.581127257707183
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,58
timing.3.0.detected_window_timing_mae_ps,0.7515500781030582
timing.3.0.detected_window_timing_bias_ps,-0.3907935468068743
timing.3.0.timed_within_3ps_recall,0.7883211678832117
timing.3.0.alarm_episodes,603
timing.3.0.false_alarm_episodes,542
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,61
timing.3.0.missed_event_centers,213
timing.3.0.event_recall,0.22262773722627738
timing.3.0.false_alarms_per_sampled_center_ns,4.070444219143104
timing.3.0.mean_detected_lead_ps,1.9918032786885247
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,286
timing.9.0.detected_window_timing_mae_ps,1.8978459756111774
timing.9.0.detected_window_timing_bias_ps,-0.3789483775254092
timing.9.0.timed_within_3ps_recall,0.5718685831622177
timing.9.0.alarm_episodes,649
timing.9.0.false_alarm_episodes,495
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,154
timing.9.0.missed_event_centers,224
timing.9.0.event_recall,0.4074074074074074
timing.9.0.false_alarms_per_sampled_center_ns,3.717472118959108
timing.9.0.mean_detected_lead_ps,5.595779220779221
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1100
timing.24.0.detected_window_timing_mae_ps,4.486249458534755
timing.24.0.detected_window_timing_bias_ps,-0.061114093610056014
timing.24.0.timed_within_3ps_recall,0.2355185570586195
timing.24.0.alarm_episodes,833
timing.24.0.false_alarm_episodes,464
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,299
timing.24.0.missed_event_centers,98
timing.24.0.event_recall,0.7531486146095718
timing.24.0.false_alarms_per_sampled_center_ns,3.4846607337313658
timing.24.0.mean_detected_lead_ps,15.499163879598662
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3118
timing.48.0.detected_window_timing_mae_ps,8.535495984528643
timing.48.0.detected_window_timing_bias_ps,0.22950524050807689
timing.48.0.timed_within_3ps_recall,0.09577652144995012
timing.48.0.alarm_episodes,1064
timing.48.0.false_alarm_episodes,451
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,378
timing.48.0.missed_event_centers,24
timing.48.0.event_recall,0.9402985074626866
timing.48.0.false_alarms_per_sampled_center_ns,3.3870301528294093
timing.48.0.mean_detected_lead_ps,26.79563492063492
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8132
timing.96.0.detected_window_timing_mae_ps,15.979027425434811
timing.96.0.detected_window_timing_bias_ps,-0.47120076256995425
timing.96.0.timed_within_3ps_recall,0.03702482064814051
timing.96.0.alarm_episodes,1918
timing.96.0.false_alarm_episodes,920
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,398
timing.96.0.missed_event_centers,11
timing.96.0.event_recall,0.9731051344743277
timing.96.0.false_alarms_per_sampled_center_ns,6.909241109984604
timing.96.0.mean_detected_lead_ps,48.391959798994975
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005218731673948068
spatial.0.75.sampled_center_jaccard,0.03377914951989026
spatial.0.75.nearby_pair_difference_rmse,0.039031302843349686
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.016320809125102035
spatial.3.0.sampled_center_jaccard,0.12517235850569183
spatial.3.0.nearby_pair_difference_rmse,0.0776852449083374
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04140044160001772
spatial.9.0.sampled_center_jaccard,0.27872469347020246
spatial.9.0.nearby_pair_difference_rmse,0.13569406612647325
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09342859938058486
spatial.24.0.sampled_center_jaccard,0.3276048645859279
spatial.24.0.nearby_pair_difference_rmse,0.23040854487159398
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.17563012936447694
spatial.48.0.sampled_center_jaccard,0.3006868124785429
spatial.48.0.nearby_pair_difference_rmse,0.3159553316014043
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.28089435434014004
spatial.96.0.sampled_center_jaccard,0.25140894253578505
spatial.96.0.nearby_pair_difference_rmse,0.37783724629281334
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9803541950676049
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,10302
training.head_warmup_updates,0
