metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.00988342664608244
classification.0.75.brier,0.0021740372518542807
classification.0.75.average_precision,0.22884739297916207
classification.0.75.threshold,0.011823217384517193
classification.0.75.recall,0.8134774296165957
classification.0.75.false_positive_rate,0.04101226276608782
classification.0.75.precision,0.046653761790821445
classification.0.75.auroc,0.9703093997965612
classification.0.75.f1,0.08824649681972944
classification.0.75.balanced_accuracy,0.886232583425254
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.000392278760286337
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.027935756655129203
classification.3.0.brier,0.007022368273459788
classification.3.0.average_precision,0.32629570896382976
classification.3.0.threshold,0.06388778984546661
classification.3.0.recall,0.7883422547699798
classification.3.0.false_positive_rate,0.037392265056165795
classification.3.0.precision,0.15835208397488024
classification.3.0.auroc,0.9619093819831802
classification.3.0.f1,0.26372955624471367
classification.3.0.balanced_accuracy,0.8754749948569069
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0024055131314357067
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07642303828419156
classification.9.0.brier,0.021098376577187317
classification.9.0.average_precision,0.48901840032755833
classification.9.0.threshold,0.24514278769493103
classification.9.0.recall,0.690378316706309
classification.9.0.false_positive_rate,0.037041408222219754
classification.9.0.precision,0.3754246135742715
classification.9.0.auroc,0.9449229281936973
classification.9.0.f1,0.4863657349887182
classification.9.0.balanced_accuracy,0.8266684542420446
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.008673137758495996
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.19285894282414176
classification.24.0.brier,0.05307629817426194
classification.24.0.average_precision,0.5917146316896826
classification.24.0.threshold,0.39713990688323975
classification.24.0.recall,0.6130349456626367
classification.24.0.false_positive_rate,0.04430591984807491
classification.24.0.precision,0.5812679641366078
classification.24.0.auroc,0.8767505715915904
classification.24.0.f1,0.5967289736735468
classification.24.0.balanced_accuracy,0.7843645129072809
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.016417642492347374
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3764010508483972
classification.48.0.brier,0.11339860422768745
classification.48.0.average_precision,0.5785398954965149
classification.48.0.threshold,0.4088349938392639
classification.48.0.recall,0.46936136189732086
classification.48.0.false_positive_rate,0.053988174697873696
classification.48.0.precision,0.6686682997026245
classification.48.0.auroc,0.774064588098514
classification.48.0.f1,0.551562185760176
classification.48.0.balanced_accuracy,0.7076865935997234
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.03638812394985318
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5947239396017661
classification.96.0.brier,0.20822890898950078
classification.96.0.average_precision,0.6210359882439964
classification.96.0.threshold,0.6246426701545715
classification.96.0.recall,0.3219459423763552
classification.96.0.false_positive_rate,0.07537955832976567
classification.96.0.precision,0.7127949415867223
classification.96.0.auroc,0.7021706347150469
classification.96.0.f1,0.44355343979706
classification.96.0.balanced_accuracy,0.6232831920232953
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1084334239891116
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,13
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8088235294117647
timing.0.75.alarm_episodes,627
timing.0.75.false_alarm_episodes,614
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,13
timing.0.75.missed_event_centers,55
timing.0.75.event_recall,0.19117647058823528
timing.0.75.false_alarms_per_sampled_center_ns,4.611167436446247
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,62
timing.3.0.detected_window_timing_mae_ps,0.723754345569696
timing.3.0.detected_window_timing_bias_ps,-0.3676436124481586
timing.3.0.timed_within_3ps_recall,0.7737226277372263
timing.3.0.alarm_episodes,616
timing.3.0.false_alarm_episodes,553
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,63
timing.3.0.missed_event_centers,211
timing.3.0.event_recall,0.22992700729927007
timing.3.0.false_alarms_per_sampled_center_ns,4.153054710675528
timing.3.0.mean_detected_lead_ps,1.9761904761904763
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,327
timing.9.0.detected_window_timing_mae_ps,1.9343111673616362
timing.9.0.detected_window_timing_bias_ps,-0.4335278571029199
timing.9.0.timed_within_3ps_recall,0.5174537987679672
timing.9.0.alarm_episodes,671
timing.9.0.false_alarm_episodes,515
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,156
timing.9.0.missed_event_centers,222
timing.9.0.event_recall,0.4126984126984127
timing.9.0.false_alarms_per_sampled_center_ns,3.8676730126544254
timing.9.0.mean_detected_lead_ps,5.302884615384615
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1137
timing.24.0.detected_window_timing_mae_ps,4.64171800708614
timing.24.0.detected_window_timing_bias_ps,-0.8029223727883705
timing.24.0.timed_within_3ps_recall,0.21609434616718695
timing.24.0.alarm_episodes,843
timing.24.0.false_alarm_episodes,481
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,288
timing.24.0.missed_event_centers,109
timing.24.0.event_recall,0.72544080604534
timing.24.0.false_alarms_per_sampled_center_ns,3.6123314933723853
timing.24.0.mean_detected_lead_ps,15.408854166666666
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3122
timing.48.0.detected_window_timing_mae_ps,8.598574934651959
timing.48.0.detected_window_timing_bias_ps,-1.1246472422975093
timing.48.0.timed_within_3ps_recall,0.09644163618224144
timing.48.0.alarm_episodes,1088
timing.48.0.false_alarm_episodes,483
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,375
timing.48.0.missed_event_centers,27
timing.48.0.event_recall,0.9328358208955224
timing.48.0.false_alarms_per_sampled_center_ns,3.6273515827419174
timing.48.0.mean_detected_lead_ps,26.81
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8116
timing.96.0.detected_window_timing_mae_ps,16.016051304447927
timing.96.0.detected_window_timing_bias_ps,-1.5529538153247155
timing.96.0.timed_within_3ps_recall,0.03892141502432588
timing.96.0.alarm_episodes,1952
timing.96.0.false_alarm_episodes,1014
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,393
timing.96.0.missed_event_centers,16
timing.96.0.event_recall,0.960880195599022
timing.96.0.false_alarms_per_sampled_center_ns,7.615185310352596
timing.96.0.mean_detected_lead_ps,46.36450381679389
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005650684118407604
spatial.0.75.sampled_center_jaccard,0.03126614987080103
spatial.0.75.nearby_pair_difference_rmse,0.038390910848650504
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.01798822633625028
spatial.3.0.sampled_center_jaccard,0.12351909693681845
spatial.3.0.nearby_pair_difference_rmse,0.07920765882916972
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04464398063381398
spatial.9.0.sampled_center_jaccard,0.26139282066248354
spatial.9.0.nearby_pair_difference_rmse,0.1410796456471241
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09460065422519258
spatial.24.0.sampled_center_jaccard,0.3110297792510374
spatial.24.0.nearby_pair_difference_rmse,0.23554645439641597
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.17148675876378278
spatial.48.0.sampled_center_jaccard,0.289656220912579
spatial.48.0.nearby_pair_difference_rmse,0.3160378036597118
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.273038586343948
spatial.96.0.sampled_center_jaccard,0.24816807875369915
spatial.96.0.nearby_pair_difference_rmse,0.3794913380563303
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9776836702517153
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,7168
training.head_warmup_updates,0
