metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.016769253747806166
classification.0.75.brier,0.0024524424069995773
classification.0.75.average_precision,0.01089612363237216
classification.0.75.threshold,0.003611483843997121
classification.0.75.recall,0.1283346035167086
classification.0.75.false_positive_rate,0.03814503408076048
classification.0.75.precision,0.008232276901990986
classification.0.75.auroc,0.8615185388466218
classification.0.75.f1,0.015472067444430119
classification.0.75.balanced_accuracy,0.5450947847179741
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00013171374033515417
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.049475185143759
classification.3.0.brier,0.008745958192318876
classification.3.0.average_precision,0.028599409118415978
classification.3.0.threshold,0.011308101005852222
classification.3.0.recall,0.16012884767046703
classification.3.0.false_positive_rate,0.0418179949925987
classification.3.0.precision,0.03304258525877961
classification.3.0.auroc,0.7514197006623301
classification.3.0.f1,0.05478109284906027
classification.3.0.balanced_accuracy,0.5591554263389342
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.00019407388436857223
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13855456949942307
classification.9.0.brier,0.03024538177048781
classification.9.0.average_precision,0.03963664815915825
classification.9.0.threshold,0.030336106196045876
classification.9.0.recall,0.03700934279010907
classification.9.0.false_positive_rate,0.041100632067720376
classification.9.0.precision,0.028220760471184405
classification.9.0.auroc,0.6048203917756239
classification.9.0.f1,0.03202299999102939
classification.9.0.balanced_accuracy,0.4979543553611943
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.005522221824538108
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.3029600097070259
classification.24.0.brier,0.08251292662426152
classification.24.0.average_precision,0.10823337406925432
classification.24.0.threshold,0.13467325270175934
classification.24.0.recall,0.04695299556719995
classification.24.0.false_positive_rate,0.04276972897576772
classification.24.0.precision,0.09921239495660122
classification.24.0.auroc,0.5772919718200084
classification.24.0.f1,0.06374038510641876
classification.24.0.balanced_accuracy,0.5020916332957162
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.009406552014299253
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4874403774785777
classification.48.0.brier,0.15457692899194977
classification.48.0.average_precision,0.19574629931750792
classification.48.0.threshold,0.29437777400016785
classification.48.0.recall,0.04418816819216611
classification.48.0.false_positive_rate,0.04451255269735542
classification.48.0.precision,0.18728424027013932
classification.48.0.auroc,0.5376891231244929
classification.48.0.f1,0.0715052611563995
classification.48.0.balanced_accuracy,0.49983780774740527
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.04226313728180726
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6644071152287467
classification.96.0.brier,0.23621007015822962
classification.96.0.average_precision,0.39232559983785964
classification.96.0.threshold,0.5697200894355774
classification.96.0.recall,0.04379907226996728
classification.96.0.false_positive_rate,0.04635313592352886
classification.96.0.precision,0.35445202979744783
classification.96.0.auroc,0.5573269002168455
classification.96.0.f1,0.0779642290441523
classification.96.0.balanced_accuracy,0.4987229681732192
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.06753488379927591
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,59
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.1323529411764706
timing.0.75.alarm_episodes,257
timing.0.75.false_alarm_episodes,252
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,5
timing.0.75.missed_event_centers,63
timing.0.75.event_recall,0.07352941176470588
timing.0.75.false_alarms_per_sampled_center_ns,1.8925312605610003
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,236
timing.3.0.detected_window_timing_mae_ps,0.8802010359751964
timing.3.0.detected_window_timing_bias_ps,-0.46488100140253197
timing.3.0.timed_within_3ps_recall,0.1386861313868613
timing.3.0.alarm_episodes,1023
timing.3.0.false_alarm_episodes,1000
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,23
timing.3.0.missed_event_centers,251
timing.3.0.event_recall,0.08394160583941605
timing.3.0.false_alarms_per_sampled_center_ns,7.510044684765874
timing.3.0.mean_detected_lead_ps,1.923913043478261
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,939
timing.9.0.detected_window_timing_mae_ps,2.1281019686437004
timing.9.0.detected_window_timing_bias_ps,-1.293378333101905
timing.9.0.timed_within_3ps_recall,0.02566735112936345
timing.9.0.alarm_episodes,1187
timing.9.0.false_alarm_episodes,1158
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,29
timing.9.0.missed_event_centers,349
timing.9.0.event_recall,0.07671957671957672
timing.9.0.false_alarms_per_sampled_center_ns,8.696631744958882
timing.9.0.mean_detected_lead_ps,6.025862068965517
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2758
timing.24.0.detected_window_timing_mae_ps,5.9400405795999385
timing.24.0.detected_window_timing_bias_ps,1.502655937576813
timing.24.0.timed_within_3ps_recall,0.013180714533472077
timing.24.0.alarm_episodes,898
timing.24.0.false_alarm_episodes,820
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,66
timing.24.0.missed_event_centers,331
timing.24.0.event_recall,0.16624685138539042
timing.24.0.false_alarms_per_sampled_center_ns,6.158236641508017
timing.24.0.mean_detected_lead_ps,12.045454545454545
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5803
timing.48.0.detected_window_timing_mae_ps,11.399209185403551
timing.48.0.detected_window_timing_bias_ps,-0.9238649837446112
timing.48.0.timed_within_3ps_recall,0.005154639175257732
timing.48.0.alarm_episodes,1087
timing.48.0.false_alarm_episodes,954
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,79
timing.48.0.missed_event_centers,323
timing.48.0.event_recall,0.19651741293532338
timing.48.0.false_alarms_per_sampled_center_ns,7.164582629266644
timing.48.0.mean_detected_lead_ps,31.82278481012658
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11712
timing.96.0.detected_window_timing_mae_ps,23.30602673783888
timing.96.0.detected_window_timing_bias_ps,-5.4069453395531815
timing.96.0.timed_within_3ps_recall,0.002308897501443061
timing.96.0.alarm_episodes,1237
timing.96.0.false_alarm_episodes,929
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,133
timing.96.0.missed_event_centers,276
timing.96.0.event_recall,0.3251833740831296
timing.96.0.false_alarms_per_sampled_center_ns,6.9768315121474975
timing.96.0.mean_detected_lead_ps,70.30827067669173
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005537122312181785
spatial.0.75.sampled_center_jaccard,0.00819964349376114
spatial.0.75.nearby_pair_difference_rmse,0.04014891105933444
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.018302034738446125
spatial.3.0.sampled_center_jaccard,0.0232264766993173
spatial.3.0.nearby_pair_difference_rmse,0.0860078825285515
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.05383819988712016
spatial.9.0.sampled_center_jaccard,0.013022176379577099
spatial.9.0.nearby_pair_difference_rmse,0.1532435413580615
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.14683617706540544
spatial.24.0.sampled_center_jaccard,0.029365292597425856
spatial.24.0.nearby_pair_difference_rmse,0.23883388987403054
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.25452250277295657
spatial.48.0.sampled_center_jaccard,0.021221415732693927
spatial.48.0.nearby_pair_difference_rmse,0.30230595165410884
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3582323261866446
spatial.96.0.sampled_center_jaccard,0.019242617688916965
spatial.96.0.nearby_pair_difference_rmse,0.36755952790540714
spatial.96.0.nearby_pairs,16736
test_event_nll,1.133056065273303
