metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.017191804460788895
classification.0.75.brier,0.002455030277781649
classification.0.75.average_precision,0.0027423571024396288
classification.0.75.threshold,0.0034335926175117493
classification.0.75.recall,0.017341779063102164
classification.0.75.false_positive_rate,0.03424330897279487
classification.0.75.precision,0.0012479002271523953
classification.0.75.auroc,0.5299577831777956
classification.0.75.f1,0.002328260718668429
classification.0.75.balanced_accuracy,0.4915492350451537
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0002266214206429006
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.05049251181237654
classification.3.0.brier,0.008767109210667024
classification.3.0.average_precision,0.02526036848324872
classification.3.0.threshold,0.014315212145447731
classification.3.0.recall,0.21141706511224437
classification.3.0.false_positive_rate,0.05958905671857345
classification.3.0.precision,0.03068997485882122
classification.3.0.auroc,0.6027901545397258
classification.3.0.f1,0.05359930395907513
classification.3.0.balanced_accuracy,0.5759140041968355
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0021377001552585033
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13781804284519536
classification.9.0.brier,0.030221666972836438
classification.9.0.average_precision,0.05714933690481057
classification.9.0.threshold,0.04929368942975998
classification.9.0.recall,0.2745051595434538
classification.9.0.false_positive_rate,0.07210069669926839
classification.9.0.precision,0.10935842304419885
classification.9.0.auroc,0.6109260825643685
classification.9.0.f1,0.15640687331059117
classification.9.0.balanced_accuracy,0.6012022314220927
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.004531852397228433
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.3056648616678514
classification.24.0.brier,0.0834705913228077
classification.24.0.average_precision,0.12569280523612586
classification.24.0.threshold,0.1567763388156891
classification.24.0.recall,0.22515476588065733
classification.24.0.false_positive_rate,0.11522184859937706
classification.24.0.precision,0.1639133478223478
classification.24.0.auroc,0.603613382389063
classification.24.0.f1,0.18971419221379598
classification.24.0.balanced_accuracy,0.5549664586406402
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.032724863556205776
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.48617131227049154
classification.48.0.brier,0.15543357292391397
classification.48.0.average_precision,0.2011977961583726
classification.48.0.threshold,0.3181656002998352
classification.48.0.recall,0.049078966543321105
classification.48.0.false_positive_rate,0.07782302249258952
classification.48.0.precision,0.12770034500370084
classification.48.0.auroc,0.56635055311028
classification.48.0.f1,0.07090649810953827
classification.48.0.balanced_accuracy,0.4856279720253657
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06977714404582666
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6677207689523009
classification.96.0.brier,0.23891798922966817
classification.96.0.average_precision,0.37603282032390495
classification.96.0.threshold,0.606272280216217
classification.96.0.recall,0.006735487739376332
classification.96.0.false_positive_rate,0.02718353654796307
classification.96.0.precision,0.12585987735353815
classification.96.0.auroc,0.5661007603826045
classification.96.0.f1,0.012786686174137852
classification.96.0.balanced_accuracy,0.4897759755957067
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.10878440203846579
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,67
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.014705882352941176
timing.0.75.alarm_episodes,678
timing.0.75.false_alarm_episodes,677
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,1
timing.0.75.missed_event_centers,67
timing.0.75.event_recall,0.014705882352941176
timing.0.75.false_alarms_per_sampled_center_ns,5.084300251586497
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,230
timing.3.0.detected_window_timing_mae_ps,0.7763259729381263
timing.3.0.detected_window_timing_bias_ps,-0.4346662623864583
timing.3.0.timed_within_3ps_recall,0.16058394160583941
timing.3.0.alarm_episodes,304
timing.3.0.false_alarm_episodes,297
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,7
timing.3.0.missed_event_centers,267
timing.3.0.event_recall,0.025547445255474453
timing.3.0.false_alarms_per_sampled_center_ns,2.2304832713754648
timing.3.0.mean_detected_lead_ps,2.142857142857143
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,762
timing.9.0.detected_window_timing_mae_ps,2.2030539982228525
timing.9.0.detected_window_timing_bias_ps,-0.36526531598685946
timing.9.0.timed_within_3ps_recall,0.15092402464065707
timing.9.0.alarm_episodes,91
timing.9.0.false_alarm_episodes,88
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,3
timing.9.0.missed_event_centers,375
timing.9.0.event_recall,0.007936507936507936
timing.9.0.false_alarms_per_sampled_center_ns,0.6608839322593969
timing.9.0.mean_detected_lead_ps,5.5
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2166
timing.24.0.detected_window_timing_mae_ps,5.814513441429801
timing.24.0.detected_window_timing_bias_ps,0.4567531251513511
timing.24.0.timed_within_3ps_recall,0.06451612903225806
timing.24.0.alarm_episodes,137
timing.24.0.false_alarm_episodes,110
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,27
timing.24.0.missed_event_centers,370
timing.24.0.event_recall,0.06801007556675064
timing.24.0.false_alarms_per_sampled_center_ns,0.8261049153242461
timing.24.0.mean_detected_lead_ps,12.166666666666666
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5709
timing.48.0.detected_window_timing_mae_ps,11.618631333704458
timing.48.0.detected_window_timing_bias_ps,-0.5645767221859219
timing.48.0.timed_within_3ps_recall,0.0068174260059860325
timing.48.0.alarm_episodes,185
timing.48.0.false_alarm_episodes,168
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,12
timing.48.0.missed_event_centers,390
timing.48.0.event_recall,0.029850746268656716
timing.48.0.false_alarms_per_sampled_center_ns,1.2616875070406668
timing.48.0.mean_detected_lead_ps,32.0
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,12069
timing.96.0.detected_window_timing_mae_ps,28.417928111578068
timing.96.0.detected_window_timing_bias_ps,-28.417928111578068
timing.96.0.timed_within_3ps_recall,8.246062505153789e-05
timing.96.0.alarm_episodes,133
timing.96.0.false_alarm_episodes,127
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,6
timing.96.0.missed_event_centers,403
timing.96.0.event_recall,0.014669926650366748
timing.96.0.false_alarms_per_sampled_center_ns,0.953775674965266
timing.96.0.mean_detected_lead_ps,86.875
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.0053526032553931025
spatial.0.75.sampled_center_jaccard,0.0003943217665615142
spatial.0.75.nearby_pair_difference_rmse,0.04016570364813399
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.01993930863631655
spatial.3.0.sampled_center_jaccard,0.02117142117142117
spatial.3.0.nearby_pair_difference_rmse,0.08607638970403843
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.059954520181501436
spatial.9.0.sampled_center_jaccard,0.04094154796984986
spatial.9.0.nearby_pair_difference_rmse,0.15323910030615973
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.15424654517524738
spatial.24.0.sampled_center_jaccard,0.07397232656481537
spatial.24.0.nearby_pair_difference_rmse,0.23800022404858112
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2533957820508944
spatial.48.0.sampled_center_jaccard,0.018582637737762392
spatial.48.0.nearby_pair_difference_rmse,0.3007711750895863
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3571498355602127
spatial.96.0.sampled_center_jaccard,0.0016986785660393629
spatial.96.0.nearby_pair_difference_rmse,0.36321816469786866
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1343437209667948
