metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.011019176976196378
classification.0.75.brier,0.002313257804470733
classification.0.75.average_precision,0.11396623749868973
classification.0.75.threshold,0.019934434443712234
classification.0.75.recall,0.8604470746255349
classification.0.75.false_positive_rate,0.041835184259215855
classification.0.75.precision,0.04829361262752664
classification.0.75.auroc,0.9705108903362726
classification.0.75.f1,0.09145424716057049
classification.0.75.balanced_accuracy,0.9093059451831595
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0008086866444376631
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.030679512208614455
classification.3.0.brier,0.007610410828228006
classification.3.0.average_precision,0.24354474992223485
classification.3.0.threshold,0.07608790695667267
classification.3.0.recall,0.7448139642549698
classification.3.0.false_positive_rate,0.042455549019054586
classification.3.0.precision,0.13536501948304086
classification.3.0.auroc,0.9590472868860529
classification.3.0.f1,0.22909376080405244
classification.3.0.balanced_accuracy,0.8511792076179576
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0033777004954716186
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.08185332921911607
classification.9.0.brier,0.02280808580939626
classification.9.0.average_precision,0.40610879590395965
classification.9.0.threshold,0.239280104637146
classification.9.0.recall,0.6434093885849118
classification.9.0.false_positive_rate,0.04202432858984697
classification.9.0.precision,0.3305529645424066
classification.9.0.auroc,0.9373908973236061
classification.9.0.f1,0.4367332682382596
classification.9.0.balanced_accuracy,0.8006925299975324
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.006081619760060599
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.20722725538632278
classification.24.0.brier,0.057231876497590144
classification.24.0.average_precision,0.5277423432261175
classification.24.0.threshold,0.40064847469329834
classification.24.0.recall,0.5560743007538513
classification.24.0.false_positive_rate,0.045611554722875335
classification.24.0.precision,0.5501849210256531
classification.24.0.auroc,0.8536729554725041
classification.24.0.f1,0.5531139342775712
classification.24.0.balanced_accuracy,0.755231373015488
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.01549694905229503
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3965411745842663
classification.48.0.brier,0.12027464485273633
classification.48.0.average_precision,0.5275130406825073
classification.48.0.threshold,0.41322338581085205
classification.48.0.recall,0.4262935842913023
classification.48.0.false_positive_rate,0.053300167680198865
classification.48.0.precision,0.6499339744500618
classification.48.0.auroc,0.7509881395706102
classification.48.0.f1,0.5148775113044497
classification.48.0.balanced_accuracy,0.6864967083055515
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.036774692484688225
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6191279799400341
classification.96.0.brier,0.21738927446569015
classification.96.0.average_precision,0.5941542707833195
classification.96.0.threshold,0.6629400849342346
classification.96.0.recall,0.27884826127971096
classification.96.0.false_positive_rate,0.05415475717147792
classification.96.0.precision,0.7495045729559869
classification.96.0.auroc,0.6819207043221882
classification.96.0.f1,0.4064714756104174
classification.96.0.balanced_accuracy,0.6123467520541168
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.12510339270330365
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,10
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8529411764705882
timing.0.75.alarm_episodes,570
timing.0.75.false_alarm_episodes,542
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,28
timing.0.75.missed_event_centers,40
timing.0.75.event_recall,0.4117647058823529
timing.0.75.false_alarms_per_sampled_center_ns,4.070444219143104
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,75
timing.3.0.detected_window_timing_mae_ps,0.7710648882094925
timing.3.0.detected_window_timing_bias_ps,-0.34697583432842466
timing.3.0.timed_within_3ps_recall,0.7262773722627737
timing.3.0.alarm_episodes,657
timing.3.0.false_alarm_episodes,567
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,90
timing.3.0.missed_event_centers,184
timing.3.0.event_recall,0.3284671532846715
timing.3.0.false_alarms_per_sampled_center_ns,4.258195336262251
timing.3.0.mean_detected_lead_ps,1.9083333333333334
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,388
timing.9.0.detected_window_timing_mae_ps,1.9591597764845654
timing.9.0.detected_window_timing_bias_ps,-0.4395950472991766
timing.9.0.timed_within_3ps_recall,0.473305954825462
timing.9.0.alarm_episodes,801
timing.9.0.false_alarm_episodes,621
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,180
timing.9.0.missed_event_centers,198
timing.9.0.event_recall,0.47619047619047616
timing.9.0.false_alarms_per_sampled_center_ns,4.663737749239608
timing.9.0.mean_detected_lead_ps,5.445833333333334
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1352
timing.24.0.detected_window_timing_mae_ps,4.788956002884298
timing.24.0.detected_window_timing_bias_ps,-0.5419464183362019
timing.24.0.timed_within_3ps_recall,0.17898022892819979
timing.24.0.alarm_episodes,1049
timing.24.0.false_alarm_episodes,601
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,341
timing.24.0.missed_event_centers,56
timing.24.0.event_recall,0.8589420654911839
timing.24.0.false_alarms_per_sampled_center_ns,4.513536855544291
timing.24.0.mean_detected_lead_ps,14.997800586510264
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3453
timing.48.0.detected_window_timing_mae_ps,8.929043123193582
timing.48.0.detected_window_timing_bias_ps,-0.2302235745302227
timing.48.0.timed_within_3ps_recall,0.076321915530429
timing.48.0.alarm_episodes,1322
timing.48.0.false_alarm_episodes,574
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,380
timing.48.0.missed_event_centers,22
timing.48.0.event_recall,0.945273631840796
timing.48.0.false_alarms_per_sampled_center_ns,4.310765649055612
timing.48.0.mean_detected_lead_ps,28.545394736842105
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8895
timing.96.0.detected_window_timing_mae_ps,17.177743865944866
timing.96.0.detected_window_timing_bias_ps,-0.42209583905292086
timing.96.0.timed_within_3ps_recall,0.027047085016904428
timing.96.0.alarm_episodes,1755
timing.96.0.false_alarm_episodes,704
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,400
timing.96.0.missed_event_centers,9
timing.96.0.event_recall,0.9779951100244498
timing.96.0.false_alarms_per_sampled_center_ns,5.287071458075175
timing.96.0.mean_detected_lead_ps,46.696875
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.009280818745467068
spatial.0.75.sampled_center_jaccard,0.03773125608568646
spatial.0.75.nearby_pair_difference_rmse,0.03917831843956893
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.028547871756136916
spatial.3.0.sampled_center_jaccard,0.10429805523639303
spatial.3.0.nearby_pair_difference_rmse,0.08100639635534962
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.058684870497777444
spatial.9.0.sampled_center_jaccard,0.2064868603042877
spatial.9.0.nearby_pair_difference_rmse,0.1435599973779556
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.11149038217218878
spatial.24.0.sampled_center_jaccard,0.2738845144356955
spatial.24.0.nearby_pair_difference_rmse,0.23831839262825116
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.19183564835076924
spatial.48.0.sampled_center_jaccard,0.26659690234350863
spatial.48.0.nearby_pair_difference_rmse,0.317636863288062
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2978864204519999
spatial.96.0.sampled_center_jaccard,0.23189673582786638
spatial.96.0.nearby_pair_difference_rmse,0.3749928362929332
spatial.96.0.nearby_pairs,16736
test_event_nll,1.0126677392010244
