metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.011093758460287016
classification.0.75.brier,0.0022933683866378234
classification.0.75.average_precision,0.17481416834764038
classification.0.75.threshold,0.010698188096284866
classification.0.75.recall,0.8145156431342113
classification.0.75.false_positive_rate,0.05059222278855551
classification.0.75.precision,0.03820349514082765
classification.0.75.auroc,0.9718679879399738
classification.0.75.f1,0.07298380678438404
classification.0.75.balanced_accuracy,0.8819617101728281
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.000619300227123338
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03510896340489827
classification.3.0.brier,0.007765044161543914
classification.3.0.average_precision,0.21118374333866669
classification.3.0.threshold,0.03837421536445618
classification.3.0.recall,0.6761085851182563
classification.3.0.false_positive_rate,0.04870997768382017
classification.3.0.precision,0.11021572131152323
classification.3.0.auroc,0.9206844682325316
classification.3.0.f1,0.18953450830500712
classification.3.0.balanced_accuracy,0.8136993037172181
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.002890834814660632
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.11426400917691291
classification.9.0.brier,0.026924880370494512
classification.9.0.average_precision,0.23194113072823835
classification.9.0.threshold,0.10086330026388168
classification.9.0.recall,0.4799692468390212
classification.9.0.false_positive_rate,0.05825993375262624
classification.9.0.precision,0.20991957963739485
classification.9.0.auroc,0.8107542624475697
classification.9.0.f1,0.29209037360389445
classification.9.0.balanced_accuracy,0.7108546565431975
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.010337739665017125
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.28677479161867786
classification.24.0.brier,0.07889125966170815
classification.24.0.average_precision,0.23916255524398294
classification.24.0.threshold,0.2247571498155594
classification.24.0.recall,0.3008254056858071
classification.24.0.false_positive_rate,0.07762038418031489
classification.24.0.precision,0.2799674667609088
classification.24.0.auroc,0.6890036468346158
classification.24.0.f1,0.2900219019988227
classification.24.0.balanced_accuracy,0.6116025107527461
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03577174303488823
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.47855830764184376
classification.48.0.brier,0.15368339340601575
classification.48.0.average_precision,0.30597442875523084
classification.48.0.threshold,0.4023791551589966
classification.48.0.recall,0.21571305882716157
classification.48.0.false_positive_rate,0.0888110623304828
classification.48.0.precision,0.36054443577466855
classification.48.0.auroc,0.6331040041038802
classification.48.0.f1,0.2699284393266087
classification.48.0.balanced_accuracy,0.5634509982483392
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.07759656211982024
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6774466458348121
classification.96.0.brier,0.2438936014377275
classification.96.0.average_precision,0.46846905060178234
classification.96.0.threshold,0.6957822442054749
classification.96.0.recall,0.15185808013136112
classification.96.0.false_positive_rate,0.08306836978663286
classification.96.0.precision,0.5151034557084547
classification.96.0.auroc,0.614967705624581
classification.96.0.f1,0.23456411696791543
classification.96.0.balanced_accuracy,0.5343948551723642
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.13576097111545637
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,12
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8235294117647058
timing.0.75.alarm_episodes,675
timing.0.75.false_alarm_episodes,645
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,30
timing.0.75.missed_event_centers,38
timing.0.75.event_recall,0.4411764705882353
timing.0.75.false_alarms_per_sampled_center_ns,4.843978821673989
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,90
timing.3.0.detected_window_timing_mae_ps,0.7473913606623835
timing.3.0.detected_window_timing_bias_ps,-0.3128558165604577
timing.3.0.timed_within_3ps_recall,0.6715328467153284
timing.3.0.alarm_episodes,805
timing.3.0.false_alarm_episodes,710
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,95
timing.3.0.missed_event_centers,179
timing.3.0.event_recall,0.3467153284671533
timing.3.0.false_alarms_per_sampled_center_ns,5.33213172618377
timing.3.0.mean_detected_lead_ps,1.8078947368421052
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,509
timing.9.0.detected_window_timing_mae_ps,1.9779384978077765
timing.9.0.detected_window_timing_bias_ps,-0.20171035232167003
timing.9.0.timed_within_3ps_recall,0.3757700205338809
timing.9.0.alarm_episodes,1270
timing.9.0.false_alarm_episodes,1069
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,201
timing.9.0.missed_event_centers,177
timing.9.0.event_recall,0.5317460317460317
timing.9.0.false_alarms_per_sampled_center_ns,8.02823776801472
timing.9.0.mean_detected_lead_ps,4.294776119402985
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1995
timing.24.0.detected_window_timing_mae_ps,5.184880502363638
timing.24.0.detected_window_timing_bias_ps,0.27072512408537924
timing.24.0.timed_within_3ps_recall,0.08949011446409989
timing.24.0.alarm_episodes,1957
timing.24.0.false_alarm_episodes,1616
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,280
timing.24.0.missed_event_centers,117
timing.24.0.event_recall,0.7052896725440806
timing.24.0.false_alarms_per_sampled_center_ns,12.136232210581653
timing.24.0.mean_detected_lead_ps,10.371428571428572
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4609
timing.48.0.detected_window_timing_mae_ps,10.69038811602505
timing.48.0.detected_window_timing_bias_ps,-0.2315809471472442
timing.48.0.timed_within_3ps_recall,0.032424343199201865
timing.48.0.alarm_episodes,2298
timing.48.0.false_alarm_episodes,1740
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,287
timing.48.0.missed_event_centers,115
timing.48.0.event_recall,0.7139303482587065
timing.48.0.false_alarms_per_sampled_center_ns,13.067477751492621
timing.48.0.mean_detected_lead_ps,26.498257839721255
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,10301
timing.96.0.detected_window_timing_mae_ps,21.960526923109555
timing.96.0.detected_window_timing_bias_ps,-2.8318895338233165
timing.96.0.timed_within_3ps_recall,0.009070668755669168
timing.96.0.alarm_episodes,2299
timing.96.0.false_alarm_episodes,1408
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,247
timing.96.0.missed_event_centers,162
timing.96.0.event_recall,0.6039119804400978
timing.96.0.false_alarms_per_sampled_center_ns,10.57414291615035
timing.96.0.mean_detected_lead_ps,60.28238866396761
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.007989401563141728
spatial.0.75.sampled_center_jaccard,0.031050420168067222
spatial.0.75.nearby_pair_difference_rmse,0.039372119093552115
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.025787311855373057
spatial.3.0.sampled_center_jaccard,0.0887094387094387
spatial.3.0.nearby_pair_difference_rmse,0.0824024294866518
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.06799326889265679
spatial.9.0.sampled_center_jaccard,0.1235230736886366
spatial.9.0.nearby_pair_difference_rmse,0.14975585523678023
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.15282734189586963
spatial.24.0.sampled_center_jaccard,0.12415954149243796
spatial.24.0.nearby_pair_difference_rmse,0.24122736374922382
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2433507826142619
spatial.48.0.sampled_center_jaccard,0.14128715806755507
spatial.48.0.nearby_pair_difference_rmse,0.3057298092311407
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3340453233802108
spatial.96.0.sampled_center_jaccard,0.12022734544410843
spatial.96.0.nearby_pair_difference_rmse,0.36941179161955995
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1199754477189832
