metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.01065579948866553
classification.0.75.brier,0.002275203780274245
classification.0.75.average_precision,0.1702682255840266
classification.0.75.threshold,0.006638668943196535
classification.0.75.recall,0.8391341371394805
classification.0.75.false_positive_rate,0.04969651463960195
classification.0.75.precision,0.039993009563243025
classification.0.75.auroc,0.9709562669428885
classification.0.75.f1,0.07634731721647327
classification.0.75.balanced_accuracy,0.8947188112499393
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00032437327745659376
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03306229235399775
classification.3.0.brier,0.007498666545575137
classification.3.0.average_precision,0.25395714547972126
classification.3.0.threshold,0.02527168206870556
classification.3.0.recall,0.7425151924245152
classification.3.0.false_positive_rate,0.05242876308329687
classification.3.0.precision,0.11220420091083871
classification.3.0.auroc,0.9236669204772037
classification.3.0.f1,0.1949489492803913
classification.3.0.balanced_accuracy,0.8450432146706092
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0014393285097663935
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.1091794948563106
classification.9.0.brier,0.025662158437728167
classification.9.0.average_precision,0.29556834102839913
classification.9.0.threshold,0.08581510186195374
classification.9.0.recall,0.5110822641746441
classification.9.0.false_positive_rate,0.05655462470117514
classification.9.0.precision,0.22567529734144412
classification.9.0.auroc,0.8230856414894792
classification.9.0.f1,0.31309795232018856
classification.9.0.balanced_accuracy,0.7272638197367345
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.01018990763102432
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.2818840404487304
classification.24.0.brier,0.07719983567808272
classification.24.0.average_precision,0.2679595653338896
classification.24.0.threshold,0.21329115331172943
classification.24.0.recall,0.30853390985717877
classification.24.0.false_positive_rate,0.06860700613185904
classification.24.0.precision,0.31090625890861556
classification.24.0.auroc,0.6958421610215557
classification.24.0.f1,0.30971554153896674
classification.24.0.balanced_accuracy,0.6199634518626599
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03447563076625772
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4747502446497068
classification.48.0.brier,0.1520553877999702
classification.48.0.average_precision,0.3240675210765511
classification.48.0.threshold,0.39080262184143066
classification.48.0.recall,0.224323339629586
classification.48.0.false_positive_rate,0.08460865501470449
classification.48.0.precision,0.3809806672011905
classification.48.0.auroc,0.6364174057116287
classification.48.0.f1,0.2823799434216254
classification.48.0.balanced_accuracy,0.5698573423074407
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.0776792832471615
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6710623149140985
classification.96.0.brier,0.24141367442679398
classification.96.0.average_precision,0.48668386587021345
classification.96.0.threshold,0.6820914149284363
classification.96.0.recall,0.1718935457865438
classification.96.0.false_positive_rate,0.08649680782565776
classification.96.0.precision,0.5359174428802703
classification.96.0.auroc,0.6237907024063222
classification.96.0.f1,0.26029759633729277
classification.96.0.balanced_accuracy,0.5426983689804431
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.13799912579813484
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,9
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8676470588235294
timing.0.75.alarm_episodes,803
timing.0.75.false_alarm_episodes,776
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,27
timing.0.75.missed_event_centers,41
timing.0.75.event_recall,0.39705882352941174
timing.0.75.false_alarms_per_sampled_center_ns,5.8277946753783185
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,66
timing.3.0.detected_window_timing_mae_ps,0.7361122140135231
timing.3.0.detected_window_timing_bias_ps,-0.3097394107507509
timing.3.0.timed_within_3ps_recall,0.7591240875912408
timing.3.0.alarm_episodes,1048
timing.3.0.false_alarm_episodes,952
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,96
timing.3.0.missed_event_centers,178
timing.3.0.event_recall,0.35036496350364965
timing.3.0.false_alarms_per_sampled_center_ns,7.149562539897112
timing.3.0.mean_detected_lead_ps,1.796875
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,473
timing.9.0.detected_window_timing_mae_ps,2.001219710124374
timing.9.0.detected_window_timing_bias_ps,-0.01945348829439938
timing.9.0.timed_within_3ps_recall,0.4024640657084189
timing.9.0.alarm_episodes,1383
timing.9.0.false_alarm_episodes,1162
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,221
timing.9.0.missed_event_centers,157
timing.9.0.event_recall,0.5846560846560847
timing.9.0.false_alarms_per_sampled_center_ns,8.726671923697946
timing.9.0.mean_detected_lead_ps,4.113122171945701
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1960
timing.24.0.detected_window_timing_mae_ps,5.129059784145871
timing.24.0.detected_window_timing_bias_ps,0.6012399489978324
timing.24.0.timed_within_3ps_recall,0.09712105445716268
timing.24.0.alarm_episodes,1765
timing.24.0.false_alarm_episodes,1403
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,309
timing.24.0.missed_event_centers,88
timing.24.0.event_recall,0.7783375314861462
timing.24.0.false_alarms_per_sampled_center_ns,10.536592692726522
timing.24.0.mean_detected_lead_ps,9.779126213592233
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4552
timing.48.0.detected_window_timing_mae_ps,10.66456077220615
timing.48.0.detected_window_timing_bias_ps,0.3958859688437969
timing.48.0.timed_within_3ps_recall,0.032424343199201865
timing.48.0.alarm_episodes,2091
timing.48.0.false_alarm_episodes,1540
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,316
timing.48.0.missed_event_centers,86
timing.48.0.event_recall,0.7860696517412935
timing.48.0.false_alarms_per_sampled_center_ns,11.565468814539447
timing.48.0.mean_detected_lead_ps,22.445411392405063
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,9941
timing.96.0.detected_window_timing_mae_ps,22.430588873800534
timing.96.0.detected_window_timing_bias_ps,-1.5723231249511385
timing.96.0.timed_within_3ps_recall,0.010060196256287623
timing.96.0.alarm_episodes,2236
timing.96.0.false_alarm_episodes,1371
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,281
timing.96.0.missed_event_centers,128
timing.96.0.event_recall,0.687041564792176
timing.96.0.false_alarms_per_sampled_center_ns,10.296271262814013
timing.96.0.mean_detected_lead_ps,53.70907473309609
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.006162096804240499
spatial.0.75.sampled_center_jaccard,0.03058489033306255
spatial.0.75.nearby_pair_difference_rmse,0.03913007308272941
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.019503229284151487
spatial.3.0.sampled_center_jaccard,0.08579829955976745
spatial.3.0.nearby_pair_difference_rmse,0.08209496486610993
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.057708706549938836
spatial.9.0.sampled_center_jaccard,0.13494519923895276
spatial.9.0.nearby_pair_difference_rmse,0.14793265384456306
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.1429461026619631
spatial.24.0.sampled_center_jaccard,0.13597713469096107
spatial.24.0.nearby_pair_difference_rmse,0.24130975374507077
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.23539374593160758
spatial.48.0.sampled_center_jaccard,0.14974841347244908
spatial.48.0.nearby_pair_difference_rmse,0.3039024464215434
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.32458169916953394
spatial.96.0.sampled_center_jaccard,0.15305319573176718
spatial.96.0.nearby_pair_difference_rmse,0.3639300491813244
spatial.96.0.nearby_pairs,16736
test_event_nll,1.112003642462087
