metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009533894940963593
classification.0.75.brier,0.0021836760503061406
classification.0.75.average_precision,0.24404190388835426
classification.0.75.threshold,0.011782361194491386
classification.0.75.recall,0.8810955673180091
classification.0.75.false_positive_rate,0.043781791905481225
classification.0.75.precision,0.047302982409570336
classification.0.75.auroc,0.9807763375242546
classification.0.75.f1,0.08978568123404308
classification.0.75.balanced_accuracy,0.918656887706264
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0010962145131181466
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.026943362252934946
classification.3.0.brier,0.006931332628540243
classification.3.0.average_precision,0.3624130023784834
classification.3.0.threshold,0.054283298552036285
classification.3.0.recall,0.8070299400263888
classification.3.0.false_positive_rate,0.04076902650036242
classification.3.0.precision,0.15013135712012868
classification.3.0.auroc,0.9709587521329159
classification.3.0.f1,0.2531663168871132
classification.3.0.balanced_accuracy,0.8831304567630132
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.002670075331905336
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07131444866889049
classification.9.0.brier,0.020304334590757818
classification.9.0.average_precision,0.5187400400805706
classification.9.0.threshold,0.21069121360778809
classification.9.0.recall,0.7319678746971157
classification.9.0.false_positive_rate,0.0387253700028709
classification.9.0.precision,0.37872205927796926
classification.9.0.auroc,0.9575938778755628
classification.9.0.f1,0.4991715011560169
classification.9.0.balanced_accuracy,0.8466212523471224
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0059583851964014715
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.1835778269238233
classification.24.0.brier,0.0508559111231729
classification.24.0.average_precision,0.6048087722204222
classification.24.0.threshold,0.40103477239608765
classification.24.0.recall,0.6313196857764366
classification.24.0.false_positive_rate,0.04204191166500393
classification.24.0.precision,0.6010452898349792
classification.24.0.auroc,0.892454862014728
classification.24.0.f1,0.6158106259515662
classification.24.0.balanced_accuracy,0.7946388870557163
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.012387817139997917
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3723110414764488
classification.48.0.brier,0.11104877622012617
classification.48.0.average_precision,0.5844791771940028
classification.48.0.threshold,0.4249895513057709
classification.48.0.recall,0.49273416988508795
classification.48.0.false_positive_rate,0.05131865394556806
classification.48.0.precision,0.6902900614428675
classification.48.0.auroc,0.7792777204068572
classification.48.0.f1,0.5750169631321568
classification.48.0.balanced_accuracy,0.7207077579697598
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.037543436020481366
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6031466997032252
classification.96.0.brier,0.21052158228138282
classification.96.0.average_precision,0.6243125217890331
classification.96.0.threshold,0.6621904373168945
classification.96.0.recall,0.32305899014479383
classification.96.0.false_positive_rate,0.05609569654238034
classification.96.0.precision,0.7699317104269483
classification.96.0.auroc,0.6963903010557492
classification.96.0.f1,0.45514268460083335
classification.96.0.balanced_accuracy,0.6334816468012072
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1196282851939319
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,9
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8676470588235294
timing.0.75.alarm_episodes,611
timing.0.75.false_alarm_episodes,596
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,15
timing.0.75.missed_event_centers,53
timing.0.75.event_recall,0.22058823529411764
timing.0.75.false_alarms_per_sampled_center_ns,4.475986632120461
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,51
timing.3.0.detected_window_timing_mae_ps,0.7243184429803727
timing.3.0.detected_window_timing_bias_ps,-0.35288291453625187
timing.3.0.timed_within_3ps_recall,0.8138686131386861
timing.3.0.alarm_episodes,629
timing.3.0.false_alarm_episodes,557
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,72
timing.3.0.missed_event_centers,202
timing.3.0.event_recall,0.26277372262773724
timing.3.0.false_alarms_per_sampled_center_ns,4.183094889414592
timing.3.0.mean_detected_lead_ps,2.1041666666666665
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,280
timing.9.0.detected_window_timing_mae_ps,1.9539287769351288
timing.9.0.detected_window_timing_bias_ps,-0.44066517685726925
timing.9.0.timed_within_3ps_recall,0.5708418891170431
timing.9.0.alarm_episodes,612
timing.9.0.false_alarm_episodes,456
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,156
timing.9.0.missed_event_centers,222
timing.9.0.event_recall,0.4126984126984127
timing.9.0.false_alarms_per_sampled_center_ns,3.4245803762532385
timing.9.0.mean_detected_lead_ps,5.197115384615385
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1113
timing.24.0.detected_window_timing_mae_ps,4.52716717293502
timing.24.0.detected_window_timing_bias_ps,-0.45616621141010505
timing.24.0.timed_within_3ps_recall,0.22754075615678113
timing.24.0.alarm_episodes,800
timing.24.0.false_alarm_episodes,444
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,296
timing.24.0.missed_event_centers,101
timing.24.0.event_recall,0.7455919395465995
timing.24.0.false_alarms_per_sampled_center_ns,3.334459840036048
timing.24.0.mean_detected_lead_ps,15.20016891891892
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3038
timing.48.0.detected_window_timing_mae_ps,8.33824384089095
timing.48.0.detected_window_timing_bias_ps,-0.12117842403005287
timing.48.0.timed_within_3ps_recall,0.09926837379447954
timing.48.0.alarm_episodes,1030
timing.48.0.false_alarm_episodes,443
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,371
timing.48.0.missed_event_centers,31
timing.48.0.event_recall,0.9228855721393034
timing.48.0.false_alarms_per_sampled_center_ns,3.326949795351282
timing.48.0.mean_detected_lead_ps,27.56401617250674
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8359
timing.96.0.detected_window_timing_mae_ps,15.489404655448824
timing.96.0.detected_window_timing_bias_ps,0.07373360262573356
timing.96.0.timed_within_3ps_recall,0.034056238146285146
timing.96.0.alarm_episodes,1485
timing.96.0.false_alarm_episodes,606
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,393
timing.96.0.missed_event_centers,16
timing.96.0.event_recall,0.960880195599022
timing.96.0.false_alarms_per_sampled_center_ns,4.55108707896812
timing.96.0.mean_detected_lead_ps,45.3206106870229
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.006175151825270918
spatial.0.75.sampled_center_jaccard,0.03608771929824561
spatial.0.75.nearby_pair_difference_rmse,0.03852527089639391
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.018081069432559712
spatial.3.0.sampled_center_jaccard,0.12531771551064155
spatial.3.0.nearby_pair_difference_rmse,0.0790366293497028
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04181630961359944
spatial.9.0.sampled_center_jaccard,0.273864777978702
spatial.9.0.nearby_pair_difference_rmse,0.13699205095554243
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.08851689356905494
spatial.24.0.sampled_center_jaccard,0.33341194662409057
spatial.24.0.nearby_pair_difference_rmse,0.2301468208270979
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.16754505489428326
spatial.48.0.sampled_center_jaccard,0.2988524609200062
spatial.48.0.nearby_pair_difference_rmse,0.3169386492634973
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2847148910048758
spatial.96.0.sampled_center_jaccard,0.22075314073478086
spatial.96.0.nearby_pair_difference_rmse,0.38045223614300344
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9776350099990434
