metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.017218961728488247
classification.0.75.brier,0.0024551382287302096
classification.0.75.average_precision,0.002553273115961862
classification.0.75.threshold,0.003541113343089819
classification.0.75.recall,0.045588493269749245
classification.0.75.false_positive_rate,0.04147224555020316
classification.0.75.precision,0.002704740946977375
classification.0.75.auroc,0.529165198202566
classification.0.75.f1,0.00510651508260285
classification.0.75.balanced_accuracy,0.5020581238597731
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0003386022103264809
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.05040306241033032
classification.3.0.brier,0.00876527826863271
classification.3.0.average_precision,0.0182198057736937
classification.3.0.threshold,0.014360087923705578
classification.3.0.recall,0.2604929441514344
classification.3.0.false_positive_rate,0.06742583615927715
classification.3.0.precision,0.0333279858487951
classification.3.0.auroc,0.6132414325546597
classification.3.0.f1,0.0590952125594538
classification.3.0.balanced_accuracy,0.5965335539960787
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0019332017191801604
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13784365195602657
classification.9.0.brier,0.03022358266012952
classification.9.0.average_precision,0.05451524485495039
classification.9.0.threshold,0.04749538376927376
classification.9.0.recall,0.2384934610935213
classification.9.0.false_positive_rate,0.06823627990430084
classification.9.0.precision,0.10130097561394329
classification.9.0.auroc,0.6100062155715978
classification.9.0.f1,0.14220138811230276
classification.9.0.balanced_accuracy,0.5851285905946103
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.003960931960335168
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.3049560980654458
classification.24.0.brier,0.08331191873548306
classification.24.0.average_precision,0.1218189931231496
classification.24.0.threshold,0.1546289622783661
classification.24.0.recall,0.17284771221071987
classification.24.0.false_positive_rate,0.1129561727732473
classification.24.0.precision,0.13308972880699516
classification.24.0.auroc,0.6013628932540891
classification.24.0.f1,0.15038535372793557
classification.24.0.balanced_accuracy,0.5299457697187364
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.030545255247374774
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.48473948560952534
classification.48.0.brier,0.15487883968469485
classification.48.0.average_precision,0.2019059456980093
classification.48.0.threshold,0.3129858076572418
classification.48.0.recall,0.04993213971108774
classification.48.0.false_positive_rate,0.07654521045328666
classification.48.0.precision,0.1315119079127135
classification.48.0.auroc,0.5674567493609525
classification.48.0.f1,0.07238232441975044
classification.48.0.balanced_accuracy,0.4866934646289004
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06313746145905502
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6639962122228981
classification.96.0.brier,0.2372085567647244
classification.96.0.average_precision,0.37512396026192446
classification.96.0.threshold,0.5959556698799133
classification.96.0.recall,0.007432262333104919
classification.96.0.false_positive_rate,0.028538918491884134
classification.96.0.precision,0.1314397241417355
classification.96.0.auroc,0.5653362529759369
classification.96.0.f1,0.014068993115314975
classification.96.0.balanced_accuracy,0.4894466719206104
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.10504894650278557
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,65
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.04411764705882353
timing.0.75.alarm_episodes,877
timing.0.75.false_alarm_episodes,875
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,2
timing.0.75.missed_event_centers,66
timing.0.75.event_recall,0.029411764705882353
timing.0.75.false_alarms_per_sampled_center_ns,6.57128909917014
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,216
timing.3.0.detected_window_timing_mae_ps,0.8252585890308405
timing.3.0.detected_window_timing_bias_ps,-0.4412584002438518
timing.3.0.timed_within_3ps_recall,0.2116788321167883
timing.3.0.alarm_episodes,433
timing.3.0.false_alarm_episodes,421
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,12
timing.3.0.missed_event_centers,262
timing.3.0.event_recall,0.043795620437956206
timing.3.0.false_alarms_per_sampled_center_ns,3.161728812286433
timing.3.0.mean_detected_lead_ps,1.75
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,788
timing.9.0.detected_window_timing_mae_ps,2.183136103142122
timing.9.0.detected_window_timing_bias_ps,-0.37825865158879257
timing.9.0.timed_within_3ps_recall,0.13347022587268995
timing.9.0.alarm_episodes,386
timing.9.0.false_alarm_episodes,363
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,23
timing.9.0.missed_event_centers,355
timing.9.0.event_recall,0.06084656084656084
timing.9.0.false_alarms_per_sampled_center_ns,2.7261462205700124
timing.9.0.mean_detected_lead_ps,4.793478260869565
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2278
timing.24.0.detected_window_timing_mae_ps,5.780334844040682
timing.24.0.detected_window_timing_bias_ps,0.5078114630017247
timing.24.0.timed_within_3ps_recall,0.05688518903919528
timing.24.0.alarm_episodes,175
timing.24.0.false_alarm_episodes,144
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,27
timing.24.0.missed_event_centers,370
timing.24.0.event_recall,0.06801007556675064
timing.24.0.false_alarms_per_sampled_center_ns,1.081446434606286
timing.24.0.mean_detected_lead_ps,11.944444444444445
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5701
timing.48.0.detected_window_timing_mae_ps,11.625994935705414
timing.48.0.detected_window_timing_bias_ps,-1.0549724177263444
timing.48.0.timed_within_3ps_recall,0.007149983372131693
timing.48.0.alarm_episodes,383
timing.48.0.false_alarm_episodes,346
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,21
timing.48.0.missed_event_centers,381
timing.48.0.event_recall,0.05223880597014925
timing.48.0.false_alarms_per_sampled_center_ns,2.5984754609289924
timing.48.0.mean_detected_lead_ps,31.5
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,12063
timing.96.0.detected_window_timing_mae_ps,25.68883271803209
timing.96.0.detected_window_timing_bias_ps,-24.725298799120374
timing.96.0.timed_within_3ps_recall,0.00041230312525768946
timing.96.0.alarm_episodes,311
timing.96.0.false_alarm_episodes,289
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,9
timing.96.0.missed_event_centers,400
timing.96.0.event_recall,0.022004889975550123
timing.96.0.false_alarms_per_sampled_center_ns,2.1704029138973375
timing.96.0.mean_detected_lead_ps,87.83333333333333
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005491284735614479
spatial.0.75.sampled_center_jaccard,0.0009332872450743174
spatial.0.75.nearby_pair_difference_rmse,0.040165776252637064
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.019853772683477326
spatial.3.0.sampled_center_jaccard,0.01867931703997278
spatial.3.0.nearby_pair_difference_rmse,0.08607687570322153
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.05958928329823764
spatial.9.0.sampled_center_jaccard,0.03947097396212441
spatial.9.0.nearby_pair_difference_rmse,0.1532409181618721
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.15280235910315726
spatial.24.0.sampled_center_jaccard,0.06586313106917502
spatial.24.0.nearby_pair_difference_rmse,0.23801029397154483
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.25092357854217895
spatial.48.0.sampled_center_jaccard,0.019350656625369896
spatial.48.0.nearby_pair_difference_rmse,0.30078227862452994
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.35321693732640796
spatial.96.0.sampled_center_jaccard,0.0021286557016744014
spatial.96.0.nearby_pair_difference_rmse,0.36321173339592205
spatial.96.0.nearby_pairs,16736
test_event_nll,1.13033644273315
