metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.017280226370615166
classification.0.75.brier,0.002455453801704465
classification.0.75.average_precision,0.0026807231418816756
classification.0.75.threshold,0.003900756360962987
classification.0.75.recall,0.0
classification.0.75.false_positive_rate,0.04563110317460699
classification.0.75.precision,0.0
classification.0.75.auroc,0.5586619688516404
classification.0.75.f1,0.0
classification.0.75.balanced_accuracy,0.4771844484126965
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00018354963499731504
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04917482678648674
classification.3.0.brier,0.008742168159038288
classification.3.0.average_precision,0.015640316048264272
classification.3.0.threshold,0.020754266530275345
classification.3.0.recall,0.11289313647342812
classification.3.0.false_positive_rate,0.045343644252906525
classification.3.0.precision,0.021735405787265766
classification.3.0.auroc,0.673890482500489
classification.3.0.f1,0.03645256927904118
classification.3.0.balanced_accuracy,0.5337747461102608
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0012472693797196228
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13703448102757765
classification.9.0.brier,0.030149302642324256
classification.9.0.average_precision,0.04217981050721024
classification.9.0.threshold,0.05469813570380211
classification.9.0.recall,0.059786879462722035
classification.9.0.false_positive_rate,0.05650209403642015
classification.9.0.precision,0.032999419561704955
classification.9.0.auroc,0.6175600392437406
classification.9.0.f1,0.042526371682440965
classification.9.0.balanced_accuracy,0.5016423927131509
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.004379148878324989
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.30375710533493533
classification.24.0.brier,0.08272752524981938
classification.24.0.average_precision,0.11038151461553924
classification.24.0.threshold,0.15407367050647736
classification.24.0.recall,0.08428329115819069
classification.24.0.false_positive_rate,0.05878495784874981
classification.24.0.precision,0.12575497351148082
classification.24.0.auroc,0.5765824493301397
classification.24.0.f1,0.10092487731916736
classification.24.0.balanced_accuracy,0.5127491666547205
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.016173458234133083
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.49038264282002325
classification.48.0.brier,0.15607741827472293
classification.48.0.average_precision,0.20186805113608722
classification.48.0.threshold,0.34181106090545654
classification.48.0.recall,0.03921551266015392
classification.48.0.false_positive_rate,0.045900316101918394
classification.48.0.precision,0.16550305862905357
classification.48.0.auroc,0.5523653419933351
classification.48.0.f1,0.06340692248963546
classification.48.0.balanced_accuracy,0.4966575982791177
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.051272616932327986
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6787859812923834
classification.96.0.brier,0.24323221894451358
classification.96.0.average_precision,0.40659521721706476
classification.96.0.threshold,0.6461825370788574
classification.96.0.recall,0.05034719248970067
classification.96.0.false_positive_rate,0.04322663268873712
classification.96.0.precision,0.40362964512565475
classification.96.0.auroc,0.5710371066513373
classification.96.0.f1,0.08952712012549402
classification.96.0.balanced_accuracy,0.5035602799004819
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.09935148825866524
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,68
timing.0.75.detected_window_timing_mae_ps,
timing.0.75.detected_window_timing_bias_ps,
timing.0.75.timed_within_3ps_recall,0.0
timing.0.75.alarm_episodes,1532
timing.0.75.false_alarm_episodes,1532
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,0
timing.0.75.missed_event_centers,68
timing.0.75.event_recall,0.0
timing.0.75.false_alarms_per_sampled_center_ns,11.50538845706132
timing.0.75.mean_detected_lead_ps,
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,248
timing.3.0.detected_window_timing_mae_ps,0.8962576579470589
timing.3.0.detected_window_timing_bias_ps,-0.4306066297073511
timing.3.0.timed_within_3ps_recall,0.0948905109489051
timing.3.0.alarm_episodes,964
timing.3.0.false_alarm_episodes,943
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,21
timing.3.0.missed_event_centers,253
timing.3.0.event_recall,0.07664233576642336
timing.3.0.false_alarms_per_sampled_center_ns,7.081972137734219
timing.3.0.mean_detected_lead_ps,2.142857142857143
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,914
timing.9.0.detected_window_timing_mae_ps,2.1233228550099437
timing.9.0.detected_window_timing_bias_ps,-0.8927053067457483
timing.9.0.timed_within_3ps_recall,0.043121149897330596
timing.9.0.alarm_episodes,945
timing.9.0.false_alarm_episodes,912
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,33
timing.9.0.missed_event_centers,345
timing.9.0.event_recall,0.0873015873015873
timing.9.0.false_alarms_per_sampled_center_ns,6.849160752506477
timing.9.0.mean_detected_lead_ps,4.931818181818182
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2669
timing.24.0.detected_window_timing_mae_ps,5.917089830527477
timing.24.0.detected_window_timing_bias_ps,1.110396285422755
timing.24.0.timed_within_3ps_recall,0.01734304543877905
timing.24.0.alarm_episodes,1484
timing.24.0.false_alarm_episodes,1338
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,106
timing.24.0.missed_event_centers,291
timing.24.0.event_recall,0.26700251889168763
timing.24.0.false_alarms_per_sampled_center_ns,10.04843978821674
timing.24.0.mean_detected_lead_ps,13.81132075471698
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5826
timing.48.0.detected_window_timing_mae_ps,11.58089850144563
timing.48.0.detected_window_timing_bias_ps,-1.6514665889846512
timing.48.0.timed_within_3ps_recall,0.0038244097106750917
timing.48.0.alarm_episodes,1122
timing.48.0.false_alarm_episodes,999
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,78
timing.48.0.missed_event_centers,324
timing.48.0.event_recall,0.19402985074626866
timing.48.0.false_alarms_per_sampled_center_ns,7.502534640081109
timing.48.0.mean_detected_lead_ps,31.634615384615383
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11680
timing.96.0.detected_window_timing_mae_ps,22.537469350769477
timing.96.0.detected_window_timing_bias_ps,-7.021729974635533
timing.96.0.timed_within_3ps_recall,0.002308897501443061
timing.96.0.alarm_episodes,994
timing.96.0.false_alarm_episodes,708
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,105
timing.96.0.missed_event_centers,304
timing.96.0.event_recall,0.2567237163814181
timing.96.0.false_alarms_per_sampled_center_ns,5.317111636814239
timing.96.0.mean_detected_lead_ps,74.82857142857142
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.0052218383211786725
spatial.0.75.sampled_center_jaccard,0.0
spatial.0.75.nearby_pair_difference_rmse,0.04017743654899559
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.02100769418152363
spatial.3.0.sampled_center_jaccard,0.012658227848101266
spatial.3.0.nearby_pair_difference_rmse,0.08627821017111581
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.06310399665038051
spatial.9.0.sampled_center_jaccard,0.01711317659923455
spatial.9.0.nearby_pair_difference_rmse,0.15379067562574392
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.1501603760853192
spatial.24.0.sampled_center_jaccard,0.03744009807199376
spatial.24.0.nearby_pair_difference_rmse,0.24026870165891023
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.25523744635395346
spatial.48.0.sampled_center_jaccard,0.017031889893732
spatial.48.0.nearby_pair_difference_rmse,0.30534742817136357
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3612323724188308
spatial.96.0.sampled_center_jaccard,0.021628111291872188
spatial.96.0.nearby_pair_difference_rmse,0.36838436812914077
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1444486194798793
