metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009397414279775692
classification.0.75.brier,0.0020782014445731014
classification.0.75.average_precision,0.28019082779939497
classification.0.75.threshold,0.0030065120663493867
classification.0.75.recall,0.888362100941092
classification.0.75.false_positive_rate,0.04135049075746688
classification.0.75.precision,0.05033653518447114
classification.0.75.auroc,0.98001575257795
classification.0.75.f1,0.09527460343426021
classification.0.75.balanced_accuracy,0.9235058050918126
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0011080222260288633
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.028387985372377356
classification.3.0.brier,0.0071011386745416395
classification.3.0.average_precision,0.3450246838532374
classification.3.0.threshold,0.022116931155323986
classification.3.0.recall,0.8072267087522126
classification.3.0.false_positive_rate,0.042420051268333744
classification.3.0.precision,0.14516643156353756
classification.3.0.auroc,0.965501525388762
classification.3.0.f1,0.24607951446077805
classification.3.0.balanced_accuracy,0.8824033287419395
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.002906728866148397
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.1029064515580181
classification.9.0.brier,0.028411260402109652
classification.9.0.average_precision,0.40494530273868035
classification.9.0.threshold,0.29247248172760015
classification.9.0.recall,0.6103054392800307
classification.9.0.false_positive_rate,0.04928542048327843
classification.9.0.precision,0.28538874889628485
classification.9.0.auroc,0.9232557618268136
classification.9.0.f1,0.38891467212789294
classification.9.0.balanced_accuracy,0.7805100093983761
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0303261251789026
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.3299149195091045
classification.24.0.brier,0.09008995818390574
classification.24.0.average_precision,0.4185888661990156
classification.24.0.threshold,0.6048702001571655
classification.24.0.recall,0.4058456372927627
classification.24.0.false_positive_rate,0.045537465969049416
classification.24.0.precision,0.4720577695062199
classification.24.0.auroc,0.8103187706626473
classification.24.0.f1,0.43645481910772305
classification.24.0.balanced_accuracy,0.6801540856618566
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.11633006666815515
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.5581449510499451
classification.48.0.brier,0.17366791578966834
classification.48.0.average_precision,0.4332246229847151
classification.48.0.threshold,0.7026858329772949
classification.48.0.recall,0.2804322646839665
classification.48.0.false_positive_rate,0.04374142273426633
classification.48.0.precision,0.5981101469314115
classification.48.0.auroc,0.7040764688389426
classification.48.0.f1,0.3818355968177591
classification.48.0.balanced_accuracy,0.61834542097485
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.1670782729922434
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.7887797266074836
classification.96.0.brier,0.2734462213793212
classification.96.0.average_precision,0.535283208395084
classification.96.0.threshold,0.8604443073272705
classification.96.0.recall,0.18437331135964058
classification.96.0.false_positive_rate,0.043523919694016214
classification.96.0.precision,0.7111142266123878
classification.96.0.auroc,0.6383660560882514
classification.96.0.f1,0.2928248114147876
classification.96.0.balanced_accuracy,0.5704246958328123
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.20823654166077862
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,8
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8823529411764706
timing.0.75.alarm_episodes,644
timing.0.75.false_alarm_episodes,620
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,24
timing.0.75.missed_event_centers,44
timing.0.75.event_recall,0.35294117647058826
timing.0.75.false_alarms_per_sampled_center_ns,4.656227704554842
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,57
timing.3.0.detected_window_timing_mae_ps,0.757038777460931
timing.3.0.detected_window_timing_bias_ps,-0.4427144439634721
timing.3.0.timed_within_3ps_recall,0.791970802919708
timing.3.0.alarm_episodes,702
timing.3.0.false_alarm_episodes,643
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,59
timing.3.0.missed_event_centers,215
timing.3.0.event_recall,0.21532846715328466
timing.3.0.false_alarms_per_sampled_center_ns,4.828958732304457
timing.3.0.mean_detected_lead_ps,1.7796610169491525
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,371
timing.9.0.detected_window_timing_mae_ps,2.145966325684699
timing.9.0.detected_window_timing_bias_ps,0.7195859404546098
timing.9.0.timed_within_3ps_recall,0.44353182751540043
timing.9.0.alarm_episodes,739
timing.9.0.false_alarm_episodes,527
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,212
timing.9.0.missed_event_centers,166
timing.9.0.event_recall,0.5608465608465608
timing.9.0.false_alarms_per_sampled_center_ns,3.957793548871616
timing.9.0.mean_detected_lead_ps,4.712264150943396
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1694
timing.24.0.detected_window_timing_mae_ps,4.872355102399526
timing.24.0.detected_window_timing_bias_ps,-0.07406962256402039
timing.24.0.timed_within_3ps_recall,0.1383975026014568
timing.24.0.alarm_episodes,760
timing.24.0.false_alarm_episodes,376
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,320
timing.24.0.missed_event_centers,77
timing.24.0.event_recall,0.8060453400503779
timing.24.0.false_alarms_per_sampled_center_ns,2.823776801471969
timing.24.0.mean_detected_lead_ps,10.98046875
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4296
timing.48.0.detected_window_timing_mae_ps,8.994228098352878
timing.48.0.detected_window_timing_bias_ps,-2.949055746123857
timing.48.0.timed_within_3ps_recall,0.06717658796142334
timing.48.0.alarm_episodes,869
timing.48.0.false_alarm_episodes,342
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,355
timing.48.0.missed_event_centers,47
timing.48.0.event_recall,0.8830845771144279
timing.48.0.false_alarms_per_sampled_center_ns,2.5684352821899292
timing.48.0.mean_detected_lead_ps,18.48380281690141
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,9915
timing.96.0.detected_window_timing_mae_ps,18.13209872726166
timing.96.0.detected_window_timing_bias_ps,-7.810304498814217
timing.96.0.timed_within_3ps_recall,0.027871691267419806
timing.96.0.alarm_episodes,1333
timing.96.0.false_alarm_episodes,581
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,376
timing.96.0.missed_event_centers,33
timing.96.0.event_recall,0.9193154034229829
timing.96.0.false_alarms_per_sampled_center_ns,4.363335961848973
timing.96.0.mean_detected_lead_ps,36.151595744680854
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.00412305606057762
spatial.0.75.sampled_center_jaccard,0.03618099231306778
spatial.0.75.nearby_pair_difference_rmse,0.03814400710858532
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.01378080794372924
spatial.3.0.sampled_center_jaccard,0.11790151630407221
spatial.3.0.nearby_pair_difference_rmse,0.07958277168217529
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.08906373540068654
spatial.9.0.sampled_center_jaccard,0.19380620756328973
spatial.9.0.nearby_pair_difference_rmse,0.15286047163644798
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.21131998698579488
spatial.24.0.sampled_center_jaccard,0.22273646955702703
spatial.24.0.nearby_pair_difference_rmse,0.2664238972338662
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.28914730629891805
spatial.48.0.sampled_center_jaccard,0.2211938067264363
spatial.48.0.nearby_pair_difference_rmse,0.33974590078452915
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3483042956360016
spatial.96.0.sampled_center_jaccard,0.2100705537119812
spatial.96.0.nearby_pair_difference_rmse,0.40196123146334267
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,8
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.8823529411764706
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.6927222992184094
fine_timing.3.0.detected_window_timing_bias_ps,-0.03341411501606981
fine_timing.3.0.missed_windows,57
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.791970802919708
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.7002828905697557
fine_timing.9.0.detected_window_timing_mae_ps,2.085355991864803
fine_timing.9.0.detected_window_timing_bias_ps,0.6833040680440929
fine_timing.9.0.missed_windows,371
fine_timing.9.0.positive_windows,974
fine_timing.9.0.timed_within_3ps_recall,0.45687885010266943
