metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009388705686354321
classification.0.75.brier,0.002145699139283182
classification.0.75.average_precision,0.28983018336179206
classification.0.75.threshold,0.006653590593487026
classification.0.75.recall,0.8448119213467636
classification.0.75.false_positive_rate,0.04598859369926653
classification.0.75.precision,0.0433574595499519
classification.0.75.auroc,0.9655705597913072
classification.0.75.f1,0.08248178668381498
classification.0.75.balanced_accuracy,0.8994116638237487
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0005410851880742973
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.026617754964374227
classification.3.0.brier,0.006834731062943011
classification.3.0.average_precision,0.3864013512134097
classification.3.0.threshold,0.037419248372316374
classification.3.0.recall,0.7992331361665401
classification.3.0.false_positive_rate,0.04121078207343039
classification.3.0.precision,0.14753628007874456
classification.3.0.auroc,0.9660187104065783
classification.3.0.f1,0.24909102850684173
classification.3.0.balanced_accuracy,0.8790111770465548
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0010243498402796312
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07225965837274446
classification.9.0.brier,0.02034426453224288
classification.9.0.average_precision,0.5198934107180653
classification.9.0.threshold,0.1479785442352295
classification.9.0.recall,0.7324327718532414
classification.9.0.false_positive_rate,0.03792357390796917
classification.9.0.precision,0.3838073279929987
classification.9.0.auroc,0.9533916071909522
classification.9.0.f1,0.5036784919986677
classification.9.0.balanced_accuracy,0.847254598972636
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.004537713594202326
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.1857499123238729
classification.24.0.brier,0.051516894459273745
classification.24.0.average_precision,0.6024112990796474
classification.24.0.threshold,0.3129287660121918
classification.24.0.recall,0.6207886728884353
classification.24.0.false_positive_rate,0.0422486320110584
classification.24.0.precision,0.5958242142921494
classification.24.0.auroc,0.8878666504993243
classification.24.0.f1,0.6080503127373429
classification.24.0.balanced_accuracy,0.7892700204386884
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.010989978586656441
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.36656863999768285
classification.48.0.brier,0.11016861800868605
classification.48.0.average_precision,0.5845220780903382
classification.48.0.threshold,0.38316667079925537
classification.48.0.recall,0.4805134067954451
classification.48.0.false_positive_rate,0.053002560859187656
classification.48.0.precision,0.6778863252011632
classification.48.0.auroc,0.7822287720353013
classification.48.0.f1,0.562385260537007
classification.48.0.balanced_accuracy,0.7137554229681286
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.018977472754375942
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5833492205288608
classification.96.0.brier,0.2037538991735742
classification.96.0.average_precision,0.6306446046956522
classification.96.0.threshold,0.6340498328208923
classification.96.0.recall,0.31890428893919515
classification.96.0.false_positive_rate,0.05534259602638595
classification.96.0.precision,0.7700330701768844
classification.96.0.auroc,0.7080247635931021
classification.96.0.f1,0.45102107416676107
classification.96.0.balanced_accuracy,0.6317808464564051
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.10595675987516841
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,10
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8529411764705882
timing.0.75.alarm_episodes,645
timing.0.75.false_alarm_episodes,629
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,16
timing.0.75.missed_event_centers,52
timing.0.75.event_recall,0.23529411764705882
timing.0.75.false_alarms_per_sampled_center_ns,4.723818106717735
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,59
timing.3.0.detected_window_timing_mae_ps,0.7373304317675806
timing.3.0.detected_window_timing_bias_ps,-0.3636646900584191
timing.3.0.timed_within_3ps_recall,0.7846715328467153
timing.3.0.alarm_episodes,649
timing.3.0.false_alarm_episodes,582
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,67
timing.3.0.missed_event_centers,207
timing.3.0.event_recall,0.24452554744525548
timing.3.0.false_alarms_per_sampled_center_ns,4.370846006533739
timing.3.0.mean_detected_lead_ps,2.093283582089552
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,279
timing.9.0.detected_window_timing_mae_ps,1.9243072616324255
timing.9.0.detected_window_timing_bias_ps,-0.1908637237460449
timing.9.0.timed_within_3ps_recall,0.5626283367556468
timing.9.0.alarm_episodes,697
timing.9.0.false_alarm_episodes,518
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,179
timing.9.0.missed_event_centers,199
timing.9.0.event_recall,0.47354497354497355
timing.9.0.false_alarms_per_sampled_center_ns,3.890203146708723
timing.9.0.mean_detected_lead_ps,5.300279329608938
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1106
timing.24.0.detected_window_timing_mae_ps,4.659278343062344
timing.24.0.detected_window_timing_bias_ps,0.32721670384457663
timing.24.0.timed_within_3ps_recall,0.2154006243496358
timing.24.0.alarm_episodes,885
timing.24.0.false_alarm_episodes,500
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,308
timing.24.0.missed_event_centers,89
timing.24.0.event_recall,0.7758186397984886
timing.24.0.false_alarms_per_sampled_center_ns,3.755022342382937
timing.24.0.mean_detected_lead_ps,15.158279220779221
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3074
timing.48.0.detected_window_timing_mae_ps,8.872205553373682
timing.48.0.detected_window_timing_bias_ps,1.461174329165087
timing.48.0.timed_within_3ps_recall,0.08829398071167277
timing.48.0.alarm_episodes,1071
timing.48.0.false_alarm_episodes,478
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,375
timing.48.0.missed_event_centers,27
timing.48.0.event_recall,0.9328358208955224
timing.48.0.false_alarms_per_sampled_center_ns,3.5898013593180877
timing.48.0.mean_detected_lead_ps,26.394
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8314
timing.96.0.detected_window_timing_mae_ps,16.744236581733364
timing.96.0.detected_window_timing_bias_ps,3.221154029515097
timing.96.0.timed_within_3ps_recall,0.027789230642368268
timing.96.0.alarm_episodes,1511
timing.96.0.false_alarm_episodes,627
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,397
timing.96.0.missed_event_centers,12
timing.96.0.event_recall,0.9706601466992665
timing.96.0.false_alarms_per_sampled_center_ns,4.708798017348204
timing.96.0.mean_detected_lead_ps,43.8948362720403
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.004902751275353398
spatial.0.75.sampled_center_jaccard,0.031203515889114266
spatial.0.75.nearby_pair_difference_rmse,0.038039257595606224
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.015671163810385788
spatial.3.0.sampled_center_jaccard,0.11980056980056979
spatial.3.0.nearby_pair_difference_rmse,0.07806702513529129
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.03984582768298684
spatial.9.0.sampled_center_jaccard,0.27649881763805817
spatial.9.0.nearby_pair_difference_rmse,0.1363909390810523
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.08757627970380052
spatial.24.0.sampled_center_jaccard,0.3337262615729769
spatial.24.0.nearby_pair_difference_rmse,0.22799864299743255
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.16264445020757679
spatial.48.0.sampled_center_jaccard,0.302450702061294
spatial.48.0.nearby_pair_difference_rmse,0.3104023687515
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.27104981089932767
spatial.96.0.sampled_center_jaccard,0.2452610116241907
spatial.96.0.nearby_pair_difference_rmse,0.3745761258503867
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,10
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.8529411764705882
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.6859555567574073
fine_timing.3.0.detected_window_timing_bias_ps,0.018065069355593
fine_timing.3.0.missed_windows,59
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.7846715328467153
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.6925163876659438
fine_timing.9.0.detected_window_timing_mae_ps,1.910023653657953
fine_timing.9.0.detected_window_timing_bias_ps,0.05564440364132135
fine_timing.9.0.missed_windows,279
fine_timing.9.0.positive_windows,974
fine_timing.9.0.timed_within_3ps_recall,0.5759753593429158
