metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.00978593489176693
classification.0.75.brier,0.0021479905113212443
classification.0.75.average_precision,0.24902440702800857
classification.0.75.threshold,0.002149923937395216
classification.0.75.recall,0.9051239501682629
classification.0.75.false_positive_rate,0.04682722996319469
classification.0.75.precision,0.0455178393138244
classification.0.75.auroc,0.9707314395031065
classification.0.75.f1,0.08667678399725831
classification.0.75.balanced_accuracy,0.9291483601025341
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0012768330443684395
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.0276026812048809
classification.3.0.brier,0.006969034362525531
classification.3.0.average_precision,0.383902707656038
classification.3.0.threshold,0.018615366891026507
classification.3.0.recall,0.8251333076798483
classification.3.0.false_positive_rate,0.0426122812087184
classification.3.0.precision,0.14734140517401237
classification.3.0.auroc,0.9690814990744252
classification.3.0.f1,0.2500348839974403
classification.3.0.balanced_accuracy,0.8912605132355649
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0038482171454843244
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07218026314038636
classification.9.0.brier,0.020324526359804952
classification.9.0.average_precision,0.5223492431762028
classification.9.0.threshold,0.1320251226425171
classification.9.0.recall,0.7409373177220668
classification.9.0.false_positive_rate,0.042159181129122494
classification.9.0.precision,0.361755214937985
classification.9.0.auroc,0.9535430787533713
classification.9.0.f1,0.48615172532551026
classification.9.0.balanced_accuracy,0.8493890682964721
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.004487218044334908
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18621578801867333
classification.24.0.brier,0.051491904637892404
classification.24.0.average_precision,0.6073789287629241
classification.24.0.threshold,0.30168893933296204
classification.24.0.recall,0.624531801526633
classification.24.0.false_positive_rate,0.04449336487016478
classification.24.0.precision,0.5847586338895397
classification.24.0.auroc,0.8859000943556402
classification.24.0.f1,0.6039911544584486
classification.24.0.balanced_accuracy,0.7900192183282342
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.010603487513988775
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.36957246330519194
classification.48.0.brier,0.11117530151710676
classification.48.0.average_precision,0.5824672163621293
classification.48.0.threshold,0.3732449412345886
classification.48.0.recall,0.4843212990371167
classification.48.0.false_positive_rate,0.0556696788115197
classification.48.0.precision,0.668824466626066
classification.48.0.auroc,0.7807793901238915
classification.48.0.f1,0.5618126418178376
classification.48.0.balanced_accuracy,0.7143258101127983
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.02389945354654676
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5764162963411071
classification.96.0.brier,0.1988824570565985
classification.96.0.average_precision,0.6222138642372183
classification.96.0.threshold,0.5620942115783691
classification.96.0.recall,0.3296303717446852
classification.96.0.false_positive_rate,0.07116047641750947
classification.96.0.precision,0.7291243019722871
classification.96.0.auroc,0.7018298557891242
classification.96.0.f1,0.4540079409773787
classification.96.0.balanced_accuracy,0.6292349476635883
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.0748530714044906
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,6
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9117647058823529
timing.0.75.alarm_episodes,616
timing.0.75.false_alarm_episodes,599
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,17
timing.0.75.missed_event_centers,51
timing.0.75.event_recall,0.25
timing.0.75.false_alarms_per_sampled_center_ns,4.498516766174759
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,47
timing.3.0.detected_window_timing_mae_ps,0.7372437963449163
timing.3.0.detected_window_timing_bias_ps,-0.35267564121879014
timing.3.0.timed_within_3ps_recall,0.8284671532846716
timing.3.0.alarm_episodes,649
timing.3.0.false_alarm_episodes,577
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,72
timing.3.0.missed_event_centers,202
timing.3.0.event_recall,0.26277372262773724
timing.3.0.false_alarms_per_sampled_center_ns,4.333295783109909
timing.3.0.mean_detected_lead_ps,1.84375
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,264
timing.9.0.detected_window_timing_mae_ps,1.9632891953218865
timing.9.0.detected_window_timing_bias_ps,0.2127203802777874
timing.9.0.timed_within_3ps_recall,0.5687885010266941
timing.9.0.alarm_episodes,724
timing.9.0.false_alarm_episodes,548
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,176
timing.9.0.missed_event_centers,202
timing.9.0.event_recall,0.4656084656084656
timing.9.0.false_alarms_per_sampled_center_ns,4.115504487251699
timing.9.0.mean_detected_lead_ps,5.411931818181818
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1072
timing.24.0.detected_window_timing_mae_ps,4.692658192993829
timing.24.0.detected_window_timing_bias_ps,0.8103002953972316
timing.24.0.timed_within_3ps_recall,0.2171349288935137
timing.24.0.alarm_episodes,868
timing.24.0.false_alarm_episodes,484
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,316
timing.24.0.missed_event_centers,81
timing.24.0.event_recall,0.7959697732997482
timing.24.0.false_alarms_per_sampled_center_ns,3.634861627426683
timing.24.0.mean_detected_lead_ps,14.738924050632912
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3066
timing.48.0.detected_window_timing_mae_ps,8.973537549721899
timing.48.0.detected_window_timing_bias_ps,1.6413310489092041
timing.48.0.timed_within_3ps_recall,0.08729630861323578
timing.48.0.alarm_episodes,1070
timing.48.0.false_alarm_episodes,491
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,374
timing.48.0.missed_event_centers,28
timing.48.0.event_recall,0.9303482587064676
timing.48.0.false_alarms_per_sampled_center_ns,3.687431940220044
timing.48.0.mean_detected_lead_ps,25.638368983957218
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8106
timing.96.0.detected_window_timing_mae_ps,16.626098079235764
timing.96.0.detected_window_timing_bias_ps,2.5351818813718086
timing.96.0.timed_within_3ps_recall,0.0361177537725736
timing.96.0.alarm_episodes,1644
timing.96.0.false_alarm_episodes,786
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,394
timing.96.0.missed_event_centers,15
timing.96.0.event_recall,0.9633251833740831
timing.96.0.false_alarms_per_sampled_center_ns,5.902895122225977
timing.96.0.mean_detected_lead_ps,42.23032994923858
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.003907779776772346
spatial.0.75.sampled_center_jaccard,0.03384732052578361
spatial.0.75.nearby_pair_difference_rmse,0.038291051448484166
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.012981099024052369
spatial.3.0.sampled_center_jaccard,0.11978833155460691
spatial.3.0.nearby_pair_difference_rmse,0.07809362864419038
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.03956898541450355
spatial.9.0.sampled_center_jaccard,0.2627850127159519
spatial.9.0.nearby_pair_difference_rmse,0.13598204795527244
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.08892706316643757
spatial.24.0.sampled_center_jaccard,0.3280661536881302
spatial.24.0.nearby_pair_difference_rmse,0.2276257716454348
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.1623270053513957
spatial.48.0.sampled_center_jaccard,0.3048958562888181
spatial.48.0.nearby_pair_difference_rmse,0.31025965647051906
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.26262545111457614
spatial.96.0.sampled_center_jaccard,0.2731536887469091
spatial.96.0.nearby_pair_difference_rmse,0.37641621152958493
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,6
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.9117647058823529
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.673664143418077
fine_timing.3.0.detected_window_timing_bias_ps,0.043640369555896466
fine_timing.3.0.missed_windows,47
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.8284671532846716
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.6797723643549924
fine_timing.9.0.detected_window_timing_mae_ps,1.942206994888561
fine_timing.9.0.detected_window_timing_bias_ps,0.4711859479106065
fine_timing.9.0.missed_windows,264
fine_timing.9.0.positive_windows,974
fine_timing.9.0.timed_within_3ps_recall,0.5718685831622177
