metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009341888791270425
classification.0.75.brier,0.0020712050118239576
classification.0.75.average_precision,0.2865344149433837
classification.0.75.threshold,0.003585210070014002
classification.0.75.recall,0.904392523198931
classification.0.75.false_positive_rate,0.04800431970656839
classification.0.75.precision,0.04441700688563686
classification.0.75.auroc,0.9790445882466029
classification.0.75.f1,0.08467539091152469
classification.0.75.balanced_accuracy,0.9281941017461813
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0009202348790937374
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.026314921662775947
classification.3.0.brier,0.006725319680819941
classification.3.0.average_precision,0.3862178161886426
classification.3.0.threshold,0.026364669203758243
classification.3.0.recall,0.8076099882945216
classification.3.0.false_positive_rate,0.04270816074615924
classification.3.0.precision,0.1443871119845963
classification.3.0.auroc,0.9728800884945287
classification.3.0.f1,0.24497653151584375
classification.3.0.balanced_accuracy,0.8824509137741812
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.00224544325297288
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07132223257307956
classification.9.0.brier,0.020203031779897566
classification.9.0.average_precision,0.5223872050462329
classification.9.0.threshold,0.14788323640823367
classification.9.0.recall,0.7260756611534878
classification.9.0.false_positive_rate,0.041615832799980275
classification.9.0.precision,0.3600737374030256
classification.9.0.auroc,0.9555006882519975
classification.9.0.f1,0.48140850107059396
classification.9.0.balanced_accuracy,0.8422299141767537
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0026089711860659403
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.1877026684764396
classification.24.0.brier,0.052017274509352264
classification.24.0.average_precision,0.596750520937918
classification.24.0.threshold,0.33323675394058233
classification.24.0.recall,0.6096011153281069
classification.24.0.false_positive_rate,0.04428305776706446
classification.24.0.precision,0.5800258987858752
classification.24.0.auroc,0.8834453083024503
classification.24.0.f1,0.5944458735789587
classification.24.0.balanced_accuracy,0.7826590287805213
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.00616364778695378
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.372391329906724
classification.48.0.brier,0.11222960493077203
classification.48.0.average_precision,0.5745502404909044
classification.48.0.threshold,0.41009801626205444
classification.48.0.recall,0.471225685357272
classification.48.0.false_positive_rate,0.05369590400218449
classification.48.0.precision,0.6707459081192015
classification.48.0.auroc,0.7769274334605568
classification.48.0.f1,0.553556151588403
classification.48.0.balanced_accuracy,0.7087648906775437
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.024889749167433903
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5806589749361843
classification.96.0.brier,0.20050156001538016
classification.96.0.average_precision,0.6234097396445755
classification.96.0.threshold,0.6003656983375549
classification.96.0.recall,0.3134889561364432
classification.96.0.false_positive_rate,0.05796827285523987
classification.96.0.precision,0.7585997761723825
classification.96.0.auroc,0.7037835499865597
classification.96.0.f1,0.4436435992484916
classification.96.0.balanced_accuracy,0.6277603416406021
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.08611502755587508
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,5
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.9264705882352942
timing.0.75.alarm_episodes,590
timing.0.75.false_alarm_episodes,571
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,19
timing.0.75.missed_event_centers,49
timing.0.75.event_recall,0.27941176470588236
timing.0.75.false_alarms_per_sampled_center_ns,4.288235515001314
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,49
timing.3.0.detected_window_timing_mae_ps,0.7399360071186261
timing.3.0.detected_window_timing_bias_ps,-0.3833540114209424
timing.3.0.timed_within_3ps_recall,0.8211678832116789
timing.3.0.alarm_episodes,661
timing.3.0.false_alarm_episodes,582
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,79
timing.3.0.missed_event_centers,195
timing.3.0.event_recall,0.28832116788321166
timing.3.0.false_alarms_per_sampled_center_ns,4.370846006533739
timing.3.0.mean_detected_lead_ps,2.0126582278481013
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,278
timing.9.0.detected_window_timing_mae_ps,1.9440441954742018
timing.9.0.detected_window_timing_bias_ps,0.05704373409653021
timing.9.0.timed_within_3ps_recall,0.5677618069815195
timing.9.0.alarm_episodes,705
timing.9.0.false_alarm_episodes,534
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,171
timing.9.0.missed_event_centers,207
timing.9.0.event_recall,0.4523809523809524
timing.9.0.false_alarms_per_sampled_center_ns,4.010363861664977
timing.9.0.mean_detected_lead_ps,5.451754385964913
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1132
timing.24.0.detected_window_timing_mae_ps,4.6510053443111365
timing.24.0.detected_window_timing_bias_ps,0.6192098595285143
timing.24.0.timed_within_3ps_recall,0.21678806798473813
timing.24.0.alarm_episodes,880
timing.24.0.false_alarm_episodes,500
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,320
timing.24.0.missed_event_centers,77
timing.24.0.event_recall,0.8060453400503779
timing.24.0.false_alarms_per_sampled_center_ns,3.755022342382937
timing.24.0.mean_detected_lead_ps,14.4890625
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3185
timing.48.0.detected_window_timing_mae_ps,8.817608420467158
timing.48.0.detected_window_timing_bias_ps,1.121763850381923
timing.48.0.timed_within_3ps_recall,0.09095443964083805
timing.48.0.alarm_episodes,1034
timing.48.0.false_alarm_episodes,447
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,377
timing.48.0.missed_event_centers,25
timing.48.0.event_recall,0.9378109452736318
timing.48.0.false_alarms_per_sampled_center_ns,3.3569899740903457
timing.48.0.mean_detected_lead_ps,25.2473474801061
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8425
timing.96.0.detected_window_timing_mae_ps,16.53081831533065
timing.96.0.detected_window_timing_bias_ps,2.0051827781366525
timing.96.0.timed_within_3ps_recall,0.03364393502102746
timing.96.0.alarm_episodes,1332
timing.96.0.false_alarm_episodes,533
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,391
timing.96.0.missed_event_centers,18
timing.96.0.event_recall,0.9559902200488998
timing.96.0.false_alarms_per_sampled_center_ns,4.002853816980211
timing.96.0.mean_detected_lead_ps,39.55434782608695
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.0045300067726664435
spatial.0.75.sampled_center_jaccard,0.03297740637573507
spatial.0.75.nearby_pair_difference_rmse,0.03764583244792405
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.014268776696720354
spatial.3.0.sampled_center_jaccard,0.12156366092536304
spatial.3.0.nearby_pair_difference_rmse,0.07789200668009734
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04065838283314399
spatial.9.0.sampled_center_jaccard,0.25733822834814724
spatial.9.0.nearby_pair_difference_rmse,0.13604703470832413
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09171073389784544
spatial.24.0.sampled_center_jaccard,0.3137868634147389
spatial.24.0.nearby_pair_difference_rmse,0.22988488444970842
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.16386950671194522
spatial.48.0.sampled_center_jaccard,0.2910365072803496
spatial.48.0.nearby_pair_difference_rmse,0.31361691743320746
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2614364085177837
spatial.96.0.sampled_center_jaccard,0.2702633213194556
spatial.96.0.nearby_pair_difference_rmse,0.37796855106557947
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,5
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.9264705882352942
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.668830571480525
fine_timing.3.0.detected_window_timing_bias_ps,0.010278642291933001
fine_timing.3.0.missed_windows,49
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.8211678832116789
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.6782169212259429
fine_timing.9.0.detected_window_timing_mae_ps,1.918584006963607
fine_timing.9.0.detected_window_timing_bias_ps,0.26658280607554924
fine_timing.9.0.missed_windows,278
fine_timing.9.0.positive_windows,974
fine_timing.9.0.timed_within_3ps_recall,0.582135523613963
