metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.00966623620229111
classification.0.75.brier,0.002201609747908819
classification.0.75.average_precision,0.2487917031216491
classification.0.75.threshold,0.0064592473208904275
classification.0.75.recall,0.8653954007514487
classification.0.75.false_positive_rate,0.044055758757281224
classification.0.75.precision,0.046223492104796586
classification.0.75.auroc,0.9676983199675245
classification.0.75.f1,0.08775947446378735
classification.0.75.balanced_accuracy,0.9106698209970838
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0008416010685989196
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02702057906789447
classification.3.0.brier,0.006998087465686144
classification.3.0.average_precision,0.3653412561832
classification.3.0.threshold,0.0405079796910286
classification.3.0.recall,0.8230158777070897
classification.3.0.false_positive_rate,0.04051461114146583
classification.3.0.precision,0.15346273047845554
classification.3.0.auroc,0.9681700084351219
classification.3.0.f1,0.2586892590606621
classification.3.0.balanced_accuracy,0.891250633282812
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0013999196281574938
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07377640502422139
classification.9.0.brier,0.02090735094659177
classification.9.0.average_precision,0.501192706933592
classification.9.0.threshold,0.1538280695676804
classification.9.0.recall,0.7072651159349159
classification.9.0.false_positive_rate,0.03621645895135735
classification.9.0.precision,0.3864342357948766
classification.9.0.auroc,0.9521577441965444
classification.9.0.f1,0.49979266084123614
classification.9.0.balanced_accuracy,0.8355243284917793
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.005884370239227139
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18917805365845294
classification.24.0.brier,0.052486264161018925
classification.24.0.average_precision,0.590905408212902
classification.24.0.threshold,0.310765266418457
classification.24.0.recall,0.6196865503887694
classification.24.0.false_positive_rate,0.04286946935309812
classification.24.0.precision,0.5918771635645207
classification.24.0.auroc,0.8869759101896142
classification.24.0.f1,0.6054626983609511
classification.24.0.balanced_accuracy,0.7884085405178356
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.014893355615282565
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.37036788408553717
classification.48.0.brier,0.11143682888961429
classification.48.0.average_precision,0.5745625853574955
classification.48.0.threshold,0.36982157826423645
classification.48.0.recall,0.4749462797763467
classification.48.0.false_positive_rate,0.05266624754905335
classification.48.0.precision,0.6767305754455051
classification.48.0.auroc,0.7807224503048229
classification.48.0.f1,0.5581612025307816
classification.48.0.balanced_accuracy,0.7111400161136465
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.02612684145408359
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5817526871972593
classification.96.0.brier,0.20242977730564565
classification.96.0.average_precision,0.6278786146670088
classification.96.0.threshold,0.6183708906173706
classification.96.0.recall,0.3143667342885577
classification.96.0.false_positive_rate,0.053365946334072184
classification.96.0.precision,0.7739125868870452
classification.96.0.auroc,0.7091538286860818
classification.96.0.f1,0.4471138389392098
classification.96.0.balanced_accuracy,0.6305003939772432
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.09840129453126852
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,9
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8676470588235294
timing.0.75.alarm_episodes,676
timing.0.75.false_alarm_episodes,663
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,13
timing.0.75.missed_event_centers,55
timing.0.75.event_recall,0.19117647058823528
timing.0.75.false_alarms_per_sampled_center_ns,4.979159625999775
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,53
timing.3.0.detected_window_timing_mae_ps,0.7270095866176679
timing.3.0.detected_window_timing_bias_ps,-0.30997787342341565
timing.3.0.timed_within_3ps_recall,0.8065693430656934
timing.3.0.alarm_episodes,656
timing.3.0.false_alarm_episodes,592
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,64
timing.3.0.missed_event_centers,210
timing.3.0.event_recall,0.23357664233576642
timing.3.0.false_alarms_per_sampled_center_ns,4.4459464533813975
timing.3.0.mean_detected_lead_ps,2.05078125
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,311
timing.9.0.detected_window_timing_mae_ps,1.9300508970006616
timing.9.0.detected_window_timing_bias_ps,-0.2956486396738613
timing.9.0.timed_within_3ps_recall,0.5328542094455853
timing.9.0.alarm_episodes,691
timing.9.0.false_alarm_episodes,518
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,173
timing.9.0.missed_event_centers,205
timing.9.0.event_recall,0.4576719576719577
timing.9.0.false_alarms_per_sampled_center_ns,3.890203146708723
timing.9.0.mean_detected_lead_ps,5.341040462427745
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1125
timing.24.0.detected_window_timing_mae_ps,4.677613665689003
timing.24.0.detected_window_timing_bias_ps,0.12983567209049737
timing.24.0.timed_within_3ps_recall,0.21089143253555323
timing.24.0.alarm_episodes,885
timing.24.0.false_alarm_episodes,504
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,305
timing.24.0.missed_event_centers,92
timing.24.0.event_recall,0.7682619647355163
timing.24.0.false_alarms_per_sampled_center_ns,3.7850625211220006
timing.24.0.mean_detected_lead_ps,15.236065573770492
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3121
timing.48.0.detected_window_timing_mae_ps,8.909169686647761
timing.48.0.detected_window_timing_bias_ps,1.233589776428759
timing.48.0.timed_within_3ps_recall,0.08513468573328899
timing.48.0.alarm_episodes,1133
timing.48.0.false_alarm_episodes,534
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,379
timing.48.0.missed_event_centers,23
timing.48.0.event_recall,0.9427860696517413
timing.48.0.false_alarms_per_sampled_center_ns,4.010363861664977
timing.48.0.mean_detected_lead_ps,26.616094986807386
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8392
timing.96.0.detected_window_timing_mae_ps,16.810325575643766
timing.96.0.detected_window_timing_bias_ps,2.8111094868402535
timing.96.0.timed_within_3ps_recall,0.02729446689205904
timing.96.0.alarm_episodes,1519
timing.96.0.false_alarm_episodes,632
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,395
timing.96.0.missed_event_centers,14
timing.96.0.event_recall,0.9657701711491442
timing.96.0.false_alarms_per_sampled_center_ns,4.746348240772033
timing.96.0.mean_detected_lead_ps,44.03544303797468
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.0045784420961914
spatial.0.75.sampled_center_jaccard,0.033226037195994276
spatial.0.75.nearby_pair_difference_rmse,0.03826048979510143
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.015604944388953783
spatial.3.0.sampled_center_jaccard,0.1286167039522744
spatial.3.0.nearby_pair_difference_rmse,0.07875577547866502
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.03822639513118778
spatial.9.0.sampled_center_jaccard,0.27245175055765686
spatial.9.0.nearby_pair_difference_rmse,0.13762792627016093
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.08768732371701429
spatial.24.0.sampled_center_jaccard,0.32700155260995967
spatial.24.0.nearby_pair_difference_rmse,0.22885079148502702
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.1635846415198576
spatial.48.0.sampled_center_jaccard,0.29047793218757634
spatial.48.0.nearby_pair_difference_rmse,0.310652700847457
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2686915837057835
spatial.96.0.sampled_center_jaccard,0.22966763401721113
spatial.96.0.nearby_pair_difference_rmse,0.37455264911847885
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,9
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.8676470588235294
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.6997757289933474
fine_timing.3.0.detected_window_timing_bias_ps,0.052501401314367244
fine_timing.3.0.missed_windows,53
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.8065693430656934
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.7007944569855287
fine_timing.9.0.detected_window_timing_mae_ps,1.8987301407249793
fine_timing.9.0.detected_window_timing_bias_ps,-0.07120707372487742
fine_timing.9.0.missed_windows,311
fine_timing.9.0.positive_windows,974
fine_timing.9.0.timed_within_3ps_recall,0.5400410677618069
