metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.01267425217449091
classification.0.75.brier,0.0024459346246674413
classification.0.75.average_precision,0.21143249292554403
classification.0.75.threshold,0.060697555541992194
classification.0.75.recall,0.7455648599087722
classification.0.75.false_positive_rate,0.02672436819716189
classification.0.75.precision,0.06439813590067309
classification.0.75.auroc,0.8946593476057251
classification.0.75.f1,0.11855600174225024
classification.0.75.balanced_accuracy,0.8594202458558053
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0027607461115511825
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03245002204293224
classification.3.0.brier,0.006965820803110457
classification.3.0.average_precision,0.3257743415746797
classification.3.0.threshold,0.030681375414133086
classification.3.0.recall,0.7213299238542771
classification.3.0.false_positive_rate,0.03276202551709269
classification.3.0.precision,0.16421665971195623
classification.3.0.auroc,0.8805773043683496
classification.3.0.f1,0.2675283104104923
classification.3.0.balanced_accuracy,0.8442839491685922
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.002368629819715871
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.08556135022401251
classification.9.0.brier,0.021416354002772864
classification.9.0.average_precision,0.46716646919108046
classification.9.0.threshold,0.09220795333385473
classification.9.0.recall,0.6683709509289962
classification.9.0.false_positive_rate,0.033170060809958546
classification.9.0.precision,0.393882312792009
classification.9.0.auroc,0.8997855782589007
classification.9.0.f1,0.49566239040344523
classification.9.0.balanced_accuracy,0.8176004450595188
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.010970345514660026
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.22061634889212525
classification.24.0.brier,0.05429352526131064
classification.24.0.average_precision,0.5459879199000617
classification.24.0.threshold,0.24618808925151828
classification.24.0.recall,0.6205403026296452
classification.24.0.false_positive_rate,0.042996563003456445
classification.24.0.precision,0.5914945971189659
classification.24.0.auroc,0.8540844335364925
classification.24.0.f1,0.6056694182257168
classification.24.0.balanced_accuracy,0.7887718698130944
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03044021788028158
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4568772901432762
classification.48.0.brier,0.11912783376413803
classification.48.0.average_precision,0.5432401160730715
classification.48.0.threshold,0.37131708860397333
classification.48.0.recall,0.470816956593967
classification.48.0.false_positive_rate,0.05147011196822035
classification.48.0.precision,0.6798381931698545
classification.48.0.auroc,0.7609826834985618
classification.48.0.f1,0.5563427915831609
classification.48.0.balanced_accuracy,0.7096734223128731
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.07543427229158461
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6782397249452202
classification.96.0.brier,0.23471654079969126
classification.96.0.average_precision,0.6034405112401408
classification.96.0.threshold,0.8326640725135803
classification.96.0.recall,0.29539427903334076
classification.96.0.false_positive_rate,0.04843420777464382
classification.96.0.precision,0.7799293099977818
classification.96.0.auroc,0.6961976944660895
classification.96.0.f1,0.4284973538641456
classification.96.0.balanced_accuracy,0.6234800356293488
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.17367918315462952
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,18
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.7352941176470589
timing.0.75.alarm_episodes,518
timing.0.75.false_alarm_episodes,504
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,14
timing.0.75.missed_event_centers,54
timing.0.75.event_recall,0.20588235294117646
timing.0.75.false_alarms_per_sampled_center_ns,3.7850625211220006
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,84
timing.3.0.detected_window_timing_mae_ps,1.1769810271920982
timing.3.0.detected_window_timing_bias_ps,-1.150997712623398
timing.3.0.timed_within_3ps_recall,0.6934306569343066
timing.3.0.alarm_episodes,655
timing.3.0.false_alarm_episodes,590
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,65
timing.3.0.missed_event_centers,209
timing.3.0.event_recall,0.23722627737226276
timing.3.0.false_alarms_per_sampled_center_ns,4.4309263640118655
timing.3.0.mean_detected_lead_ps,1.9384615384615385
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,342
timing.9.0.detected_window_timing_mae_ps,2.0194333077615934
timing.9.0.detected_window_timing_bias_ps,-0.5322415839031951
timing.9.0.timed_within_3ps_recall,0.4856262833675565
timing.9.0.alarm_episodes,678
timing.9.0.false_alarm_episodes,506
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,172
timing.9.0.missed_event_centers,206
timing.9.0.event_recall,0.455026455026455
timing.9.0.false_alarms_per_sampled_center_ns,3.800082610491532
timing.9.0.mean_detected_lead_ps,5.311046511627907
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1122
timing.24.0.detected_window_timing_mae_ps,5.016502097684828
timing.24.0.detected_window_timing_bias_ps,1.658877961456142
timing.24.0.timed_within_3ps_recall,0.1935483870967742
timing.24.0.alarm_episodes,827
timing.24.0.false_alarm_episodes,461
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,303
timing.24.0.missed_event_centers,94
timing.24.0.event_recall,0.7632241813602015
timing.24.0.false_alarms_per_sampled_center_ns,3.462130599677068
timing.24.0.mean_detected_lead_ps,14.896039603960396
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3135
timing.48.0.detected_window_timing_mae_ps,9.746500585842274
timing.48.0.detected_window_timing_bias_ps,4.070681600134131
timing.48.0.timed_within_3ps_recall,0.08064516129032258
timing.48.0.alarm_episodes,1068
timing.48.0.false_alarm_episodes,461
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,377
timing.48.0.missed_event_centers,25
timing.48.0.event_recall,0.9378109452736318
timing.48.0.false_alarms_per_sampled_center_ns,3.462130599677068
timing.48.0.mean_detected_lead_ps,26.315649867374006
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8567
timing.96.0.detected_window_timing_mae_ps,16.654917367592834
timing.96.0.detected_window_timing_bias_ps,2.518727625250391
timing.96.0.timed_within_3ps_recall,0.032984250020615155
timing.96.0.alarm_episodes,1393
timing.96.0.false_alarm_episodes,539
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,395
timing.96.0.missed_event_centers,14
timing.96.0.event_recall,0.9657701711491442
timing.96.0.false_alarms_per_sampled_center_ns,4.047914085088807
timing.96.0.mean_detected_lead_ps,43.78291139240506
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.007190197276606578
spatial.0.75.sampled_center_jaccard,0.04816639299397921
spatial.0.75.nearby_pair_difference_rmse,0.04182799613307662
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.012551205163020685
spatial.3.0.sampled_center_jaccard,0.12683760683760684
spatial.3.0.nearby_pair_difference_rmse,0.07843947758243977
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.03200751509739386
spatial.9.0.sampled_center_jaccard,0.2752058657642414
spatial.9.0.nearby_pair_difference_rmse,0.1373351100854845
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.06959611652665502
spatial.24.0.sampled_center_jaccard,0.3284684313523535
spatial.24.0.nearby_pair_difference_rmse,0.23730050531820934
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.1306524332261551
spatial.48.0.sampled_center_jaccard,0.29350791213076033
spatial.48.0.nearby_pair_difference_rmse,0.33940478850640793
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2881855873636588
spatial.96.0.sampled_center_jaccard,0.2245118842579063
spatial.96.0.nearby_pair_difference_rmse,0.3970549047466831
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,18
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.7352941176470589
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.9060939878413735
fine_timing.3.0.detected_window_timing_bias_ps,-0.7447254478026847
fine_timing.3.0.missed_windows,87
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.6824817518248175
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.923227186742587
fine_timing.9.0.detected_window_timing_mae_ps,2.0276061055839
fine_timing.9.0.detected_window_timing_bias_ps,-0.4283130696905603
fine_timing.9.0.missed_windows,345
fine_timing.9.0.positive_windows,974
fine_timing.9.0.timed_within_3ps_recall,0.49075975359342916
