metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.01677108647991585
classification.0.75.brier,0.0033378752635882386
classification.0.75.average_precision,0.16809975530738264
classification.0.75.threshold,0.09100058674812317
classification.0.75.recall,0.8049960352346123
classification.0.75.false_positive_rate,0.03672580798246245
classification.0.75.precision,0.05130427553905261
classification.0.75.auroc,0.905013982110856
classification.0.75.f1,0.09646087448504428
classification.0.75.balanced_accuracy,0.8841351136260749
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0074219849110298865
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.030950462047105946
classification.3.0.brier,0.0072083334672956665
classification.3.0.average_precision,0.32634256579439724
classification.3.0.threshold,0.09128743410110472
classification.3.0.recall,0.8016208684332067
classification.3.0.false_positive_rate,0.03925295231052057
classification.3.0.precision,0.15415204508255653
classification.3.0.auroc,0.9220802121007622
classification.3.0.f1,0.25857919700880033
classification.3.0.balanced_accuracy,0.881183958061343
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.003611130968995004
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07815770971849204
classification.9.0.brier,0.021233684443480373
classification.9.0.average_precision,0.4717799265985545
classification.9.0.threshold,0.18311704695224765
classification.9.0.recall,0.6759860723801725
classification.9.0.false_positive_rate,0.036320171482696395
classification.9.0.precision,0.3750954348961617
classification.9.0.auroc,0.9285257347908586
classification.9.0.f1,0.48247312515322777
classification.9.0.balanced_accuracy,0.819832950448738
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0054392280226210595
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.20860867431790442
classification.24.0.brier,0.05370327405353344
classification.24.0.average_precision,0.5515494972743551
classification.24.0.threshold,0.367400199174881
classification.24.0.recall,0.610351296213298
classification.24.0.false_positive_rate,0.04299098450744929
classification.24.0.precision,0.5875196908379333
classification.24.0.auroc,0.8671707459257819
classification.24.0.f1,0.5987179065694027
classification.24.0.balanced_accuracy,0.7836801558529244
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.0217712463154455
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4200314061060313
classification.48.0.brier,0.11610558971357783
classification.48.0.average_precision,0.5552310634435744
classification.48.0.threshold,0.4319231510162354
classification.48.0.recall,0.4635815312122157
classification.48.0.false_positive_rate,0.05123020089414844
classification.48.0.precision,0.6774796445889343
classification.48.0.auroc,0.7738346811592703
classification.48.0.f1,0.5504824064899697
classification.48.0.balanced_accuracy,0.7061756651590335
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.05611012668343572
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6181652084630223
classification.96.0.brier,0.2118647926718098
classification.96.0.average_precision,0.6154680746480872
classification.96.0.threshold,0.7417549490928651
classification.96.0.recall,0.2928036725668258
classification.96.0.false_positive_rate,0.0481373748013514
classification.96.0.precision,0.779472195592841
classification.96.0.auroc,0.7045091258881623
classification.96.0.f1,0.4256970212805844
classification.96.0.balanced_accuracy,0.6223331488827376
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11395525615675399
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,14
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.7941176470588235
timing.0.75.alarm_episodes,642
timing.0.75.false_alarm_episodes,630
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,12
timing.0.75.missed_event_centers,56
timing.0.75.event_recall,0.17647058823529413
timing.0.75.false_alarms_per_sampled_center_ns,4.731328151402501
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,60
timing.3.0.detected_window_timing_mae_ps,1.2546372017694545
timing.3.0.detected_window_timing_bias_ps,-1.2468905411517235
timing.3.0.timed_within_3ps_recall,0.781021897810219
timing.3.0.alarm_episodes,711
timing.3.0.false_alarm_episodes,651
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,60
timing.3.0.missed_event_centers,214
timing.3.0.event_recall,0.21897810218978103
timing.3.0.false_alarms_per_sampled_center_ns,4.889039089782584
timing.3.0.mean_detected_lead_ps,2.1
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,329
timing.9.0.detected_window_timing_mae_ps,2.133615999542691
timing.9.0.detected_window_timing_bias_ps,-1.132634769239745
timing.9.0.timed_within_3ps_recall,0.4784394250513347
timing.9.0.alarm_episodes,730
timing.9.0.false_alarm_episodes,557
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,173
timing.9.0.missed_event_centers,205
timing.9.0.event_recall,0.4576719576719577
timing.9.0.false_alarms_per_sampled_center_ns,4.183094889414592
timing.9.0.mean_detected_lead_ps,5.1979768786127165
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1146
timing.24.0.detected_window_timing_mae_ps,4.699437370792882
timing.24.0.detected_window_timing_bias_ps,-0.03754185163672687
timing.24.0.timed_within_3ps_recall,0.21574748525841136
timing.24.0.alarm_episodes,860
timing.24.0.false_alarm_episodes,492
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,306
timing.24.0.missed_event_centers,91
timing.24.0.event_recall,0.7707808564231738
timing.24.0.false_alarms_per_sampled_center_ns,3.69494198490481
timing.24.0.mean_detected_lead_ps,14.556372549019608
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3199
timing.48.0.detected_window_timing_mae_ps,8.787046099783883
timing.48.0.detected_window_timing_bias_ps,0.7520342547602751
timing.48.0.timed_within_3ps_recall,0.09461257066844031
timing.48.0.alarm_episodes,1085
timing.48.0.false_alarm_episodes,476
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,375
timing.48.0.missed_event_centers,27
timing.48.0.event_recall,0.9328358208955224
timing.48.0.false_alarms_per_sampled_center_ns,3.574781269948556
timing.48.0.mean_detected_lead_ps,26.35
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8632
timing.96.0.detected_window_timing_mae_ps,16.09301552222821
timing.96.0.detected_window_timing_bias_ps,0.09323724436564165
timing.96.0.timed_within_3ps_recall,0.03504576564690361
timing.96.0.alarm_episodes,1308
timing.96.0.false_alarm_episodes,483
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,393
timing.96.0.missed_event_centers,16
timing.96.0.event_recall,0.960880195599022
timing.96.0.false_alarms_per_sampled_center_ns,3.6273515827419174
timing.96.0.mean_detected_lead_ps,41.0
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.01304295988123497
spatial.0.75.sampled_center_jaccard,0.0368891797556719
spatial.0.75.nearby_pair_difference_rmse,0.04744724372494356
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.017272859132293587
spatial.3.0.sampled_center_jaccard,0.12347717118884165
spatial.3.0.nearby_pair_difference_rmse,0.07809702610353769
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.03849671598904171
spatial.9.0.sampled_center_jaccard,0.26944877488032254
spatial.9.0.nearby_pair_difference_rmse,0.13834081585101693
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.07924030356539206
spatial.24.0.sampled_center_jaccard,0.32130237299276443
spatial.24.0.nearby_pair_difference_rmse,0.23879065128661375
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.14101353507847347
spatial.48.0.sampled_center_jaccard,0.28653076537691924
spatial.48.0.nearby_pair_difference_rmse,0.33608927610680317
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.27172635907013876
spatial.96.0.sampled_center_jaccard,0.22349172722836372
spatial.96.0.nearby_pair_difference_rmse,0.4011185301407923
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,14
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.7941176470588235
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.9863880501223408
fine_timing.3.0.detected_window_timing_bias_ps,-0.8543896938345008
fine_timing.3.0.missed_windows,60
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.781021897810219
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.9827860186969732
fine_timing.9.0.detected_window_timing_mae_ps,2.1099098216057057
fine_timing.9.0.detected_window_timing_bias_ps,-1.016159765995227
fine_timing.9.0.missed_windows,338
fine_timing.9.0.positive_windows,974
fine_timing.9.0.timed_within_3ps_recall,0.48459958932238195
