metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.012954225209723514
classification.0.75.brier,0.002235198277086145
classification.0.75.average_precision,0.2423402236690186
classification.0.75.threshold,0.060697555541992194
classification.0.75.recall,0.6182037103783252
classification.0.75.false_positive_rate,0.021045408424855385
classification.0.75.precision,0.06757591948196713
classification.0.75.auroc,0.8541214418798563
classification.0.75.f1,0.1218341354481165
classification.0.75.balanced_accuracy,0.798579150976735
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0013466609914145234
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03421690991074682
classification.3.0.brier,0.007300103254590979
classification.3.0.average_precision,0.2965003346603083
classification.3.0.threshold,0.030681375414133086
classification.3.0.recall,0.680094697225555
classification.3.0.false_positive_rate,0.02812032271702625
classification.3.0.precision,0.17751577889810569
classification.3.0.auroc,0.8705583311025726
classification.3.0.f1,0.2815439952369654
classification.3.0.balanced_accuracy,0.8259871872542643
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.004038365245485525
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.08865367046283382
classification.9.0.brier,0.021755372032307364
classification.9.0.average_precision,0.450766815938582
classification.9.0.threshold,0.09220795333385473
classification.9.0.recall,0.665003893459257
classification.9.0.false_positive_rate,0.034795885005423965
classification.9.0.precision,0.3813259846913216
classification.9.0.auroc,0.8894896901132366
classification.9.0.f1,0.48470997491752865
classification.9.0.balanced_accuracy,0.8151040042269164
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.011528487467351715
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.22301651887378413
classification.24.0.brier,0.05467987108078502
classification.24.0.average_precision,0.5422643023758105
classification.24.0.threshold,0.2764911055564881
classification.24.0.recall,0.6053614098906718
classification.24.0.false_positive_rate,0.042408984947364926
classification.24.0.precision,0.588832826940319
classification.24.0.auroc,0.8503786503122173
classification.24.0.f1,0.5969827341529018
classification.24.0.balanced_accuracy,0.7814762124716534
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03169977752351854
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.48311227944887064
classification.48.0.brier,0.1207264703857195
classification.48.0.average_precision,0.5366031864693344
classification.48.0.threshold,0.3410140573978424
classification.48.0.recall,0.4717625435617622
classification.48.0.false_positive_rate,0.0525467529530056
classification.48.0.precision,0.6757553260810316
classification.48.0.auroc,0.7527329470402306
classification.48.0.f1,0.5556271669331514
classification.48.0.balanced_accuracy,0.7096078953043782
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.08678469221500121
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6785710140806335
classification.96.0.brier,0.23342603278673937
classification.96.0.average_precision,0.6050580493221276
classification.96.0.threshold,0.8326640725135803
classification.96.0.recall,0.2953582373900412
classification.96.0.false_positive_rate,0.04896943094111738
classification.96.0.precision,0.7780161319277572
classification.96.0.auroc,0.6963995675624792
classification.96.0.f1,0.42817022644811187
classification.96.0.balanced_accuracy,0.6231944032244623
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.17387974095956454
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,26
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6176470588235294
timing.0.75.alarm_episodes,452
timing.0.75.false_alarm_episodes,436
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,16
timing.0.75.missed_event_centers,52
timing.0.75.event_recall,0.23529411764705882
timing.0.75.false_alarms_per_sampled_center_ns,3.2743794825579213
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,95
timing.3.0.detected_window_timing_mae_ps,1.1275804363358868
timing.3.0.detected_window_timing_bias_ps,-1.0524401815683342
timing.3.0.timed_within_3ps_recall,0.6532846715328468
timing.3.0.alarm_episodes,615
timing.3.0.false_alarm_episodes,539
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,76
timing.3.0.missed_event_centers,198
timing.3.0.event_recall,0.2773722627737226
timing.3.0.false_alarms_per_sampled_center_ns,4.047914085088807
timing.3.0.mean_detected_lead_ps,2.023026315789474
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,342
timing.9.0.detected_window_timing_mae_ps,2.0521042665714084
timing.9.0.detected_window_timing_bias_ps,-0.11614082353754182
timing.9.0.timed_within_3ps_recall,0.4917864476386037
timing.9.0.alarm_episodes,704
timing.9.0.false_alarm_episodes,528
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,176
timing.9.0.missed_event_centers,202
timing.9.0.event_recall,0.4656084656084656
timing.9.0.false_alarms_per_sampled_center_ns,3.965303593556382
timing.9.0.mean_detected_lead_ps,5.019886363636363
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1150
timing.24.0.detected_window_timing_mae_ps,5.138198222055176
timing.24.0.detected_window_timing_bias_ps,1.9236788316953184
timing.24.0.timed_within_3ps_recall,0.18348942074228233
timing.24.0.alarm_episodes,848
timing.24.0.false_alarm_episodes,480
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,304
timing.24.0.missed_event_centers,93
timing.24.0.event_recall,0.7657430730478589
timing.24.0.false_alarms_per_sampled_center_ns,3.60482144868762
timing.24.0.mean_detected_lead_ps,15.08141447368421
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3136
timing.48.0.detected_window_timing_mae_ps,9.90563357075084
timing.48.0.detected_window_timing_bias_ps,4.164298143220563
timing.48.0.timed_within_3ps_recall,0.07332889923511805
timing.48.0.alarm_episodes,1059
timing.48.0.false_alarm_episodes,467
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,369
timing.48.0.missed_event_centers,33
timing.48.0.event_recall,0.917910447761194
timing.48.0.false_alarms_per_sampled_center_ns,3.5071908677856634
timing.48.0.mean_detected_lead_ps,25.849593495934958
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8566
timing.96.0.detected_window_timing_mae_ps,17.146510611359385
timing.96.0.detected_window_timing_bias_ps,3.17518550295247
timing.96.0.timed_within_3ps_recall,0.029026140018141338
timing.96.0.alarm_episodes,1429
timing.96.0.false_alarm_episodes,575
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,393
timing.96.0.missed_event_centers,16
timing.96.0.event_recall,0.960880195599022
timing.96.0.false_alarms_per_sampled_center_ns,4.318275693740378
timing.96.0.mean_detected_lead_ps,42.93702290076336
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005832978218565193
spatial.0.75.sampled_center_jaccard,0.05204402515723269
spatial.0.75.nearby_pair_difference_rmse,0.03964465476898157
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.012099489490145523
spatial.3.0.sampled_center_jaccard,0.13554652213188798
spatial.3.0.nearby_pair_difference_rmse,0.07989148426041756
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.032464697204034235
spatial.9.0.sampled_center_jaccard,0.264457152448089
spatial.9.0.nearby_pair_difference_rmse,0.13747746515972875
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.06990283873188156
spatial.24.0.sampled_center_jaccard,0.3261349096316416
spatial.24.0.nearby_pair_difference_rmse,0.23881776335692173
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.12798479939903742
spatial.48.0.sampled_center_jaccard,0.2933191038149928
spatial.48.0.nearby_pair_difference_rmse,0.3410732220444564
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2798604790672446
spatial.96.0.sampled_center_jaccard,0.22807224778827212
spatial.96.0.nearby_pair_difference_rmse,0.4005817559517259
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,26
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.6176470588235294
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.9029039475959176
fine_timing.3.0.detected_window_timing_bias_ps,-0.6615778856124628
fine_timing.3.0.missed_windows,101
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.6313868613138686
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.930946284688822
fine_timing.9.0.detected_window_timing_mae_ps,2.0512085650636305
fine_timing.9.0.detected_window_timing_bias_ps,-0.008812079328223331
fine_timing.9.0.missed_windows,348
fine_timing.9.0.positive_windows,974
fine_timing.9.0.timed_within_3ps_recall,0.48973305954825463
