metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.010123220966044176
classification.0.75.brier,0.002155606060734983
classification.0.75.average_precision,0.2516776242663751
classification.0.75.threshold,0.00996422767639161
classification.0.75.recall,0.802761552360182
classification.0.75.false_positive_rate,0.0460576543331201
classification.0.75.precision,0.04122909740653826
classification.0.75.auroc,0.9586137888876558
classification.0.75.f1,0.07843009693443852
classification.0.75.balanced_accuracy,0.8783519490135311
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0009174994487638117
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02694445799139631
classification.3.0.brier,0.006785836432061995
classification.3.0.average_precision,0.3719128245541523
classification.3.0.threshold,0.042643219232559204
classification.3.0.recall,0.8056082049200681
classification.3.0.false_positive_rate,0.04114267496115919
classification.3.0.precision,0.1487476109080225
classification.3.0.auroc,0.964377892309049
classification.3.0.f1,0.2511270824200568
classification.3.0.balanced_accuracy,0.8822327649794545
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0009458458313133303
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07204539188963803
classification.9.0.brier,0.020120142318780506
classification.9.0.average_precision,0.527146924145519
classification.9.0.threshold,0.15659193694591522
classification.9.0.recall,0.7278330424902186
classification.9.0.false_positive_rate,0.03983029029361975
classification.9.0.precision,0.37080295913318123
classification.9.0.auroc,0.9517859256403474
classification.9.0.f1,0.4913049372339652
classification.9.0.balanced_accuracy,0.8440013760982994
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.002962963055466167
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18775338769862387
classification.24.0.brier,0.05218802495824085
classification.24.0.average_precision,0.5968304707791108
classification.24.0.threshold,0.3118462562561035
classification.24.0.recall,0.6213894508043155
classification.24.0.false_positive_rate,0.04652884244771069
classification.24.0.precision,0.5726234006770022
classification.24.0.auroc,0.8843521161904091
classification.24.0.f1,0.5960105706114326
classification.24.0.balanced_accuracy,0.7874303041783024
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.006760543308333223
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3706412465285337
classification.48.0.brier,0.1121799127351534
classification.48.0.average_precision,0.5770749004184588
classification.48.0.threshold,0.371267169713974
classification.48.0.recall,0.48254440019217765
classification.48.0.false_positive_rate,0.05795790449061743
classification.48.0.precision,0.6590168807182583
classification.48.0.auroc,0.7844579977432786
classification.48.0.f1,0.5571403143054948
classification.48.0.balanced_accuracy,0.71229324785078
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.02708883813849301
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5795312286982448
classification.96.0.brier,0.20135243396363975
classification.96.0.average_precision,0.633588432860357
classification.96.0.threshold,0.6265584230422974
classification.96.0.recall,0.32161884637198823
classification.96.0.false_positive_rate,0.061832722654976524
classification.96.0.precision,0.7513983699874485
classification.96.0.auroc,0.7117236580949822
classification.96.0.f1,0.45043802324268395
classification.96.0.balanced_accuracy,0.6298930618585062
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.09650334697339255
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,14
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.7941176470588235
timing.0.75.alarm_episodes,582
timing.0.75.false_alarm_episodes,567
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,15
timing.0.75.missed_event_centers,53
timing.0.75.event_recall,0.22058823529411764
timing.0.75.false_alarms_per_sampled_center_ns,4.258195336262251
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,57
timing.3.0.detected_window_timing_mae_ps,0.7763389661641167
timing.3.0.detected_window_timing_bias_ps,-0.4853505711566755
timing.3.0.timed_within_3ps_recall,0.791970802919708
timing.3.0.alarm_episodes,588
timing.3.0.false_alarm_episodes,514
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,74
timing.3.0.missed_event_centers,200
timing.3.0.event_recall,0.27007299270072993
timing.3.0.false_alarms_per_sampled_center_ns,3.8601629679696594
timing.3.0.mean_detected_lead_ps,2.0067567567567566
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,274
timing.9.0.detected_window_timing_mae_ps,1.9209261863140468
timing.9.0.detected_window_timing_bias_ps,-0.37588128907530305
timing.9.0.timed_within_3ps_recall,0.5718685831622177
timing.9.0.alarm_episodes,649
timing.9.0.false_alarm_episodes,475
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,174
timing.9.0.missed_event_centers,204
timing.9.0.event_recall,0.4603174603174603
timing.9.0.false_alarms_per_sampled_center_ns,3.56727122526379
timing.9.0.mean_detected_lead_ps,5.577586206896552
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1089
timing.24.0.detected_window_timing_mae_ps,4.514680604757419
timing.24.0.detected_window_timing_bias_ps,0.23299368924719463
timing.24.0.timed_within_3ps_recall,0.23759972251127298
timing.24.0.alarm_episodes,814
timing.24.0.false_alarm_episodes,448
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,305
timing.24.0.missed_event_centers,92
timing.24.0.event_recall,0.7682619647355163
timing.24.0.false_alarms_per_sampled_center_ns,3.3645000187751117
timing.24.0.mean_detected_lead_ps,15.061475409836065
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3064
timing.48.0.detected_window_timing_mae_ps,8.74833600096888
timing.48.0.detected_window_timing_bias_ps,1.2689554954443563
timing.48.0.timed_within_3ps_recall,0.09743930828067841
timing.48.0.alarm_episodes,992
timing.48.0.false_alarm_episodes,408
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,371
timing.48.0.missed_event_centers,31
timing.48.0.event_recall,0.9228855721393034
timing.48.0.false_alarms_per_sampled_center_ns,3.064098231384477
timing.48.0.mean_detected_lead_ps,26.03975741239892
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8311
timing.96.0.detected_window_timing_mae_ps,16.629077664600462
timing.96.0.detected_window_timing_bias_ps,1.7768354468095342
timing.96.0.timed_within_3ps_recall,0.03364393502102746
timing.96.0.alarm_episodes,1457
timing.96.0.false_alarm_episodes,593
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,394
timing.96.0.missed_event_centers,15
timing.96.0.event_recall,0.9633251833740831
timing.96.0.false_alarms_per_sampled_center_ns,4.4534564980661635
timing.96.0.mean_detected_lead_ps,42.78426395939086
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.0061735235015187104
spatial.0.75.sampled_center_jaccard,0.02789425486793908
spatial.0.75.nearby_pair_difference_rmse,0.038726645681399136
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.016742104483662357
spatial.3.0.sampled_center_jaccard,0.11626273270108886
spatial.3.0.nearby_pair_difference_rmse,0.07727767347252254
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.041578539921619
spatial.9.0.sampled_center_jaccard,0.2640246832678025
spatial.9.0.nearby_pair_difference_rmse,0.134932373735731
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.08930670055782994
spatial.24.0.sampled_center_jaccard,0.3206086976127737
spatial.24.0.nearby_pair_difference_rmse,0.22929284392257007
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.16478600768102697
spatial.48.0.sampled_center_jaccard,0.30425090722947157
spatial.48.0.nearby_pair_difference_rmse,0.31439021640519504
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.26837503633592535
spatial.96.0.sampled_center_jaccard,0.2579770797359769
spatial.96.0.nearby_pair_difference_rmse,0.38098110597299106
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,14
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.7941176470588235
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.6757901848287442
fine_timing.3.0.detected_window_timing_bias_ps,-0.06916924406361595
fine_timing.3.0.missed_windows,57
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.791970802919708
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.696226313885753
fine_timing.9.0.detected_window_timing_mae_ps,1.8956506188579818
fine_timing.9.0.detected_window_timing_bias_ps,-0.10890567487055314
fine_timing.9.0.missed_windows,274
fine_timing.9.0.positive_windows,974
fine_timing.9.0.timed_within_3ps_recall,0.5831622176591376
