metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009884639202546435
classification.0.75.brier,0.0022003762761086073
classification.0.75.average_precision,0.2941267330621302
classification.0.75.threshold,0.01304659061133861
classification.0.75.recall,0.8134774296165957
classification.0.75.false_positive_rate,0.03840577262569857
classification.0.75.precision,0.049662774270677695
classification.0.75.auroc,0.9762058833167948
classification.0.75.f1,0.09361062265294805
classification.0.75.balanced_accuracy,0.8875358284954487
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0004863549147529257
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.027565006037615383
classification.3.0.brier,0.007008136462802495
classification.3.0.average_precision,0.38409713834850945
classification.3.0.threshold,0.05623069405555725
classification.3.0.recall,0.7840853454553963
classification.3.0.false_positive_rate,0.03771455133343623
classification.3.0.precision,0.15649557309356998
classification.3.0.auroc,0.9687617682961325
classification.3.0.f1,0.2609151069758258
classification.3.0.balanced_accuracy,0.87318539706098
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0018525171818286547
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07332230637758057
classification.9.0.brier,0.02082121250685045
classification.9.0.average_precision,0.5122053845774744
classification.9.0.threshold,0.18342094123363495
classification.9.0.recall,0.710180767224575
classification.9.0.false_positive_rate,0.0365593505539848
classification.9.0.precision,0.385176137067022
classification.9.0.auroc,0.9539349876629774
classification.9.0.f1,0.49946219988591933
classification.9.0.balanced_accuracy,0.8368107083352951
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.004118167715885599
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.18703491073314002
classification.24.0.brier,0.05198529844701761
classification.24.0.average_precision,0.6000396766254938
classification.24.0.threshold,0.3352936208248139
classification.24.0.recall,0.6164455460834173
classification.24.0.false_positive_rate,0.042076488177253804
classification.24.0.precision,0.5951165254374814
classification.24.0.auroc,0.8849761168430073
classification.24.0.f1,0.6055932917181058
classification.24.0.balanced_accuracy,0.7871845289530817
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.009830758673225012
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.36830421345227177
classification.48.0.brier,0.11082705410999613
classification.48.0.average_precision,0.5817822225090786
classification.48.0.threshold,0.3988397717475891
classification.48.0.recall,0.46717325276922733
classification.48.0.false_positive_rate,0.048147193906294995
classification.48.0.precision,0.6925350010283089
classification.48.0.auroc,0.7778209049792706
classification.48.0.f1,0.5579572759398816
classification.48.0.balanced_accuracy,0.709513029431466
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.024140393329534597
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5745724557118785
classification.96.0.brier,0.1995303812548471
classification.96.0.average_precision,0.6345099817722154
classification.96.0.threshold,0.6120669841766357
classification.96.0.recall,0.31178855484628903
classification.96.0.false_positive_rate,0.046835034264031745
classification.96.0.precision,0.7945941231643874
classification.96.0.auroc,0.7088859679226359
classification.96.0.f1,0.4478474912427873
classification.96.0.balanced_accuracy,0.632476760291129
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.09162189435765011
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,13
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8088235294117647
timing.0.75.alarm_episodes,565
timing.0.75.false_alarm_episodes,554
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,11
timing.0.75.missed_event_centers,57
timing.0.75.event_recall,0.16176470588235295
timing.0.75.false_alarms_per_sampled_center_ns,4.160564755360294
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,63
timing.3.0.detected_window_timing_mae_ps,0.7601840869802696
timing.3.0.detected_window_timing_bias_ps,-0.4072957367150284
timing.3.0.timed_within_3ps_recall,0.7700729927007299
timing.3.0.alarm_episodes,578
timing.3.0.false_alarm_episodes,518
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,60
timing.3.0.missed_event_centers,214
timing.3.0.event_recall,0.21897810218978103
timing.3.0.false_alarms_per_sampled_center_ns,3.890203146708723
timing.3.0.mean_detected_lead_ps,2.0375
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,303
timing.9.0.detected_window_timing_mae_ps,1.974501373130843
timing.9.0.detected_window_timing_bias_ps,-0.39637340499823465
timing.9.0.timed_within_3ps_recall,0.5379876796714579
timing.9.0.alarm_episodes,677
timing.9.0.false_alarm_episodes,502
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,175
timing.9.0.missed_event_centers,203
timing.9.0.event_recall,0.46296296296296297
timing.9.0.false_alarms_per_sampled_center_ns,3.770042431752469
timing.9.0.mean_detected_lead_ps,5.288571428571428
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1124
timing.24.0.detected_window_timing_mae_ps,4.721566154929476
timing.24.0.detected_window_timing_bias_ps,-0.23057990256189323
timing.24.0.timed_within_3ps_recall,0.20568851890391954
timing.24.0.alarm_episodes,855
timing.24.0.false_alarm_episodes,477
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,303
timing.24.0.missed_event_centers,94
timing.24.0.event_recall,0.7632241813602015
timing.24.0.false_alarms_per_sampled_center_ns,3.582291314633322
timing.24.0.mean_detected_lead_ps,15.316831683168317
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3156
timing.48.0.detected_window_timing_mae_ps,8.790320514082548
timing.48.0.detected_window_timing_bias_ps,0.7259878553642123
timing.48.0.timed_within_3ps_recall,0.0857998004655803
timing.48.0.alarm_episodes,1056
timing.48.0.false_alarm_episodes,460
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,369
timing.48.0.missed_event_centers,33
timing.48.0.event_recall,0.917910447761194
timing.48.0.false_alarms_per_sampled_center_ns,3.454620554992302
timing.48.0.mean_detected_lead_ps,26.80081300813008
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8412
timing.96.0.detected_window_timing_mae_ps,16.62764521337885
timing.96.0.detected_window_timing_bias_ps,2.2843469951982884
timing.96.0.timed_within_3ps_recall,0.028366455017729036
timing.96.0.alarm_episodes,1276
timing.96.0.false_alarm_episodes,440
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,389
timing.96.0.missed_event_centers,20
timing.96.0.event_recall,0.9511002444987775
timing.96.0.false_alarms_per_sampled_center_ns,3.3044196612969845
timing.96.0.mean_detected_lead_ps,41.55848329048843
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.004832455741765444
spatial.0.75.sampled_center_jaccard,0.03508287292817679
spatial.0.75.nearby_pair_difference_rmse,0.0385996153770534
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.015699281375938973
spatial.3.0.sampled_center_jaccard,0.1390826873385013
spatial.3.0.nearby_pair_difference_rmse,0.07931431973172534
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.03846707529207222
spatial.9.0.sampled_center_jaccard,0.2785739010038075
spatial.9.0.nearby_pair_difference_rmse,0.13917027207434768
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.08443700919747048
spatial.24.0.sampled_center_jaccard,0.3298800558415943
spatial.24.0.nearby_pair_difference_rmse,0.22844450752582077
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.15917625760671397
spatial.48.0.sampled_center_jaccard,0.29271919933525137
spatial.48.0.nearby_pair_difference_rmse,0.3092083785192602
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.26335856873195
spatial.96.0.sampled_center_jaccard,0.2456172519169589
spatial.96.0.nearby_pair_difference_rmse,0.3764145239277227
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,13
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.8088235294117647
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.7138649769631679
fine_timing.3.0.detected_window_timing_bias_ps,-0.053617019560224286
fine_timing.3.0.missed_windows,63
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.7700729927007299
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.7202895310547618
fine_timing.9.0.detected_window_timing_mae_ps,1.941733502592668
fine_timing.9.0.detected_window_timing_bias_ps,-0.1861256212532807
fine_timing.9.0.missed_windows,303
fine_timing.9.0.positive_windows,974
fine_timing.9.0.timed_within_3ps_recall,0.5431211498973306
