metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.010211417643132959
classification.0.75.brier,0.0022562630096141555
classification.0.75.average_precision,0.17851147020590902
classification.0.75.threshold,0.004814952611923216
classification.0.75.recall,0.847971321957738
classification.0.75.false_positive_rate,0.04419488260807591
classification.0.75.precision,0.0451987468885355
classification.0.75.auroc,0.9764327251910628
classification.0.75.f1,0.08582294119956964
classification.0.75.balanced_accuracy,0.901888219674831
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00098898704762962
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.028237623828100574
classification.3.0.brier,0.007256938100388035
classification.3.0.average_precision,0.28104484284641224
classification.3.0.threshold,0.031625423580408096
classification.3.0.recall,0.8092357714320466
classification.3.0.false_positive_rate,0.042928782519429415
classification.3.0.precision,0.14399945278495846
classification.3.0.auroc,0.9668280595599157
classification.3.0.f1,0.24449266099235198
classification.3.0.balanced_accuracy,0.8831534944563086
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0015055907284144928
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.08127558533058803
classification.9.0.brier,0.02251088911398938
classification.9.0.average_precision,0.396214978278453
classification.9.0.threshold,0.20766198635101318
classification.9.0.recall,0.6567217016046086
classification.9.0.false_positive_rate,0.03930660314036805
classification.9.0.precision,0.350156848031674
classification.9.0.auroc,0.943671423298301
classification.9.0.f1,0.45676929188914545
classification.9.0.balanced_accuracy,0.8087075492321202
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.004768725187915453
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.2240069861003448
classification.24.0.brier,0.05933231271503892
classification.24.0.average_precision,0.5086934940039611
classification.24.0.threshold,0.42691630125045776
classification.24.0.recall,0.5663923018903301
classification.24.0.false_positive_rate,0.04271893602181889
classification.24.0.precision,0.5708504236475422
classification.24.0.auroc,0.8477857145611893
classification.24.0.f1,0.5686126245949492
classification.24.0.balanced_accuracy,0.7618366829342555
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.04933897457903435
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.43686340020240744
classification.48.0.brier,0.13172771463101737
classification.48.0.average_precision,0.5162965995336912
classification.48.0.threshold,0.5125989317893982
classification.48.0.recall,0.4250930521221584
classification.48.0.false_positive_rate,0.04608088402945715
classification.48.0.precision,0.6816728216162358
classification.48.0.auroc,0.7211951707877526
classification.48.0.f1,0.523641697246735
classification.48.0.balanced_accuracy,0.6895060840463505
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.11095294308043174
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6550619824974083
classification.96.0.brier,0.23118859066730293
classification.96.0.average_precision,0.5858823055005861
classification.96.0.threshold,0.7074786424636841
classification.96.0.recall,0.27156134245204294
classification.96.0.false_positive_rate,0.041269780561798475
classification.96.0.precision,0.7926884169531807
classification.96.0.auroc,0.6434298681148348
classification.96.0.f1,0.40453573750262334
classification.96.0.balanced_accuracy,0.6151457809451225
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.15661335986896482
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,10
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8529411764705882
timing.0.75.alarm_episodes,667
timing.0.75.false_alarm_episodes,650
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,17
timing.0.75.missed_event_centers,51
timing.0.75.event_recall,0.25
timing.0.75.false_alarms_per_sampled_center_ns,4.881529045097818
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,53
timing.3.0.detected_window_timing_mae_ps,0.7176719177283589
timing.3.0.detected_window_timing_bias_ps,-0.31358957516602565
timing.3.0.timed_within_3ps_recall,0.8065693430656934
timing.3.0.alarm_episodes,678
timing.3.0.false_alarm_episodes,619
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,59
timing.3.0.missed_event_centers,215
timing.3.0.event_recall,0.21532846715328466
timing.3.0.false_alarms_per_sampled_center_ns,4.648717659870076
timing.3.0.mean_detected_lead_ps,2.0720338983050848
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,344
timing.9.0.detected_window_timing_mae_ps,1.8974595900974793
timing.9.0.detected_window_timing_bias_ps,-0.2965953037305164
timing.9.0.timed_within_3ps_recall,0.5164271047227926
timing.9.0.alarm_episodes,745
timing.9.0.false_alarm_episodes,592
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,153
timing.9.0.missed_event_centers,225
timing.9.0.event_recall,0.40476190476190477
timing.9.0.false_alarms_per_sampled_center_ns,4.4459464533813975
timing.9.0.mean_detected_lead_ps,5.421568627450981
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1244
timing.24.0.detected_window_timing_mae_ps,4.8031881126799245
timing.24.0.detected_window_timing_bias_ps,0.13522144190217628
timing.24.0.timed_within_3ps_recall,0.18557058619493583
timing.24.0.alarm_episodes,961
timing.24.0.false_alarm_episodes,594
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,294
timing.24.0.missed_event_centers,103
timing.24.0.event_recall,0.7405541561712846
timing.24.0.false_alarms_per_sampled_center_ns,4.4609665427509295
timing.24.0.mean_detected_lead_ps,15.52295918367347
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3394
timing.48.0.detected_window_timing_mae_ps,8.720983071043314
timing.48.0.detected_window_timing_bias_ps,-0.6308340984584536
timing.48.0.timed_within_3ps_recall,0.08214166943797806
timing.48.0.alarm_episodes,1220
timing.48.0.false_alarm_episodes,622
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,361
timing.48.0.missed_event_centers,41
timing.48.0.event_recall,0.8980099502487562
timing.48.0.false_alarms_per_sampled_center_ns,4.6712477939243735
timing.48.0.mean_detected_lead_ps,27.31578947368421
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8784
timing.96.0.detected_window_timing_mae_ps,16.211864105302677
timing.96.0.detected_window_timing_bias_ps,-3.4248229294623953
timing.96.0.timed_within_3ps_recall,0.0361177537725736
timing.96.0.alarm_episodes,1388
timing.96.0.false_alarm_episodes,543
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,387
timing.96.0.missed_event_centers,22
timing.96.0.event_recall,0.9462102689486552
timing.96.0.false_alarms_per_sampled_center_ns,4.07795426382787
timing.96.0.mean_detected_lead_ps,42.28294573643411
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.004389342823259736
spatial.0.75.sampled_center_jaccard,0.030162767039674465
spatial.0.75.nearby_pair_difference_rmse,0.03899209211396847
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.014954902640452843
spatial.3.0.sampled_center_jaccard,0.11480384900074019
spatial.3.0.nearby_pair_difference_rmse,0.08008743591089719
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04004068222542108
spatial.9.0.sampled_center_jaccard,0.23056900726392254
spatial.9.0.nearby_pair_difference_rmse,0.142615744583374
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.10953991017817
spatial.24.0.sampled_center_jaccard,0.292381511289962
spatial.24.0.nearby_pair_difference_rmse,0.24341685175380087
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.21869230977113122
spatial.48.0.sampled_center_jaccard,0.2507153703422752
spatial.48.0.nearby_pair_difference_rmse,0.3245686314864235
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3377171347302606
spatial.96.0.sampled_center_jaccard,0.19725422104718338
spatial.96.0.nearby_pair_difference_rmse,0.3849436227436193
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,10
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.8529411764705882
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.6817914555594892
fine_timing.3.0.detected_window_timing_bias_ps,0.05747036618826326
fine_timing.3.0.missed_windows,53
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.8065693430656934
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.7140251262146727
fine_timing.9.0.detected_window_timing_mae_ps,1.8673220919805606
fine_timing.9.0.detected_window_timing_bias_ps,0.04598451979053974
fine_timing.9.0.missed_windows,344
fine_timing.9.0.positive_windows,974
fine_timing.9.0.timed_within_3ps_recall,0.5328542094455853
