metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009897616397087616
classification.0.75.brier,0.0022558821237549467
classification.0.75.average_precision,0.16155060459235207
classification.0.75.threshold,0.004365038126707079
classification.0.75.recall,0.8778382959382626
classification.0.75.false_positive_rate,0.044408847980688455
classification.0.75.precision,0.046501735005113454
classification.0.75.auroc,0.9728860328590943
classification.0.75.f1,0.0883246477454834
classification.0.75.balanced_accuracy,0.9167147239787872
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0005912635977544572
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.027424535598012414
classification.3.0.brier,0.0070496612590282585
classification.3.0.average_precision,0.36664883003442045
classification.3.0.threshold,0.038367737084627165
classification.3.0.recall,0.7821398292891918
classification.3.0.false_positive_rate,0.03970737948451814
classification.3.0.precision,0.14950193239879397
classification.3.0.auroc,0.9687511228171044
classification.3.0.f1,0.25102227206503924
classification.3.0.balanced_accuracy,0.8712162249023367
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0030490024997253244
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07378964201087136
classification.9.0.brier,0.0209353537167903
classification.9.0.average_precision,0.5096558999620946
classification.9.0.threshold,0.20599685609340668
classification.9.0.recall,0.7227207286114146
classification.9.0.false_positive_rate,0.03825030850951162
classification.9.0.precision,0.37863490389726956
classification.9.0.auroc,0.9536376059720986
classification.9.0.f1,0.49692812302422196
classification.9.0.balanced_accuracy,0.8422352100509514
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.007498600020787129
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.189765052516534
classification.24.0.brier,0.05268136842604789
classification.24.0.average_precision,0.595646735676027
classification.24.0.threshold,0.4246343076229095
classification.24.0.recall,0.6159261005055007
classification.24.0.false_positive_rate,0.041315057817939795
classification.24.0.precision,0.5993066535208209
classification.24.0.auroc,0.8899359194061662
classification.24.0.f1,0.607502733755455
classification.24.0.balanced_accuracy,0.7873055213437805
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.018836502896846578
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3784608539914642
classification.48.0.brier,0.1146510415426083
classification.48.0.average_precision,0.5779568063695062
classification.48.0.threshold,0.45778095722198486
classification.48.0.recall,0.4840081696046388
classification.48.0.false_positive_rate,0.05629802633713661
classification.48.0.precision,0.6661899028947825
classification.48.0.auroc,0.787992323713763
classification.48.0.f1,0.5606710065311084
classification.48.0.balanced_accuracy,0.713855071633751
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.04472100978918905
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6069003733081701
classification.96.0.brier,0.21265219736080962
classification.96.0.average_precision,0.6290966355874262
classification.96.0.threshold,0.7498601078987122
classification.96.0.recall,0.3125444102974852
classification.96.0.false_positive_rate,0.052246347087718914
classification.96.0.precision,0.7765939056403217
classification.96.0.auroc,0.7108054982461748
classification.96.0.f1,0.4457103027726658
classification.96.0.balanced_accuracy,0.6301490316048836
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.12529917602983634
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,8
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8823529411764706
timing.0.75.alarm_episodes,644
timing.0.75.false_alarm_episodes,626
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,18
timing.0.75.missed_event_centers,50
timing.0.75.event_recall,0.2647058823529412
timing.0.75.false_alarms_per_sampled_center_ns,4.701287972663438
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,61
timing.3.0.detected_window_timing_mae_ps,0.7549310707597437
timing.3.0.detected_window_timing_bias_ps,-0.3338320251399312
timing.3.0.timed_within_3ps_recall,0.7773722627737226
timing.3.0.alarm_episodes,621
timing.3.0.false_alarm_episodes,563
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,58
timing.3.0.missed_event_centers,216
timing.3.0.event_recall,0.2116788321167883
timing.3.0.false_alarms_per_sampled_center_ns,4.2281551575231875
timing.3.0.mean_detected_lead_ps,1.8620689655172413
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,298
timing.9.0.detected_window_timing_mae_ps,1.8885694304075253
timing.9.0.detected_window_timing_bias_ps,-0.38281172548297343
timing.9.0.timed_within_3ps_recall,0.5462012320328542
timing.9.0.alarm_episodes,655
timing.9.0.false_alarm_episodes,493
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,162
timing.9.0.missed_event_centers,216
timing.9.0.event_recall,0.42857142857142855
timing.9.0.false_alarms_per_sampled_center_ns,3.702452029589576
timing.9.0.mean_detected_lead_ps,5.3657407407407405
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1137
timing.24.0.detected_window_timing_mae_ps,4.560544944101865
timing.24.0.detected_window_timing_bias_ps,-0.4609850247673369
timing.24.0.timed_within_3ps_recall,0.23170308706208811
timing.24.0.alarm_episodes,823
timing.24.0.false_alarm_episodes,445
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,304
timing.24.0.missed_event_centers,93
timing.24.0.event_recall,0.7657430730478589
timing.24.0.false_alarms_per_sampled_center_ns,3.341969884720814
timing.24.0.mean_detected_lead_ps,15.088815789473685
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3070
timing.48.0.detected_window_timing_mae_ps,8.49065697285089
timing.48.0.detected_window_timing_bias_ps,-0.5788695951863886
timing.48.0.timed_within_3ps_recall,0.11356834053874293
timing.48.0.alarm_episodes,1092
timing.48.0.false_alarm_episodes,505
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,362
timing.48.0.missed_event_centers,40
timing.48.0.event_recall,0.900497512437811
timing.48.0.false_alarms_per_sampled_center_ns,3.7925725658067666
timing.48.0.mean_detected_lead_ps,26.931629834254142
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8450
timing.96.0.detected_window_timing_mae_ps,15.545256697942829
timing.96.0.detected_window_timing_bias_ps,-1.2059759631660634
timing.96.0.timed_within_3ps_recall,0.0422198400263874
timing.96.0.alarm_episodes,1353
timing.96.0.false_alarm_episodes,519
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,386
timing.96.0.missed_event_centers,23
timing.96.0.event_recall,0.9437652811735942
timing.96.0.false_alarms_per_sampled_center_ns,3.8977131913934886
timing.96.0.mean_detected_lead_ps,42.167098445595855
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005216406457481979
spatial.0.75.sampled_center_jaccard,0.03439643347050754
spatial.0.75.nearby_pair_difference_rmse,0.03883532827939148
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.01529446982838115
spatial.3.0.sampled_center_jaccard,0.12241057713407943
spatial.3.0.nearby_pair_difference_rmse,0.07846828784613924
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.03950382475211049
spatial.9.0.sampled_center_jaccard,0.27030608836721054
spatial.9.0.nearby_pair_difference_rmse,0.1402554695195642
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09220349794141863
spatial.24.0.sampled_center_jaccard,0.3291116542217056
spatial.24.0.nearby_pair_difference_rmse,0.2343876476516404
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.17394760109584714
spatial.48.0.sampled_center_jaccard,0.29423417859973755
spatial.48.0.nearby_pair_difference_rmse,0.31876637613287206
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2833180577500454
spatial.96.0.sampled_center_jaccard,0.2381823516715968
spatial.96.0.nearby_pair_difference_rmse,0.3835396074223097
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,8
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.8823529411764706
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.6802917821073877
fine_timing.3.0.detected_window_timing_bias_ps,0.025009004206465776
fine_timing.3.0.missed_windows,61
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.7773722627737226
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.7063860867587248
fine_timing.9.0.detected_window_timing_mae_ps,1.8757210114107203
fine_timing.9.0.detected_window_timing_bias_ps,-0.1949794794267013
fine_timing.9.0.missed_windows,298
fine_timing.9.0.positive_windows,974
