metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.30310815010720743
classification.0.75.brier,0.07234424533075809
classification.0.75.average_precision,0.002868911819828004
classification.0.75.threshold,0.4243339300155639
classification.0.75.recall,0.03876293247349551
classification.0.75.false_positive_rate,0.02552988952944857
classification.0.75.precision,0.003732055382158774
classification.0.75.auroc,0.5456161973904046
classification.0.75.f1,0.006808586991828835
classification.0.75.balanced_accuracy,0.5066165214720235
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.25304619149471375
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,1.0755278895058382
classification.3.0.brier,0.42721044943596315
classification.3.0.average_precision,0.008313968568924253
classification.3.0.threshold,0.8185601830482482
classification.3.0.recall,0.01312437966530845
classification.3.0.false_positive_rate,0.02764590488454553
classification.3.0.precision,0.004218638077598392
classification.3.0.auroc,0.4803722751755938
classification.3.0.f1,0.006384933535984295
classification.3.0.balanced_accuracy,0.49273923739038145
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.6412535046874942
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,2.6380540739145717
classification.9.0.brier,0.8301799750339436
classification.9.0.average_precision,0.030967838173319218
classification.9.0.threshold,0.970995843410492
classification.9.0.recall,0.0
classification.9.0.false_positive_rate,0.0
classification.9.0.precision,
classification.9.0.auroc,0.4990310606094918
classification.9.0.f1,0.0
classification.9.0.balanced_accuracy,0.5
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.8935734404348392
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,3.2770896801835487
classification.24.0.brier,0.8594595625766099
classification.24.0.average_precision,0.09128869838540295
classification.24.0.threshold,0.9734608530998231
classification.24.0.recall,0.0
classification.24.0.false_positive_rate,0.0
classification.24.0.precision,
classification.24.0.auroc,0.5006608196139254
classification.24.0.f1,0.0
classification.24.0.balanced_accuracy,0.5
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.8812343949391395
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,3.079023143173891
classification.48.0.brier,0.7753710661198395
classification.48.0.average_precision,0.18841247428961272
classification.48.0.threshold,0.9773777127265931
classification.48.0.recall,0.0
classification.48.0.false_positive_rate,0.0
classification.48.0.precision,
classification.48.0.auroc,0.5000405642397253
classification.48.0.f1,0.0
classification.48.0.balanced_accuracy,0.5
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.7889651169734772
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,2.6283749397003575
classification.96.0.brier,0.6127129646789132
classification.96.0.average_precision,0.3675248043307495
classification.96.0.threshold,0.984179198741913
classification.96.0.recall,0.0
classification.96.0.false_positive_rate,0.0
classification.96.0.precision,
classification.96.0.auroc,0.5
classification.96.0.f1,0.0
classification.96.0.balanced_accuracy,0.5
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.6166543944110832
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,66
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.029411764705882353
timing.0.75.alarm_episodes,1083
timing.0.75.false_alarm_episodes,1081
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,2
timing.0.75.missed_event_centers,66
timing.0.75.event_recall,0.029411764705882353
timing.0.75.false_alarms_per_sampled_center_ns,8.11835830423191
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,269
timing.3.0.detected_window_timing_mae_ps,1.0611048801434038
timing.3.0.detected_window_timing_bias_ps,-0.6395914322888593
timing.3.0.timed_within_3ps_recall,0.01824817518248175
timing.3.0.alarm_episodes,1156
timing.3.0.false_alarm_episodes,1153
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,3
timing.3.0.missed_event_centers,271
timing.3.0.event_recall,0.010948905109489052
timing.3.0.false_alarms_per_sampled_center_ns,8.659081521535054
timing.3.0.mean_detected_lead_ps,1.5
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,974
timing.9.0.detected_window_timing_mae_ps,
timing.9.0.detected_window_timing_bias_ps,
timing.9.0.timed_within_3ps_recall,0.0
timing.9.0.alarm_episodes,0
timing.9.0.false_alarm_episodes,0
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,0
timing.9.0.missed_event_centers,378
timing.9.0.event_recall,0.0
timing.9.0.false_alarms_per_sampled_center_ns,0.0
timing.9.0.mean_detected_lead_ps,
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2883
timing.24.0.detected_window_timing_mae_ps,
timing.24.0.detected_window_timing_bias_ps,
timing.24.0.timed_within_3ps_recall,0.0
timing.24.0.alarm_episodes,0
timing.24.0.false_alarm_episodes,0
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,0
timing.24.0.missed_event_centers,397
timing.24.0.event_recall,0.0
timing.24.0.false_alarms_per_sampled_center_ns,0.0
timing.24.0.mean_detected_lead_ps,
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,6014
timing.48.0.detected_window_timing_mae_ps,
timing.48.0.detected_window_timing_bias_ps,
timing.48.0.timed_within_3ps_recall,0.0
timing.48.0.alarm_episodes,0
timing.48.0.false_alarm_episodes,0
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,0
timing.48.0.missed_event_centers,402
timing.48.0.event_recall,0.0
timing.48.0.false_alarms_per_sampled_center_ns,0.0
timing.48.0.mean_detected_lead_ps,
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,12127
timing.96.0.detected_window_timing_mae_ps,
timing.96.0.detected_window_timing_bias_ps,
timing.96.0.timed_within_3ps_recall,0.0
timing.96.0.alarm_episodes,0
timing.96.0.false_alarm_episodes,0
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,0
timing.96.0.missed_event_centers,409
timing.96.0.event_recall,0.0
timing.96.0.false_alarms_per_sampled_center_ns,0.0
timing.96.0.mean_detected_lead_ps,
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.2442435434077615
spatial.0.75.sampled_center_jaccard,0.0020429009193054137
spatial.0.75.nearby_pair_difference_rmse,0.11448708467438261
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.6233005800736303
spatial.3.0.sampled_center_jaccard,0.0033472803347280333
spatial.3.0.nearby_pair_difference_rmse,0.1430049290828892
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.8812996522161988
spatial.9.0.sampled_center_jaccard,0.0
spatial.9.0.nearby_pair_difference_rmse,0.16191087751606073
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.8774815386970389
spatial.24.0.sampled_center_jaccard,0.0
spatial.24.0.nearby_pair_difference_rmse,0.2381348906002678
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.8040177552081665
spatial.48.0.sampled_center_jaccard,0.0
spatial.48.0.nearby_pair_difference_rmse,0.30077215728912987
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.6777745952911856
spatial.96.0.sampled_center_jaccard,0.0
spatial.96.0.nearby_pair_difference_rmse,0.363223300943087
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,66
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.029411764705882353
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,1.0031587870576966
fine_timing.3.0.detected_window_timing_bias_ps,-0.40102964287365894
fine_timing.3.0.missed_windows,269
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.01824817518248175
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.7922036817124295
fine_timing.9.0.detected_window_timing_mae_ps,2.824238674793504
fine_timing.9.0.detected_window_timing_bias_ps,-2.3673273400458243
fine_timing.9.0.missed_windows,783
fine_timing.9.0.positive_windows,974
fine_timing.9.0.timed_within_3ps_recall,0.10882956878850103
fine_timing.9.0.all_positive_window_conditional_timing_mae_ps,2.9577145194879115
fine_timing.24.0.detected_window_timing_mae_ps,10.053391178156968
fine_timing.24.0.detected_window_timing_bias_ps,-9.80271156356792
fine_timing.24.0.missed_windows,93
fine_timing.24.0.positive_windows,2883
fine_timing.24.0.timed_within_3ps_recall,0.1952826916406521
fine_timing.24.0.all_positive_window_conditional_timing_mae_ps,10.015955831683586
fine_timing.48.0.detected_window_timing_mae_ps,21.94104934045987
fine_timing.48.0.detected_window_timing_bias_ps,-21.80752475045578
