metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.01775518654524144
classification.0.75.brier,0.0024601341368728296
classification.0.75.average_precision,0.0027067294769672515
classification.0.75.threshold,0.007204015273600817
classification.0.75.recall,0.03304122762311512
classification.0.75.false_positive_rate,0.08569788694222513
classification.0.75.precision,0.0009503364196228041
classification.0.75.auroc,0.5575165761592423
classification.0.75.f1,0.0018475338127903404
classification.0.75.balanced_accuracy,0.4736716703404449
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.001041508131548187
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.05214079524707177
classification.3.0.brier,0.008847860456599571
classification.3.0.average_precision,0.011130946615733314
classification.3.0.threshold,0.02988247387111187
classification.3.0.recall,0.04711428105382971
classification.3.0.false_positive_rate,0.09292843752310419
classification.3.0.precision,0.004504055440404516
classification.3.0.auroc,0.6056789660716213
classification.3.0.f1,0.008222091152625675
classification.3.0.balanced_accuracy,0.4770929217653627
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.006270106520924082
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.14737173266800815
classification.9.0.brier,0.03175408298158223
classification.9.0.average_precision,0.04035092080087909
classification.9.0.threshold,0.11490606516599655
classification.9.0.recall,0.07047224594593633
classification.9.0.false_positive_rate,0.07628815217268739
classification.9.0.precision,0.028930086951670625
classification.9.0.auroc,0.6134946149071983
classification.9.0.f1,0.041020530272575476
classification.9.0.balanced_accuracy,0.49709204688662445
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.026130827752552533
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.3250169411530466
classification.24.0.brier,0.09054358390243053
classification.24.0.average_precision,0.11225606286828904
classification.24.0.threshold,0.2852475941181183
classification.24.0.recall,0.06685760148627758
classification.24.0.false_positive_rate,0.07963446099853388
classification.24.0.precision,0.07768641455652525
classification.24.0.auroc,0.607499781687799
classification.24.0.f1,0.07186637658911978
classification.24.0.balanced_accuracy,0.49361157024387187
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.08036590725941595
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.5163318504642267
classification.48.0.brier,0.169804643376141
classification.48.0.average_precision,0.22116090003512606
classification.48.0.threshold,0.4666852355003357
classification.48.0.recall,0.09243352494679874
classification.48.0.false_positive_rate,0.09015689081996456
classification.48.0.precision,0.19224294237794978
classification.48.0.auroc,0.5992322876354155
classification.48.0.f1,0.12484131882855769
classification.48.0.balanced_accuracy,0.5011383170634169
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.13143672117326502
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.7158851494621982
classification.96.0.brier,0.26336877735529635
classification.96.0.average_precision,0.4011793325777757
classification.96.0.threshold,0.6890661716461182
classification.96.0.recall,0.048118706176560076
classification.96.0.false_positive_rate,0.08191354368356828
classification.96.0.precision,0.2544830695421276
classification.96.0.auroc,0.5781884368905538
classification.96.0.f1,0.0809340660419033
classification.96.0.balanced_accuracy,0.48310258124649597
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.19745399172025913
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,65
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.04411764705882353
timing.0.75.alarm_episodes,152
timing.0.75.false_alarm_episodes,152
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,0
timing.0.75.missed_event_centers,68
timing.0.75.event_recall,0.0
timing.0.75.false_alarms_per_sampled_center_ns,1.141526792084413
timing.0.75.mean_detected_lead_ps,
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,260
timing.3.0.detected_window_timing_mae_ps,0.7550844548558698
timing.3.0.detected_window_timing_bias_ps,-0.2008162329716337
timing.3.0.timed_within_3ps_recall,0.051094890510948905
timing.3.0.alarm_episodes,154
timing.3.0.false_alarm_episodes,152
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,2
timing.3.0.missed_event_centers,272
timing.3.0.event_recall,0.0072992700729927005
timing.3.0.false_alarms_per_sampled_center_ns,1.141526792084413
timing.3.0.mean_detected_lead_ps,1.875
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,902
timing.9.0.detected_window_timing_mae_ps,2.216394627159043
timing.9.0.detected_window_timing_bias_ps,-0.3473749692052926
timing.9.0.timed_within_3ps_recall,0.050308008213552365
timing.9.0.alarm_episodes,110
timing.9.0.false_alarm_episodes,107
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,3
timing.9.0.missed_event_centers,375
timing.9.0.event_recall,0.007936507936507936
timing.9.0.false_alarms_per_sampled_center_ns,0.8035747812699485
timing.9.0.mean_detected_lead_ps,2.75
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2685
timing.24.0.detected_window_timing_mae_ps,5.86854835917467
timing.24.0.detected_window_timing_bias_ps,-1.2703609392955983
timing.24.0.timed_within_3ps_recall,0.01768990634755463
timing.24.0.alarm_episodes,184
timing.24.0.false_alarm_episodes,172
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,12
timing.24.0.missed_event_centers,385
timing.24.0.event_recall,0.030226700251889168
timing.24.0.false_alarms_per_sampled_center_ns,1.2917276857797304
timing.24.0.mean_detected_lead_ps,11.375
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5475
timing.48.0.detected_window_timing_mae_ps,11.799880874406965
timing.48.0.detected_window_timing_bias_ps,-1.1520873234064912
timing.48.0.timed_within_3ps_recall,0.011639507815098104
timing.48.0.alarm_episodes,206
timing.48.0.false_alarm_episodes,164
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,42
timing.48.0.missed_event_centers,360
timing.48.0.event_recall,0.1044776119402985
timing.48.0.false_alarms_per_sampled_center_ns,1.2316473283016034
timing.48.0.mean_detected_lead_ps,20.464285714285715
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11559
timing.96.0.detected_window_timing_mae_ps,23.152816698904296
timing.96.0.detected_window_timing_bias_ps,-6.4832526831703605
timing.96.0.timed_within_3ps_recall,0.0032984250020615157
timing.96.0.alarm_episodes,95
timing.96.0.false_alarm_episodes,78
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,17
timing.96.0.missed_event_centers,392
timing.96.0.event_recall,0.04156479217603912
timing.96.0.false_alarms_per_sampled_center_ns,0.5857834854117382
timing.96.0.mean_detected_lead_ps,48.970588235294116
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.006575953016968014
spatial.0.75.sampled_center_jaccard,0.001413202042304887
spatial.0.75.nearby_pair_difference_rmse,0.04016573808543725
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.025099006611291084
spatial.3.0.sampled_center_jaccard,0.004300278546800958
spatial.3.0.nearby_pair_difference_rmse,0.08607642696532682
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07833046930456722
spatial.9.0.sampled_center_jaccard,0.01277994923938022
spatial.9.0.nearby_pair_difference_rmse,0.15323965144271653
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.17399714228505175
spatial.24.0.sampled_center_jaccard,0.0199315784751978
spatial.24.0.nearby_pair_difference_rmse,0.23799901578062507
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2686231624194662
spatial.48.0.sampled_center_jaccard,0.0384555566354903
spatial.48.0.nearby_pair_difference_rmse,0.3007699529331497
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.35339016594880035
spatial.96.0.sampled_center_jaccard,0.020308981607472985
spatial.96.0.nearby_pair_difference_rmse,0.36321827565685805
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1820921121095387
training.sources,30
training.eligible_windows,36473
training.updates,5151
training.samples,329601
training.complete_epochs,9
training.partial_epoch_updates,21
training.selected_step,3456
