metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.017238627893643235
classification.0.75.brier,0.002455072809802466
classification.0.75.average_precision,0.002602161914515639
classification.0.75.threshold,0.0030367954168468714
classification.0.75.recall,0.022816922345200844
classification.0.75.false_positive_rate,0.09965661816192972
classification.0.75.precision,0.0005645597322502868
classification.0.75.auroc,0.5360766087816918
classification.0.75.f1,0.0011018562063185022
classification.0.75.balanced_accuracy,0.4615801520916355
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0003222334753827072
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.050578062048348416
classification.3.0.brier,0.008768086695462323
classification.3.0.average_precision,0.017814331001735205
classification.3.0.threshold,0.01419169083237648
classification.3.0.recall,0.18407707665905587
classification.3.0.false_positive_rate,0.06061879452407655
classification.3.0.precision,0.026383986762656454
classification.3.0.auroc,0.6052931218430049
classification.3.0.f1,0.04615283297461458
classification.3.0.balanced_accuracy,0.5617291410674896
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.002617231430416711
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13858546624044826
classification.9.0.brier,0.03026668797320003
classification.9.0.average_precision,0.03503447891886445
classification.9.0.threshold,0.047899987548589706
classification.9.0.recall,0.044698820377505305
classification.9.0.false_positive_rate,0.05459692690102469
classification.9.0.precision,0.0257245534739161
classification.9.0.auroc,0.5663014041602613
classification.9.0.f1,0.03265555545373512
classification.9.0.balanced_accuracy,0.49505094673824024
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.007121362139946169
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.3024132031243652
classification.24.0.brier,0.0825910042547371
classification.24.0.average_precision,0.09909647464423853
classification.24.0.threshold,0.12862171232700348
classification.24.0.recall,0.05115138563312336
classification.24.0.false_positive_rate,0.07445906745324715
classification.24.0.precision,0.0644778586139607
classification.24.0.auroc,0.5672674533234682
classification.24.0.f1,0.057046672444092894
classification.24.0.balanced_accuracy,0.48834615908993806
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.015044690139441484
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4857894516202758
classification.48.0.brier,0.15494454000358487
classification.48.0.average_precision,0.1843504194355791
classification.48.0.threshold,0.3128000795841217
classification.48.0.recall,0.00022654091749584688
classification.48.0.false_positive_rate,0.029489059156575344
classification.48.0.precision,0.001780127071051877
classification.48.0.auroc,0.5405881257122692
classification.48.0.f1,0.0004019315823412767
classification.48.0.balanced_accuracy,0.4853687408804602
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.07382855466923666
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6667839407241785
classification.96.0.brier,0.2381564184433475
classification.96.0.average_precision,0.3681818273467548
classification.96.0.threshold,0.606279194355011
classification.96.0.recall,0.007083875036240626
classification.96.0.false_positive_rate,0.027680611510929546
classification.96.0.precision,0.1294577933604375
classification.96.0.auroc,0.545475391081991
classification.96.0.f1,0.013432717519879254
classification.96.0.balanced_accuracy,0.4897016317626555
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.10207094993478227
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,65
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.04411764705882353
timing.0.75.alarm_episodes,85
timing.0.75.false_alarm_episodes,85
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,0
timing.0.75.missed_event_centers,68
timing.0.75.event_recall,0.0
timing.0.75.false_alarms_per_sampled_center_ns,0.6383537982050993
timing.0.75.mean_detected_lead_ps,
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,235
timing.3.0.detected_window_timing_mae_ps,0.7246484539178311
timing.3.0.detected_window_timing_bias_ps,-0.27053142340967673
timing.3.0.timed_within_3ps_recall,0.14233576642335766
timing.3.0.alarm_episodes,550
timing.3.0.false_alarm_episodes,542
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,8
timing.3.0.missed_event_centers,266
timing.3.0.event_recall,0.029197080291970802
timing.3.0.false_alarms_per_sampled_center_ns,4.070444219143104
timing.3.0.mean_detected_lead_ps,1.96875
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,932
timing.9.0.detected_window_timing_mae_ps,2.187209023438201
timing.9.0.detected_window_timing_bias_ps,-0.7467568524093705
timing.9.0.timed_within_3ps_recall,0.030800821355236138
timing.9.0.alarm_episodes,255
timing.9.0.false_alarm_episodes,253
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,2
timing.9.0.missed_event_centers,376
timing.9.0.event_recall,0.005291005291005291
timing.9.0.false_alarms_per_sampled_center_ns,1.900041305245766
timing.9.0.mean_detected_lead_ps,4.5
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2727
timing.24.0.detected_window_timing_mae_ps,5.928179765739483
timing.24.0.detected_window_timing_bias_ps,-1.551474519560283
timing.24.0.timed_within_3ps_recall,0.013180714533472077
timing.24.0.alarm_episodes,199
timing.24.0.false_alarm_episodes,189
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,8
timing.24.0.missed_event_centers,389
timing.24.0.event_recall,0.020151133501259445
timing.24.0.false_alarms_per_sampled_center_ns,1.4193984454207502
timing.24.0.mean_detected_lead_ps,12.09375
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,6013
timing.48.0.detected_window_timing_mae_ps,19.523426304463804
timing.48.0.detected_window_timing_bias_ps,-19.523426304463804
timing.48.0.timed_within_3ps_recall,0.0
timing.48.0.alarm_episodes,150
timing.48.0.false_alarm_episodes,150
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,0
timing.48.0.missed_event_centers,402
timing.48.0.event_recall,0.0
timing.48.0.false_alarms_per_sampled_center_ns,1.1265067027148812
timing.48.0.mean_detected_lead_ps,
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,12066
timing.96.0.detected_window_timing_mae_ps,27.629581784590332
timing.96.0.detected_window_timing_bias_ps,-27.629581784590332
timing.96.0.timed_within_3ps_recall,0.0
timing.96.0.alarm_episodes,101
timing.96.0.false_alarm_episodes,95
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,6
timing.96.0.missed_event_centers,403
timing.96.0.event_recall,0.014669926650366748
timing.96.0.false_alarms_per_sampled_center_ns,0.713454245052758
timing.96.0.mean_detected_lead_ps,86.875
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005506034967091494
spatial.0.75.sampled_center_jaccard,0.0004929698216735253
spatial.0.75.nearby_pair_difference_rmse,0.04016572956151363
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.020405237590452544
spatial.3.0.sampled_center_jaccard,0.016251945779504836
spatial.3.0.nearby_pair_difference_rmse,0.0860763583629965
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.0617338918674191
spatial.9.0.sampled_center_jaccard,0.006694134409651651
spatial.9.0.nearby_pair_difference_rmse,0.15323920964474602
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.1425264179382299
spatial.24.0.sampled_center_jaccard,0.014049422599206149
spatial.24.0.nearby_pair_difference_rmse,0.23800005421543666
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.25164027187187216
spatial.48.0.sampled_center_jaccard,4.347448047995826e-05
spatial.48.0.nearby_pair_difference_rmse,0.3007719553943718
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3562838415008596
spatial.96.0.sampled_center_jaccard,0.0017555890117142384
spatial.96.0.nearby_pair_difference_rmse,0.36322217871757934
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1352489991532533
training.sources,90
training.eligible_windows,109838
training.updates,5151
training.samples,329514
training.complete_epochs,3
training.partial_epoch_updates,0
training.selected_step,640
