metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.017177940058555517
classification.0.75.brier,0.002454923058705986
classification.0.75.average_precision,0.0029762132718182885
classification.0.75.threshold,0.002858743304386735
classification.0.75.recall,0.047532122068344625
classification.0.75.false_positive_rate,0.10939940631366459
classification.0.75.precision,0.0010708069413166038
classification.0.75.auroc,0.5575800144368945
classification.0.75.f1,0.0020944304091703677
classification.0.75.balanced_accuracy,0.46906635787734
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0002538292311783623
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.05037032214203194
classification.3.0.brier,0.008766183133051001
classification.3.0.average_precision,0.019494931404721715
classification.3.0.threshold,0.015289888717234135
classification.3.0.recall,0.279828604495959
classification.3.0.false_positive_rate,0.07342490597911527
classification.3.0.precision,0.03289153863160228
classification.3.0.auroc,0.6109121989243809
classification.3.0.f1,0.05886409019230848
classification.3.0.balanced_accuracy,0.6032018492584219
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0021971598446340612
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13853616914260108
classification.9.0.brier,0.030313536289761547
classification.9.0.average_precision,0.049573726059775725
classification.9.0.threshold,0.05778460577130318
classification.9.0.recall,0.2899905440266479
classification.9.0.false_positive_rate,0.1070633602902696
classification.9.0.precision,0.08033602937300831
classification.9.0.auroc,0.6178636099072223
classification.9.0.f1,0.12581699794833612
classification.9.0.balanced_accuracy,0.5914635918681892
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.010381255577226935
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.30076794671687
classification.24.0.brier,0.08245295783026779
classification.24.0.average_precision,0.142700845029446
classification.24.0.threshold,0.14788822829723358
classification.24.0.recall,0.29443528717226625
classification.24.0.false_positive_rate,0.09941945803825411
classification.24.0.precision,0.22906264886451339
classification.24.0.auroc,0.6207707939126512
classification.24.0.f1,0.25766721186891
classification.24.0.balanced_accuracy,0.5975079145670062
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.028900656979889743
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4863919816187527
classification.48.0.brier,0.15596562813209824
classification.48.0.average_precision,0.25293497552991895
classification.48.0.threshold,0.3303002715110779
classification.48.0.recall,0.19331791537354892
classification.48.0.false_positive_rate,0.10849644680987278
classification.48.0.precision,0.29259350685971663
classification.48.0.auroc,0.6035478978622266
classification.48.0.f1,0.23281431227933885
classification.48.0.balanced_accuracy,0.5424107342818377
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.07796617909383305
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6737846203838919
classification.96.0.brier,0.2423361393798418
classification.96.0.average_precision,0.39870616246210927
classification.96.0.threshold,0.636820912361145
classification.96.0.recall,0.013616189229448437
classification.96.0.false_positive_rate,0.04340808837962074
classification.96.0.precision,0.15417338905713057
classification.96.0.auroc,0.583469284667024
classification.96.0.f1,0.025022460405279872
classification.96.0.balanced_accuracy,0.48510405042491384
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.12973322524329212
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,63
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.07352941176470588
timing.0.75.alarm_episodes,107
timing.0.75.false_alarm_episodes,107
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,0
timing.0.75.missed_event_centers,68
timing.0.75.event_recall,0.0
timing.0.75.false_alarms_per_sampled_center_ns,0.8035747812699485
timing.0.75.mean_detected_lead_ps,
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,212
timing.3.0.detected_window_timing_mae_ps,0.8146452234061927
timing.3.0.detected_window_timing_bias_ps,-0.36636266575410165
timing.3.0.timed_within_3ps_recall,0.22627737226277372
timing.3.0.alarm_episodes,82
timing.3.0.false_alarm_episodes,81
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,1
timing.3.0.missed_event_centers,273
timing.3.0.event_recall,0.0036496350364963502
timing.3.0.false_alarms_per_sampled_center_ns,0.6083136194660358
timing.3.0.mean_detected_lead_ps,1.5
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,689
timing.9.0.detected_window_timing_mae_ps,2.1564570783467887
timing.9.0.detected_window_timing_bias_ps,-0.23090183959648525
timing.9.0.timed_within_3ps_recall,0.2053388090349076
timing.9.0.alarm_episodes,143
timing.9.0.false_alarm_episodes,133
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,10
timing.9.0.missed_event_centers,368
timing.9.0.event_recall,0.026455026455026454
timing.9.0.false_alarms_per_sampled_center_ns,0.9988359430738613
timing.9.0.mean_detected_lead_ps,4.95
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2022
timing.24.0.detected_window_timing_mae_ps,5.771042873322434
timing.24.0.detected_window_timing_bias_ps,-0.4952864415271004
timing.24.0.timed_within_3ps_recall,0.08047173083593478
timing.24.0.alarm_episodes,162
timing.24.0.false_alarm_episodes,133
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,29
timing.24.0.missed_event_centers,368
timing.24.0.event_recall,0.07304785894206549
timing.24.0.false_alarms_per_sampled_center_ns,0.9988359430738613
timing.24.0.mean_detected_lead_ps,14.094827586206897
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4683
timing.48.0.detected_window_timing_mae_ps,11.897021719290827
timing.48.0.detected_window_timing_bias_ps,1.2640152711072383
timing.48.0.timed_within_3ps_recall,0.02693714665779847
timing.48.0.alarm_episodes,135
timing.48.0.false_alarm_episodes,93
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,42
timing.48.0.missed_event_centers,360
timing.48.0.event_recall,0.1044776119402985
timing.48.0.false_alarms_per_sampled_center_ns,0.6984341556832263
timing.48.0.mean_detected_lead_ps,22.267857142857142
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,12010
timing.96.0.detected_window_timing_mae_ps,23.90326390026567
timing.96.0.detected_window_timing_bias_ps,-13.057292292631637
timing.96.0.timed_within_3ps_recall,0.00032984250020615157
timing.96.0.alarm_episodes,99
timing.96.0.false_alarm_episodes,85
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,14
timing.96.0.missed_event_centers,395
timing.96.0.event_recall,0.034229828850855744
timing.96.0.false_alarms_per_sampled_center_ns,0.6383537982050993
timing.96.0.mean_detected_lead_ps,63.32142857142857
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.004989457220917823
spatial.0.75.sampled_center_jaccard,0.0006695156695156696
spatial.0.75.nearby_pair_difference_rmse,0.04016571757435638
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.020070671864928176
spatial.3.0.sampled_center_jaccard,0.019460684614530765
spatial.3.0.nearby_pair_difference_rmse,0.08607647530242554
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.06460353684198487
spatial.9.0.sampled_center_jaccard,0.04054589742928044
spatial.9.0.nearby_pair_difference_rmse,0.1532394143851134
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.1469133795562626
spatial.24.0.sampled_center_jaccard,0.08757380091899665
spatial.24.0.nearby_pair_difference_rmse,0.23800028655816066
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2550863921189749
spatial.48.0.sampled_center_jaccard,0.10672022067095491
spatial.48.0.nearby_pair_difference_rmse,0.3007698008720738
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3580049125771655
spatial.96.0.sampled_center_jaccard,0.003698718451389143
spatial.96.0.nearby_pair_difference_rmse,0.36321878145941827
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1398144855564631
training.sources,90
training.eligible_windows,109838
training.updates,10302
training.samples,659028
training.complete_epochs,6
training.partial_epoch_updates,0
training.selected_step,1280
