metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.010177723048086635
classification.0.75.brier,0.0022727574237621584
classification.0.75.average_precision,0.22794253581875576
classification.0.75.threshold,0.010885684750974178
classification.0.75.recall,0.8645286929214087
classification.0.75.false_positive_rate,0.04248943698134773
classification.0.75.precision,0.04780030913833689
classification.0.75.auroc,0.9729361025846741
classification.0.75.f1,0.09059174637067918
classification.0.75.balanced_accuracy,0.9110196279700307
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00046743043846536863
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.027753830440759467
classification.3.0.brier,0.007074752149906716
classification.3.0.average_precision,0.3402600458388027
classification.3.0.threshold,0.053110819309949875
classification.3.0.recall,0.7958890375783544
classification.3.0.false_positive_rate,0.04119276404473224
classification.3.0.precision,0.14706456575817575
classification.3.0.auroc,0.9665901785154495
classification.3.0.f1,0.24825627748596718
classification.3.0.balanced_accuracy,0.877348136766811
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0021267039820821966
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07356161377041459
classification.9.0.brier,0.0205544744537246
classification.9.0.average_precision,0.5094045139777396
classification.9.0.threshold,0.17412032186985016
classification.9.0.recall,0.7325769148324726
classification.9.0.false_positive_rate,0.0408899719500456
classification.9.0.precision,0.3662045611731556
classification.9.0.auroc,0.952782716035483
classification.9.0.f1,0.4883100297559724
classification.9.0.balanced_accuracy,0.8458434714412135
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.004112930944046578
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.19238936911927412
classification.24.0.brier,0.052642369026766264
classification.24.0.average_precision,0.590247402488588
classification.24.0.threshold,0.35553956031799316
classification.24.0.recall,0.6143197865611723
classification.24.0.false_positive_rate,0.04371584864116691
classification.24.0.precision,0.585036081216062
classification.24.0.auroc,0.8749060407881566
classification.24.0.f1,0.5993204355756566
classification.24.0.balanced_accuracy,0.7853019689600026
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.011538545467265801
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.38266506586115473
classification.48.0.brier,0.11478999573708408
classification.48.0.average_precision,0.5621269662355279
classification.48.0.threshold,0.37627577781677246
classification.48.0.recall,0.46246400993985853
classification.48.0.false_positive_rate,0.05343243206290511
classification.48.0.precision,0.6676800841653256
classification.48.0.auroc,0.7586523357426269
classification.48.0.f1,0.54644007023646
classification.48.0.balanced_accuracy,0.7045157889384766
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.030946384869918735
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6047583685711466
classification.96.0.brier,0.2108366079666963
classification.96.0.average_precision,0.6074711238357156
classification.96.0.threshold,0.6514084935188293
classification.96.0.recall,0.2891550602622902
classification.96.0.false_positive_rate,0.05081850593892274
classification.96.0.precision,0.7677861116113983
classification.96.0.auroc,0.684292977906084
classification.96.0.f1,0.42009762753016355
classification.96.0.balanced_accuracy,0.6191682771616841
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11466508741575243
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,9
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8676470588235294
timing.0.75.alarm_episodes,641
timing.0.75.false_alarm_episodes,624
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,17
timing.0.75.missed_event_centers,51
timing.0.75.event_recall,0.25
timing.0.75.false_alarms_per_sampled_center_ns,4.6862678832939055
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,58
timing.3.0.detected_window_timing_mae_ps,0.7175619810887562
timing.3.0.detected_window_timing_bias_ps,-0.27479625922327466
timing.3.0.timed_within_3ps_recall,0.7883211678832117
timing.3.0.alarm_episodes,657
timing.3.0.false_alarm_episodes,587
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,70
timing.3.0.missed_event_centers,204
timing.3.0.event_recall,0.25547445255474455
timing.3.0.false_alarms_per_sampled_center_ns,4.408396229957568
timing.3.0.mean_detected_lead_ps,1.9071428571428573
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,286
timing.9.0.detected_window_timing_mae_ps,1.98785109369437
timing.9.0.detected_window_timing_bias_ps,-0.32339782417928825
timing.9.0.timed_within_3ps_recall,0.5462012320328542
timing.9.0.alarm_episodes,669
timing.9.0.false_alarm_episodes,511
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,158
timing.9.0.missed_event_centers,220
timing.9.0.event_recall,0.41798941798941797
timing.9.0.false_alarms_per_sampled_center_ns,3.837632833915362
timing.9.0.mean_detected_lead_ps,5.330696202531645
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1147
timing.24.0.detected_window_timing_mae_ps,4.641739697279188
timing.24.0.detected_window_timing_bias_ps,-0.011962577990571014
timing.24.0.timed_within_3ps_recall,0.20672910163024627
timing.24.0.alarm_episodes,831
timing.24.0.false_alarm_episodes,453
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,300
timing.24.0.missed_event_centers,97
timing.24.0.event_recall,0.7556675062972292
timing.24.0.false_alarms_per_sampled_center_ns,3.402050242198941
timing.24.0.mean_detected_lead_ps,15.2425
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3199
timing.48.0.detected_window_timing_mae_ps,8.73771277207863
timing.48.0.detected_window_timing_bias_ps,0.8910216541302947
timing.48.0.timed_within_3ps_recall,0.08663119388094447
timing.48.0.alarm_episodes,1123
timing.48.0.false_alarm_episodes,517
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,368
timing.48.0.missed_event_centers,34
timing.48.0.event_recall,0.9154228855721394
timing.48.0.false_alarms_per_sampled_center_ns,3.882693102023957
timing.48.0.mean_detected_lead_ps,26.67391304347826
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8772
timing.96.0.detected_window_timing_mae_ps,16.219928664182074
timing.96.0.detected_window_timing_bias_ps,0.761838580311336
timing.96.0.timed_within_3ps_recall,0.025645254391028285
timing.96.0.alarm_episodes,1384
timing.96.0.false_alarm_episodes,556
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,393
timing.96.0.missed_event_centers,16
timing.96.0.event_recall,0.960880195599022
timing.96.0.false_alarms_per_sampled_center_ns,4.175584844729826
timing.96.0.mean_detected_lead_ps,42.4236641221374
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005525580895053168
spatial.0.75.sampled_center_jaccard,0.033198757763975156
spatial.0.75.nearby_pair_difference_rmse,0.03898025634173804
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.01688168104929218
spatial.3.0.sampled_center_jaccard,0.11784144427001568
spatial.3.0.nearby_pair_difference_rmse,0.07897641544747033
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.04028455758406158
spatial.9.0.sampled_center_jaccard,0.2632686376288272
spatial.9.0.nearby_pair_difference_rmse,0.13682402316198627
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09139292467423273
spatial.24.0.sampled_center_jaccard,0.32266702505231276
spatial.24.0.nearby_pair_difference_rmse,0.23093836045439955
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.1751765729210184
spatial.48.0.sampled_center_jaccard,0.280003153722416
spatial.48.0.nearby_pair_difference_rmse,0.3156578500633052
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2900763683007407
spatial.96.0.sampled_center_jaccard,0.21190205743377763
spatial.96.0.nearby_pair_difference_rmse,0.3792404311293549
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9882524650952094
training.sources,90
training.eligible_windows,109838
training.updates,1717
training.samples,109838
training.complete_epochs,1
training.partial_epoch_updates,0
training.selected_step,1280
