metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009253725784367499
classification.0.75.brier,0.0021490074454058494
classification.0.75.average_precision,0.23032208697987916
classification.0.75.threshold,0.006231926381587982
classification.0.75.recall,0.8826483803928942
classification.0.75.false_positive_rate,0.043757184828062505
classification.0.75.precision,0.047407780065665935
classification.0.75.auroc,0.9798796853747541
classification.0.75.f1,0.08998252379157701
classification.0.75.balanced_accuracy,0.9194455977824159
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0003291774710328695
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.026342596983268733
classification.3.0.brier,0.006777507519778925
classification.3.0.average_precision,0.3739257024979553
classification.3.0.threshold,0.041840799152851105
classification.3.0.recall,0.821078259341489
classification.3.0.false_positive_rate,0.04175448781257773
classification.3.0.precision,0.14928781007116892
classification.3.0.auroc,0.9707570374452084
classification.3.0.f1,0.25264068705191106
classification.3.0.balanced_accuracy,0.8896618857644556
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0014303656233672437
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07095044939568182
classification.9.0.brier,0.01978410088398922
classification.9.0.average_precision,0.536725581410881
classification.9.0.threshold,0.15402549505233765
classification.9.0.recall,0.7471494564096228
classification.9.0.false_positive_rate,0.040215181870436295
classification.9.0.precision,0.37467863990261
classification.9.0.auroc,0.9538357439115033
classification.9.0.f1,0.4990799268654033
classification.9.0.balanced_accuracy,0.8534671372695932
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0028502176011859872
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.19216618627060822
classification.24.0.brier,0.05189798761609319
classification.24.0.average_precision,0.6030887561006609
classification.24.0.threshold,0.3534791171550751
classification.24.0.recall,0.631274077393597
classification.24.0.false_positive_rate,0.04431937505589985
classification.24.0.precision,0.5883128668158417
classification.24.0.auroc,0.8754662043404786
classification.24.0.f1,0.609036795582775
classification.24.0.balanced_accuracy,0.7934773511688485
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.014947315580456158
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3938068987163237
classification.48.0.brier,0.11805040863363593
classification.48.0.average_precision,0.575804997919259
classification.48.0.threshold,0.42279767990112305
classification.48.0.recall,0.47044870641356124
classification.48.0.false_positive_rate,0.05526922791074779
classification.48.0.precision,0.6639687312531966
classification.48.0.auroc,0.7726059784193946
classification.48.0.f1,0.5507024492845963
classification.48.0.balanced_accuracy,0.7075897392514066
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.0723979368218989
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6416970791691939
classification.96.0.brier,0.22740298345329837
classification.96.0.average_precision,0.6293521749431334
classification.96.0.threshold,0.6783714890480042
classification.96.0.recall,0.34888314778630813
classification.96.0.false_positive_rate,0.08292166122666582
classification.96.0.precision,0.7097129913561491
classification.96.0.auroc,0.7026204608484654
classification.96.0.f1,0.46780239090943765
classification.96.0.balanced_accuracy,0.6329807432798216
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.16920964121408752
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,8
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8823529411764706
timing.0.75.alarm_episodes,648
timing.0.75.false_alarm_episodes,633
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,15
timing.0.75.missed_event_centers,53
timing.0.75.event_recall,0.22058823529411764
timing.0.75.false_alarms_per_sampled_center_ns,4.753858285456799
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,50
timing.3.0.detected_window_timing_mae_ps,0.7267645778596746
timing.3.0.detected_window_timing_bias_ps,-0.3366390649424484
timing.3.0.timed_within_3ps_recall,0.8175182481751825
timing.3.0.alarm_episodes,640
timing.3.0.false_alarm_episodes,577
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,63
timing.3.0.missed_event_centers,211
timing.3.0.event_recall,0.22992700729927007
timing.3.0.false_alarms_per_sampled_center_ns,4.333295783109909
timing.3.0.mean_detected_lead_ps,2.0
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,257
timing.9.0.detected_window_timing_mae_ps,1.9283753976917908
timing.9.0.detected_window_timing_bias_ps,-0.33573523999991034
timing.9.0.timed_within_3ps_recall,0.5913757700205339
timing.9.0.alarm_episodes,691
timing.9.0.false_alarm_episodes,522
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,169
timing.9.0.missed_event_centers,209
timing.9.0.event_recall,0.4470899470899471
timing.9.0.false_alarms_per_sampled_center_ns,3.920243325447786
timing.9.0.mean_detected_lead_ps,5.440828402366864
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1073
timing.24.0.detected_window_timing_mae_ps,4.5324438758789425
timing.24.0.detected_window_timing_bias_ps,0.022338616545290256
timing.24.0.timed_within_3ps_recall,0.2240721470690253
timing.24.0.alarm_episodes,851
timing.24.0.false_alarm_episodes,487
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,303
timing.24.0.missed_event_centers,94
timing.24.0.event_recall,0.7632241813602015
timing.24.0.false_alarms_per_sampled_center_ns,3.657391761480981
timing.24.0.mean_detected_lead_ps,15.168316831683168
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3112
timing.48.0.detected_window_timing_mae_ps,8.421139363598847
timing.48.0.detected_window_timing_bias_ps,0.2501793428722093
timing.48.0.timed_within_3ps_recall,0.09760558696375125
timing.48.0.alarm_episodes,1245
timing.48.0.false_alarm_episodes,653
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,371
timing.48.0.missed_event_centers,31
timing.48.0.event_recall,0.9228855721393034
timing.48.0.false_alarms_per_sampled_center_ns,4.9040591791521155
timing.48.0.mean_detected_lead_ps,26.98787061994609
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,7758
timing.96.0.detected_window_timing_mae_ps,16.073053277160035
timing.96.0.detected_window_timing_bias_ps,-0.9481045183660834
timing.96.0.timed_within_3ps_recall,0.04081800940051126
timing.96.0.alarm_episodes,2130
timing.96.0.false_alarm_episodes,1088
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,393
timing.96.0.missed_event_centers,16
timing.96.0.event_recall,0.960880195599022
timing.96.0.false_alarms_per_sampled_center_ns,8.170928617025272
timing.96.0.mean_detected_lead_ps,52.6412213740458
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005082447822031461
spatial.0.75.sampled_center_jaccard,0.03281358281358281
spatial.0.75.nearby_pair_difference_rmse,0.038341933361803714
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.01659234352839579
spatial.3.0.sampled_center_jaccard,0.1171704260651629
spatial.3.0.nearby_pair_difference_rmse,0.07809533499467408
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.0414725691279281
spatial.9.0.sampled_center_jaccard,0.2687437141982597
spatial.9.0.nearby_pair_difference_rmse,0.13377148223843252
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09618624911833588
spatial.24.0.sampled_center_jaccard,0.33089556277056276
spatial.24.0.nearby_pair_difference_rmse,0.22901024002921105
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.18160205850162275
spatial.48.0.sampled_center_jaccard,0.27453363029219885
spatial.48.0.nearby_pair_difference_rmse,0.3138298681854937
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.2868589970999905
spatial.96.0.sampled_center_jaccard,0.2304485441758345
spatial.96.0.nearby_pair_difference_rmse,0.37629911563710855
spatial.96.0.nearby_pairs,16736
test_event_nll,1.0205778663556393
training.sources,60
training.eligible_windows,75329
training.updates,5151
training.samples,329412
training.complete_epochs,4
training.partial_epoch_updates,439
training.selected_step,4864
