metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009644516220460418
classification.0.75.brier,0.0021999247251933674
classification.0.75.average_precision,0.21683050114131108
classification.0.75.threshold,0.007637697737663984
classification.0.75.recall,0.8719909130031073
classification.0.75.false_positive_rate,0.04543862269315432
classification.0.75.precision,0.04520646062546042
classification.0.75.auroc,0.9759690601636059
classification.0.75.f1,0.0859566850229508
classification.0.75.balanced_accuracy,0.9132761451549765
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0005712628526319031
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02718336494312056
classification.3.0.brier,0.006964276443363197
classification.3.0.average_precision,0.3490776086700057
classification.3.0.threshold,0.033725202083587646
classification.3.0.recall,0.8037454620926041
classification.3.0.false_positive_rate,0.04076701180300757
classification.3.0.precision,0.14961804918844046
classification.3.0.auroc,0.9671361018514567
classification.3.0.f1,0.25227487030790463
classification.3.0.balanced_accuracy,0.8814892251447983
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.001363774908048474
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.07389308452647741
classification.9.0.brier,0.020602595806136305
classification.9.0.average_precision,0.5021323958860362
classification.9.0.threshold,0.1524709165096283
classification.9.0.recall,0.7198890742651882
classification.9.0.false_positive_rate,0.03946674808109693
classification.9.0.precision,0.3703818525006469
classification.9.0.auroc,0.9492283235338929
classification.9.0.f1,0.4891148472834274
classification.9.0.balanced_accuracy,0.8402111630920455
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.002501725982919897
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.19094014222606365
classification.24.0.brier,0.05266103836317102
classification.24.0.average_precision,0.5855964200622614
classification.24.0.threshold,0.33369922637939453
classification.24.0.recall,0.6090192612460711
classification.24.0.false_positive_rate,0.043416692402837645
classification.24.0.precision,0.58459927284686
classification.24.0.auroc,0.8803549599627486
classification.24.0.f1,0.596559465365114
classification.24.0.balanced_accuracy,0.7828012844216168
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.009593328635705037
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.38184967862221536
classification.48.0.brier,0.11468300242021323
classification.48.0.average_precision,0.5593779608109313
classification.48.0.threshold,0.34775349497795105
classification.48.0.recall,0.4622269231530458
classification.48.0.false_positive_rate,0.05190513521395578
classification.48.0.precision,0.6739704879613677
classification.48.0.auroc,0.7614351915298836
classification.48.0.f1,0.5483682710397753
classification.48.0.balanced_accuracy,0.7051608939695448
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.027048684179972186
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5983065762220927
classification.96.0.brier,0.20797841079232765
classification.96.0.average_precision,0.606291166026101
classification.96.0.threshold,0.606147050857544
classification.96.0.recall,0.2959427718524083
classification.96.0.false_positive_rate,0.05710839201699992
classification.96.0.precision,0.7507029409514966
classification.96.0.auroc,0.6852021082514355
classification.96.0.f1,0.4245278157931269
classification.96.0.balanced_accuracy,0.6194171899177046
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1017573078055633
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,8
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8823529411764706
timing.0.75.alarm_episodes,654
timing.0.75.false_alarm_episodes,633
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,21
timing.0.75.missed_event_centers,47
timing.0.75.event_recall,0.3088235294117647
timing.0.75.false_alarms_per_sampled_center_ns,4.753858285456799
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,56
timing.3.0.detected_window_timing_mae_ps,0.7217945480440808
timing.3.0.detected_window_timing_bias_ps,-0.33887621817469893
timing.3.0.timed_within_3ps_recall,0.7956204379562044
timing.3.0.alarm_episodes,645
timing.3.0.false_alarm_episodes,570
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,75
timing.3.0.missed_event_centers,199
timing.3.0.event_recall,0.2737226277372263
timing.3.0.false_alarms_per_sampled_center_ns,4.280725470316549
timing.3.0.mean_detected_lead_ps,2.01
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,300
timing.9.0.detected_window_timing_mae_ps,1.937345066329161
timing.9.0.detected_window_timing_bias_ps,-0.1877981095452695
timing.9.0.timed_within_3ps_recall,0.5513347022587269
timing.9.0.alarm_episodes,673
timing.9.0.false_alarm_episodes,507
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,166
timing.9.0.missed_event_centers,212
timing.9.0.event_recall,0.43915343915343913
timing.9.0.false_alarms_per_sampled_center_ns,3.807592655176298
timing.9.0.mean_detected_lead_ps,5.308734939759036
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1163
timing.24.0.detected_window_timing_mae_ps,4.666683777094655
timing.24.0.detected_window_timing_bias_ps,0.4248696272432591
timing.24.0.timed_within_3ps_recall,0.20395421436004163
timing.24.0.alarm_episodes,858
timing.24.0.false_alarm_episodes,477
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,298
timing.24.0.missed_event_centers,99
timing.24.0.event_recall,0.7506297229219143
timing.24.0.false_alarms_per_sampled_center_ns,3.582291314633322
timing.24.0.mean_detected_lead_ps,15.302013422818792
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3195
timing.48.0.detected_window_timing_mae_ps,8.77816363471056
timing.48.0.detected_window_timing_bias_ps,1.1887682978416716
timing.48.0.timed_within_3ps_recall,0.08812770202859993
timing.48.0.alarm_episodes,1049
timing.48.0.false_alarm_episodes,468
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,372
timing.48.0.missed_event_centers,30
timing.48.0.event_recall,0.9253731343283582
timing.48.0.false_alarms_per_sampled_center_ns,3.5147009124704294
timing.48.0.mean_detected_lead_ps,26.02217741935484
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,8643
timing.96.0.detected_window_timing_mae_ps,16.203263944262904
timing.96.0.detected_window_timing_bias_ps,0.7787423977879758
timing.96.0.timed_within_3ps_recall,0.028696297517935187
timing.96.0.alarm_episodes,1516
timing.96.0.false_alarm_episodes,653
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,395
timing.96.0.missed_event_centers,14
timing.96.0.event_recall,0.9657701711491442
timing.96.0.false_alarms_per_sampled_center_ns,4.9040591791521155
timing.96.0.mean_detected_lead_ps,42.52594936708861
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005365301890026554
spatial.0.75.sampled_center_jaccard,0.03141547861507128
spatial.0.75.nearby_pair_difference_rmse,0.0385852591765104
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.015385197838052202
spatial.3.0.sampled_center_jaccard,0.11731461483081353
spatial.3.0.nearby_pair_difference_rmse,0.07948293025141827
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.040857281548231546
spatial.9.0.sampled_center_jaccard,0.25467197266064123
spatial.9.0.nearby_pair_difference_rmse,0.137316670225587
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.09031658586026901
spatial.24.0.sampled_center_jaccard,0.31730232917778173
spatial.24.0.nearby_pair_difference_rmse,0.2324367835823439
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.1722822039562494
spatial.48.0.sampled_center_jaccard,0.28538177491876404
spatial.48.0.nearby_pair_difference_rmse,0.3173559735465668
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.28777662320218167
spatial.96.0.sampled_center_jaccard,0.22191668572073173
spatial.96.0.nearby_pair_difference_rmse,0.3782397150320725
spatial.96.0.nearby_pairs,16736
test_event_nll,0.9813592499563575
training.sources,90
training.eligible_windows,27492
training.updates,5151
training.samples,329356
training.complete_epochs,11
training.partial_epoch_updates,421
training.selected_step,2048
