metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.009318128088065085
classification.0.75.brier,0.002102528445129348
classification.0.75.average_precision,0.24951021146006436
classification.0.75.threshold,0.007885483093559742
classification.0.75.recall,0.8772130781197344
classification.0.75.false_positive_rate,0.04566457365545011
classification.0.75.precision,0.04525010027049708
classification.0.75.auroc,0.980463257478068
classification.0.75.f1,0.08606084377867175
classification.0.75.balanced_accuracy,0.9157742522321424
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0002937829392220267
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02871322205065276
classification.3.0.brier,0.006879325075594705
classification.3.0.average_precision,0.3616666065392876
classification.3.0.threshold,0.033646345138549805
classification.3.0.recall,0.8116613424720176
classification.3.0.false_positive_rate,0.04956208504302474
classification.3.0.precision,0.12751046236736346
classification.3.0.auroc,0.9585738392187328
classification.3.0.f1,0.22039697642333264
classification.3.0.balanced_accuracy,0.8810496287144964
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0014731076778759311
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.09415187900618699
classification.9.0.brier,0.023372300330570153
classification.9.0.average_precision,0.39933230807652476
classification.9.0.threshold,0.10581967979669571
classification.9.0.recall,0.6343192345310446
classification.9.0.false_positive_rate,0.057247711451179725
classification.9.0.precision,0.2632677472531592
classification.9.0.auroc,0.8947015943696464
classification.9.0.f1,0.3720994161087004
classification.9.0.balanced_accuracy,0.7885357615399323
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.008075265084267617
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.256728223246577
classification.24.0.brier,0.07039540305839327
classification.24.0.average_precision,0.3786119602056488
classification.24.0.threshold,0.2308041751384735
classification.24.0.recall,0.4417486242036009
classification.24.0.false_positive_rate,0.07802240381673511
classification.24.0.precision,0.3622578076374819
classification.24.0.auroc,0.770934880854641
classification.24.0.f1,0.398073651635913
classification.24.0.balanced_accuracy,0.6818631101934329
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03075523019226811
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.45025345813111733
classification.48.0.brier,0.14290473009292154
classification.48.0.average_precision,0.39809746866814744
classification.48.0.threshold,0.39744436740875244
classification.48.0.recall,0.31035705171692285
classification.48.0.false_positive_rate,0.09289145580996355
classification.48.0.precision,0.43680278656347443
classification.48.0.auroc,0.6843492091585647
classification.48.0.f1,0.3628803853579209
classification.48.0.balanced_accuracy,0.6087327979534795
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06411363647397549
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6529509730604716
classification.96.0.brier,0.23388456241476396
classification.96.0.average_precision,0.5185962311248761
classification.96.0.threshold,0.6855252385139465
classification.96.0.recall,0.20563633417803392
classification.96.0.false_positive_rate,0.08168320141823453
classification.96.0.precision,0.5939721502688242
classification.96.0.auroc,0.6417880687689553
classification.96.0.f1,0.30550515148577795
classification.96.0.balanced_accuracy,0.5619765663798998
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1358188255484241
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,9
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8676470588235294
timing.0.75.alarm_episodes,666
timing.0.75.false_alarm_episodes,643
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,23
timing.0.75.missed_event_centers,45
timing.0.75.event_recall,0.3382352941176471
timing.0.75.false_alarms_per_sampled_center_ns,4.828958732304457
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,55
timing.3.0.detected_window_timing_mae_ps,0.7350455617134707
timing.3.0.detected_window_timing_bias_ps,-0.3359752900775706
timing.3.0.timed_within_3ps_recall,0.7992700729927007
timing.3.0.alarm_episodes,726
timing.3.0.false_alarm_episodes,631
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,95
timing.3.0.missed_event_centers,179
timing.3.0.event_recall,0.3467153284671533
timing.3.0.false_alarms_per_sampled_center_ns,4.738838196087267
timing.3.0.mean_detected_lead_ps,1.8868421052631579
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,362
timing.9.0.detected_window_timing_mae_ps,1.9280092833614588
timing.9.0.detected_window_timing_bias_ps,-0.16953743583601033
timing.9.0.timed_within_3ps_recall,0.5041067761806981
timing.9.0.alarm_episodes,960
timing.9.0.false_alarm_episodes,771
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,189
timing.9.0.missed_event_centers,189
timing.9.0.event_recall,0.5
timing.9.0.false_alarms_per_sampled_center_ns,5.790244451954489
timing.9.0.mean_detected_lead_ps,4.615079365079365
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1548
timing.24.0.detected_window_timing_mae_ps,4.786378829238222
timing.24.0.detected_window_timing_bias_ps,-0.12168054826057016
timing.24.0.timed_within_3ps_recall,0.16857440166493237
timing.24.0.alarm_episodes,1776
timing.24.0.false_alarm_episodes,1423
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,294
timing.24.0.missed_event_centers,103
timing.24.0.event_recall,0.7405541561712846
timing.24.0.false_alarms_per_sampled_center_ns,10.686793586421839
timing.24.0.mean_detected_lead_ps,12.326530612244898
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3970
timing.48.0.detected_window_timing_mae_ps,9.689460876098213
timing.48.0.detected_window_timing_bias_ps,-0.5626339784900019
timing.48.0.timed_within_3ps_recall,0.056867309610907885
timing.48.0.alarm_episodes,2204
timing.48.0.false_alarm_episodes,1633
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,317
timing.48.0.missed_event_centers,85
timing.48.0.event_recall,0.7885572139303483
timing.48.0.false_alarms_per_sampled_center_ns,12.263902970222672
timing.48.0.mean_detected_lead_ps,24.69321766561514
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,9627
timing.96.0.detected_window_timing_mae_ps,19.77587490604892
timing.96.0.detected_window_timing_bias_ps,-1.6307503859614703
timing.96.0.timed_within_3ps_recall,0.01599736125999835
timing.96.0.alarm_episodes,2166
timing.96.0.false_alarm_episodes,1279
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,305
timing.96.0.missed_event_centers,104
timing.96.0.event_recall,0.7457212713936431
timing.96.0.false_alarms_per_sampled_center_ns,9.605347151815554
timing.96.0.mean_detected_lead_ps,50.8155737704918
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005859952099906993
spatial.0.75.sampled_center_jaccard,0.035941475826972005
spatial.0.75.nearby_pair_difference_rmse,0.03820677559096983
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.020362834077803486
spatial.3.0.sampled_center_jaccard,0.10142550170753233
spatial.3.0.nearby_pair_difference_rmse,0.07942610321895587
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.05959881548510267
spatial.9.0.sampled_center_jaccard,0.15888409341581547
spatial.9.0.nearby_pair_difference_rmse,0.14382786139289755
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.13943034110468003
spatial.24.0.sampled_center_jaccard,0.17144072215663125
spatial.24.0.nearby_pair_difference_rmse,0.24086925402719
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.22958445693814444
spatial.48.0.sampled_center_jaccard,0.17236246272490094
spatial.48.0.nearby_pair_difference_rmse,0.308804976625239
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3212743348712167
spatial.96.0.sampled_center_jaccard,0.14829650227794794
spatial.96.0.nearby_pair_difference_rmse,0.37100237871515207
spatial.96.0.nearby_pairs,16736
test_event_nll,1.0737918232377974
training.sources,90
training.eligible_windows,109838
training.updates,5151
training.samples,329514
training.complete_epochs,3
training.partial_epoch_updates,0
training.selected_step,4096
