metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.010025578292235616
classification.0.75.brier,0.0022057971574849624
classification.0.75.average_precision,0.1990537515028312
classification.0.75.threshold,0.005967010743916035
classification.0.75.recall,0.8558919224044046
classification.0.75.false_positive_rate,0.04914149343135844
classification.0.75.precision,0.041200511200636426
classification.0.75.auroc,0.9721554168052525
classification.0.75.f1,0.07861661388414315
classification.0.75.balanced_accuracy,0.903375214486523
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0002153750641935943
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.031148121531026998
classification.3.0.brier,0.00713764671479078
classification.3.0.average_precision,0.3086450821935308
classification.3.0.threshold,0.02732650376856327
classification.3.0.recall,0.7604900684273647
classification.3.0.false_positive_rate,0.05243399102990746
classification.3.0.precision,0.11459902587577883
classification.3.0.auroc,0.9281596709148393
classification.3.0.f1,0.19918296684837872
classification.3.0.balanced_accuracy,0.8540280386987287
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.001352874156924762
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.10386087236446652
classification.9.0.brier,0.024650695210377865
classification.9.0.average_precision,0.3354325262642593
classification.9.0.threshold,0.0828082263469696
classification.9.0.recall,0.5403246795622303
classification.9.0.false_positive_rate,0.061398492236050366
classification.9.0.precision,0.22107156273669232
classification.9.0.auroc,0.8440781214799026
classification.9.0.f1,0.3137667738820512
classification.9.0.balanced_accuracy,0.7394630936630899
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.006743636444291291
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.27372960837003757
classification.24.0.brier,0.07516786961569295
classification.24.0.average_precision,0.2950121252599098
classification.24.0.threshold,0.19636963307857513
classification.24.0.recall,0.3408098007605552
classification.24.0.false_positive_rate,0.08009233305919856
classification.24.0.precision,0.29918568969492554
classification.24.0.auroc,0.7123695292432106
classification.24.0.f1,0.31864416801677375
classification.24.0.balanced_accuracy,0.6303587338506783
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.02502862748139926
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4666798553365106
classification.48.0.brier,0.14924596566542683
classification.48.0.average_precision,0.3464873509991848
classification.48.0.threshold,0.3781787157058716
classification.48.0.recall,0.26706840553028843
classification.48.0.false_positive_rate,0.10129810379341074
classification.48.0.precision,0.3796573940529518
classification.48.0.auroc,0.6520051870716886
classification.48.0.f1,0.31356254827887287
classification.48.0.balanced_accuracy,0.5828851508684387
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.08079129460615488
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6743747808732914
classification.96.0.brier,0.24359983553948195
classification.96.0.average_precision,0.4991235252468105
classification.96.0.threshold,0.6872938871383667
classification.96.0.recall,0.2240944250482147
classification.96.0.false_positive_rate,0.11762221069109999
classification.96.0.precision,0.5254129399474217
classification.96.0.auroc,0.6349662176065762
classification.96.0.f1,0.31418533343190075
classification.96.0.balanced_accuracy,0.5532361071785574
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.15929400119958328
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,7
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8970588235294118
timing.0.75.alarm_episodes,788
timing.0.75.false_alarm_episodes,763
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,25
timing.0.75.missed_event_centers,43
timing.0.75.event_recall,0.36764705882352944
timing.0.75.false_alarms_per_sampled_center_ns,5.730164094476362
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,61
timing.3.0.detected_window_timing_mae_ps,0.7514603691336907
timing.3.0.detected_window_timing_bias_ps,-0.37777914061407136
timing.3.0.timed_within_3ps_recall,0.7773722627737226
timing.3.0.alarm_episodes,962
timing.3.0.false_alarm_episodes,866
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,96
timing.3.0.missed_event_centers,178
timing.3.0.event_recall,0.35036496350364965
timing.3.0.false_alarms_per_sampled_center_ns,6.5036986970072475
timing.3.0.mean_detected_lead_ps,1.90625
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,426
timing.9.0.detected_window_timing_mae_ps,1.9502325660691688
timing.9.0.detected_window_timing_bias_ps,-0.10610115102321509
timing.9.0.timed_within_3ps_recall,0.446611909650924
timing.9.0.alarm_episodes,1375
timing.9.0.false_alarm_episodes,1160
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,215
timing.9.0.missed_event_centers,163
timing.9.0.event_recall,0.5687830687830688
timing.9.0.false_alarms_per_sampled_center_ns,8.711651834328414
timing.9.0.mean_detected_lead_ps,4.217441860465116
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1798
timing.24.0.detected_window_timing_mae_ps,5.049444469481554
timing.24.0.detected_window_timing_bias_ps,0.3117326064586971
timing.24.0.timed_within_3ps_recall,0.11758584807492195
timing.24.0.alarm_episodes,1914
timing.24.0.false_alarm_episodes,1549
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,313
timing.24.0.missed_event_centers,84
timing.24.0.event_recall,0.7884130982367759
timing.24.0.false_alarms_per_sampled_center_ns,11.633059216702339
timing.24.0.mean_detected_lead_ps,9.716453674121405
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4132
timing.48.0.detected_window_timing_mae_ps,10.30676974262891
timing.48.0.detected_window_timing_bias_ps,-0.015996892238564667
timing.48.0.timed_within_3ps_recall,0.05004988360492185
timing.48.0.alarm_episodes,1991
timing.48.0.false_alarm_episodes,1446
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,332
timing.48.0.missed_event_centers,70
timing.48.0.event_recall,0.8258706467661692
timing.48.0.false_alarms_per_sampled_center_ns,10.859524614171454
timing.48.0.mean_detected_lead_ps,21.8019578313253
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,9151
timing.96.0.detected_window_timing_mae_ps,21.276594854325825
timing.96.0.detected_window_timing_bias_ps,-0.6851098289848258
timing.96.0.timed_within_3ps_recall,0.016657046260410653
timing.96.0.alarm_episodes,2079
timing.96.0.false_alarm_episodes,1246
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,321
timing.96.0.missed_event_centers,88
timing.96.0.event_recall,0.784841075794621
timing.96.0.false_alarms_per_sampled_center_ns,9.357515677218279
timing.96.0.mean_detected_lead_ps,47.33878504672897
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.006024155776684408
spatial.0.75.sampled_center_jaccard,0.03067881669307977
spatial.0.75.nearby_pair_difference_rmse,0.03899439405255089
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.01943576080280299
spatial.3.0.sampled_center_jaccard,0.08404565402502129
spatial.3.0.nearby_pair_difference_rmse,0.08034179424607996
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.05661844343622275
spatial.9.0.sampled_center_jaccard,0.13541234439834024
spatial.9.0.nearby_pair_difference_rmse,0.14543214380874483
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.13642555362277858
spatial.24.0.sampled_center_jaccard,0.15001614579732833
spatial.24.0.nearby_pair_difference_rmse,0.24039722492199955
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.22911390369640014
spatial.48.0.sampled_center_jaccard,0.18605226391695517
spatial.48.0.nearby_pair_difference_rmse,0.3019957372274814
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.31974622664680813
spatial.96.0.sampled_center_jaccard,0.19576189681823486
spatial.96.0.nearby_pair_difference_rmse,0.36136834120937816
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1100436905497546
training.sources,90
training.eligible_windows,109838
training.updates,5151
training.samples,329514
training.complete_epochs,3
training.partial_epoch_updates,0
training.selected_step,4352
