metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.01721121876107629
classification.0.75.brier,0.002454935957974732
classification.0.75.average_precision,0.002608226176044043
classification.0.75.threshold,0.0029553233180195093
classification.0.75.recall,0.022816922345200844
classification.0.75.false_positive_rate,0.10111344598355976
classification.0.75.precision,0.0005564301638051963
classification.0.75.auroc,0.5478876835467915
classification.0.75.f1,0.0010863673778229814
classification.0.75.balanced_accuracy,0.4608517381808205
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0002359848891563406
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.05051804786509638
classification.3.0.brier,0.008767258475337764
classification.3.0.average_precision,0.013568381605716651
classification.3.0.threshold,0.014030221849679947
classification.3.0.recall,0.11511885968852174
classification.3.0.false_positive_rate,0.04930551193164765
classification.3.0.precision,0.020410582104177424
classification.3.0.auroc,0.5950524831141787
classification.3.0.f1,0.03467354260937311
classification.3.0.balanced_accuracy,0.532906673878437
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.002342295865215422
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13863335975796223
classification.9.0.brier,0.03027130092971428
classification.9.0.average_precision,0.03346768113515168
classification.9.0.threshold,0.04866578057408333
classification.9.0.recall,0.03326662348034975
classification.9.0.false_positive_rate,0.041161309852166005
classification.9.0.precision,0.025402875821562795
classification.9.0.auroc,0.5610334355314694
classification.9.0.f1,0.028807742194127156
classification.9.0.balanced_accuracy,0.49605265681409183
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.007562781592834738
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.30234575577551753
classification.24.0.brier,0.08258877147024211
classification.24.0.average_precision,0.10011436223816002
classification.24.0.threshold,0.12999963760375977
classification.24.0.recall,0.07414700708576008
classification.24.0.false_positive_rate,0.08584412703163789
classification.24.0.precision,0.07974575793008154
classification.24.0.auroc,0.5686224288865148
classification.24.0.f1,0.07684453882796108
classification.24.0.balanced_accuracy,0.4941514400270611
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.015013234018496658
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4854870760709379
classification.48.0.brier,0.15486822983197482
classification.48.0.average_precision,0.1842203233833655
classification.48.0.threshold,0.3126979172229767
classification.48.0.recall,0.004077736514925244
classification.48.0.false_positive_rate,0.02971159672742318
classification.48.0.precision,0.030875348188481155
classification.48.0.auroc,0.541375548259001
classification.48.0.f1,0.007204029961162809
classification.48.0.balanced_accuracy,0.48718306989375104
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06430794115658658
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.667063617763778
classification.96.0.brier,0.23832346640627455
classification.96.0.average_precision,0.36681740027710447
classification.96.0.threshold,0.6073461174964905
classification.96.0.recall,0.007200004135195392
classification.96.0.false_positive_rate,0.02735322026190995
classification.96.0.precision,0.1326644570878518
classification.96.0.auroc,0.5439636992881485
classification.96.0.f1,0.01365871832305871
classification.96.0.balanced_accuracy,0.4899233919366427
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1025235783783579
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,65
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.04411764705882353
timing.0.75.alarm_episodes,171
timing.0.75.false_alarm_episodes,171
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,0
timing.0.75.missed_event_centers,68
timing.0.75.event_recall,0.0
timing.0.75.false_alarms_per_sampled_center_ns,1.2842176410949646
timing.0.75.mean_detected_lead_ps,
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,250
timing.3.0.detected_window_timing_mae_ps,0.850078995724885
timing.3.0.detected_window_timing_bias_ps,-0.5485320011263927
timing.3.0.timed_within_3ps_recall,0.08759124087591241
timing.3.0.alarm_episodes,690
timing.3.0.false_alarm_episodes,673
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,17
timing.3.0.missed_event_centers,257
timing.3.0.event_recall,0.06204379562043796
timing.3.0.false_alarms_per_sampled_center_ns,5.054260072847433
timing.3.0.mean_detected_lead_ps,2.2058823529411766
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,943
timing.9.0.detected_window_timing_mae_ps,2.0483925853597675
timing.9.0.detected_window_timing_bias_ps,-0.49716873216927093
timing.9.0.timed_within_3ps_recall,0.023613963039014373
timing.9.0.alarm_episodes,1100
timing.9.0.false_alarm_episodes,1085
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,15
timing.9.0.missed_event_centers,363
timing.9.0.event_recall,0.03968253968253968
timing.9.0.false_alarms_per_sampled_center_ns,8.148398482970974
timing.9.0.mean_detected_lead_ps,4.65
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2598
timing.24.0.detected_window_timing_mae_ps,5.634690505667604
timing.24.0.detected_window_timing_bias_ps,-0.9337533054410634
timing.24.0.timed_within_3ps_recall,0.027055150884495317
timing.24.0.alarm_episodes,880
timing.24.0.false_alarm_episodes,819
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,46
timing.24.0.missed_event_centers,351
timing.24.0.event_recall,0.11586901763224182
timing.24.0.false_alarms_per_sampled_center_ns,6.150726596823251
timing.24.0.mean_detected_lead_ps,15.342391304347826
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5996
timing.48.0.detected_window_timing_mae_ps,11.82992158131424
timing.48.0.detected_window_timing_bias_ps,-5.104052611096779
timing.48.0.timed_within_3ps_recall,0.0003325573661456601
timing.48.0.alarm_episodes,467
timing.48.0.false_alarm_episodes,455
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,6
timing.48.0.missed_event_centers,396
timing.48.0.event_recall,0.014925373134328358
timing.48.0.false_alarms_per_sampled_center_ns,3.417070331568473
timing.48.0.mean_detected_lead_ps,40.875
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,12065
timing.96.0.detected_window_timing_mae_ps,27.116187082672337
timing.96.0.detected_window_timing_bias_ps,-27.116187082672337
timing.96.0.timed_within_3ps_recall,8.246062505153789e-05
timing.96.0.alarm_episodes,113
timing.96.0.false_alarm_episodes,106
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,6
timing.96.0.missed_event_centers,403
timing.96.0.event_recall,0.014669926650366748
timing.96.0.false_alarms_per_sampled_center_ns,0.7960647365851826
timing.96.0.mean_detected_lead_ps,86.875
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005429084189918722
spatial.0.75.sampled_center_jaccard,0.0004165862446117223
spatial.0.75.nearby_pair_difference_rmse,0.04016561773581673
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.020137061296197578
spatial.3.0.sampled_center_jaccard,0.016492753623188406
spatial.3.0.nearby_pair_difference_rmse,0.0860770392795062
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.0620525419431754
spatial.9.0.sampled_center_jaccard,0.0057467136763297635
spatial.9.0.nearby_pair_difference_rmse,0.15324051653947787
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.14298706060073743
spatial.24.0.sampled_center_jaccard,0.026837343895310214
spatial.24.0.nearby_pair_difference_rmse,0.2380026722055175
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2513402230365641
spatial.48.0.sampled_center_jaccard,0.001288454883033551
spatial.48.0.nearby_pair_difference_rmse,0.3007715071962059
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.35647624862224764
spatial.96.0.sampled_center_jaccard,0.0018435318638846453
spatial.96.0.nearby_pair_difference_rmse,0.36321308611404635
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1354073409732046
training.sources,90
training.eligible_windows,109838
training.updates,5151
training.samples,329514
training.complete_epochs,3
training.partial_epoch_updates,0
training.selected_step,640
