metric,value
relaxed-direct.12.matched_ap.value,0.6819143466879591
relaxed-direct.12.matched_ap.ci95.lower,0.6220472774812131
relaxed-direct.12.matched_ap.ci95.upper,0.7680666188483307
relaxed-direct.12.restricted_timing_mae_ps.value,47.400451591036635
relaxed-direct.12.restricted_timing_mae_ps.ci95.lower,40.67752667699931
relaxed-direct.12.restricted_timing_mae_ps.ci95.upper,54.489417209250796
relaxed-direct.12.conditional_timing_mae_ps.value,26.271904817016775
relaxed-direct.12.conditional_timing_mae_ps.ci95.lower,23.545936572119007
relaxed-direct.12.conditional_timing_mae_ps.ci95.upper,28.94514496927951
relaxed-direct.12.case_probability.value,0.13794725454177106
relaxed-direct.12.case_probability.ci95.lower,0.09914898936468129
relaxed-direct.12.case_probability.ci95.upper,0.17610927953585617
relaxed-direct.12.control_probability.value,0.08017438071337651
relaxed-direct.12.control_probability.ci95.lower,0.05546337153821094
relaxed-direct.12.control_probability.ci95.upper,0.1062448150545042
relaxed-direct.12.event_mass_96ps.value,0.5524828339039924
relaxed-direct.12.event_mass_96ps.ci95.lower,0.44312990868923613
relaxed-direct.12.event_mass_96ps.ci95.upper,0.6535093132765205
relaxed-direct.12.events,66
relaxed-direct.12.sources,18
relaxed-direct.12.actual_lead_min_ps,12.0
relaxed-direct.12.actual_lead_max_ps,23.25
relaxed-direct.24.matched_ap.value,0.6136937861945728
relaxed-direct.24.matched_ap.ci95.lower,0.5317005946680352
relaxed-direct.24.matched_ap.ci95.upper,0.7345503747985288
relaxed-direct.24.restricted_timing_mae_ps.value,44.479265781447225
relaxed-direct.24.restricted_timing_mae_ps.ci95.lower,38.740684077982614
relaxed-direct.24.restricted_timing_mae_ps.ci95.upper,49.670839307304554
relaxed-direct.24.conditional_timing_mae_ps.value,17.70569027339138
relaxed-direct.24.conditional_timing_mae_ps.ci95.lower,15.398988263769585
relaxed-direct.24.conditional_timing_mae_ps.ci95.upper,19.660803247482004
relaxed-direct.24.case_probability.value,0.14627892809313914
relaxed-direct.24.case_probability.ci95.lower,0.10795916385297595
relaxed-direct.24.case_probability.ci95.upper,0.1885988070907763
relaxed-direct.24.control_probability.value,0.09740042432578447
relaxed-direct.24.control_probability.ci95.lower,0.06256253469275574
relaxed-direct.24.control_probability.ci95.upper,0.13985778095187723
relaxed-direct.24.event_mass_96ps.value,0.4100726780594972
