comparison,a,b,delta_nll,relative_change_percent,sources,lower,upper
radius25_vs0,frozen-H12-R25-attention-E3-S90-W1,frozen-H12-R0-attention-E3-S90-W1,-0.11895386478977382,-10.69940308735889,30,-0.13797001063645872,-0.10013055838101828
radius25_vs12,frozen-H12-R25-attention-E3-S90-W1,frozen-H12-R12-attention-E3-S90-W1,-0.07471094079995896,-6.9984373907005555,30,-0.08764249425090821,-0.06180553670225755
attention_vs_mean,frozen-H12-R25-attention-E3-S90-W1,frozen-H12-R25-mean-E3-S90-W1,-0.08096530347214487,-7.54013037909068,30,-0.0988860117617989,-0.0647903567517194
epochs6_vs3,frozen-H12-R25-attention-E6-S90-W1,frozen-H12-R25-attention-E3-S90-W1,-0.029159529598645886,-2.937021626449777,30,-0.047055149236668085,-0.010910033240494365
epochs6_vs1,frozen-H12-R25-attention-E6-S90-W1,frozen-H12-R25-attention-E1-S90-W1,-0.024585474928202386,-2.487772689323249,30,-0.033491777722085135,-0.015829276655833124
epochs3_vs1,frozen-H12-R25-attention-E3-S90-W1,frozen-H12-R25-attention-E1-S90-W1,0.00457405467044351,0.4628427281487065,30,-0.011601983778903743,0.020386276630765438
sources90_vs30,frozen-H12-R25-attention-E3-S90-W1,frozen-H12-R25-attention-E3-S30-W1-matched-updates,-0.05516982111556677,-5.26431428846179,30,-0.0989965102521069,-0.010214626407010196
sources90_vs60,frozen-H12-R25-attention-E3-S90-W1,frozen-H12-R25-attention-E3-S60-W1-matched-updates,-0.027751346589986382,-2.7191797416774386,30,-0.0650502918585102,0.009752858025553467
windows100_vs25,frozen-H12-R25-attention-E3-S90-W1,frozen-H12-R25-attention-E3-S90-W0.25-matched-updates,0.011467269809295199,1.168508862560287,30,-0.005514577282773158,0.02742432329749849
tensor_vs_scalar_E3,frozen-tensor-H12-R25-attention-E3-S90-W1,frozen-H12-R25-attention-E3-S90-W1,-0.00045286219014036564,-0.04561342602404089,30,-0.001695929858791976,0.0008398348553946277
tensor_vs_scalar_E6,frozen-tensor-H12-R25-attention-E6-S90-W1,frozen-H12-R25-attention-E6-S90-W1,0.002237502575620228,0.2321862841055146,30,-0.0014695663725596254,0.00598363919761488
history12_vs_snapshot,frozen-H12-R25-attention,frozen-H0-R25-attention,-0.03435311556686652,-3.394158849487019,30,-0.04030516958639153,-0.028848858721016803
history48_vs12,frozen-H48-R25-attention,frozen-H12-R25-attention,-0.00013644167579513847,-0.013954352580188917,30,-0.002441827676869455,0.002194478291850661
real48_vs_repeated48,frozen-H48-R25-attention,frozen-H48-R25-attention-repeat,-0.03438952717533004,-3.3980922311772632,30,-0.04140510874487427,-0.02792471327895861
