metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.011234560021554195
classification.0.75.brier,0.0021531837024399794
classification.0.75.average_precision,0.22798867874291417
classification.0.75.threshold,0.030394529923796654
classification.0.75.recall,0.7757669378570528
classification.0.75.false_positive_rate,0.027482465721268112
classification.0.75.precision,0.06510896627138985
classification.0.75.auroc,0.8806709966504599
classification.0.75.f1,0.12013516654100483
classification.0.75.balanced_accuracy,0.8741422360678923
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0007020908165332637
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.035274904131805354
classification.3.0.brier,0.007038377230250546
classification.3.0.average_precision,0.34836867455755377
classification.3.0.threshold,0.030681375414133075
classification.3.0.recall,0.7072015485553416
classification.3.0.false_positive_rate,0.025859494146795014
classification.3.0.precision,0.19617548109048963
classification.3.0.auroc,0.8457226356559262
classification.3.0.f1,0.3071488414315221
classification.3.0.balanced_accuracy,0.8406710272042732
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.005196361483056257
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.0986899617648292
classification.9.0.brier,0.022475089514243103
classification.9.0.average_precision,0.4993910764053031
classification.9.0.threshold,0.031601890921592726
classification.9.0.recall,0.6314565016229541
classification.9.0.false_positive_rate,0.024227194680598745
classification.9.0.precision,0.45669270242779064
classification.9.0.auroc,0.865676911522529
classification.9.0.f1,0.53004050385417
classification.9.0.balanced_accuracy,0.8036146534711777
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.019347800266015142
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.1760966583213098
classification.24.0.brier,0.04745834291176647
classification.24.0.average_precision,0.6684395816765457
classification.24.0.threshold,0.15527899563312533
classification.24.0.recall,0.7130871186728992
classification.24.0.false_positive_rate,0.037712257590245296
classification.24.0.precision,0.6548202464997287
classification.24.0.auroc,0.9101988500903925
classification.24.0.f1,0.6827127256036691
classification.24.0.balanced_accuracy,0.8376874305413269
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03364239444878423
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.3830875191568762
classification.48.0.brier,0.09724995108397617
classification.48.0.average_precision,0.655484014966202
classification.48.0.threshold,0.3410140573978424
classification.48.0.recall,0.587852411771709
classification.48.0.false_positive_rate,0.050032422718560614
classification.48.0.precision,0.7317196373325087
classification.48.0.auroc,0.8363181907419693
classification.48.0.f1,0.6519434142889508
classification.48.0.balanced_accuracy,0.768909994526574
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06195789044371317
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5785060653188712
classification.96.0.brier,0.193482084089697
classification.96.0.average_precision,0.679199120601448
classification.96.0.threshold,0.802361011505127
classification.96.0.recall,0.3755558392589841
classification.96.0.false_positive_rate,0.052032908170023845
classification.96.0.precision,0.8074741491610464
classification.96.0.auroc,0.7575966856983471
classification.96.0.f1,0.5126693908632232
classification.96.0.balanced_accuracy,0.6617614655444807
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.09402766446870736
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,19
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.7205882352941176
timing.0.75.alarm_episodes,516
timing.0.75.false_alarm_episodes,500
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,16
timing.0.75.missed_event_centers,52
timing.0.75.event_recall,0.23529411764705882
timing.0.75.false_alarms_per_sampled_center_ns,3.755022342382937
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,82
timing.3.0.detected_window_timing_mae_ps,1.2964415617432967
timing.3.0.detected_window_timing_bias_ps,-1.2612302384034304
timing.3.0.timed_within_3ps_recall,0.7007299270072993
timing.3.0.alarm_episodes,540
timing.3.0.false_alarm_episodes,461
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,79
timing.3.0.missed_event_centers,195
timing.3.0.event_recall,0.28832116788321166
timing.3.0.false_alarms_per_sampled_center_ns,3.462130599677068
timing.3.0.mean_detected_lead_ps,1.8987341772151898
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,372
timing.9.0.detected_window_timing_mae_ps,2.0229067221745214
timing.9.0.detected_window_timing_bias_ps,-0.05233038155307885
timing.9.0.timed_within_3ps_recall,0.47433264887063653
timing.9.0.alarm_episodes,586
timing.9.0.false_alarm_episodes,392
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,194
timing.9.0.missed_event_centers,184
timing.9.0.event_recall,0.5132275132275133
timing.9.0.false_alarms_per_sampled_center_ns,2.943937516428223
timing.9.0.mean_detected_lead_ps,4.940721649484536
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,850
timing.24.0.detected_window_timing_mae_ps,5.408411494403222
timing.24.0.detected_window_timing_bias_ps,3.0926561914709385
timing.24.0.timed_within_3ps_recall,0.20707596253902186
timing.24.0.alarm_episodes,696
timing.24.0.false_alarm_episodes,373
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,280
timing.24.0.missed_event_centers,117
timing.24.0.event_recall,0.7052896725440806
timing.24.0.false_alarms_per_sampled_center_ns,2.8012466674176713
timing.24.0.mean_detected_lead_ps,15.889285714285714
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,2435
timing.48.0.detected_window_timing_mae_ps,10.466033927998412
timing.48.0.detected_window_timing_bias_ps,7.456535314563195
timing.48.0.timed_within_3ps_recall,0.08613235783172597
timing.48.0.alarm_episodes,884
timing.48.0.false_alarm_episodes,422
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,369
timing.48.0.missed_event_centers,33
timing.48.0.event_recall,0.917910447761194
timing.48.0.false_alarms_per_sampled_center_ns,3.169238856971199
timing.48.0.mean_detected_lead_ps,29.014227642276424
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,7675
timing.96.0.detected_window_timing_mae_ps,18.07993914741995
timing.96.0.detected_window_timing_bias_ps,10.829681641324138
timing.96.0.timed_within_3ps_recall,0.024408345015255215
timing.96.0.alarm_episodes,1338
timing.96.0.false_alarm_episodes,594
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,397
timing.96.0.missed_event_centers,12
timing.96.0.event_recall,0.9706601466992665
timing.96.0.false_alarms_per_sampled_center_ns,4.4609665427509295
timing.96.0.mean_detected_lead_ps,47.26133501259446
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.004809890577848736
spatial.0.75.sampled_center_jaccard,0.05357142857142857
spatial.0.75.nearby_pair_difference_rmse,0.03868996442660274
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.010632635217337984
spatial.3.0.sampled_center_jaccard,0.17157164869029276
spatial.3.0.nearby_pair_difference_rmse,0.07748409226815665
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.031235796705260575
spatial.9.0.sampled_center_jaccard,0.3187458811124291
spatial.9.0.nearby_pair_difference_rmse,0.13778622652343325
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.06664744897860701
spatial.24.0.sampled_center_jaccard,0.40239830769331525
spatial.24.0.nearby_pair_difference_rmse,0.21983378776113044
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.11580654504498356
spatial.48.0.sampled_center_jaccard,0.36404120297498815
spatial.48.0.nearby_pair_difference_rmse,0.3171545591663159
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.24147555638046894
spatial.96.0.sampled_center_jaccard,0.27479146676775135
spatial.96.0.nearby_pair_difference_rmse,0.41819029548919495
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,19
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.7205882352941176
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.9890376010422562
fine_timing.3.0.detected_window_timing_bias_ps,-0.8861451584793523
fine_timing.3.0.missed_windows,82
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.7007299270072993
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.9309431085553
fine_timing.9.0.detected_window_timing_mae_ps,2.037977019575262
fine_timing.9.0.detected_window_timing_bias_ps,0.19931387256226918
fine_timing.9.0.missed_windows,375
fine_timing.9.0.positive_windows,974
fine_timing.9.0.timed_within_3ps_recall,0.4702258726899384
