metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.00849972443824922
classification.0.75.brier,0.002053168047708512
classification.0.75.average_precision,0.3043747635615979
classification.0.75.threshold,0.005190576426684855
classification.0.75.recall,0.8983364800177057
classification.0.75.false_positive_rate,0.039617033700991906
classification.0.75.precision,0.05298098337848034
classification.0.75.auroc,0.9866168578865574
classification.0.75.f1,0.10006070937915554
classification.0.75.balanced_accuracy,0.929359723158357
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00040549599106989593
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.02370978365890494
classification.3.0.brier,0.006318148774888596
classification.3.0.average_precision,0.44072128210214645
classification.3.0.threshold,0.03599345684051515
classification.3.0.recall,0.8773998857041841
classification.3.0.false_positive_rate,0.038859918664138966
classification.3.0.precision,0.16770090550166727
classification.3.0.auroc,0.9804237245842183
classification.3.0.f1,0.2815819422543505
classification.3.0.balanced_accuracy,0.9192699835200226
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0009312224115127418
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.0598141689848965
classification.9.0.brier,0.01766305418672545
classification.9.0.average_precision,0.6180712277665049
classification.9.0.threshold,0.16296696662902835
classification.9.0.recall,0.8185318855347969
classification.9.0.false_positive_rate,0.037172720529475685
classification.9.0.precision,0.4152556291599486
classification.9.0.auroc,0.9744674603500519
classification.9.0.f1,0.5509862420666928
classification.9.0.balanced_accuracy,0.8906795825026605
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.004489786317196949
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.13882849038670403
classification.24.0.brier,0.03993187835136566
classification.24.0.average_precision,0.732408612548916
classification.24.0.threshold,0.42860010266304016
classification.24.0.recall,0.7290278550324323
classification.24.0.false_positive_rate,0.035163102134409645
classification.24.0.precision,0.6753298907054847
classification.24.0.auroc,0.9471117827881235
classification.24.0.f1,0.7011522571858786
classification.24.0.balanced_accuracy,0.8469323764490113
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.005436166135419749
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.31631543423992786
classification.48.0.brier,0.09068700932978313
classification.48.0.average_precision,0.6922829055576452
classification.48.0.threshold,0.3982689976692199
classification.48.0.recall,0.6016166476412205
classification.48.0.false_positive_rate,0.04601961474716636
classification.48.0.precision,0.7521501651257508
classification.48.0.auroc,0.8470400903426177
classification.48.0.f1,0.6685140403772566
classification.48.0.balanced_accuracy,0.7777985164470269
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.021092345086038813
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.5520279876384422
classification.96.0.brier,0.18534930789936405
classification.96.0.average_precision,0.6771407478270812
classification.96.0.threshold,0.5837026238441467
classification.96.0.recall,0.3927414373144753
classification.96.0.false_positive_rate,0.04890008001611619
classification.96.0.precision,0.8235406321595008
classification.96.0.auroc,0.7333905583855576
classification.96.0.f1,0.5318478989023935
classification.96.0.balanced_accuracy,0.6719206786491801
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.06983085616777267
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,7
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8970588235294118
timing.0.75.alarm_episodes,554
timing.0.75.false_alarm_episodes,540
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,14
timing.0.75.missed_event_centers,54
timing.0.75.event_recall,0.20588235294117646
timing.0.75.false_alarms_per_sampled_center_ns,4.055424129773572
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,35
timing.3.0.detected_window_timing_mae_ps,0.7329341146141876
timing.3.0.detected_window_timing_bias_ps,-0.36496171827593665
timing.3.0.timed_within_3ps_recall,0.8722627737226277
timing.3.0.alarm_episodes,527
timing.3.0.false_alarm_episodes,481
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,46
timing.3.0.missed_event_centers,228
timing.3.0.event_recall,0.1678832116788321
timing.3.0.false_alarms_per_sampled_center_ns,3.6123314933723853
timing.3.0.mean_detected_lead_ps,1.9728260869565217
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,190
timing.9.0.detected_window_timing_mae_ps,1.834622112539953
timing.9.0.detected_window_timing_bias_ps,-0.13808479805973498
timing.9.0.timed_within_3ps_recall,0.6735112936344969
timing.9.0.alarm_episodes,509
timing.9.0.false_alarm_episodes,385
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,124
timing.9.0.missed_event_centers,254
timing.9.0.event_recall,0.328042328042328
timing.9.0.false_alarms_per_sampled_center_ns,2.8913672036348617
timing.9.0.mean_detected_lead_ps,5.951612903225806
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,792
timing.24.0.detected_window_timing_mae_ps,3.9844264426043865
timing.24.0.detected_window_timing_bias_ps,-0.3278273210880951
timing.24.0.timed_within_3ps_recall,0.3173777315296566
timing.24.0.alarm_episodes,564
timing.24.0.false_alarm_episodes,306
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,241
timing.24.0.missed_event_centers,156
timing.24.0.event_recall,0.6070528967254408
timing.24.0.false_alarms_per_sampled_center_ns,2.2980736735383576
timing.24.0.mean_detected_lead_ps,16.79564315352697
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,2323
timing.48.0.detected_window_timing_mae_ps,7.123380725656518
timing.48.0.detected_window_timing_bias_ps,-0.4438192326599325
timing.48.0.timed_within_3ps_recall,0.1714333222480878
timing.48.0.alarm_episodes,746
timing.48.0.false_alarm_episodes,332
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,349
timing.48.0.missed_event_centers,53
timing.48.0.event_recall,0.8681592039800995
timing.48.0.false_alarms_per_sampled_center_ns,2.4933348353422704
timing.48.0.mean_detected_lead_ps,29.443409742120345
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,7391
timing.96.0.detected_window_timing_mae_ps,13.095281591159715
timing.96.0.detected_window_timing_bias_ps,0.19556706284474948
timing.96.0.timed_within_3ps_recall,0.06448420879030263
timing.96.0.alarm_episodes,1101
timing.96.0.false_alarm_episodes,503
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,383
timing.96.0.missed_event_centers,26
timing.96.0.event_recall,0.9364303178484108
timing.96.0.false_alarms_per_sampled_center_ns,3.7775524764372346
timing.96.0.mean_detected_lead_ps,44.63577023498694
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.004751694130332458
spatial.0.75.sampled_center_jaccard,0.042985762144053606
spatial.0.75.nearby_pair_difference_rmse,0.03761449569183334
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.014222941849210016
spatial.3.0.sampled_center_jaccard,0.14866748667486676
spatial.3.0.nearby_pair_difference_rmse,0.07445350406493821
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.03502968136734091
spatial.9.0.sampled_center_jaccard,0.32692713833157344
spatial.9.0.nearby_pair_difference_rmse,0.12989302289999008
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.06862684859963984
spatial.24.0.sampled_center_jaccard,0.4171889039994556
spatial.24.0.nearby_pair_difference_rmse,0.21147834780463867
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.1346260768228754
spatial.48.0.sampled_center_jaccard,0.38698569269957533
spatial.48.0.nearby_pair_difference_rmse,0.31014750363188476
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.24538466110185125
spatial.96.0.sampled_center_jaccard,0.27505821726887003
spatial.96.0.nearby_pair_difference_rmse,0.3815152989758496
spatial.96.0.nearby_pairs,16736
fine_timing.0.75.detected_window_timing_mae_ps,0.0
fine_timing.0.75.detected_window_timing_bias_ps,0.0
fine_timing.0.75.missed_windows,7
fine_timing.0.75.positive_windows,68
fine_timing.0.75.timed_within_3ps_recall,0.8970588235294118
fine_timing.0.75.all_positive_window_conditional_timing_mae_ps,0.0
fine_timing.3.0.detected_window_timing_mae_ps,0.6649201077523376
fine_timing.3.0.detected_window_timing_bias_ps,0.11962614121597316
fine_timing.3.0.missed_windows,35
fine_timing.3.0.positive_windows,274
fine_timing.3.0.timed_within_3ps_recall,0.8722627737226277
fine_timing.3.0.all_positive_window_conditional_timing_mae_ps,0.6738842972213789
fine_timing.9.0.detected_window_timing_mae_ps,1.785205618073153
fine_timing.9.0.detected_window_timing_bias_ps,0.19036733809339867
fine_timing.9.0.missed_windows,190
fine_timing.9.0.positive_windows,974
