metric,value
classification.0.75.n,7654
classification.0.75.sources,30
classification.0.75.prevalence,0.0032733140733111933
classification.0.75.log_loss,0.01244387410093661
classification.0.75.brier,0.0029582519440278544
classification.0.75.average_precision,0.4323446005369523
classification.0.75.threshold,0.010274341329932218
classification.0.75.recall,0.8513883645430788
classification.0.75.false_positive_rate,0.033317093656723216
classification.0.75.precision,0.07742379284693082
classification.0.75.auroc,0.976438253803613
classification.0.75.f1,0.14193982248014786
classification.0.75.balanced_accuracy,0.9090356354431778
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0015610261428983545
classification.3.0.n,7654
classification.3.0.sources,30
classification.3.0.prevalence,0.008337284960097939
classification.3.0.log_loss,0.027365397337244683
classification.3.0.brier,0.00669117714689245
classification.3.0.average_precision,0.3626085744121133
classification.3.0.threshold,0.04559611156582834
classification.3.0.recall,0.6852425477027922
classification.3.0.false_positive_rate,0.031481835307764314
classification.3.0.precision,0.15468961052938388
classification.3.0.auroc,0.9689614861666612
classification.3.0.f1,0.25240110593076476
classification.3.0.balanced_accuracy,0.826880356197514
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.002717116680163996
classification.9.0.n,7654
classification.9.0.sources,30
classification.9.0.prevalence,0.030881559809039054
classification.9.0.log_loss,0.07064580034530515
classification.9.0.brier,0.020579232919011113
classification.9.0.average_precision,0.5137786076155334
classification.9.0.threshold,0.1202802509069443
classification.9.0.recall,0.6562936450283716
classification.9.0.false_positive_rate,0.032903483511585264
classification.9.0.precision,0.3886007268003774
classification.9.0.auroc,0.9717945262059624
classification.9.0.f1,0.48815687849124095
classification.9.0.balanced_accuracy,0.8116950807583931
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.006892999097266879
classification.24.0.n,7654
classification.24.0.sources,30
classification.24.0.prevalence,0.09157684598841145
classification.24.0.log_loss,0.1710917952460215
classification.24.0.brier,0.049494590005204064
classification.24.0.average_precision,0.6537724476467789
classification.24.0.threshold,0.40186741948127747
classification.24.0.recall,0.5248066646921412
classification.24.0.false_positive_rate,0.027566508285135766
classification.24.0.precision,0.657437715616005
classification.24.0.auroc,0.9311389896042569
classification.24.0.f1,0.5836825287937952
classification.24.0.balanced_accuracy,0.7486200782035027
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.017353117269012765
classification.48.0.n,7654
classification.48.0.sources,30
classification.48.0.prevalence,0.18734792593553423
classification.48.0.log_loss,0.35715302681548095
classification.48.0.brier,0.10450683593344724
classification.48.0.average_precision,0.6264276004121545
classification.48.0.threshold,0.44517993927001953
classification.48.0.recall,0.4752781914539484
classification.48.0.false_positive_rate,0.038047342191658826
classification.48.0.precision,0.7422571678350541
classification.48.0.auroc,0.8155658875099382
classification.48.0.f1,0.5794963433807531
classification.48.0.balanced_accuracy,0.7186154246311446
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.029899875159676827
classification.96.0.n,7654
classification.96.0.sources,30
classification.96.0.prevalence,0.373082945972933
classification.96.0.log_loss,0.6026859159867323
classification.96.0.brier,0.20502914588463764
classification.96.0.average_precision,0.6451348380206162
classification.96.0.threshold,0.7081284523010254
classification.96.0.recall,0.3290937868680219
classification.96.0.false_positive_rate,0.05105594874272829
classification.96.0.precision,0.7932137761240241
classification.96.0.auroc,0.7103048595710573
classification.96.0.f1,0.4651875011598557
classification.96.0.balanced_accuracy,0.639018919062647
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.10134562874210844
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,11
timing.0.75.missed_windows,2
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8181818181818182
timing.0.75.alarm_episodes,149
timing.0.75.false_alarm_episodes,140
timing.0.75.observable_event_centers,11
timing.0.75.detected_event_centers,9
