metric,value
classification.0.75.n,7654
classification.0.75.sources,30
classification.0.75.prevalence,0.0032733140733111933
classification.0.75.log_loss,0.013712436388204973
classification.0.75.brier,0.0030767009808503726
classification.0.75.average_precision,0.3049483478838124
classification.0.75.threshold,0.012053067795932298
classification.0.75.recall,0.8513883645430788
classification.0.75.false_positive_rate,0.03636907864292092
classification.0.75.precision,0.07139045451102542
classification.0.75.auroc,0.9786133341102558
classification.0.75.f1,0.13173471487443256
classification.0.75.balanced_accuracy,0.9075096429500789
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0012418817633403066
classification.3.0.n,7654
classification.3.0.sources,30
classification.3.0.prevalence,0.008337284960097939
classification.3.0.log_loss,0.031207736803122107
classification.3.0.brier,0.007373059126238254
classification.3.0.average_precision,0.21818086608072454
classification.3.0.threshold,0.04913723096251488
classification.3.0.recall,0.6726698932431348
classification.3.0.false_positive_rate,0.033820149348418746
classification.3.0.precision,0.14326317295612606
classification.3.0.auroc,0.9576746684466266
classification.3.0.f1,0.23621747236441973
classification.3.0.balanced_accuracy,0.819424871947358
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.004425772221046882
classification.9.0.n,7654
classification.9.0.sources,30
classification.9.0.prevalence,0.030881559809039054
classification.9.0.log_loss,0.08185956210396655
classification.9.0.brier,0.022792733248976776
classification.9.0.average_precision,0.39999274191876677
classification.9.0.threshold,0.14383560419082642
classification.9.0.recall,0.6009244725887531
classification.9.0.false_positive_rate,0.032669093129748125
classification.9.0.precision,0.36954067918556077
classification.9.0.auroc,0.9570396372560304
classification.9.0.f1,0.45764865916857816
classification.9.0.balanced_accuracy,0.7841276897295025
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.013475665152458056
classification.24.0.n,7654
classification.24.0.sources,30
classification.24.0.prevalence,0.09157684598841144
classification.24.0.log_loss,0.1884911039447597
classification.24.0.brier,0.05497278825223745
classification.24.0.average_precision,0.5525888902513528
classification.24.0.threshold,0.38187611103057856
classification.24.0.recall,0.4357997717512514
classification.24.0.false_positive_rate,0.02659131776880997
classification.24.0.precision,0.6229447972769255
classification.24.0.auroc,0.9125373066337059
classification.24.0.f1,0.5128322891254212
classification.24.0.balanced_accuracy,0.7046042269912207
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03158244327236885
classification.48.0.n,7654
classification.48.0.sources,30
classification.48.0.prevalence,0.18734792593553434
classification.48.0.log_loss,0.3591698398737317
classification.48.0.brier,0.10744203601789007
classification.48.0.average_precision,0.5785307086389826
classification.48.0.threshold,0.4046075940132141
classification.48.0.recall,0.47511753606090945
classification.48.0.false_positive_rate,0.04551609753786734
classification.48.0.precision,0.7064408973558031
classification.48.0.auroc,0.8166200938242543
classification.48.0.f1,0.5681351832152214
classification.48.0.balanced_accuracy,0.714800719261521
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.02274057755942196
classification.96.0.n,7654
classification.96.0.sources,30
classification.96.0.prevalence,0.3730829459729325
classification.96.0.log_loss,0.5836232507086767
classification.96.0.brier,0.19939361447086876
classification.96.0.average_precision,0.6298152501904133
classification.96.0.threshold,0.554580569267273
classification.96.0.recall,0.3387849487365858
classification.96.0.false_positive_rate,0.060050901730959845
classification.96.0.precision,0.7705040449725955
classification.96.0.auroc,0.7023692334186526
classification.96.0.f1,0.4706351092595577
classification.96.0.balanced_accuracy,0.6393670235028129
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.06443495185701503
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,11
timing.0.75.missed_windows,2
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8181818181818182
timing.0.75.alarm_episodes,163
timing.0.75.false_alarm_episodes,154
timing.0.75.observable_event_centers,11
timing.0.75.detected_event_centers,9
