architecture,history_ps,history_frames,parameters,seeds,sources,windows,mse,seed_std,raw_mse,bin_0_3_mse,bin_3_6_mse,bin_6_9_mse,mse_0p75ps,mse_9ps,increment_mse,persistence_mse,history_mean_mse,reverse_past_mse,repeat_anchor_mse,gain_vs_anchor,gain_vs_anchor_ci95_lower,gain_vs_anchor_ci95_upper,gain_vs_history_mean
autoregressive_gru,0,1,579072,2,27,663552,0.22576917994719825,6.704076979476004e-05,7.558555857497307e-06,0.08544550612877705,0.09988761496960483,0.11248866626827343,0.20608775451796824,0.24311186488042452,0.31724684770945183,0.3759207362119396,0.3759207362119396,0.22576917994719825,0.22576917994719825,0.0,0.0,0.0,0.39942344702178845
mean_residual_gru,0,1,380160,2,27,663552,0.22853429601959874,0.00024711475144437167,7.67358853140094e-06,0.08775449987510194,0.10301249980226429,0.11583057896151398,0.20616673545881603,0.2464936377990478,0.3170320020469128,0.3759207362119396,0.3759207362119396,0.2285342960195987,0.2285342960195987,0.0,0.0,0.0,0.39206786429904783
autoregressive_gru,1.5,3,579072,2,27,663552,0.21484021653563484,6.020237935899786e-05,6.902269870466517e-06,0.07432899221569966,0.08924761309802236,0.10186926882729817,0.19359697133165876,0.2324380563257232,0.3160288187657528,0.3759207362119396,0.27093620894385345,0.21513169940325733,0.2339172874006582,0.04840768529220618,0.043546614413195885,0.053871502105487974,0.20704501855580149
mean_residual_gru,1.5,3,380160,2,27,663552,0.21616722275582617,4.371152118455568e-05,6.961016295376002e-06,0.07522884715965208,0.0907157013162992,0.10362953414713932,0.19370330780480918,0.23421758329562184,0.31597450096582635,0.3759207362119396,0.27093620894385345,0.21643839140331014,0.2368087663299441,0.054114736733920976,0.049193270548680036,0.05965318787969998,0.20214716372360975
autoregressive_gru,3,5,579072,2,27,663552,0.21179069686781904,0.00012248417706051118,6.700158329260647e-06,0.07158146991249044,0.08615165552947314,0.09865083843896628,0.19077642970362477,0.2292032636869429,0.315762930161414,0.3759207362119396,0.2510867047102592,0.21284663494536973,0.23994777198275885,0.06191493047301,0.05543478072469793,0.06907811899808484,0.15650373797284778
mean_residual_gru,3,5,380160,2,27,663552,0.21271888048663024,7.660630270621416e-05,6.718844992104679e-06,0.07227795775894184,0.08719292690741795,0.09979196789139298,0.1910112563169555,0.23029305931351932,0.31574234495215975,0.3759207362119396,0.2510867047102592,0.21381160358250048,0.2443865645552144,0.06920368543552069,0.06287231910878721,0.07617155375823673,0.1528070722338859
autoregressive_gru,6,9,579072,2,27,663552,0.2094113491656246,4.770745272535126e-05,6.536288109929877e-06,0.06966407440962005,0.08371520199122608,0.09591984552940146,0.18909423200751116,0.22639206100711431,0.31560325280627605,0.3759207362119396,0.24092948084347443,0.2120699325675888,0.2533647997248734,0.07245378127076196,0.06470383427490867,0.08083497153954215,0.1308189083689857
mean_residual_gru,6,9,380160,2,27,663552,0.2100869774261021,0.0001215918773020408,6.530100216637848e-06,0.07018884071084998,0.08446912390720142,0.09673871098448707,0.18926280878525895,0.22712239405550214,0.31558993620562414,0.3759207362119396,0.24092948084347443,0.21313418903935566,0.258262393306613,0.08072013222870755,0.0732937362496043,0.08887900110837188,0.1280146510480794
autoregressive_gru,12,17,579072,2,27,663552,0.2078347500133675,5.09523056982375e-06,6.407569788529335e-06,0.06856144145174521,0.08210960288586039,0.0939273660447647,0.1881873950200608,0.22425252227909884,0.3155204205696621,0.3759207362119396,0.24259885547352505,0.21436042547916426,0.2687761017700933,0.07943701588509611,0.07099172942999689,0.08853834336096941,0.14329871998902044
mean_residual_gru,12,17,380160,2,27,663552,0.20861602709729218,3.370392373175379e-05,6.4227965503582426e-06,0.06915216974769832,0.0829681267146487,0.09488599238847938,0.18844079168476358,0.2251830883707857,0.31551586674715887,0.3759207362119396,0.24259885547352505,0.21588685448330125,0.2753356099489798,0.08715658555072336,0.07901216598457414,0.09602661651523435,0.14007827163859565
autoregressive_gru,24,33,579072,2,27,663552,0.20742129791892133,1.0865990117528423e-05,6.354582338730965e-06,0.06850577643057625,0.08166609475535791,0.09315043224770429,0.1885102775617534,0.22336297757989054,0.31556132976714446,0.3759207362119396,0.25945560492830755,0.221548377176723,0.27840895601286353,0.08126832029317754,0.07307496640590502,0.09030946619098738,0.20055187099837102
mean_residual_gru,24,33,380160,2,27,663552,0.20816070336415554,1.558087753301962e-05,6.3715635882146786e-06,0.06901050156086375,0.08249462979722756,0.09413914460070395,0.18848449689746832,0.22432239701880152,0.3155179594511515,0.3759207362119396,0.25945560492830755,0.2244837848486076,0.2898254051045558,0.0891489505526819,0.08113659392085823,0.09796899953063937,0.19770203684104548
