method,horizon_ps,threshold,validation_f1,default_zero_threshold_accuracy,tp,fp,fn,tn,n,positive,prevalence,accuracy,precision,recall,specificity,false_positive_rate,balanced_accuracy,f1,auroc,average_precision,accuracy_ci95_lower,accuracy_ci95_upper,accuracy_bootstrap_valid,precision_ci95_lower,precision_ci95_upper,precision_bootstrap_valid,recall_ci95_lower,recall_ci95_upper,recall_bootstrap_valid,f1_ci95_lower,f1_ci95_upper,f1_bootstrap_valid,false_positive_rate_ci95_lower,false_positive_rate_ci95_upper,false_positive_rate_bootstrap_valid
ar,3,0.03455560281872749,0.9656376864211385,0.9733249784389824,475849,18976,16417,824502,1335744,492266,0.3685331919888841,0.9735031562934215,0.9616510887687566,0.9666501444341068,0.9775026734544351,0.02249732654556491,0.9720764089442709,0.9641441366601459,0.9960298671963427,0.9933853931722116,0.9687173777310623,0.9784847059017296,2000,0.9548324650995978,0.9677424843850515,2000,0.9591950668591951,0.9730285371857084,2000,0.9571612392577062,0.9701152098701145,2000,0.016544103457404473,0.029610538091186158,2000
ar,6,0.06891578435897827,0.9601708515048752,0.9683060526567965,476920,21325,20501,816998,1335744,497421,0.37239246442432083,0.9686871136984332,0.9571997711969011,0.9587854151714543,0.9745623107084024,0.02543768929159763,0.9666738629399283,0.9579919370551973,0.9932562021845408,0.9882445348344918,0.9633231554848833,0.9742760401693737,2000,0.9496479532159937,0.9637419917898445,2000,0.9503197946788238,0.965976199116487,2000,0.9501220946318275,0.9644989160388973,2000,0.01886822372815329,0.03318716153640148,2000
ar,9,0.06000339239835739,0.9546761475235684,0.963589580039289,478895,24363,23682,808804,1335744,502577,0.37625248550620477,0.9640312814431508,0.9515894431881858,0.9528788623434817,0.9707585634092565,0.029241436590743512,0.9618187128763691,0.9522337162655903,0.9894635397418418,0.981205346683418,0.9580091694216856,0.9703435126790761,2000,0.9428903131133854,0.9589602450888376,2000,0.94393747425461,0.9602973387079315,2000,0.9436018852362152,0.9592237702755874,2000,0.02169879795087686,0.03820085619795507,2000
direct,3,0.0013503263471648097,0.967947027878025,0.9754631126922524,476466,16972,15800,826506,1335744,492266,0.3685331919888841,0.9754653586315941,0.965604594700854,0.9679035318303519,0.9798785504779022,0.02012144952209779,0.9738910411541271,0.966752696549877,0.996656502363419,0.9949795903390949,0.9708649449295674,0.9802322151549998,2000,0.959324304028545,0.9711973394401244,2000,0.960566669245293,0.9742340877313665,2000,0.9605614916000078,0.97219761870608,2000,0.014357141288681137,0.02724950757560974,2000
direct,6,0.014444280415773392,0.9627574503870673,0.9710573283503425,477400,18674,20021,819649,1335744,497421,0.37239246442432083,0.9710311257246897,0.9623564226304946,0.9597503925246421,0.9777245763267858,0.02227542367321426,0.968737484425714,0.961051640924212,0.9948892153504638,0.9928277591000579,0.9658519147381535,0.9763615445774041,2000,0.9559801832258757,0.9680498772151129,2000,0.9516031893199622,0.9667063417674396,2000,0.9542478580259155,0.9669411035840243,2000,0.015962504796610547,0.03014055361964542,2000
direct,9,-0.005620858632028103,0.9578417660643176,0.9668072624694553,480157,21913,22420,811254,1335744,502577,0.37625248550620477,0.9668102570552441,0.9563546915768717,0.9553899203505134,0.97369915035041,0.026300849649590057,0.9645445353504617,0.9558720625254442,0.9924394879439413,0.9900902683459506,0.9611202445977672,0.9726870568013033,2000,0.9489953756330036,0.962869413342742,2000,0.946991724052536,0.962194041592089,2000,0.9486191799251806,0.9620994185729025,2000,0.01896857722221342,0.035368765738048175,2000
persistence,3,-0.00800876971334219,0.9647452381020032,0.9732194192899238,473457,16960,18809,826518,1335744,492266,0.3685331919888841,0.9732216652292655,0.9654171857827114,0.9617909829238663,0.979892777286426,0.020107222713574034,0.9708418801051462,0.9636006728517742,0.9943975324368439,0.9923341480738179,0.968188047260553,0.9783675614489004,2000,0.9582900337208302,0.9717446902313571,2000,0.9541525455737647,0.968241055589085,2000,0.9567744415972664,0.9695797991644453,2000,0.01418502846533804,0.02731544819937781,2000
persistence,6,-0.013512960635125637,0.9583016080030758,0.9679182537971348,472722,18158,24699,820165,1335744,497421,0.37239246442432083,0.9679152592113459,0.9630092894393741,0.9503458840700333,0.9783400908718954,0.02165990912810456,0.9643429874709644,0.9566356808300305,0.9900505102322634,0.9880329509937832,0.9624623617998659,0.9736825132660151,2000,0.9559834324017815,0.9693532756371528,2000,0.9414169024144714,0.9572703165898246,2000,0.9494044834845481,0.9628255842662389,2000,0.01530023859292807,0.02942047294493723,2000
persistence,9,-0.013476237654685974,0.9522608799247295,0.9627451068468209,471862,19015,30715,814152,1335744,502577,0.37625248550620477,0.9627698121795794,0.9612632085023336,0.9388849867781455,0.9771774446179458,0.022822555382054258,0.9580312156980456,0.9499423224427099,0.9849162856678909,0.9832450461967304,0.9566798540738345,0.9692531278448565,2000,0.9541462385543665,0.967748680431469,2000,0.9285843818485617,0.9468839278599671,2000,0.942057206766745,0.9566170260976221,2000,0.016187886055284175,0.03109169056202828,2000
history_mean,3,-0.06989136338233948,0.962413331250917,0.9709674907766758,472259,18479,20007,824999,1335744,492266,0.3685331919888841,0.9711875928321595,0.9623444689426944,0.959357339324674,0.978091900440794,0.02190809955920605,0.968724619882734,0.9608485825083113,0.9939246059828939,0.9920582975199225,0.9662601890781467,0.9763693305004552,2000,0.9552017717878145,0.9686865258993348,2000,0.9518339144561749,0.9651156536087679,2000,0.9544534531810991,0.9663508162243798,2000,0.01540769955667448,0.02967655610025744,2000
history_mean,6,-0.050389617681503296,0.9559921655615075,0.9654956338939198,470397,18600,27024,819723,1335744,497421,0.37239246442432083,0.9658437544918786,0.961962956827956,0.9456717750155301,0.9778128477925573,0.022187152207442717,0.9617423114040438,0.9537478026556693,0.989387326604411,0.9877295030461738,0.9602587771309473,0.9716787236176992,2000,0.9551196549942459,0.9679437157446236,2000,0.9361514177943919,0.9527196559378581,2000,0.9466259365540068,0.9596425232069391,2000,0.015635249805526778,0.03015335671756343,2000
history_mean,9,-0.09065458178520203,0.9498296636993169,0.9601068767668056,471244,21267,31333,811900,1335744,502577,0.37625248550620477,0.9606211968760481,0.956819238555078,0.9376553244577448,0.9744745051112202,0.0255254948887798,0.9560649147844825,0.9471403534159792,0.9843116595781877,0.9830922596788627,0.9542836426740453,0.9672067589298549,2000,0.949111272385547,0.963822213706314,2000,0.9273192088344637,0.9452332609928322,2000,0.9393609514651978,0.9536699625889257,2000,0.01805521928034453,0.03477743395012383,2000
linear_trend,3,0.015422867178373656,0.9621064123461859,0.9710925147333621,472811,19052,19455,824426,1335744,492266,0.3685331919888841,0.9711718712567677,0.9612656369761499,0.9604786842885756,0.9774125703337846,0.02258742966621536,0.9689456273111801,0.96087199950413,0.9926419830215099,0.9890680400524581,0.9656643039384792,0.9767469290522734,2000,0.9534530103189682,0.9683189225987447,2000,0.9527011761505833,0.9670548613459808,2000,0.953430007508453,0.9674865046522165,2000,0.016170497610276304,0.030359702869380393,2000
linear_trend,6,0.03218059142430624,0.9511849023105619,0.9617553962435916,470448,23651,26973,814672,1335744,497421,0.37239246442432083,0.9621005222557616,0.9521330745457894,0.9457743038593063,0.9717877238248265,0.02821227617517353,0.9587810138420664,0.9489430369533646,0.9842672087990149,0.9768998624401216,0.9553616561257247,0.9689254078625844,2000,0.9426844519873344,0.9602964862516932,2000,0.9367394064684766,0.953478191196293,2000,0.9399813354730457,0.9567104108132027,2000,0.020711403049389426,0.03703401625138125,2000
linear_trend,9,0.0755621552467346,0.937593453459358,0.9482842520722534,465731,29428,36846,803739,1335744,502577,0.37625248550620477,0.9503842053567151,0.9405685850403608,0.9266858610720348,0.9646793499982597,0.035320650001740346,0.9456826055351473,0.9335756151927965,0.9733354973992873,0.9608370196042463,0.9426679064251833,0.9582242929782951,2000,0.9281293123844669,0.9507173061133445,2000,0.9154529867878082,0.9360406355864873,2000,0.9221462570988489,0.9432539214573817,2000,0.02723448176423397,0.04471755761680203,2000
observed_future,3,0.01758030615746975,0.9793685937324296,0.9839857038474438,482153,11166,10113,832312,1335744,492266,0.3685331919888841,0.9840695522495329,0.9773655585939321,0.9794562289493891,0.9867619546686458,0.013238045331354226,0.9831090918090175,0.9784097769345109,0.9987092644894305,0.9979525544568801,0.9806971058825643,0.9873713451080447,2000,0.9721727473980432,0.9819668114996236,2000,0.9737889945218892,0.9841947992899623,2000,0.9735308170545385,0.9826916639329112,2000,0.009267612360238963,0.01807095793873916,2000
observed_future,6,0.01758030615746975,0.9794215717211177,0.9838771501125965,487245,11245,10176,827078,1335744,497421,0.37239246442432083,0.9839632444540272,0.9774418744608718,0.9795424801124198,0.9865863157756617,0.013413684224338352,0.9830643979440408,0.9784910499030536,0.9987024908892339,0.997971275359082,0.9805620313473241,0.9872819941545685,2000,0.9722725421710857,0.9820324837651555,2000,0.9738463319409182,0.984277544092324,2000,0.9736135684968753,0.9827785690724307,2000,0.009395023676522138,0.018329521493870213,2000
observed_future,9,0.01758030615746975,0.979488626135113,0.9837423937520962,492329,11344,10248,821823,1335744,502577,0.37625248550620477,0.9838352259115519,0.9774774506475431,0.9796090947257833,0.9863844823426756,0.013615517657324402,0.9829967885342294,0.9785421118012423,0.9986948564413953,0.9979881251830031,0.980431130516027,0.9871908838819414,2000,0.9722718738567693,0.9820556292421677,2000,0.9738503299614228,0.9843709305643965,2000,0.9736330828390959,0.9828525671056695,2000,0.009533484478966106,0.01861359750359518,2000
