split,temperature_K,persistence_frames,trajectories,any_sustained_episode,crystal_at_start,right_censored,eligible_origins,onset_with_9_frame_followup,onset_continues_9_frames,median_initial_episode_frames
val,400,3,384,258,0,126,250496,255,175,49.0
val,450,3,384,370,0,14,113587,370,251,131.0
val,500,3,384,367,0,17,107193,367,260,82.0
val,510,3,384,374,0,10,109673,374,261,46.5
test,400,3,384,295,0,89,229140,295,212,97.0
test,450,3,384,366,0,18,112893,366,261,61.0
test,500,3,384,307,0,77,191959,307,204,47.0
test,510,3,384,353,0,31,164796,353,231,34.0
test,520,3,192,127,0,65,82712,126,93,89.0
val,400,5,384,251,0,133,256686,249,204,71.0
val,450,5,384,367,0,17,116441,367,303,276.0
val,500,5,384,363,0,21,110252,363,304,151.0
val,510,5,384,371,0,13,112410,371,309,101.0
test,400,5,384,291,0,93,231534,291,246,130.0
test,450,5,384,364,0,20,116204,364,303,117.0
test,500,5,384,302,0,82,193173,302,242,96.5
test,510,5,384,350,0,34,166404,349,271,112.0
test,520,5,192,126,0,66,83126,126,107,108.5
val,400,9,384,240,0,144,258037,240,240,90.0
val,450,9,384,364,0,20,118972,364,364,386.5
val,500,9,384,356,0,28,113019,356,356,209.0
val,510,9,384,369,0,15,113523,369,369,155.0
test,400,9,384,282,0,102,233591,282,282,160.0
test,450,9,384,359,0,25,118022,359,359,149.0
test,500,9,384,299,0,85,193684,299,299,147.0
test,510,9,384,338,0,46,168713,338,338,168.5
test,520,9,192,126,0,66,83206,126,126,147.0
